Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5135,340,65,70,0,78,24,5712,1392,7104,-0.064362,-0.0761793,-0.995015,0
5126,226,42,50,0,75,23,5542,2632,8174,-0.0435486,-0.169585,-0.984553,0
5951,220,29,49,0,75,20,6344,209,6553,-0.362878,-0.114683,-0.924753,0
5134,324,37,71,0,123,28,5717,828,6545,-0.316583,-0.143064,-0.937714,0
5207,207,28,48,0,74,20,5584,696,6280,-0.304458,-0.208634,-0.929396,0
6175,210,35,50,0,95,26,6591,929,7520,-0.27662,-0.187701,-0.94247,0
4924,239,28,48,0,80,21,5340,733,6073,-0.2641,-0.255435,-0.930056,0
5287,213,29,49,0,76,22,5676,1098,6774,-0.212834,-0.249935,-0.944581,0
4952,211,30,47,0,74,20,5334,898,6232,-0.198203,-0.228533,-0.953146,0
5078,222,27,49,0,75,21,5472,672,6144,-0.223979,-0.245311,-0.943216,0
5037,207,29,47,0,73,22,5415,889,6304,-0.196859,-0.239447,-0.950742,0
4916,211,28,46,0,73,21,5295,775,6070,-0.229313,-0.213849,-0.949571,0
5326,217,29,49,0,75,20,5716,702,6418,-0.246643,-0.271957,-0.930165,0
5051,221,30,48,0,78,21,5449,1050,6499,-0.229521,-0.252517,-0.939976,0
5255,224,28,48,0,86,22,5663,938,6601,-0.182445,-0.239573,-0.953582,0
5239,225,29,50,0,79,22,5644,794,6438,-0.210559,-0.25367,-0.944095,0
5155,219,28,47,0,77,21,5547,921,6468,-0.216619,-0.226248,-0.949677,0
5194,229,28,52,0,75,21,5599,751,6350,-0.244108,-0.280139,-0.928404,0
5149,246,29,50,0,77,22,5573,1029,6602,-0.215724,-0.251579,-0.943489,0
5761,238,32,50,0,104,26,6211,999,7210,-0.229977,-0.217566,-0.948565,0
5152,209,28,47,0,74,21,5531,786,6317,-0.24922,-0.306899,-0.918533,0
5095,215,27,49,0,76,21,5483,1041,6524,-0.266761,-0.21733,-0.938939,0
5044,204,29,46,0,73,21,5417,888,6305,-0.259526,-0.212569,-0.942052,0
4989,227,27,48,0,75,20,5386,774,6160,-0.243864,-0.213121,-0.946103,0
5837,244,34,60,0,86,23,6284,822,7106,-0.265871,-0.287984,-0.919988,0
5165,242,29,49,0,72,20,5577,954,6531,-0.223999,-0.247074,-0.942751,0
5181,225,35,65,0,89,24,5619,1003,6622,-0.207761,-0.232517,-0.950143,0
5617,238,32,52,0,82,22,6043,841,6884,-0.205951,-0.247755,-0.946679,0
7974,240,33,52,0,87,27,8413,882,9295,-0.216489,-0.212156,-0.952955,0
5028,212,28,48,0,76,21,5413,738,6151,-0.238464,-0.245127,-0.939706,0
5113,246,28,47,0,77,21,5532,938,6470,-0.224004,-0.222056,-0.948954,0
6083,259,31,56,0,85,23,6537,844,7381,-0.246324,-0.233542,-0.940629,0
5093,208,29,47,0,73,20,5470,976,6446,-0.213834,-0.203827,-0.955369,0
5156,236,30,48,0,73,20,5563,560,6123,-0.230245,-0.256948,-0.938598,0
5263,219,28,50,0,76,21,5657,1006,6663,-0.193852,-0.244934,-0.949963,0
5519,215,30,64,0,79,25,5932,749,6681,-0.252415,-0.19143,-0.948494,0
5123,285,37,65,0,105,35,5650,767,6417,-0.246142,-0.241374,-0.938697,0
5098,209,29,50,0,77,22,5485,1100,6585,-0.255226,-0.195668,-0.946876,0
3445,108,17,25,0,37,10,3642,382,4024,-0.267097,-0.24306,-0.932513,0
2618,113,16,25,0,39,11,2822,554,3376,-0.222805,-0.231912,-0.946876,0
5322,211,28,47,0,71,20,5699,749,6448,-0.22912,-0.21897,-0.94845,0
5992,219,29,51,0,76,21,6388,768,7156,-0.235692,-0.298286,-0.924919,0
5139,228,29,49,0,73,21,5539,994,6533,-0.20289,-0.258579,-0.944443,0
5818,265,32,56,0,80,22,6273,926,7199,-0.20324,-0.218165,-0.954515,0
5031,213,29,49,0,75,21,5418,663,6081,-0.236914,-0.253795,-0.937795,0
5621,210,49,53,0,73,20,6026,957,6983,-0.229203,-0.22956,-0.945922,0
5238,212,28,51,0,73,23,5625,798,6423,-0.256076,-0.186667,-0.948463,0
5612,239,43,52,0,86,23,6055,759,6814,-0.245934,-0.27279,-0.930109,0
5357,141,20,33,0,51,14,5616,726,6342,-0.20834,-0.247224,-0.946295,0
3382,142,20,30,0,50,14,3638,530,4168,-0.215635,-0.217607,-0.951919,0
4059,166,28,46,0,59,17,4375,547,4922,-0.23949,-0.274734,-0.931218,0
4179,170,23,39,0,101,16,4528,851,5379,-0.220956,-0.223145,-0.949413,0
5240,213,30,48,0,71,20,5622,725,6347,-0.238058,-0.259919,-0.935826,0
5152,240,35,61,0,74,22,5584,1014,6598,-0.215199,-0.250168,-0.943984,0
5113,202,28,48,0,71,21,5483,861,6344,-0.198053,-0.2456,-0.948923,0
5047,214,28,47,0,70,19,5425,725,6150,-0.230082,-0.230657,-0.945442,0
5792,252,31,53,0,82,22,6232,914,7146,-0.219284,-0.236646,-0.946527,0
5552,236,33,53,0,82,23,5979,838,6817,-0.235417,-0.211704,-0.948557,0
5922,242,52,56,0,84,23,6379,872,7251,-0.239186,-0.286228,-0.927827,0
5683,234,33,54,0,80,25,6109,1174,7283,-0.233611,-0.230052,-0.944724,0
5834,229,54,57,0,82,23,6279,897,7176,-0.217248,-0.2284,-0.949019,0
5634,234,32,52,0,102,24,6078,825,6903,-0.225799,-0.262191,-0.938227,0
5612,241,30,54,0,87,23,6047,1208,7255,-0.210658,-0.249589,-0.945161,0
6943,260,32,56,0,85,23,7399,1017,8416,-0.226654,-0.214701,-0.950017,0
5648,248,39,55,0,82,26,6098,776,6874,-0.230278,-0.258345,-0.938206,0
5741,274,39,61,0,87,24,6226,1303,7529,-0.215807,-0.232076,-0.948455,0
5773,241,33,52,0,80,22,6201,832,7033,-0.257726,-0.19983,-0.945328,0
5707,234,33,55,0,82,22,6133,795,6928,-0.257202,-0.193841,-0.946717,0
2800,123,16,27,0,42,11,3019,394,3413,-0.271263,-0.27212,-0.923237,0
3257,153,19,30,0,49,14,3522,740,4262,-0.268753,-0.217095,-0.938425,0
5759,242,33,53,0,83,23,6193,1009,7202,-0.257158,-0.210307,-0.943208,0
5599,228,33,51,0,80,22,6013,863,6876,-0.261005,-0.217104,-0.940608,0
5515,243,32,53,0,88,23,5954,899,6853,-0.244152,-0.255074,-0.935589,0
5571,248,32,52,0,88,23,6014,1196,7210,-0.222223,-0.239154,-0.94521,0
5472,212,28,47,0,74,20,5853,829,6682,-0.223886,-0.265599,-0.937727,0
4968,225,31,48,0,77,25,5374,1157,6531,-0.231098,-0.227421,-0.945977,0
5038,214,30,49,0,74,20,5425,837,6262,-0.248003,-0.214116,-0.944801,0
5105,212,27,49,0,75,21,5489,709,6198,-0.255461,-0.245019,-0.935257,0
5184,223,29,58,0,78,21,5593,1020,6613,-0.227235,-0.243903,-0.942802,0
5247,204,28,47,0,74,21,5621,936,6557,-0.211109,-0.214015,-0.953746,0
4930,216,29,48,0,75,20,5318,652,5970,-0.234719,-0.254653,-0.938115,0
4951,223,29,47,0,77,21,5348,1015,6363,-0.221044,-0.253185,-0.941826,0
6072,214,28,48,0,74,20,6456,874,7330,-0.234842,-0.216205,-0.947684,0
5082,219,29,47,0,75,21,5473,857,6330,-0.244799,-0.292214,-0.924492,0
5347,207,28,48,0,75,21,5726,1057,6783,-0.241779,-0.223464,-0.944249,0
5108,216,29,46,0,74,20,5493,791,6284,-0.259934,-0.28953,-0.921198,0
5079,221,37,53,0,73,21,5484,1202,6686,-0.269661,-0.224621,-0.936391,0
5014,220,29,50,0,75,21,5409,965,6374,-0.2558,-0.208066,-0.944074,0
4965,216,27,48,0,75,20,5351,773,6124,-0.228219,-0.242963,-0.942807,0
5247,219,30,48,0,75,21,5640,861,6501,-0.23668,-0.189859,-0.952857,0
4893,226,28,49,0,73,20,5289,516,5805,-0.231259,-0.228518,-0.945674,0
5824,214,28,51,0,76,20,6213,748,6961,-0.245186,-0.227466,-0.942413,0
4934,294,42,52,0,76,21,5419,807,6226,-0.249328,-0.212384,-0.944843,0
4908,209,28,47,0,74,20,5286,734,6020,-0.244239,-0.28633,-0.926478,0
5260,213,29,49,0,74,23,5648,1021,6669,-0.203518,-0.257646,-0.944563,0
4966,192,28,46,0,70,19,5321,803,6124,-0.186149,-0.235667,-0.95384,0
5305,212,30,47,0,73,20,5687,699,6386,-0.213781,-0.284443,-0.934553,0
4953,208,52,45,0,73,20,5351,965,6316,-0.202076,-0.249123,-0.947155,0
5217,230,29,48,0,70,20,5614,775,6389,-0.227936,-0.20203,-0.952486,0
5646,302,30,56,0,75,22,6131,643,6774,-0.230508,-0.254939,-0.939081,0
4930,220,30,45,0,68,19,5312,992,6304,-0.213425,-0.194276,-0.957448,0
5459,168,29,42,0,56,18,5772,492,6264,-0.249242,-0.176609,-0.952202,0
5259,161,32,38,0,74,20,5584,597,6181,-0.238886,-0.117773,-0.963879,0
5367,204,31,46,0,57,19,5724,325,6049,-0.274077,-0.0903783,-0.957452,0
5624,456,31,73,0,115,34,6333,-1000,-1000,-1,-1,-1,0
5367,535,31,98,0,138,43,6212,1837,8049,-0.0284481,0.178541,-0.983521,0
5440,743,36,119,0,194,62,6594,2307,8901,0.0234327,0.419532,-0.907438,0
5685,913,31,122,0,229,63,7043,323,7366,0.018942,0.382273,-0.923855,0
5149,1033,31,138,0,271,73,6695,296,6991,-0.0362748,0.60947,-0.791979,0
5185,1165,30,152,0,306,81,6919,480,7399,-0.0466513,0.566621,-0.822657,0
4898,853,21,112,0,224,60,6168,306,6474,-0.0457318,0.509967,-0.858977,0
5297,1355,28,183,0,345,94,7302,473,7775,-0.183862,0.642494,-0.743906,0
5567,1354,34,176,0,382,103,7616,810,8426,-0.168828,0.623198,-0.763624,0
5224,1569,38,242,0,521,112,7706,678,8384,-0.156374,0.61965,-0.769143,0
5856,1328,30,175,0,362,92,7843,632,8475,-0.15516,0.604232,-0.781555,0
7222,1443,30,186,0,381,103,9365,686,10051,-0.13036,0.504553,-0.853482,0
5521,916,44,123,0,243,64,6911,472,7383,-0.0925404,0.420082,-0.902756,0
5895,873,31,119,0,213,58,7189,320,7509,-0.0663549,0.343904,-0.936657,0
5640,714,27,104,0,215,75,6775,-1000,-1000,-1,-1,-1,0
6413,862,32,129,0,232,67,7735,-1000,-1000,-1,-1,-1,0
5464,1018,39,157,0,250,68,6996,-1000,-1000,-1,-1,-1,0
5788,821,32,120,0,228,65,7054,-1000,-1000,-1,-1,-1,0
6213,887,34,125,0,228,61,7548,321,7869,0.0195273,0.150537,-0.988412,0
5778,816,30,117,0,243,87,7071,528,7599,-0.00118422,0.261187,-0.965288,0
5600,682,29,102,0,193,50,6656,840,7496,0.00406155,0.239669,-0.970846,0
5306,465,51,81,0,150,40,6093,1023,7116,0.0119948,0.266318,-0.963811,0
4859,374,39,73,0,159,47,5551,1820,7371,0.0227353,0.272764,-0.961812,0
4617,296,30,57,0,92,27,5119,1493,6612,0.0207218,0.2784,-0.960242,0
4600,214,42,51,0,65,21,4993,1522,6515,0.0433026,0.322249,-0.945664,0
4464,315,32,63,0,103,27,5004,1254,6258,0.0372341,0.414491,-0.909291,0
4706,621,34,92,0,193,44,5690,813,6503,0.0444357,0.517331,-0.854631,0
5299,1053,40,180,0,503,104,7179,643,7822,0.0839367,0.533633,-0.841541,0
6045,1330,35,176,0,556,97,8239,730,8969,0.0658725,0.434701,-0.898163,0
6714,1709,39,217,0,609,116,9404,1632,11036,0.0400364,0.418114,-0.907512,0
7231,2116,39,244,0,694,154,10478,2114,12592,-0.0251199,0.408974,-0.9122,0
7849,2062,40,248,0,715,136,11050,3399,14449,-0.0777667,0.385657,-0.919359,0
4837,1335,26,161,0,470,89,6918,2742,9660,-0.103142,0.340987,-0.934393,0
7130,1949,38,255,0,667,136,10175,4370,14545,-0.111675,0.318967,-0.941164,0
6452,1717,33,201,0,631,119,9153,4112,13265,-0.105648,0.300317,-0.94797,0
7918,1882,39,222,0,599,121,10781,4186,14967,-0.0854768,0.296978,-0.951051,0
4482,1089,25,129,0,370,76,6171,3464,9635,-0.0586435,0.294949,-0.953712,0
6504,1380,39,206,0,440,98,8667,3682,12349,-0.00769381,0.34183,-0.93973,0
6422,1401,36,178,0,431,95,8563,3940,12503,0.0434057,0.475701,-0.878536,0
4629,930,24,130,0,239,52,6004,1812,7816,0.0346695,0.443665,-0.895522,0
2432,526,15,69,0,162,37,3241,1162,4403,0.0328154,0.430338,-0.902071,0
4368,994,25,130,0,288,69,5874,1993,7867,0.00737712,0.484926,-0.874524,0
5980,1525,34,187,0,456,113,8295,2486,10781,-0.0173725,0.588017,-0.808662,0
