Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6007,2759,80,324,0,620,163,9953,1320,11273,-0.0564107,-0.0756065,-0.995541,0
5720,2087,25,272,0,683,155,8942,1270,10212,-0.0358016,-0.0301218,-0.998905,0
5959,2195,27,273,0,567,151,9172,1319,10491,-0.0129607,0.00784836,-0.999885,0
5675,2092,28,265,0,566,150,8776,1292,10068,-0.00436486,0.0224883,-0.999738,0
5683,2140,26,273,0,573,151,8846,1272,10118,-0.00407601,0.0244952,-0.999692,0
5807,2047,29,268,0,566,149,8866,1318,10184,-0.0040298,0.0242155,-0.999699,0
5876,2033,27,266,0,573,148,8923,1430,10353,-0.0045986,0.0247811,-0.999682,0
5769,2045,29,261,0,549,145,8798,1346,10144,-0.00436127,0.0229126,-0.999728,0
6176,2075,35,366,0,628,153,9433,1353,10786,-0.00509094,0.0247278,-0.999681,0
5775,1995,28,259,0,608,150,8815,1395,10210,-0.00384391,0.0252498,-0.999674,0
5973,2081,28,265,0,548,154,9049,1381,10430,-0.00347764,0.0262215,-0.99965,0
5720,2001,28,262,0,551,146,8708,1380,10088,-0.00322736,0.0273557,-0.999621,0
5885,2067,27,315,0,558,151,9003,1333,10336,-0.00308541,0.0249235,-0.999685,0
6089,1985,26,264,0,574,147,9085,1339,10424,-0.00317669,0.0203365,-0.999788,0
5801,1934,30,263,0,601,152,8781,1255,10036,-0.00252496,0.0232223,-0.999728,0
6062,1927,40,255,0,540,148,8972,1263,10235,-0.00389949,0.0236672,-0.999712,0
6558,2109,28,255,0,536,141,9627,1234,10861,-0.00486634,0.028277,-0.999588,0
4026,1254,14,134,0,278,74,5780,629,6409,-0.00853871,0.0314266,-0.999469,0
2452,790,10,90,0,188,50,3580,452,4032,-0.0104675,0.0324977,-0.999417,0
3038,901,12,117,0,246,65,4379,610,4989,-0.00995143,0.0329278,-0.999408,0
5820,1917,27,254,0,522,140,8680,1217,9897,-0.0107053,0.0333836,-0.999385,0
5856,2165,37,389,0,725,190,9362,1343,10705,-0.0123357,0.0321725,-0.999406,0
6488,2119,33,275,0,522,141,9578,1084,10662,-0.0114368,0.0316687,-0.999433,0
5935,1849,30,258,0,546,176,8794,1426,10220,-0.0109653,0.0318367,-0.999433,0
5061,1302,19,173,0,391,99,7045,852,7897,-0.0123727,0.0324749,-0.999396,0
3011,1110,22,170,0,269,72,4654,624,5278,-0.00974952,0.0382411,-0.999221,0
5667,1772,29,239,0,486,131,8324,1095,9419,-0.00948671,0.0412868,-0.999102,0
5915,1758,28,238,0,486,132,8557,954,9511,-0.00802601,0.0448816,-0.99896,0
6386,2028,30,270,0,550,169,9433,1111,10544,-0.00703374,0.0435097,-0.999029,0
5747,1772,30,241,0,492,133,8415,930,9345,-0.00690063,0.0418351,-0.999101,0
6504,1825,29,260,0,502,135,9255,941,10196,-0.00510169,0.0423784,-0.999089,0
5682,1783,29,242,0,494,137,8367,945,9312,-0.00566311,0.0431865,-0.999051,0
5749,1754,21,174,0,342,92,8132,690,8822,-0.00648382,0.0380551,-0.999254,0
6247,1772,31,243,0,493,155,8941,914,9855,-0.00561145,0.0413648,-0.999128,0
6455,2103,32,275,0,562,151,9578,1088,10666,-0.00357344,0.0423224,-0.999098,0
6439,2079,38,277,0,592,154,9579,1115,10694,-0.00526077,0.040313,-0.999173,0
6361,2034,31,275,0,558,150,9409,1073,10482,-0.00942784,0.0396445,-0.999169,0
5217,1253,20,169,0,360,92,7111,710,7821,-0.0100059,0.037971,-0.999229,0
