Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5317,3973,88,461,3733,83,286,13941,1912,15853,0.0181302,0.0488581,-0.998641,0
5923,3990,36,451,2594,33,195,13222,1279,14501,0.0209943,0.0387215,-0.99903,0
2694,1917,17,237,1857,32,136,6890,1023,7913,0.0256727,0.0423678,-0.998772,0
3332,2283,21,293,2568,40,167,8704,1244,9948,0.0244534,0.0381258,-0.998974,0
5134,3474,33,410,3423,58,234,12766,1839,14605,0.0254753,0.0389418,-0.998917,0
3476,2502,22,336,2432,30,186,8984,1283,10267,0.0266175,0.0398359,-0.998852,0
5098,3572,42,536,3522,47,268,13085,1850,14935,0.0266616,0.0443901,-0.998659,0
3522,2415,22,316,2468,33,185,8961,1304,10265,0.0262898,0.0413393,-0.998799,0
5260,3713,45,439,3527,55,247,13286,1506,14792,0.0231362,0.0541326,-0.998265,0
4709,3266,31,412,3182,43,244,11887,1691,13578,0.0188682,0.0549888,-0.998309,0
5182,3591,33,489,3475,53,264,13087,1879,14966,0.0179928,0.0609929,-0.997976,0
3604,2388,23,339,2368,46,159,8927,1307,10234,0.0186126,0.0656099,-0.997672,0
4777,3208,31,426,3127,51,209,11829,1735,13564,0.0167236,0.0665435,-0.997643,0
3551,2268,20,269,2250,35,176,8569,1206,9775,0.01894,0.065603,-0.997666,0
4352,2910,28,382,2934,45,187,10838,1540,12378,0.0208438,0.0660347,-0.9976,0
4397,3009,46,451,2904,46,198,11051,1556,12607,0.0169213,0.0672364,-0.997593,0
4357,2915,27,412,2937,41,174,10863,1460,12323,0.0192576,0.0728768,-0.997155,0
2518,1682,16,207,1646,21,120,6210,926,7136,0.0177797,0.0723605,-0.99722,0
5411,3788,36,434,3607,93,262,13631,1876,15507,0.0223895,0.0664785,-0.997537,0
3114,1935,18,235,1517,20,110,6949,792,7741,0.0194156,0.0675011,-0.99753,0
1634,1088,11,138,1058,17,89,4035,524,4559,0.0220088,0.0647515,-0.997658,0
1921,1265,13,171,1243,15,93,4721,694,5415,0.0210037,0.0656032,-0.997625,0
5339,3547,40,429,3703,64,243,13365,1864,15229,0.0206163,0.0688016,-0.997417,0
5580,3961,31,443,3124,41,181,13361,1116,14477,0.021935,0.0668152,-0.997524,0
2826,1907,17,244,1924,24,134,7076,972,8048,0.0194399,0.0647725,-0.997711,0
5306,3490,34,416,3478,72,228,13024,1892,14916,0.0247928,0.0627472,-0.997721,0
3682,2096,26,217,1818,23,120,7982,974,8956,0.023724,0.0659724,-0.997539,0
1877,1245,11,143,1158,14,69,4517,577,5094,0.0226705,0.0613764,-0.997857,0
2786,1859,17,234,1826,36,175,6933,1011,7944,0.0253405,0.0636981,-0.997647,0
5331,3611,34,484,3473,53,259,13245,1626,14871,0.0200387,0.0657548,-0.997634,0
3644,2514,24,322,2465,43,181,9193,1283,10476,0.0236925,0.0649186,-0.997609,0
3390,2349,22,302,2332,44,149,8588,1180,9768,0.0201389,0.0703625,-0.997318,0
4766,3230,33,408,3144,45,257,11883,1660,13543,0.0181935,0.0716566,-0.997264,0
4990,3162,30,451,3093,61,259,12046,1198,13244,0.0205152,0.0725948,-0.99715,0
3768,2284,23,363,2186,45,170,8839,1270,10109,0.0185158,0.0704047,-0.997347,0
5325,3616,35,582,5019,64,318,14959,1914,16873,0.0190995,0.0674181,-0.997542,0
5615,4358,38,481,2718,51,167,13428,1288,14716,0.0197991,0.06529,-0.99767,0
2793,1808,24,209,1785,27,120,6766,978,7744,0.0183746,0.0682376,-0.9975,0
2218,1488,15,170,1289,16,82,5278,666,5944,0.0193658,0.0683538,-0.997473,0
6329,3555,32,409,3542,63,280,14210,1949,16159,0.0146904,0.073047,-0.99722,0
4001,2372,18,239,1787,20,108,8545,800,9345,0.0183429,0.070205,-0.997364,0
1879,1208,13,153,1179,17,87,4536,667,5203,0.0193924,0.0678524,-0.997507,0
4765,3498,32,442,3399,49,260,12445,1905,14350,0.0168675,0.0730132,-0.997188,0
5257,3445,34,459,3438,67,266,12966,1898,14864,0.0168591,0.0714475,-0.997302,0
5328,3502,32,454,3431,52,264,13063,1860,14923,0.0201252,0.0710237,-0.997272,0
3635,2394,22,310,2395,36,181,8973,1286,10259,0.017847,0.0697996,-0.997402,0
5415,3897,43,544,3410,46,269,13624,1887,15511,0.0166979,0.0703429,-0.997383,0
5668,3593,33,448,2990,32,154,12918,1377,14295,0.0174192,0.0763962,-0.996925,0
2775,1794,19,216,1760,27,157,6748,973,7721,0.0185297,0.065851,-0.997657,0
4403,3015,29,330,2800,44,217,10838,1622,12460,0.0189062,0.0685658,-0.997467,0
4384,2902,28,351,2896,49,187,10797,1526,12323,0.0217271,0.0650082,-0.997648,0
4708,2990,29,402,2854,45,215,11243,1618,12861,0.0169062,0.0706079,-0.997361,0
3221,2159,21,296,2075,27,144,7943,1130,9073,0.0175736,0.0673888,-0.997572,0
5342,3595,35,454,3419,54,269,13168,1940,15108,0.0177856,0.0705324,-0.997351,0
3616,2422,26,308,2420,53,192,9037,1317,10354,0.0194073,0.0691321,-0.997419,0
4733,3235,33,420,3143,48,236,11848,1826,13674,0.0198454,0.0659274,-0.997627,0
5472,3467,32,462,3071,32,184,12720,1335,14055,0.0215178,0.066019,-0.997586,0
2834,1849,20,241,1787,32,135,6898,1072,7970,0.0182975,0.0688065,-0.997462,0
4746,3097,35,375,3071,41,208,11573,2115,13688,0.0204558,0.0683174,-0.997454,0
5382,3491,34,399,3431,48,226,13011,1856,14867,0.0177242,0.0732177,-0.997158,0
4834,3331,40,561,3417,46,209,12438,1251,13689,0.0121979,0.0707502,-0.99742,0
3376,2346,24,296,2243,33,170,8488,1211,9699,0.0203798,0.069545,-0.99737,0
5329,3553,53,490,3489,52,271,13237,1900,15137,0.0202616,0.0674141,-0.997519,0
5140,3213,32,419,2953,38,187,11982,1413,13395,0.0165709,0.0690472,-0.997476,0
2617,1702,18,199,1681,32,113,6362,953,7315,0.0166108,0.0672075,-0.997601,0
5261,3314,31,415,3122,43,263,12449,1986,14435,0.0174615,0.0679401,-0.997537,0
3425,2264,21,256,2238,32,144,8380,1247,9627,0.0176796,0.0714326,-0.997289,0
4698,2874,28,332,3452,46,207,11637,1516,13153,0.0167916,0.0691799,-0.997462,0
5345,3517,33,449,3446,35,164,12989,1328,14317,0.0184893,0.0677335,-0.997532,0
4998,3490,38,556,3576,77,231,12966,1192,14158,0.0183616,0.067623,-0.997542,0
2624,1699,17,205,1701,23,119,6388,917,7305,0.0192642,0.0661444,-0.997624,0
5343,3409,33,500,3275,40,293,12893,1540,14433,0.019464,0.0698158,-0.99737,0
3679,2455,23,411,3424,43,219,10254,1446,11700,0.0213303,0.0701568,-0.997308,0
3327,2233,21,335,2312,29,169,8426,1239,9665,0.0142467,0.071645,-0.997329,0
5575,3350,32,428,3319,48,271,13023,1750,14773,0.0197539,0.0671424,-0.997548,0
3403,2350,21,277,2326,30,160,8567,1180,9747,0.0165317,0.0693668,-0.997454,0
3547,2291,22,282,2348,29,161,8680,1217,9897,0.0188979,0.0681516,-0.997496,0
3379,2307,22,291,2269,28,170,8466,1232,9698,0.0163863,0.0706642,-0.997366,0
4395,2936,28,390,2865,47,204,10865,1564,12429,0.0165712,0.0697291,-0.997429,0
3242,2208,25,389,3020,37,156,9077,1129,10206,0.0196744,0.0617705,-0.997897,0
3146,2113,24,252,2093,39,143,7810,1126,8936,0.0198796,0.069503,-0.997384,0
4767,3288,47,390,3200,54,216,11962,1687,13649,0.0124265,0.0702707,-0.99745,0
4749,3244,36,424,3158,56,217,11884,1663,13547,0.0222349,0.0616669,-0.997849,0
3916,2332,30,309,2308,47,180,9122,1204,10326,0.0162131,0.0693531,-0.99746,0
5899,4060,39,524,3582,54,262,14420,1906,16326,0.0256438,0.0556151,-0.998123,0
3655,2540,23,305,2383,35,158,9099,1348,10447,0.024057,0.0593543,-0.997947,0
4720,3114,29,370,3049,46,210,11538,1712,13250,0.0223239,0.0612619,-0.997872,0
4827,2993,30,359,2959,39,202,11409,1689,13098,0.0218806,0.0602899,-0.997941,0
4937,3186,31,356,3066,62,202,11840,1198,13038,0.0225143,0.065295,-0.997612,0
4371,2859,29,326,2731,57,181,10554,1520,12074,0.0242183,0.0589818,-0.997965,0
5001,3229,30,362,3050,42,202,11916,1765,13681,0.0237938,0.0563103,-0.99813,0
4650,3090,37,433,3059,53,247,11569,1817,13386,0.026218,0.0577233,-0.997988,0
4668,3203,37,427,3049,58,202,11644,1723,13367,0.0247776,0.0562128,-0.998111,0
5392,3513,33,417,3325,59,233,12972,1844,14816,0.0276534,0.0568484,-0.998,0
4255,2251,22,314,1975,32,119,8968,930,9898,0.0239565,0.0569901,-0.998087,0
2111,1185,13,150,1173,17,90,4739,629,5368,0.024602,0.0514462,-0.998373,0
1643,1099,11,138,1080,15,70,4056,600,4656,0.0286443,0.0533939,-0.998163,0
4662,3166,36,410,3024,57,236,11591,1664,13255,0.027278,0.0526056,-0.998243,0
4662,3074,32,474,3136,62,241,11681,1728,13409,0.0292252,0.050732,-0.998285,0
4707,3127,30,429,2946,44,232,11515,1684,13199,0.0281114,0.0487966,-0.998413,0
5237,3135,37,416,2946,59,223,12053,1723,13776,0.0278635,0.0498394,-0.998368,0
5353,3210,33,417,2679,41,165,11898,1286,13184,0.0271931,0.0467944,-0.998534,0
3271,1655,18,216,1572,27,125,6884,1060,7944,0.0283694,0.0475042,-0.998468,0
4854,2744,37,392,2633,47,240,10947,1672,12619,0.0291217,0.0497378,-0.998338,0
