Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5005,3474,88,407,3238,57,306,12575,2194,14769,-0.0238148,0.0667746,-0.997484,0
6740,2273,24,283,1924,22,117,11383,970,12353,-0.0302107,0.0690462,-0.997156,0
2496,1743,17,201,1752,19,116,6344,933,7277,-0.0114924,0.0550593,-0.998417,0
4828,3375,35,431,3125,33,212,12039,1777,13816,-0.0154046,0.0584297,-0.998173,0
4325,3493,34,346,2747,22,138,11105,1138,12243,-0.0172478,0.0641169,-0.997793,0
3825,2751,27,316,2620,28,176,9743,1431,11174,-0.023535,0.0694288,-0.997309,0
4656,3874,35,387,3192,39,227,12410,1765,14175,-0.0250832,0.0697583,-0.997248,0
4793,3280,36,387,3064,25,152,11737,1274,13011,-0.0228488,0.0723048,-0.997121,0
3265,2184,24,326,2236,25,151,8211,1208,9419,-0.0265265,0.0726033,-0.997008,0
4805,3313,35,442,3253,35,215,12098,1785,13883,-0.01602,0.0573202,-0.998227,0
4699,3281,35,382,3090,31,194,11712,1687,13399,-0.0291213,0.0704258,-0.997092,0
4268,3026,38,342,2930,31,195,10830,1569,12399,-0.0202317,0.0566889,-0.998187,0
4258,2913,32,342,2845,30,190,10610,1596,12206,-0.0288739,0.0636116,-0.997557,0
4731,3295,33,382,3212,34,215,11902,1808,13710,-0.019891,0.0682847,-0.997468,0
4865,3336,34,381,3236,42,216,12110,1772,13882,-0.0290053,0.0618465,-0.997664,0
4719,3261,34,401,3222,36,215,11888,1774,13662,-0.0222065,0.0802907,-0.996524,0
4428,2268,23,267,2126,18,115,9245,925,10170,-0.014788,0.0554276,-0.998353,0
2011,1399,15,164,1374,14,92,5069,759,5828,-0.0274862,0.0709814,-0.997099,0
4626,3179,31,344,3046,32,196,11454,1579,13033,-0.0179424,0.0596533,-0.998058,0
4616,3221,34,406,3275,36,216,11804,1763,13567,-0.0275247,0.0691483,-0.997227,0
5190,3243,34,386,3370,36,218,12477,1764,14241,-0.0247942,0.0581098,-0.998002,0
4847,3233,49,380,3357,31,151,12048,1253,13301,-0.0219907,0.0689167,-0.99738,0
2638,1706,15,164,1354,14,91,5982,756,6738,-0.0132772,0.0591816,-0.998159,0
1688,1167,16,140,1150,12,77,4250,629,4879,-0.0128213,0.0506581,-0.998634,0
5164,3380,43,442,3160,61,216,12466,1746,14212,-0.0254587,0.0698032,-0.997236,0
4858,3215,34,380,3180,35,262,11964,1994,13958,-0.0250523,0.0730004,-0.997017,0
4673,3382,35,386,3167,34,214,11891,1752,13643,-0.00595408,0.0590902,-0.998235,0
4649,3553,36,431,3411,35,219,12334,1774,14108,-0.0238559,0.0681793,-0.997388,0
3221,2301,24,276,2181,23,148,8174,1209,9383,-0.0160231,0.0603333,-0.99805,0
5348,3297,46,498,3153,35,217,12594,1744,14338,-0.0190235,0.0638187,-0.99778,0
4793,3269,34,383,3522,36,226,12263,1207,13470,-0.0193028,0.0571268,-0.99818,0
3226,2229,23,262,2179,22,147,8088,1211,9299,-0.0239655,0.0753306,-0.99687,0
4720,3233,33,383,3209,35,220,11833,1742,13575,-0.0252084,0.0722194,-0.99707,0
4785,3308,40,383,3196,35,222,11969,1778,13747,-0.0248871,0.0638414,-0.99765,0
4773,3253,35,389,3547,37,220,12254,1896,14150,-0.00823315,0.0414596,-0.999106,0
4001,2254,22,263,1904,18,113,8575,935,9510,-0.0173455,0.0496813,-0.998615,0
2016,1412,14,162,1385,14,92,5095,664,5759,-0.0279764,0.0642732,-0.99754,0
4962,3487,37,388,3114,33,213,12234,1773,14007,-0.0175749,0.0507072,-0.998559,0
4717,3254,34,382,3144,36,227,11794,1804,13598,-0.0304463,0.0628489,-0.997559,0
4743,3355,33,390,3217,34,218,11990,1759,13749,-0.028414,0.0707481,-0.997089,0
3271,2298,24,266,2270,24,149,8302,1208,9510,-0.0183728,0.0554856,-0.99829,0
4307,2914,32,364,3008,30,196,10851,1597,12448,-0.0239885,0.0628448,-0.997735,0
4221,2949,32,347,2945,35,198,10727,1657,12384,-0.0265438,0.0719353,-0.997056,0
4753,3297,34,386,3198,35,215,11918,1770,13688,-0.0187176,0.058573,-0.998108,0
4172,3051,29,343,2947,41,204,10787,1598,12385,-0.0275158,0.0676918,-0.997327,0
5183,3736,36,382,3433,24,148,12942,1218,14160,-0.0199573,0.0595177,-0.998028,0
3246,2237,23,263,2178,25,149,8121,1209,9330,-0.0250874,0.0715675,-0.99712,0
4803,3311,35,390,3205,34,219,11997,1780,13777,-0.0273663,0.0714679,-0.997067,0
4742,3399,32,385,3280,35,219,12092,1571,13663,-0.0172472,0.0545496,-0.998362,0
5371,3214,33,407,3276,35,217,12553,1814,14367,-0.020764,0.077839,-0.99675,0
4845,3304,23,264,2220,24,147,10827,1254,12081,-0.025777,0.0619374,-0.997747,0
2529,1723,18,199,1688,25,115,6297,949,7246,-0.024238,0.0631539,-0.997709,0
4815,3283,35,389,3170,35,227,11954,1747,13701,-0.0282966,0.0698471,-0.997156,0
4948,3644,35,434,3409,36,219,12725,1217,13942,-0.0238702,0.0652544,-0.997583,0
3325,2312,24,266,2324,25,150,8426,1211,9637,-0.0272419,0.0679898,-0.997314,0
4711,3379,34,395,3267,39,216,12041,1965,14006,-0.0256384,0.0612651,-0.997792,0
3276,1923,20,205,1679,24,113,7240,963,8203,-0.0268858,0.0582032,-0.997943,0
2001,1416,15,163,1345,14,92,5046,751,5797,-0.0285137,0.0655689,-0.997441,0
4836,3287,33,384,3220,34,216,12010,1775,13785,-0.0188316,0.0695604,-0.9974,0
4830,3316,57,758,3166,36,220,12383,1856,14239,-0.0253521,0.0698946,-0.997232,0
4827,3359,37,391,3352,38,222,12226,1771,13997,-0.0271811,0.0645647,-0.997543,0
3257,2258,23,265,2191,22,147,8163,1246,9409,-0.0221868,0.065831,-0.997584,0
