Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5953,2118,91,292,2000,49,152,10655,1776,12431,0.069751,0.0626319,-0.995596,0
5886,2037,29,265,1979,49,151,10396,1782,12178,0.0471652,0.0642065,-0.996822,0
5960,2023,27,261,2155,80,226,10732,2028,12760,0.0481938,0.0771896,-0.995851,0
5941,2013,34,341,1942,45,151,10467,1682,12149,0.0422451,0.0799613,-0.995902,0
5309,2162,35,362,2109,49,142,10168,1681,11849,0.0456159,0.0734135,-0.996258,0
5263,1829,27,235,1799,39,135,9327,1572,10899,0.0625268,0.0545489,-0.996552,0
5378,1848,26,279,1809,47,137,9524,1589,11113,0.0535222,0.065875,-0.996391,0
5317,1811,26,235,1839,46,138,9412,1571,10983,0.0405626,0.0809665,-0.995891,0
6022,2095,28,268,1951,43,146,10553,1821,12374,0.0575466,0.0587322,-0.996614,0
5926,2005,29,264,1960,43,174,10401,1764,12165,0.0557685,0.064474,-0.99636,0
6441,2071,28,269,1979,51,154,10993,1816,12809,0.0352757,0.0827301,-0.995948,0
4160,1115,15,140,1055,24,79,6588,944,7532,0.0543951,0.0645873,-0.996428,0
2137,732,10,94,773,24,61,3831,582,4413,0.0515882,0.0629763,-0.996681,0
1933,692,23,102,660,15,49,3474,600,4074,0.0553972,0.0582204,-0.996766,0
6016,2061,28,267,2337,69,202,10980,1863,12843,0.0539508,0.0650069,-0.996425,0
5937,2146,29,269,2031,48,151,10611,1781,12392,0.0504822,0.0697132,-0.996289,0
5262,1892,27,284,1916,46,139,9566,1571,11137,0.0543278,0.0650465,-0.996402,0
5422,1871,26,240,1898,44,145,9646,1586,11232,0.0365129,0.081457,-0.996008,0
3910,1314,18,168,1395,51,134,6990,1136,8126,0.0462097,0.0687492,-0.996563,0
5871,2069,28,280,2044,46,152,10490,1800,12290,0.0576842,0.0465823,-0.997248,0
5924,2066,27,265,2027,60,200,10569,1775,12344,0.0405406,0.0841487,-0.995628,0
5299,1870,26,247,1771,39,131,9383,1614,10997,0.0487644,0.068545,-0.996456,0
5294,1989,33,335,1903,41,138,9733,1652,11385,0.0552447,0.0684323,-0.996125,0
