Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5919,4180,79,497,4012,90,268,15045,1621,16666,-0.00905021,-0.00443215,-0.999949,0
4012,2826,23,326,2755,52,189,10183,1229,11412,-0.00858819,-0.00234863,-0.99996,0
5219,3710,30,430,3644,74,242,13349,1622,14971,-0.00652648,-0.0012114,-0.999978,0
3831,2575,21,322,2623,54,175,9601,1154,10755,-0.00898858,-0.00305205,-0.999955,0
5114,3366,55,387,3408,68,220,12618,1477,14095,-0.00888042,-0.00207002,-0.999958,0
4459,3073,30,373,2995,50,214,11194,1379,12573,-0.00871978,-0.00309636,-0.999957,0
4533,3139,24,356,3074,50,204,11380,1377,12757,-0.0100892,-0.0050247,-0.999936,0
4414,2975,24,358,2940,50,199,10960,1369,12329,-0.0105592,-0.00538439,-0.99993,0
4355,2972,25,350,3009,62,202,10975,1331,12306,-0.0092529,-0.00496715,-0.999945,0
5919,4133,34,486,3968,65,268,14873,1700,16573,-0.0105333,-0.00547598,-0.99993,0
4117,2799,23,325,2748,48,185,10245,1246,11491,-0.00879902,-0.00516158,-0.999948,0
4110,2908,24,327,2786,45,187,10387,1224,11611,-0.0097527,-0.00791949,-0.999921,0
6003,4039,32,489,3981,67,277,14888,1246,16134,-0.00834423,-0.00177627,-0.999964,0
4039,2782,23,327,2783,70,187,10211,1221,11432,-0.00833772,-0.00321952,-0.99996,0
5817,4050,33,480,3973,66,290,14709,1590,16299,-0.00810804,0.0019579,-0.999965,0
4065,2776,23,325,3122,57,188,10556,1222,11778,-0.00907272,-0.00255575,-0.999956,0
5868,4076,33,474,3721,55,186,14413,1219,15632,-0.00877032,-0.00104648,-0.999961,0
4111,3096,23,367,2732,58,189,10576,1223,11799,-0.00806573,0.000739566,-0.999967,0
5788,4033,33,477,3713,48,184,14276,1228,15504,-0.00716758,-0.00368241,-0.999967,0
4116,2741,23,321,2721,53,183,10158,1227,11385,-0.00707912,-0.00667689,-0.999953,0
5581,3564,30,429,3494,64,242,13404,1587,14991,-0.0111075,-0.024021,-0.99965,0
5403,3561,28,426,3590,66,242,13316,1628,14944,-0.0126666,-0.0438235,-0.998959,0
4860,3257,25,379,3173,40,220,11954,1497,13451,-0.0141356,-0.0556581,-0.99835,0
6014,3949,30,469,3865,64,269,14660,1984,16644,-0.0242168,-0.0994123,-0.994752,0
4040,2030,18,239,1999,36,129,8491,791,9282,-0.0188911,-0.0880231,-0.995939,0
2137,1365,9,143,1200,19,81,4954,550,5504,-0.0119412,-0.0788254,-0.996817,0
2604,1661,14,200,1661,27,116,6283,803,7086,-0.0222911,-0.060662,-0.99791,0
6159,4085,32,484,4079,63,277,15179,1753,16932,-0.033258,-0.0498352,-0.998204,0
6216,4151,23,374,2866,36,197,13863,1222,15085,-0.0442885,-0.0394929,-0.998238,0
3232,2233,17,265,2227,24,149,8147,949,9096,-0.0371707,-0.0211936,-0.999084,0
6421,4302,32,544,3438,38,205,14980,1268,16248,-0.0582734,-0.00636136,-0.99828,0
4382,3068,22,379,3078,40,212,11181,1269,12450,-0.0600762,-0.024343,-0.997897,0
4202,3797,44,541,3230,52,215,12081,1248,13329,-0.0491043,-0.0533673,-0.997367,0
6236,4774,35,597,4462,41,220,16365,1231,17596,-0.0395764,-0.0799133,-0.996016,0
4256,3393,23,402,3372,50,225,11721,1103,12824,-0.0413326,-0.117418,-0.992222,0
3989,3267,24,378,3156,37,213,11064,1186,12250,-0.0237878,-0.137306,-0.990243,0
5166,4099,27,477,4045,64,271,14149,1334,15483,-0.0308171,-0.206986,-0.977858,0
3716,2952,21,336,2880,45,199,10149,1094,11243,0.00549166,-0.209519,-0.977789,0
7026,4404,32,522,4381,70,289,16724,1385,18109,0.0391527,-0.292168,-0.955565,0
3958,2682,24,310,2557,48,174,9753,1234,10987,0.0166858,-0.411543,-0.911238,0
5479,3009,32,436,3003,74,215,12248,1807,14055,-0.00414644,-0.540688,-0.841214,0
3619,1779,20,229,1736,36,130,7549,1279,8828,-0.0330412,-0.663417,-0.74752,0
5302,3008,31,403,2880,64,211,11899,1770,13669,-0.069231,-0.683211,-0.726932,0
5244,3045,32,368,2925,66,210,11890,-1000,-1000,-1,-1,-1,0
5368,2863,30,358,2829,49,208,11705,-1000,-1000,-1,-1,-1,0
3668,2086,20,255,2031,37,158,8255,-1000,-1000,-1,-1,-1,0
5350,3081,31,378,3090,65,215,12210,-1000,-1000,-1,-1,-1,0
5422,3060,31,369,3036,98,207,12223,-1000,-1000,-1,-1,-1,0
3835,1969,20,245,1864,44,129,8106,-1000,-1000,-1,-1,-1,0
5582,2637,28,323,2598,63,183,11414,-1000,-1000,-1,-1,-1,0
5602,2176,30,306,2131,73,157,10475,-1000,-1000,-1,-1,-1,0
3875,1205,15,129,992,34,71,6321,947,7268,-0.107341,0.651065,-0.751394,0
2365,743,11,87,656,23,46,3931,653,4584,-0.0912876,0.304868,-0.94801,0
2314,949,12,119,927,21,67,4409,717,5126,-0.0614083,0.0838816,-0.994582,0
6201,3755,30,440,3573,66,252,14317,1833,16150,-0.0081539,-0.235076,-0.971943,0
6106,3728,22,313,2583,42,177,12971,1228,14199,0.00870948,-0.25558,-0.966749,0
3321,2169,16,253,2206,36,144,8145,963,9108,0.00940387,-0.286105,-0.958152,0
6173,3844,27,448,3560,49,217,14318,1179,15497,-0.0326444,-0.313146,-0.949144,0
4069,2726,20,318,2740,48,196,10117,1170,11287,-0.1958,-0.289576,-0.936914,0
6556,4572,29,577,4578,86,316,16714,1297,18011,-0.27287,-0.385111,-0.881607,0
4460,3254,20,375,3170,47,212,11538,1223,12761,-0.262212,-0.589766,-0.76382,0
5227,2965,28,355,2856,42,198,11671,-1000,-1000,-1,-1,-1,0
4971,2313,28,331,2204,52,160,10059,-1000,-1000,-1,-1,-1,0
5030,2716,26,344,2643,66,187,11012,-1000,-1000,-1,-1,-1,0
