Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5255,366,131,75,179,73,24,6103,1780,7883,-0.0436708,-0.100224,-0.994006,0
4961,220,29,50,178,51,23,5512,1742,7254,-0.0536654,-0.0637552,-0.996521,0
4948,217,31,49,170,46,22,5483,1740,7223,-0.0463972,-0.116848,-0.992066,0
4903,206,28,46,160,50,22,5415,1761,7176,-0.0308809,-0.117091,-0.992641,0
5070,209,28,47,161,48,22,5585,1855,7440,-0.0322749,-0.120971,-0.992131,0
5396,225,29,53,177,52,24,5956,1785,7741,-0.0353922,-0.0862516,-0.995645,0
5078,214,28,50,167,40,23,5600,1744,7344,-0.0430553,-0.115915,-0.992326,0
4967,208,51,48,159,49,22,5504,1787,7291,-0.0576531,-0.114757,-0.991719,0
4986,232,27,50,169,48,23,5535,1742,7277,-0.0341027,-0.117755,-0.992457,0
4964,205,29,47,184,48,25,5502,1739,7241,-0.0708941,-0.118543,-0.990415,0
5069,214,28,61,179,52,29,5632,1740,7372,-0.0570605,-0.103209,-0.993021,0
4967,236,30,49,167,43,23,5515,1747,7262,-0.0332642,-0.130661,-0.990869,0
5361,222,29,48,173,51,22,5906,1744,7650,-0.0596623,-0.123135,-0.990595,0
5028,227,28,49,173,41,22,5568,1882,7450,-0.0549609,-0.113015,-0.992072,0
5139,250,28,51,199,79,34,5780,1790,7570,-0.0265551,-0.124528,-0.991861,0
5325,221,35,64,212,52,28,5937,1542,7479,-0.0503728,-0.133407,-0.98978,0
3678,156,20,34,124,29,15,4056,1256,5312,-0.0382801,-0.131293,-0.990604,0
4615,193,25,45,147,38,20,5083,1697,6780,-0.0351048,-0.150284,-0.98802,0
5736,220,28,52,170,47,22,6275,1801,8076,-0.0532088,-0.130167,-0.990064,0
5166,207,28,49,159,45,29,5683,1769,7452,-0.035302,-0.15939,-0.986585,0
5232,220,28,50,168,49,22,5769,1742,7511,-0.0429129,-0.130925,-0.990463,0
5134,203,29,71,160,47,23,5667,1742,7409,-0.0290237,-0.149751,-0.988298,0
5143,213,27,48,164,47,22,5664,1768,7432,-0.0553531,-0.146235,-0.9877,0
5014,218,30,48,201,44,25,5580,1756,7336,-0.0461693,-0.148869,-0.987779,0
5232,215,29,51,165,45,22,5759,1743,7502,-0.0264071,-0.169736,-0.985136,0
4968,219,28,46,202,44,25,5532,1743,7275,-0.0264909,-0.169893,-0.985107,0
4952,266,28,47,164,47,22,5526,1752,7278,-0.0339197,-0.158403,-0.986792,0
4523,146,21,32,113,35,15,4885,1240,6125,-0.0406571,-0.154505,-0.987155,0
5236,215,39,49,165,42,22,5768,1817,7585,-0.0747534,-0.134472,-0.988094,0
5313,226,28,50,173,45,23,5858,1741,7599,-0.0627315,-0.141868,-0.987896,0
3471,154,20,33,142,35,19,3874,1220,5094,-0.0602427,-0.135978,-0.988879,0
3563,146,21,32,111,33,15,3921,1287,5208,-0.0438583,-0.156698,-0.986672,0
5128,212,29,47,158,47,23,5644,1804,7448,-0.033913,-0.154262,-0.987447,0
5202,222,28,49,171,58,35,5765,1821,7586,-0.0312606,-0.1753,-0.984018,0
5158,258,28,52,207,58,39,5800,1771,7571,-0.0619734,-0.155069,-0.985958,0
5089,211,28,46,167,49,22,5612,1808,7420,-0.0470732,-0.183673,-0.981859,0
5153,217,35,56,164,47,24,5696,1508,7204,-0.0584477,-0.158433,-0.985638,0
2594,108,16,25,83,23,11,2860,947,3807,-0.019113,-0.194784,-0.98066,0
2125,90,14,20,69,18,12,2348,782,3130,-0.0521384,-0.163226,-0.98521,0
5191,206,29,49,184,46,28,5733,1741,7474,-0.0342997,-0.183046,-0.982506,0
5158,216,28,50,172,45,22,5691,1756,7447,-0.0167228,-0.184666,-0.982659,0
5362,288,40,70,237,69,34,6100,1925,8025,-0.0495607,-0.183962,-0.981683,0
4991,208,29,47,161,43,21,5500,1742,7242,-0.031676,-0.181793,-0.982827,0
4890,216,30,46,168,45,22,5417,1937,7354,-0.0227514,-0.177903,-0.983785,0
4971,209,28,46,157,43,22,5476,1763,7239,-0.036036,-0.186362,-0.98182,0
5115,210,26,50,162,39,22,5624,1773,7397,-0.0354071,-0.161458,-0.986244,0
4952,214,28,49,165,41,23,5472,1743,7215,-0.0321041,-0.165144,-0.985747,0
4936,202,28,49,154,44,22,5435,1749,7184,-0.034374,-0.185942,-0.981959,0
3429,144,20,32,107,29,15,3776,1225,5001,-0.0299758,-0.179126,-0.983369,0
4065,162,39,40,128,37,18,4489,1427,5916,-0.0441091,-0.170584,-0.984356,0
4999,228,29,48,156,44,22,5526,1780,7306,-0.0538904,-0.156692,-0.986176,0
5105,211,29,49,203,52,28,5677,1859,7536,-0.070345,-0.173986,-0.982233,0
5561,217,28,49,166,61,26,6108,2049,8157,-0.042455,-0.163954,-0.985554,0
5158,201,39,49,151,42,21,5661,1804,7465,-0.0376694,-0.165321,-0.98552,0
5079,220,38,50,178,48,27,5640,1821,7461,-0.0277193,-0.177661,-0.983701,0
4972,220,28,50,205,51,29,5555,1742,7297,-0.0369702,-0.17846,-0.983252,0
4888,210,29,46,162,46,22,5403,1830,7233,-0.0415374,-0.169116,-0.98472,0
4972,228,29,48,161,40,23,5501,1783,7284,-0.0393107,-0.161546,-0.986082,0
5163,209,29,47,159,49,21,5677,1836,7513,-0.0145655,-0.1766,-0.984175,0
5005,253,30,49,160,44,22,5563,1760,7323,-0.0269892,-0.182543,-0.982827,0
5042,209,29,48,166,44,22,5560,1740,7300,-0.0240484,-0.171444,-0.9849,0
5129,247,28,66,177,47,27,5721,1807,7528,-0.0128318,-0.180378,-0.983514,0
5060,210,27,48,156,47,22,5570,2224,7794,-0.0232124,-0.171827,-0.984854,0
5241,212,27,48,162,39,23,5752,1807,7559,-0.0276542,-0.169088,-0.985213,0
4967,214,29,52,156,44,22,5484,1753,7237,-0.0253064,-0.161678,-0.986519,0
5162,214,28,48,161,44,22,5679,1816,7495,-0.0393053,-0.16741,-0.985103,0
4984,210,29,49,156,44,22,5494,1782,7276,-0.0294653,-0.178911,-0.983424,0
6083,329,36,71,240,63,40,6862,2384,9246,-0.0356953,-0.15384,-0.987451,0
2703,119,17,26,87,25,11,2988,935,3923,-0.0118964,-0.174047,-0.984666,0
5035,221,29,48,166,50,22,5571,1795,7366,-0.0429428,-0.171257,-0.98429,0
5023,220,29,48,152,44,22,5538,1746,7284,-0.0208973,-0.175887,-0.984189,0
5074,214,29,50,177,70,28,5642,1813,7455,-0.0366477,-0.170535,-0.98467,0
5122,220,30,49,172,51,22,5666,1795,7461,-0.0249786,-0.155097,-0.987584,0
5061,211,29,50,164,47,23,5585,1785,7370,-0.0337352,-0.167652,-0.985269,0
5078,226,32,52,170,50,23,5631,1757,7388,-0.0241361,-0.165445,-0.985924,0
5358,237,29,50,162,48,22,5906,1903,7809,-0.010977,-0.167291,-0.985846,0
5041,212,28,50,170,41,22,5564,1784,7348,-0.0289774,-0.170898,-0.984862,0
5187,244,29,71,174,50,24,5779,1741,7520,-0.0637769,-0.146565,-0.987143,0
5122,204,29,49,161,43,22,5630,1752,7382,-0.0528295,-0.148478,-0.987503,0
6077,219,30,51,186,70,39,6672,1767,8439,-0.0487997,-0.143252,-0.988482,0
5109,252,29,50,171,42,22,5675,1741,7416,-0.0323194,-0.155706,-0.987275,0
4954,212,29,50,199,44,28,5516,1878,7394,-0.0211647,-0.16704,-0.985723,0
5097,219,29,50,166,51,22,5634,1758,7392,-0.0261927,-0.170747,-0.984967,0
5060,204,28,47,159,44,22,5564,1762,7326,-0.0356024,-0.159537,-0.98655,0
5013,216,29,50,195,50,25,5578,1810,7388,-0.0247681,-0.178043,-0.983711,0
