Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7814,2627,77,322,2380,73,164,13457,2003,15460,-0.129304,-0.0486647,-0.99041,0
4431,1593,20,205,1523,41,115,7928,1307,9235,-0.110865,-0.018235,-0.993668,0
6507,2042,26,271,2057,46,157,11106,1776,12882,-0.108463,-0.0337347,-0.993528,0
5842,1480,18,210,1370,26,107,9053,1208,10261,-0.114711,-0.0262527,-0.993052,0
3055,1060,16,142,1106,23,83,5485,972,6457,-0.10638,-0.0228469,-0.994063,0
5950,2549,35,274,2007,52,151,11018,1808,12826,-0.110289,-0.0217258,-0.993662,0
5846,2141,27,278,2169,32,110,10603,1208,11811,-0.114222,-0.0140861,-0.993356,0
5306,1396,19,192,1364,29,105,8411,1264,9675,-0.112479,-0.031662,-0.993149,0
5190,1867,24,240,1778,40,139,9278,1597,10875,-0.116413,-0.0235844,-0.992921,0
5194,1767,26,236,1767,49,134,9173,1619,10792,-0.111505,-0.00217199,-0.993762,0
5554,1247,18,168,1501,53,128,8669,1130,9799,-0.100537,0.0319009,-0.994422,0
2863,985,14,134,1037,40,78,5151,898,6049,-0.0978647,0.0315114,-0.994701,0
6839,2343,31,290,2149,55,152,11859,1821,13680,-0.0993107,0.0296989,-0.994613,0
5738,2041,28,263,1951,54,149,10224,1690,11914,-0.100125,0.0240737,-0.994684,0
4184,1482,19,185,1407,36,105,7418,1237,8655,-0.104059,0.0231768,-0.994301,0
3994,1404,18,213,1326,28,118,7101,1301,8402,-0.0988521,0.0255028,-0.994775,0
6410,2011,31,326,1905,27,105,10815,1237,12052,-0.104644,0.0319975,-0.993995,0
4280,1475,20,182,1330,34,102,7423,1211,8634,-0.107307,0.0432569,-0.993285,0
6563,1951,29,257,1902,49,146,10897,1761,12658,-0.103323,0.0424787,-0.993741,0
3661,988,17,136,979,26,75,5882,939,6821,-0.0992617,0.0354853,-0.994429,0
2414,819,11,91,656,17,51,4059,641,4700,-0.107537,0.0381688,-0.993468,0
2728,890,13,118,860,21,66,4696,828,5524,-0.110426,0.0319405,-0.993371,0
