Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5817,1015,6832,16994,23826,-0.0680621,0.0672075,-0.995415,0
0,0,0,0,0,2922,520,3442,11488,14930,-0.0448853,0.044305,-0.998009,0
0,0,0,0,0,1829,300,2129,2495,4624,-0.0389951,0.0390389,-0.998476,0
0,0,0,0,0,5374,1116,6490,5707,12197,-0.0322188,0.0344959,-0.998885,0
0,0,0,0,0,5874,1031,6905,4825,11730,-0.0240449,0.0291902,-0.999285,0
0,0,0,0,0,5858,1023,6881,5946,12827,-0.01982,0.0278735,-0.999415,0
0,0,0,0,0,5998,1033,7031,6404,13435,-0.0172763,0.0274556,-0.999474,0
0,0,0,0,0,3979,732,4711,4444,9155,-0.0151658,0.0262959,-0.999539,0
0,0,0,0,0,5298,865,6163,6282,12445,-0.0152387,0.0276321,-0.999502,0
0,0,0,0,0,5224,865,6089,6453,12542,-0.0135613,0.0269006,-0.999546,0
0,0,0,0,0,5957,967,6924,7373,14297,-0.0138834,0.0263996,-0.999555,0
0,0,0,0,0,4043,671,4714,4976,9690,-0.0188873,0.0296219,-0.999383,0
0,0,0,0,0,6277,1014,7291,6717,14008,-0.0190543,0.0312276,-0.999331,0
0,0,0,0,0,5963,1018,6981,5123,12104,-0.0154317,0.0304766,-0.999416,0
0,0,0,0,0,3641,540,4181,3679,7860,-0.0142998,0.0300227,-0.999447,0
0,0,0,0,0,4880,857,5737,5768,11505,-0.0140148,0.0306682,-0.999431,0
0,0,0,0,0,4884,824,5708,5802,11510,-0.0134803,0.0318776,-0.999401,0
0,0,0,0,0,4432,797,5229,5881,11110,-0.0126649,0.0329089,-0.999378,0
0,0,0,0,0,4627,821,5448,5337,10785,-0.0159053,0.0339463,-0.999297,0
0,0,0,0,0,6029,1065,7094,7159,14253,-0.0141928,0.0345389,-0.999303,0
0,0,0,0,0,4059,731,4790,4901,9691,-0.0147309,0.0351474,-0.999274,0
0,0,0,0,0,4055,693,4748,4635,9383,-0.0111378,0.0332234,-0.999386,0
0,0,0,0,0,5951,1015,6966,7680,14646,-0.0108856,0.0333484,-0.999384,0
0,0,0,0,0,5840,1023,6863,6501,13364,-0.0141413,0.0344133,-0.999308,0
0,0,0,0,0,4048,733,4781,4936,9717,-0.00971909,0.0323818,-0.999428,0
0,0,0,0,0,5875,1087,6962,7737,14699,-0.0109417,0.0316886,-0.999438,0
0,0,0,0,0,5950,1039,6989,7863,14852,-0.0174737,0.0332598,-0.999294,0
0,0,0,0,0,4118,613,4731,3610,8341,-0.0174135,0.0343831,-0.999257,0
0,0,0,0,0,2507,452,2959,2838,5797,-0.0149358,0.0357602,-0.999249,0
0,0,0,0,0,4031,740,4771,5293,10064,-0.0163319,0.0363655,-0.999205,0
0,0,0,0,0,5923,1055,6978,7189,14167,-0.0176736,0.0379778,-0.999122,0
0,0,0,0,0,5306,894,6200,5902,12102,-0.0124537,0.0373667,-0.999224,0
0,0,0,0,0,5373,948,6321,6529,12850,-0.011879,0.040365,-0.999115,0
0,0,0,0,0,5336,925,6261,6460,12721,-0.0127527,0.0405617,-0.999096,0
0,0,0,0,0,4917,860,5777,6503,12280,-0.0135009,0.0401602,-0.999102,0
0,0,0,0,0,5923,1058,6981,7558,14539,-0.0114086,0.0403735,-0.999119,0
0,0,0,0,0,5351,948,6299,7049,13348,-0.0125013,0.0409703,-0.999082,0
0,0,0,0,0,7069,1079,8148,7600,15748,-0.00863172,0.0415557,-0.999099,0
0,0,0,0,0,5335,924,6259,6119,12378,-0.00637919,0.0428496,-0.999061,0
0,0,0,0,0,2552,416,2968,3467,6435,-0.00450482,0.0439212,-0.999025,0
0,0,0,0,0,5962,1024,6986,9499,16485,-0.00335107,0.0450721,-0.998979,0
0,0,0,0,0,3324,539,3863,4496,8359,-0.00211405,0.0463261,-0.998924,0
0,0,0,0,0,2120,365,2485,3513,5998,-0.0112376,0.0453951,-0.998906,0
0,0,0,0,0,5361,914,6275,7712,13987,-0.00531927,0.0454007,-0.998955,0
0,0,0,0,0,6018,1062,7080,9270,16350,-0.0073282,0.0462054,-0.998905,0
0,0,0,0,0,5991,1054,7045,7396,14441,-0.000528017,0.0466319,-0.998912,0
0,0,0,0,0,3851,678,4529,6444,10973,-0.000613245,0.0473534,-0.998878,0
0,0,0,0,0,5987,1093,7080,9677,16757,0.00182585,0.0476235,-0.998864,0
0,0,0,0,0,3801,682,4483,7024,11507,-3.22563e-06,0.0467859,-0.998905,0
0,0,0,0,0,5588,976,6564,9158,15722,-0.00222684,0.0457752,-0.998949,0
0,0,0,0,0,5363,955,6318,8192,14510,-0.00870507,0.0453757,-0.998932,0
0,0,0,0,0,3782,682,4464,6025,10489,-0.0105807,0.0451852,-0.998923,0
0,0,0,0,0,5995,1062,7057,8151,15208,-0.0104143,0.0452716,-0.99892,0
0,0,0,0,0,5346,919,6265,7932,14197,-0.00192057,0.0462796,-0.998927,0
0,0,0,0,0,4910,802,5712,8289,14001,-0.00615824,0.0456465,-0.998939,0
0,0,0,0,0,4872,852,5724,7645,13369,-0.00034235,0.0465752,-0.998915,0
0,0,0,0,0,4854,858,5712,8540,14252,3.43503e-05,0.0462708,-0.998929,0
0,0,0,0,0,6022,1058,7080,9686,16766,-0.00291488,0.0455667,-0.998957,0
