Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5991,1009,7000,17029,24029,-0.0401798,0.147921,-0.988183,0
0,0,0,0,0,2353,422,2775,24920,27695,-0.0377109,0.1038,-0.993883,0
0,0,0,0,0,1211,262,1473,14405,15878,-0.0305644,0.0873106,-0.995712,0
0,0,0,0,0,1272,221,1493,14195,15688,-0.0248811,0.0808436,-0.996416,0
0,0,0,0,0,1638,303,1941,17808,19749,-0.0194821,0.079755,-0.996624,0
0,0,0,0,0,1825,320,2145,19919,22064,-0.0160631,0.079219,-0.996728,0
0,0,0,0,0,5301,979,6280,30850,37130,-0.0140734,0.0794317,-0.996741,0
0,0,0,0,0,1756,255,2011,13274,15285,-0.0124426,0.0796219,-0.996748,0
0,0,0,0,0,1253,251,1504,14054,15558,-0.0126718,0.0795508,-0.99675,0
0,0,0,0,0,1628,281,1909,17691,19600,-0.0132607,0.0790008,-0.996786,0
0,0,0,0,0,1776,310,2086,19592,21678,-0.0132554,0.0790475,-0.996783,0
0,0,0,0,0,1562,273,1835,16950,18785,-0.0130466,0.0793506,-0.996761,0
0,0,0,0,0,1620,269,1889,16388,18277,-0.0121112,0.0793714,-0.996771,0
0,0,0,0,0,5382,942,6324,36772,43096,-0.0126192,0.0785037,-0.996834,0
0,0,0,0,0,1657,289,1946,14665,16611,-0.0127338,0.078957,-0.996797,0
0,0,0,0,0,1168,208,1376,13183,14559,-0.0122201,0.0790075,-0.996799,0
0,0,0,0,0,1161,305,1466,12853,14319,-0.0120275,0.0787972,-0.996818,0
0,0,0,0,0,1933,291,2224,18151,20375,-0.0123823,0.0788587,-0.996809,0
0,0,0,0,0,5821,961,6782,35158,41940,-0.0132193,0.0787089,-0.99681,0
0,0,0,0,0,6314,939,7253,34938,42191,-0.0126879,0.0788508,-0.996806,0
0,0,0,0,0,1680,258,1938,14214,16152,-0.0116952,0.0791015,-0.996798,0
0,0,0,0,0,1220,209,1429,12942,14371,-0.0110952,0.0786255,-0.996842,0
0,0,0,0,0,1309,284,1593,13357,14950,-0.0108895,0.0783399,-0.996867,0
0,0,0,0,0,1550,281,1831,17053,18884,-0.0123464,0.0784564,-0.996841,0
0,0,0,0,0,1710,301,2011,18862,20873,-0.0129484,0.0783063,-0.996845,0
0,0,0,0,0,1658,292,1950,18015,19965,-0.0117094,0.0792397,-0.996787,0
0,0,0,0,0,1665,288,1953,18297,20250,-0.0115904,0.0778502,-0.996898,0
0,0,0,0,0,1850,324,2174,20119,22293,-0.0117035,0.0782418,-0.996866,0
0,0,0,0,0,1597,282,1879,17349,19228,-0.0116799,0.0783554,-0.996857,0
0,0,0,0,0,5347,983,6330,30665,36995,-0.0116155,0.0785466,-0.996843,0
0,0,0,0,0,1295,242,1537,13215,14752,-0.0114255,0.078337,-0.996862,0
0,0,0,0,0,5501,943,6444,30420,36864,-0.0114601,0.0779303,-0.996893,0
0,0,0,0,0,1658,228,1886,13251,15137,-0.0112534,0.0781635,-0.996877,0
0,0,0,0,0,5429,934,6363,34475,40838,-0.0114137,0.0781774,-0.996874,0
0,0,0,0,0,1756,259,2015,14132,16147,-0.0112394,0.0780023,-0.99689,0
0,0,0,0,0,1165,204,1369,12868,14237,-0.0111418,0.0782856,-0.996869,0
0,0,0,0,0,1161,206,1367,12857,14224,-0.0115833,0.078076,-0.99688,0
0,0,0,0,0,4892,868,5760,30690,36450,-0.0115155,0.0779567,-0.99689,0
0,0,0,0,0,1508,230,1738,13632,15370,-0.0116845,0.0781114,-0.996876,0
0,0,0,0,0,1340,234,1574,14811,16385,-0.0112613,0.0776717,-0.996915,0
0,0,0,0,0,1614,291,1905,17610,19515,-0.0116404,0.0773099,-0.996939,0
0,0,0,0,0,6380,944,7324,29072,36396,-0.0112849,0.0776719,-0.996915,0
0,0,0,0,0,1306,228,1534,12991,14525,-0.0116534,0.0780679,-0.99688,0
0,0,0,0,0,1619,281,1900,17428,19328,-0.011788,0.0784766,-0.996846,0
0,0,0,0,0,1785,310,2095,19515,21610,-0.011152,0.078278,-0.996869,0
0,0,0,0,0,1554,275,1829,16952,18781,-0.0104804,0.0782025,-0.996883,0
0,0,0,0,0,1724,299,2023,18849,20872,-0.00992043,0.0779229,-0.99691,0
0,0,0,0,0,1909,346,2255,24362,26617,-0.0105292,0.0776436,-0.996926,0
0,0,0,0,0,1449,247,1696,14236,15932,-0.0109609,0.0771937,-0.996956,0
0,0,0,0,0,1265,223,1488,13791,15279,-0.0103257,0.0773489,-0.996951,0
0,0,0,0,0,1265,223,1488,13549,15037,-0.00992365,0.0774779,-0.996945,0
0,0,0,0,0,1269,224,1493,13826,15319,-0.0101809,0.0775086,-0.99694,0
0,0,0,0,0,1644,294,1938,18028,19966,-0.00965624,0.0775384,-0.996943,0
0,0,0,0,0,2117,338,2455,19996,22451,-0.00990787,0.0776241,-0.996933,0
0,0,0,0,0,5353,930,6283,35595,41878,-0.0117998,0.0771439,-0.99695,0
0,0,0,0,0,1869,270,2139,14349,16488,-0.011561,0.0776843,-0.996911,0
0,0,0,0,0,1211,204,1415,12837,14252,-0.0122132,0.0779955,-0.996879,0
0,0,0,0,0,1240,216,1456,13767,15223,-0.0116991,0.078131,-0.996874,0
0,0,0,0,0,2104,368,2472,22795,25267,-0.0114031,0.0783665,-0.99686,0
0,0,0,0,0,1778,312,2090,18919,21009,-0.0116859,0.078171,-0.996872,0
0,0,0,0,0,1546,275,1821,16908,18729,-0.0115615,0.0786336,-0.996837,0
0,0,0,0,0,1765,301,2066,18760,20826,-0.0114422,0.0788026,-0.996825,0
0,0,0,0,0,2175,380,2555,23204,25759,-0.0109466,0.0783728,-0.996864,0
0,0,0,0,0,1629,283,1912,16970,18882,-0.0111972,0.0785325,-0.996849,0
0,0,0,0,0,4792,838,5630,30638,36268,-0.0105717,0.0785015,-0.996858,0
0,0,0,0,0,1351,228,1579,13330,14909,-0.0118724,0.0782401,-0.996864,0
0,0,0,0,0,1496,256,1752,15941,17693,-0.0119097,0.0778641,-0.996893,0
0,0,0,0,0,1601,346,1947,17670,19617,-0.0123262,0.0774531,-0.99692,0
0,0,0,0,0,1907,313,2220,19310,21530,-0.0121478,0.0785349,-0.996837,0
0,0,0,0,0,1755,277,2032,17007,19039,-0.0122303,0.0782149,-0.996862,0
0,0,0,0,0,5478,939,6417,29680,36097,-0.012098,0.078619,-0.996832,0
0,0,0,0,0,1288,239,1527,13070,14597,-0.0119023,0.0782556,-0.996862,0
0,0,0,0,0,1366,242,1608,15009,16617,-0.0113921,0.0785644,-0.996844,0
0,0,0,0,0,1825,334,2159,20208,22367,-0.0115595,0.0785572,-0.996843,0
0,0,0,0,0,2093,366,2459,22348,24807,-0.011435,0.0783386,-0.996861,0
0,0,0,0,0,1532,272,1804,16839,18643,-0.0121049,0.0782256,-0.996862,0
0,0,0,0,0,1415,254,1669,13083,14752,-0.012201,0.078071,-0.996873,0
0,0,0,0,0,1818,323,2141,20163,22304,-0.011866,0.078112,-0.996874,0
0,0,0,0,0,1875,323,2198,19996,22194,-0.0115449,0.0784306,-0.996853,0
0,0,0,0,0,1663,281,1944,17415,19359,-0.011726,0.0784463,-0.99685,0
0,0,0,0,0,1768,273,2041,17020,19061,-0.0113807,0.077783,-0.996905,0
0,0,0,0,0,1537,271,1808,17068,18876,-0.0115795,0.0778876,-0.996895,0
0,0,0,0,0,1922,339,2261,21000,23261,-0.0120715,0.0775432,-0.996916,0
0,0,0,0,0,1657,302,1959,17896,19855,-0.0127328,0.0773604,-0.996922,0
0,0,0,0,0,1442,255,1697,15855,17552,-0.013649,0.0772362,-0.99692,0
0,0,0,0,0,1766,310,2076,19384,21460,-0.0132792,0.0777143,-0.996887,0
0,0,0,0,0,1698,301,1999,18813,20812,-0.0124765,0.0777345,-0.996896,0
0,0,0,0,0,1636,293,1929,18045,19974,-0.0115939,0.0781118,-0.996877,0
0,0,0,0,0,1654,296,1950,18333,20283,-0.0111815,0.0779132,-0.996897,0
0,0,0,0,0,1607,288,1895,17782,19677,-0.0111335,0.0779878,-0.996892,0
0,0,0,0,0,1698,282,1980,17579,19559,-0.0113393,0.0775731,-0.996922,0
0,0,0,0,0,1767,313,2080,19583,21663,-0.0122539,0.0771009,-0.996948,0
0,0,0,0,0,1570,277,1847,16600,18447,-0.0127191,0.0771273,-0.99694,0
0,0,0,0,0,1612,295,1907,15007,16914,-0.012148,0.0772872,-0.996935,0
0,0,0,0,0,1408,247,1655,15693,17348,-0.0129088,0.078194,-0.996855,0
0,0,0,0,0,1739,278,2017,16927,18944,-0.0122688,0.0779523,-0.996882,0
0,0,0,0,0,1888,332,2220,21079,23299,-0.0114516,0.0782946,-0.996864,0
0,0,0,0,0,1622,290,1912,18161,20073,-0.0107203,0.0772928,-0.996951,0
0,0,0,0,0,1582,279,1861,17341,19202,-0.0100557,0.0761757,-0.997044,0
0,0,0,0,0,5310,966,6276,30968,37244,-0.00919617,0.0753805,-0.997113,0
0,0,0,0,0,1679,273,1952,12983,14935,-0.00791118,0.0745117,-0.997189,0
0,0,0,0,0,1185,203,1388,12527,13915,-0.00821548,0.072193,-0.997357,0
0,0,0,0,0,1485,264,1749,18239,19988,-0.00728532,0.0711114,-0.997442,0
0,0,0,0,0,2808,491,3299,27652,30951,-0.00654427,0.0700306,-0.997523,0
0,0,0,0,0,1632,285,1917,16897,18814,-0.00673277,0.068942,-0.997598,0
0,0,0,0,0,1438,252,1690,14899,16589,-0.0059298,0.0685131,-0.997633,0
0,0,0,0,0,1757,328,2085,18289,20374,-0.00653297,0.0679458,-0.997668,0
0,0,0,0,0,1744,307,2051,18185,20236,-0.00558356,0.0678418,-0.997681,0
0,0,0,0,0,1529,277,1806,15803,17609,-0.00536903,0.0675138,-0.997704,0
0,0,0,0,0,1692,297,1989,17556,19545,-0.00519962,0.0670727,-0.997735,0
0,0,0,0,0,2152,376,2528,22183,24711,-0.00519844,0.0670691,-0.997735,0
0,0,0,0,0,1833,321,2154,18181,20335,-0.00644581,0.0661594,-0.997788,0
0,0,0,0,0,1527,267,1794,15540,17334,-0.0045421,0.0670307,-0.99774,0
0,0,0,0,0,2145,379,2524,21993,24517,-0.00514375,0.0666004,-0.997766,0
0,0,0,0,0,1824,324,2148,18296,20444,-0.00501423,0.0671564,-0.99773,0
0,0,0,0,0,1590,277,1867,16140,18007,-0.00532403,0.0666988,-0.997759,0
0,0,0,0,0,6140,1069,7209,32902,40111,-0.00393058,0.0654673,-0.997847,0
0,0,0,0,0,1612,290,1902,13573,15475,-0.00647608,0.0648618,-0.997873,0
0,0,0,0,0,1162,223,1385,11637,13022,-0.00802567,0.0651838,-0.997841,0
0,0,0,0,0,1161,209,1370,11637,13007,-0.0063582,0.0664639,-0.997768,0
0,0,0,0,0,1785,327,2112,18311,20423,-0.00353306,0.0677738,-0.997694,0
0,0,0,0,0,2053,352,2405,19761,22166,-0.00718138,0.0689563,-0.997594,0
0,0,0,0,0,6389,963,7352,30367,37719,-0.0118874,0.0748203,-0.997126,0
0,0,0,0,0,1504,260,1764,12518,14282,-0.012156,0.0762565,-0.997014,0
