Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7568,1386,8954,25606,34560,0.0131216,-0.0525324,-0.998533,0
0,0,0,0,0,1938,334,2272,6674,8946,-0.00930903,-0.0106681,-0.9999,0
0,0,0,0,0,2280,388,2668,6567,9235,-0.013246,0.0126233,-0.999833,0
0,0,0,0,0,4266,724,4990,13798,18788,-0.0145013,0.0238402,-0.99961,0
0,0,0,0,0,5564,932,6496,15345,21841,-0.0165026,0.0303339,-0.999404,0
0,0,0,0,0,2562,441,3003,9138,12141,-0.016724,0.0330932,-0.999312,0
0,0,0,0,0,2854,484,3338,10677,14015,-0.0176463,0.0340081,-0.999266,0
0,0,0,0,0,3950,676,4626,14938,19564,-0.0181108,0.0347009,-0.999234,0
0,0,0,0,0,3275,539,3814,11997,15811,-0.018285,0.0334172,-0.999274,0
0,0,0,0,0,5517,1052,6569,21586,28155,-0.0176825,0.0342975,-0.999255,0
0,0,0,0,0,6932,1139,8071,18724,26795,-0.0182023,0.034468,-0.99924,0
0,0,0,0,0,2518,408,2926,8154,11080,-0.0171329,0.034183,-0.999269,0
0,0,0,0,0,1777,317,2094,5961,8055,-0.0175343,0.0344505,-0.999253,0
0,0,0,0,0,1667,282,1949,6294,8243,-0.0177174,0.0353863,-0.999217,0
0,0,0,0,0,3858,679,4537,15469,20006,-0.0175147,0.033972,-0.99927,0
0,0,0,0,0,3944,676,4620,14450,19070,-0.0179769,0.034307,-0.99925,0
0,0,0,0,0,2573,444,3017,9820,12837,-0.0183969,0.0343292,-0.999241,0
0,0,0,0,0,4244,740,4984,16408,21392,-0.0178363,0.0342718,-0.999254,0
0,0,0,0,0,3296,564,3860,12359,16219,-0.0182952,0.0346389,-0.999232,0
0,0,0,0,0,3146,546,3692,11998,15690,-0.0189469,0.0332269,-0.999269,0
0,0,0,0,0,4617,781,5398,16797,22195,-0.0175922,0.0349489,-0.999234,0
0,0,0,0,0,3599,609,4208,13065,17273,-0.0180679,0.035419,-0.999209,0
0,0,0,0,0,2801,484,3285,10753,14038,-0.0177428,0.0353978,-0.999216,0
0,0,0,0,0,6569,1124,7693,17129,24822,-0.0173541,0.0348652,-0.999242,0
0,0,0,0,0,2363,405,2768,9020,11788,-0.017529,0.0344175,-0.999254,0
0,0,0,0,0,2954,507,3461,11448,14909,-0.0177147,0.0345915,-0.999245,0
0,0,0,0,0,4208,778,4986,15679,20665,-0.0171333,0.0343885,-0.999262,0
0,0,0,0,0,2670,464,3134,10382,13516,-0.0171162,0.0353314,-0.999229,0
0,0,0,0,0,4522,789,5311,16645,21956,-0.0178916,0.0347805,-0.999235,0
0,0,0,0,0,3478,626,4104,12915,17019,-0.0181582,0.0332773,-0.999281,0
0,0,0,0,0,3271,567,3838,12661,16499,-0.0174744,0.0347599,-0.999243,0
0,0,0,0,0,3273,564,3837,12715,16552,-0.0178834,0.0342342,-0.999254,0
0,0,0,0,0,3375,619,3994,11770,15764,-0.0175453,0.0353295,-0.999222,0
0,0,0,0,0,3682,635,4317,14172,18489,-0.0175651,0.0346351,-0.999246,0
0,0,0,0,0,3123,529,3652,11365,15017,-0.0180255,0.0355275,-0.999206,0
0,0,0,0,0,3532,604,4136,13437,17573,-0.0176314,0.0353807,-0.999218,0
0,0,0,0,0,3297,565,3862,12510,16372,-0.017528,0.0342661,-0.999259,0
0,0,0,0,0,4088,685,4773,14406,19179,-0.0174136,0.0334945,-0.999287,0
0,0,0,0,0,3137,536,3673,11540,15213,-0.0175436,0.0351599,-0.999228,0
0,0,0,0,0,3486,598,4084,13209,17293,-0.0167916,0.0343914,-0.999268,0
0,0,0,0,0,4264,760,5024,15466,20490,-0.0172532,0.0345544,-0.999254,0
0,0,0,0,0,3270,563,3833,12046,15879,-0.018334,0.0343081,-0.999243,0
0,0,0,0,0,3126,543,3669,12103,15772,-0.0184607,0.0352563,-0.999208,0
0,0,0,0,0,4638,825,5463,16392,21855,-0.0175327,0.0332295,-0.999294,0
0,0,0,0,0,2827,482,3309,10819,14128,-0.0175583,0.0345945,-0.999247,0
0,0,0,0,0,2665,463,3128,10383,13511,-0.0185614,0.0351259,-0.999211,0
0,0,0,0,0,3681,636,4317,14319,18636,-0.0166907,0.034472,-0.999267,0
0,0,0,0,0,3680,640,4320,13839,18159,-0.0171616,0.0344,-0.999261,0
0,0,0,0,0,3517,604,4121,13169,17290,-0.0170437,0.0337485,-0.999285,0
0,0,0,0,0,2795,488,3283,10737,14020,-0.0173463,0.0343914,-0.999258,0
0,0,0,0,0,4974,853,5827,17264,23091,-0.0175882,0.0343101,-0.999257,0
0,0,0,0,0,2506,426,2932,9326,12258,-0.017861,0.0354153,-0.999213,0
0,0,0,0,0,3098,535,3633,12060,15693,-0.0179348,0.0338646,-0.999265,0
0,0,0,0,0,4799,838,5637,16672,22309,-0.0171339,0.0335089,-0.999292,0
0,0,0,0,0,6611,1153,7764,13635,21399,-0.0177059,0.0340378,-0.999264,0
0,0,0,0,0,2353,407,2760,9117,11877,-0.0183337,0.0346369,-0.999232,0
0,0,0,0,0,2971,511,3482,11307,14789,-0.0170839,0.0330831,-0.999307,0
0,0,0,0,0,5357,944,6301,17290,23591,-0.0176148,0.035608,-0.999211,0
0,0,0,0,0,2569,441,3010,9859,12869,-0.0176229,0.0345795,-0.999247,0
0,0,0,0,0,3448,603,4051,13070,17121,-0.0177171,0.0343325,-0.999253,0
0,0,0,0,0,6544,1130,7674,17243,24917,-0.0175364,0.0344724,-0.999252,0
0,0,0,0,0,2477,441,2918,8458,11376,-0.0179527,0.0341043,-0.999257,0
0,0,0,0,0,2225,386,2611,8507,11118,-0.0180841,0.035536,-0.999205,0
0,0,0,0,0,4434,684,5118,15095,20213,-0.0167552,0.0329819,-0.999315,0
0,0,0,0,0,4472,698,5170,13841,19011,-0.0176631,0.0340359,-0.999264,0
0,0,0,0,0,2574,440,3014,9781,12795,-0.0185676,0.0348686,-0.99922,0
0,0,0,0,0,3903,599,4502,13306,17808,-0.0185881,0.0349138,-0.999217,0
0,0,0,0,0,3462,597,4059,13013,17072,-0.0177438,0.0342689,-0.999255,0
0,0,0,0,0,6729,1134,7863,15688,23551,-0.0174408,0.0347885,-0.999243,0
0,0,0,0,0,2409,409,2818,8854,11672,-0.0171163,0.0358166,-0.999212,0
0,0,0,0,0,2678,466,3144,10320,13464,-0.0179407,0.034598,-0.99924,0
0,0,0,0,0,4711,779,5490,16763,22253,-0.0184902,0.0340277,-0.99925,0
0,0,0,0,0,2822,500,3322,10745,14067,-0.0186547,0.0344018,-0.999234,0
0,0,0,0,0,3944,679,4623,14991,19614,-0.0170322,0.0329727,-0.999311,0
0,0,0,0,0,3698,641,4339,14015,18354,-0.0181149,0.0340272,-0.999257,0
0,0,0,0,0,2945,513,3458,11167,14625,-0.0175643,0.0341076,-0.999264,0
0,0,0,0,0,4312,773,5085,15726,20811,-0.0184775,0.0348229,-0.999223,0
0,0,0,0,0,3279,567,3846,12639,16485,-0.0180343,0.0346022,-0.999239,0
0,0,0,0,0,3931,681,4612,15179,19791,-0.0181377,0.0344266,-0.999243,0
0,0,0,0,0,3115,535,3650,11864,15514,-0.0191457,0.0347162,-0.999214,0
0,0,0,0,0,3457,610,4067,13548,17615,-0.0185109,0.0345504,-0.999232,0
0,0,0,0,0,3461,597,4058,13143,17201,-0.0185148,0.0346844,-0.999227,0
0,0,0,0,0,3422,571,3993,12617,16610,-0.0180196,0.034942,-0.999227,0
0,0,0,0,0,3951,676,4627,14769,19396,-0.018401,0.0341474,-0.999247,0
0,0,0,0,0,3268,534,3802,11778,15580,-0.017121,0.0340588,-0.999273,0
0,0,0,0,0,3100,554,3654,12204,15858,-0.018068,0.0352892,-0.999214,0
0,0,0,0,0,3678,641,4319,14093,18412,-0.0175821,0.0345832,-0.999247,0
0,0,0,0,0,3094,511,3605,11329,14934,-0.016786,0.034847,-0.999252,0
0,0,0,0,0,4234,731,4965,15158,20123,-0.0174231,0.0339471,-0.999272,0
0,0,0,0,0,2714,557,3271,10179,13450,-0.0179014,0.0348126,-0.999234,0
0,0,0,0,0,6273,1121,7394,17827,25221,-0.017819,0.0342707,-0.999254,0
0,0,0,0,0,2805,484,3289,10857,14146,-0.0172305,0.0338272,-0.999279,0
0,0,0,0,0,2846,479,3325,10298,13623,-0.0170841,0.033782,-0.999283,0
0,0,0,0,0,3675,633,4308,14451,18759,-0.0173414,0.0330032,-0.999305,0
0,0,0,0,0,2937,506,3443,11276,14719,-0.0180432,0.0332754,-0.999283,0
0,0,0,0,0,6730,1138,7868,17802,25670,-0.0183439,0.0342762,-0.999244,0
0,0,0,0,0,2364,406,2770,9043,11813,-0.0173282,0.0329712,-0.999306,0
0,0,0,0,0,2735,443,3178,9822,13000,-0.01774,0.0333204,-0.999287,0
0,0,0,0,0,6895,1132,8027,19285,27312,-0.0182519,0.0342085,-0.999248,0
0,0,0,0,0,2356,350,2706,7312,10018,-0.0180521,0.0343248,-0.999248,0
0,0,0,0,0,2312,395,2707,8395,11102,-0.0173861,0.0338173,-0.999277,0
0,0,0,0,0,3939,679,4618,15448,20066,-0.0172799,0.0336524,-0.999284,0
0,0,0,0,0,3984,678,4662,14926,19588,-0.0174227,0.032844,-0.999309,0
0,0,0,0,0,3092,555,3647,11677,15324,-0.0175427,0.0339475,-0.99927,0
0,0,0,0,0,6632,1129,7761,18463,26224,-0.0177958,0.0337748,-0.999271,0
0,0,0,0,0,2819,525,3344,8938,12282,-0.0182964,0.034522,-0.999236,0
0,0,0,0,0,2461,427,2888,9552,12440,-0.0178349,0.0341109,-0.999259,0
0,0,0,0,0,6555,1140,7695,19504,27199,-0.017795,0.0337969,-0.99927,0
0,0,0,0,0,2874,488,3362,10017,13379,-0.0175516,0.032863,-0.999306,0
0,0,0,0,0,2262,393,2655,8848,11503,-0.017127,0.0325666,-0.999323,0
0,0,0,0,0,4253,740,4993,16219,21212,-0.0173103,0.0332551,-0.999297,0
0,0,0,0,0,3575,613,4188,12472,16660,-0.0173819,0.0335901,-0.999285,0
0,0,0,0,0,6606,1182,7788,17671,25459,-0.0178921,0.0336206,-0.999274,0
0,0,0,0,0,2520,417,2937,8396,11333,-0.0175788,0.0341675,-0.999262,0
0,0,0,0,0,2561,442,3003,9964,12967,-0.0179034,0.0348161,-0.999234,0
0,0,0,0,0,4210,741,4951,16354,21305,-0.0169572,0.033431,-0.999297,0
0,0,0,0,0,3261,639,3900,12736,16636,-0.0178233,0.0331496,-0.999292,0
0,0,0,0,0,2669,462,3131,10348,13479,-0.018029,0.0338988,-0.999263,0
0,0,0,0,0,6744,1132,7876,17015,24891,-0.0169397,0.0334487,-0.999297,0
0,0,0,0,0,2352,406,2758,8507,11265,-0.0179854,0.0339518,-0.999262,0
0,0,0,0,0,2460,423,2883,9492,12375,-0.0179898,0.0334631,-0.999278,0
0,0,0,0,0,4046,681,4727,15193,19920,-0.0174484,0.0337032,-0.99928,0
0,0,0,0,0,3124,535,3659,12110,15769,-0.0178536,0.0345008,-0.999245,0
0,0,0,0,0,3677,646,4323,13771,18094,-0.0169184,0.0343347,-0.999267,0
0,0,0,0,0,3502,604,4106,13503,17609,-0.0168652,0.0336324,-0.999292,0
0,0,0,0,0,3478,595,4073,12868,16941,-0.0173961,0.0327737,-0.999311,0
0,0,0,0,0,3956,678,4634,14884,19518,-0.018095,0.0331352,-0.999287,0
0,0,0,0,0,3092,538,3630,11742,15372,-0.0185578,0.0342712,-0.99924,0
0,0,0,0,0,2966,515,3481,11417,14898,-0.017144,0.0323894,-0.999328,0
0,0,0,0,0,6653,1172,7825,20576,28401,-0.0182994,0.0330412,-0.999287,0
0,0,0,0,0,2935,416,3351,8490,11841,-0.0184743,0.0334291,-0.99927,0
