Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2307,463,2770,8536,11306,-0.0696068,-0.100707,-0.992478,0
0,0,0,0,0,2357,418,2775,9850,12625,-0.0298835,0.00935608,-0.999509,0
0,0,0,0,0,2427,410,2837,11698,14535,-0.0207075,0.029201,-0.999359,0
0,0,0,0,0,2437,466,2903,13259,16162,-0.0188864,0.0341503,-0.999238,0
0,0,0,0,0,2628,430,3058,13243,16301,-0.0181668,0.0341212,-0.999253,0
0,0,0,0,0,2351,465,2816,13311,16127,-0.0182222,0.0355424,-0.999202,0
0,0,0,0,0,2372,436,2808,13036,15844,-0.0181493,0.0363377,-0.999175,0
0,0,0,0,0,2325,453,2778,13667,16445,-0.017488,0.035476,-0.999218,0
0,0,0,0,0,2441,443,2884,13222,16106,-0.0177828,0.0359611,-0.999195,0
0,0,0,0,0,2471,454,2925,13416,16341,-0.0180224,0.0352313,-0.999217,0
0,0,0,0,0,2527,456,2983,13021,16004,-0.0183863,0.0356391,-0.999196,0
0,0,0,0,0,2493,453,2946,13118,16064,-0.0180981,0.0352728,-0.999214,0
0,0,0,0,0,2429,480,2909,13193,16102,-0.0181172,0.0351617,-0.999218,0
0,0,0,0,0,2332,423,2755,13115,15870,-0.018492,0.035025,-0.999215,0
0,0,0,0,0,2361,429,2790,13100,15890,-0.0181705,0.0351795,-0.999216,0
0,0,0,0,0,2320,443,2763,13100,15863,-0.0180756,0.0364114,-0.999174,0
0,0,0,0,0,2300,435,2735,12952,15687,-0.0181877,0.0359531,-0.999188,0
0,0,0,0,0,2384,417,2801,13132,15933,-0.0180623,0.036378,-0.999175,0
0,0,0,0,0,2512,437,2949,13446,16395,-0.0177513,0.0353567,-0.999217,0
0,0,0,0,0,2510,440,2950,13214,16164,-0.0175019,0.0359223,-0.999201,0
0,0,0,0,0,2308,441,2749,12831,15580,-0.0178945,0.0362129,-0.999184,0
0,0,0,0,0,2375,448,2823,13072,15895,-0.0179301,0.0347933,-0.999234,0
0,0,0,0,0,2401,433,2834,13220,16054,-0.0178665,0.0364934,-0.999174,0
0,0,0,0,0,2300,446,2746,13149,15895,-0.018661,0.0360028,-0.999178,0
0,0,0,0,0,2763,442,3205,13796,17001,-0.0198609,0.0354361,-0.999175,0
0,0,0,0,0,2725,450,3175,14072,17247,-0.0192653,0.0354819,-0.999185,0
0,0,0,0,0,2386,508,2894,12958,15852,-0.0195653,0.0365561,-0.99914,0
0,0,0,0,0,2312,547,2859,12816,15675,-0.0198393,0.0376475,-0.999094,0
0,0,0,0,0,2495,438,2933,13180,16113,-0.0202374,0.0386286,-0.999049,0
0,0,0,0,0,2434,423,2857,12819,15676,-0.0213625,0.0411343,-0.998925,0
0,0,0,0,0,2344,418,2762,13148,15910,-0.0217903,0.0436781,-0.998808,0
0,0,0,0,0,2609,564,3173,14758,17931,-0.0221224,0.0456291,-0.998714,0
0,0,0,0,0,2377,437,2814,13684,16498,-0.0221656,0.0467473,-0.998661,0
0,0,0,0,0,2403,464,2867,14390,17257,-0.0226718,0.0473339,-0.998622,0
0,0,0,0,0,2349,433,2782,14032,16814,-0.0221767,0.047212,-0.998639,0
0,0,0,0,0,2352,420,2772,14216,16988,-0.0224818,0.0477219,-0.998608,0
0,0,0,0,0,2385,443,2828,14019,16847,-0.0234396,0.0496974,-0.998489,0
0,0,0,0,0,2480,440,2920,14630,17550,-0.0234831,0.0521878,-0.998361,0
0,0,0,0,0,2461,437,2898,14664,17562,-0.0224637,0.0529709,-0.998343,0
0,0,0,0,0,2467,439,2906,14044,16950,-0.0209726,0.0557706,-0.998223,0
0,0,0,0,0,2655,442,3097,14112,17209,-0.0200419,0.0613296,-0.997916,0
0,0,0,0,0,2450,428,2878,14102,16980,-0.0197378,0.0651772,-0.997678,0
0,0,0,0,0,2451,441,2892,14881,17773,-0.0186614,0.0555512,-0.998281,0
0,0,0,0,0,2497,463,2960,14651,17611,-0.0176778,0.0512485,-0.99853,0
0,0,0,0,0,2373,436,2809,13822,16631,-0.0181358,0.0500655,-0.998581,0
0,0,0,0,0,2391,437,2828,14029,16857,-0.0178897,0.0493019,-0.998624,0
0,0,0,0,0,2431,454,2885,14405,17290,-0.0181895,0.0490395,-0.998631,0
0,0,0,0,0,2355,444,2799,14543,17342,-0.0184928,0.0487264,-0.998641,0
0,0,0,0,0,2435,455,2890,13671,16561,-0.018698,0.0488485,-0.998631,0
0,0,0,0,0,2458,420,2878,14113,16991,-0.0180406,0.0478406,-0.998692,0
0,0,0,0,0,2409,440,2849,14678,17527,-0.0183756,0.0500063,-0.99858,0
0,0,0,0,0,2462,448,2910,14193,17103,-0.0183825,0.0512492,-0.998517,0
0,0,0,0,0,2396,454,2850,12997,15847,-0.0197049,0.0534357,-0.998377,0
0,0,0,0,0,2534,443,2977,13063,16040,-0.0213048,0.0558226,-0.998213,0
0,0,0,0,0,2577,477,3054,12757,15811,-0.0210627,0.0564615,-0.998183,0
0,0,0,0,0,2446,463,2909,12808,15717,-0.020848,0.0536712,-0.998341,0
0,0,0,0,0,2559,423,2982,11945,14927,-0.0229239,0.0567295,-0.998126,0
0,0,0,0,0,2697,445,3142,11789,14931,-0.0322791,0.0685454,-0.997126,0
0,0,0,0,0,2503,447,2950,11109,14059,-0.0379746,0.063375,-0.997267,0
0,0,0,0,0,2504,440,2944,10670,13614,-0.0393686,0.0605641,-0.997388,0
0,0,0,0,0,2788,462,3250,12023,15273,-0.0375209,0.0566503,-0.997689,0
0,0,0,0,0,2417,431,2848,10702,13550,-0.0389031,0.0585159,-0.997528,0
0,0,0,0,0,2447,447,2894,10475,13369,-0.0371958,0.0569858,-0.997682,0
0,0,0,0,0,2452,455,2907,10587,13494,-0.035437,0.0576195,-0.99771,0
0,0,0,0,0,2383,451,2834,10479,13313,-0.0347095,0.0585829,-0.997679,0
0,0,0,0,0,2470,441,2911,10996,13907,-0.0347804,0.0606021,-0.997556,0
0,0,0,0,0,2579,439,3018,10838,13856,-0.0337446,0.0620946,-0.9975,0
0,0,0,0,0,2442,434,2876,11421,14297,-0.0325231,0.0602676,-0.997652,0
0,0,0,0,0,2488,456,2944,11323,14267,-0.0314853,0.0602257,-0.997688,0
0,0,0,0,0,2493,435,2928,11239,14167,-0.0322538,0.0594826,-0.997708,0
0,0,0,0,0,2874,453,3327,12223,15550,-0.0323893,0.060468,-0.997644,0
0,0,0,0,0,2577,468,3045,11658,14703,-0.0320312,0.0618163,-0.997574,0
0,0,0,0,0,2581,432,3013,11201,14214,-0.0315878,0.061623,-0.9976,0
0,0,0,0,0,2476,450,2926,11714,14640,-0.0313431,0.0601855,-0.997695,0
0,0,0,0,0,2603,455,3058,11961,15019,-0.0352855,0.0560778,-0.997803,0
0,0,0,0,0,2522,445,2967,12017,14984,-0.0321606,0.0569405,-0.997859,0
0,0,0,0,0,2423,426,2849,11984,14833,-0.0236219,0.0557765,-0.998164,0
0,0,0,0,0,2555,432,2987,11963,14950,-0.0173853,0.0602763,-0.99803,0
0,0,0,0,0,2453,426,2879,13422,16301,-0.0130768,0.0456225,-0.998873,0
0,0,0,0,0,2524,448,2972,18958,21930,-0.00824701,0.0233663,-0.999693,0
0,0,0,0,0,2592,487,3079,35927,39006,-0.0139701,0.0261859,-0.99956,0
0,0,0,0,0,2690,468,3158,41120,44278,-0.0184214,0.0382249,-0.999099,0
0,0,0,0,0,2457,482,2939,42216,45155,-0.019745,0.0441248,-0.998831,0
0,0,0,0,0,2584,477,3061,44407,47468,-0.0418641,0.0532385,-0.997704,0
0,0,0,0,0,2844,525,3369,42675,46044,-0.0397479,0.0219464,-0.998969,0
0,0,0,0,0,2526,483,3009,48118,51127,-0.037544,0.0250702,-0.99898,0
0,0,0,0,0,2624,667,3291,49338,52629,-0.0343614,0.0295501,-0.998973,0
0,0,0,0,0,2682,517,3199,44108,47307,-0.0300824,0.0323888,-0.999022,0
0,0,0,0,0,3373,510,3883,43790,47673,-0.0243251,0.00940159,-0.99966,0
0,0,0,0,0,2406,490,2896,43057,45953,-0.0212928,0.00857086,-0.999737,0
0,0,0,0,0,2535,562,3097,46587,49684,-0.0210129,0.0175211,-0.999626,0
0,0,0,0,0,3530,529,4059,42757,46816,-0.0204273,0.0324828,-0.999264,0
0,0,0,0,0,2606,529,3135,42739,45874,-0.0180847,0.04772,-0.998697,0
