Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5472,1080,6552,14550,21102,0.0206982,0.163972,-0.986248,0
0,0,0,0,0,2948,569,3517,17680,21197,0.00510208,0.0496818,-0.998752,0
0,0,0,0,0,1260,238,1498,10201,11699,0.00266361,0.0320716,-0.999482,0
0,0,0,0,0,1341,253,1594,11766,13360,0.00207976,0.0298257,-0.999553,0
0,0,0,0,0,1923,369,2292,17173,19465,0.00240848,0.0292905,-0.999568,0
0,0,0,0,0,2189,424,2613,19390,22003,0.00361939,0.0288254,-0.999578,0
0,0,0,0,0,1862,357,2219,17115,19334,0.00433055,0.0275532,-0.999611,0
0,0,0,0,0,1622,315,1937,14737,16674,0.00437663,0.0267856,-0.999632,0
0,0,0,0,0,1715,334,2049,15888,17937,0.00424604,0.0257389,-0.99966,0
0,0,0,0,0,5366,1025,6391,34575,40966,0.00244154,0.023813,-0.999713,0
0,0,0,0,0,1677,327,2004,12693,14697,0.00226598,0.0241464,-0.999706,0
0,0,0,0,0,1244,250,1494,11579,13073,0.00136773,0.0242511,-0.999705,0
0,0,0,0,0,1621,317,1938,14907,16845,0.000540895,0.0249225,-0.999689,0
0,0,0,0,0,1616,313,1929,15091,17020,0.000342166,0.0254171,-0.999677,0
0,0,0,0,0,2271,441,2712,21016,23728,0.000164752,0.0258336,-0.999666,0
0,0,0,0,0,2043,373,2416,16852,19268,0.00123746,0.0263676,-0.999652,0
0,0,0,0,0,1617,310,1927,14385,16312,0.00258847,0.0269222,-0.999634,0
0,0,0,0,0,1956,354,2310,16315,18625,0.0026755,0.0278774,-0.999608,0
0,0,0,0,0,2303,441,2744,20592,23336,0.00326706,0.0283942,-0.999591,0
0,0,0,0,0,1923,377,2300,17655,19955,0.00343151,0.0285152,-0.999587,0
0,0,0,0,0,1806,324,2130,15293,17423,0.00406892,0.0283547,-0.99959,0
0,0,0,0,0,5592,1110,6702,29075,35777,0.00595805,0.0241889,-0.99969,0
0,0,0,0,0,1501,262,1763,11780,13543,0.00528711,0.0199305,-0.999787,0
0,0,0,0,0,1512,297,1809,13911,15720,0.00265562,0.00549176,-0.999981,0
0,0,0,0,0,5456,1212,6668,20038,26706,-0.00421345,-0.0187272,-0.999816,0
0,0,0,0,0,1223,236,1459,10938,12397,-0.00969955,-0.0233233,-0.999681,0
0,0,0,0,0,5673,1154,6827,37310,44137,-0.0187931,-0.0725412,-0.997188,0
0,0,0,0,0,1780,338,2118,11478,13596,-0.0161925,-0.0518867,-0.998522,0
0,0,0,0,0,1322,239,1561,9265,10826,-0.0164465,-0.0256155,-0.999537,0
0,0,0,0,0,1270,240,1510,8986,10496,-0.0186173,-0.00760229,-0.999798,0
0,0,0,0,0,2364,338,2702,10385,13087,-0.0204656,0.00865334,-0.999753,0
0,0,0,0,0,1599,305,1904,11591,13495,-0.0264377,0.0242308,-0.999357,0
0,0,0,0,0,1932,366,2298,14807,17105,-0.0415946,0.0430164,-0.998208,0
0,0,0,0,0,2488,472,2960,20804,23764,-0.054438,0.0532233,-0.997098,0
0,0,0,0,0,1629,301,1930,15444,17374,-0.0511502,0.0378384,-0.997974,0
0,0,0,0,0,8703,943,9646,21338,30984,-0.0464697,-0.00866264,-0.998882,0
0,0,0,0,0,2167,312,2479,12147,14626,-0.0309173,-0.0231857,-0.999253,0
0,0,0,0,0,1289,253,1542,11380,12922,-0.00608143,-0.0515185,-0.998654,0
0,0,0,0,0,1519,288,1807,17283,19090,0.0200297,-0.075135,-0.996972,0
0,0,0,0,0,5600,1019,6619,32415,39034,0.0666054,-0.128621,-0.989455,0
0,0,0,0,0,1603,297,1900,15678,17578,0.0571843,-0.0837488,-0.994845,0
0,0,0,0,0,1454,250,1704,16649,18353,0.0642965,-0.104132,-0.992483,0
0,0,0,0,0,1330,262,1592,19140,20732,0.0708576,-0.148036,-0.98644,0
0,0,0,0,0,1215,232,1447,18384,19831,0.0499308,-0.198536,-0.978821,0
0,0,0,0,0,1395,264,1659,21664,23323,0.0212162,-0.294198,-0.955509,0
0,0,0,0,0,4945,964,5909,39687,45596,0.0219869,-0.444944,-0.895289,0
0,0,0,0,0,1307,246,1553,18512,20065,0.0143653,-0.439297,-0.898227,0
0,0,0,0,0,1226,234,1460,20458,21918,0.0289964,-0.467917,-0.883297,0
0,0,0,0,0,1242,235,1477,22514,23991,0.0335459,-0.488181,-0.872097,0
0,0,0,0,0,5978,1135,7113,42320,49433,0.0759283,-0.558148,-0.82626,0
0,0,0,0,0,1277,253,1530,26840,28370,0.055296,-0.492131,-0.868763,0
0,0,0,0,0,1330,264,1594,30092,31686,0.0213735,-0.370237,-0.928692,0
0,0,0,0,0,1415,277,1692,32409,34101,0.00642841,-0.298005,-0.954543,0
0,0,0,0,0,6916,1294,8210,54186,62396,0.0818844,-0.574482,-0.814411,0
0,0,0,0,0,1500,297,1797,33753,35550,0.0826645,-0.54116,-0.836847,0
0,0,0,0,0,1523,319,1842,34076,35918,0.0770837,-0.560724,-0.824407,0
0,0,0,0,0,1500,280,1780,33359,35139,0.0657458,-0.574264,-0.816026,0
0,0,0,0,0,1447,344,1791,31254,33045,0.0447398,-0.566119,-0.823109,0
0,0,0,0,0,1390,296,1686,23312,24998,0.00203154,-0.500007,-0.866019,0
0,0,0,0,0,1364,256,1620,17915,19535,-0.0589114,-0.379404,-0.923354,0
0,0,0,0,0,1528,252,1780,16828,18608,-0.109398,-0.373226,-0.921268,0
0,0,0,0,0,1710,309,2019,17644,19663,-0.11328,-0.513285,-0.850709,0
0,0,0,0,0,2102,402,2504,19543,22047,-0.114418,-0.626378,-0.771077,0
0,0,0,0,0,1846,351,2197,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,2173,558,2731,30051,32782,-0.0325207,-0.38222,-0.923499,0
0,0,0,0,0,1493,324,1817,32466,34283,0.0018287,-0.530503,-0.847681,0
0,0,0,0,0,1411,307,1718,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1358,291,1649,31906,33555,0.0751139,-0.333956,-0.939591,0
0,0,0,0,0,1430,288,1718,32709,34427,-0.036709,-0.608134,-0.792986,0
0,0,0,0,0,1207,267,1474,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1152,245,1397,25567,26964,-0.019718,-0.367914,-0.929651,0
0,0,0,0,0,1180,247,1427,26725,28152,-0.022117,-0.500345,-0.865544,0
0,0,0,0,0,1370,295,1665,27200,28865,0.000259401,-0.567869,-0.823119,0
0,0,0,0,0,1601,361,1962,23422,25384,0.030982,-0.591735,-0.805538,0
0,0,0,0,0,1535,289,1824,17652,19476,0.0194144,-0.679838,-0.733105,0
0,0,0,0,0,1500,279,1779,-1000,-1000,-1,-1,-1,0
