Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6059,1132,7191,8754,15945,-0.0999587,0.17533,-0.979422,0
0,0,0,0,0,3159,606,3765,27389,31154,-0.00492517,0.0450345,-0.998973,0
0,0,0,0,0,1444,274,1718,8660,10378,0.00607001,0.0336592,-0.999415,0
0,0,0,0,0,1979,372,2351,13868,16219,0.00805586,0.0316924,-0.999465,0
0,0,0,0,0,2987,551,3538,20546,24084,0.00767904,0.0315634,-0.999472,0
0,0,0,0,0,2061,379,2440,15088,17528,0.00677797,0.0328378,-0.999438,0
0,0,0,0,0,1976,371,2347,14561,16908,0.00790574,0.034435,-0.999376,0
0,0,0,0,0,6010,1112,7122,23880,31002,0.00935172,0.0360646,-0.999306,0
0,0,0,0,0,1775,328,2103,11080,13183,0.0098493,0.0373466,-0.999254,0
0,0,0,0,0,1928,352,2280,14646,16926,0.00936335,0.0402937,-0.999144,0
0,0,0,0,0,2125,396,2521,16245,18766,0.00902073,0.0438583,-0.998997,0
0,0,0,0,0,5492,1114,6606,24732,31338,0.00879704,0.052526,-0.998581,0
0,0,0,0,0,1709,291,2000,10147,12147,0.0109512,0.0514781,-0.998614,0
0,0,0,0,0,1915,359,2274,13307,15581,0.0124685,0.0550547,-0.998405,0
0,0,0,0,0,2846,527,3373,19723,23096,0.0122739,0.0587129,-0.9982,0
0,0,0,0,0,2360,434,2794,15412,18206,0.0106419,0.0609008,-0.998087,0
0,0,0,0,0,1995,378,2373,13637,16010,0.00929488,0.0638196,-0.997918,0
0,0,0,0,0,6058,1018,7076,24336,31412,0.0105624,0.0707128,-0.997441,0
0,0,0,0,0,1831,342,2173,10618,12791,0.0120582,0.0657015,-0.997766,0
0,0,0,0,0,1569,291,1860,11317,13177,0.0133002,0.0668891,-0.997672,0
0,0,0,0,0,2441,448,2889,17611,20500,0.0130684,0.0747521,-0.997116,0
0,0,0,0,0,2841,504,3345,20847,24192,0.0111981,0.0850268,-0.996316,0
0,0,0,0,0,2368,466,2834,17087,19921,0.00890521,0.0941149,-0.995521,0
0,0,0,0,0,6583,1152,7735,24558,32293,0.0116351,0.105991,-0.994299,0
0,0,0,0,0,1699,307,2006,13479,15485,0.0133564,0.0919543,-0.995674,0
0,0,0,0,0,1834,328,2162,16227,18389,0.0180157,0.0915759,-0.995635,0
0,0,0,0,0,1843,369,2212,17726,19938,0.0194015,0.0863162,-0.996079,0
0,0,0,0,0,1961,354,2315,16115,18430,0.0179321,0.0952854,-0.995289,0
0,0,0,0,0,6712,1178,7890,35513,43403,0.0227174,0.129515,-0.991317,0
0,0,0,0,0,1669,301,1970,17193,19163,0.0224869,0.116733,-0.992909,0
0,0,0,0,0,1438,256,1694,17666,19360,0.0224794,0.126347,-0.991731,0
0,0,0,0,0,1554,281,1835,19754,21589,0.0208823,0.150638,-0.988369,0
