Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6228,1112,7340,19270,26610,0.00679446,-0.118777,-0.992898,0
0,0,0,0,0,1914,343,2257,16085,18342,-0.00146702,-0.00767669,-0.99997,0
0,0,0,0,0,1643,306,1949,24098,26047,-0.00189664,0.0140423,-0.9999,0
0,0,0,0,0,1728,321,2049,23858,25907,-0.00160303,0.0191177,-0.999816,0
0,0,0,0,0,1696,321,2017,23886,25903,-0.00132263,0.0193165,-0.999813,0
0,0,0,0,0,5890,1053,6943,37530,44473,-0.000690215,0.0194889,-0.99981,0
0,0,0,0,0,1449,251,1700,20119,21819,-0.00142263,0.0203345,-0.999792,0
0,0,0,0,0,1388,250,1638,20158,21796,-0.00156679,0.0218253,-0.99976,0
0,0,0,0,0,1699,311,2010,23932,25942,-0.00135686,0.0253668,-0.999677,0
0,0,0,0,0,1646,300,1946,23261,25207,0.0012212,0.0272829,-0.999627,0
0,0,0,0,0,1675,319,1994,23943,25937,0.00288737,0.0267783,-0.999637,0
0,0,0,0,0,1622,302,1924,21444,23368,0.00257816,0.0241073,-0.999706,0
0,0,0,0,0,1666,334,2000,23604,25604,0.00168221,0.022121,-0.999754,0
0,0,0,0,0,6181,885,7066,33072,40138,0.00126635,0.0196723,-0.999805,0
0,0,0,0,0,1383,250,1633,19963,21596,0.000578167,0.0198694,-0.999803,0
0,0,0,0,0,1349,251,1600,20011,21611,0.000244233,0.0198333,-0.999803,0
0,0,0,0,0,1461,290,1751,21518,23269,0.000395288,0.0191886,-0.999816,0
0,0,0,0,0,1479,253,1732,20142,21874,0.00084002,0.0184768,-0.999829,0
0,0,0,0,0,1951,334,2285,25860,28145,0.00179856,0.0182169,-0.999833,0
0,0,0,0,0,4561,732,5293,30601,35894,0.002754,0.0183195,-0.999828,0
0,0,0,0,0,1336,249,1585,20152,21737,0.00209143,0.019493,-0.999808,0
0,0,0,0,0,1524,284,1808,22595,24403,0.0016554,0.0206779,-0.999785,0
0,0,0,0,0,1498,269,1767,21270,23037,8.94394e-05,0.0216252,-0.999766,0
0,0,0,0,0,1564,291,1855,23174,25029,-0.000623434,0.0222526,-0.999752,0
0,0,0,0,0,1600,295,1895,23354,25249,0.000119155,0.0224908,-0.999747,0
0,0,0,0,0,1488,300,1788,22303,24091,-0.000724941,0.0233521,-0.999727,0
0,0,0,0,0,1853,353,2206,27122,29328,-0.0023334,0.0233237,-0.999725,0
0,0,0,0,0,1350,252,1602,20756,22358,-0.00244574,0.0231993,-0.999728,0
0,0,0,0,0,1498,271,1769,22410,24179,-0.00265507,0.0244786,-0.999697,0
0,0,0,0,0,1580,312,1892,23456,25348,-0.00168866,0.0248025,-0.999691,0
0,0,0,0,0,1618,302,1920,24324,26244,-0.00138826,0.0250994,-0.999684,0
0,0,0,0,0,1460,255,1715,20913,22628,-0.00130011,0.0260204,-0.999661,0
0,0,0,0,0,5607,1064,6671,34986,41657,-0.000984976,0.0274362,-0.999623,0
0,0,0,0,0,1367,252,1619,20837,22456,-0.000233723,0.0273198,-0.999626,0
0,0,0,0,0,1626,306,1932,22776,24708,0.000793613,0.0269581,-0.999636,0
0,0,0,0,0,1618,310,1928,23225,25153,0.000937423,0.0263001,-0.999654,0
0,0,0,0,0,1464,268,1732,21916,23648,0.000824255,0.025104,-0.999685,0
0,0,0,0,0,1375,252,1627,20891,22518,-0.000243682,0.0242118,-0.999707,0
0,0,0,0,0,1701,316,2017,23502,25519,-0.00252619,0.0255902,-0.999669,0
0,0,0,0,0,1621,305,1926,23748,25674,-0.00450902,0.0280008,-0.999598,0
0,0,0,0,0,1455,286,1741,22385,24126,-0.00348482,0.0285214,-0.999587,0
0,0,0,0,0,1609,304,1913,23927,25840,-0.00182349,0.0280416,-0.999605,0
0,0,0,0,0,1612,302,1914,23835,25749,-0.00123746,0.0259463,-0.999663,0
0,0,0,0,0,1772,331,2103,25673,27776,-0.00256487,0.0224435,-0.999745,0
0,0,0,0,0,1536,293,1829,22742,24571,-0.00219923,0.0214925,-0.999767,0
0,0,0,0,0,1575,285,1860,23315,25175,0.00523543,0.0207112,-0.999772,0
0,0,0,0,0,1692,292,1984,23203,25187,0.0126777,0.0213941,-0.999691,0
0,0,0,0,0,1615,300,1915,23570,25485,0.011787,0.0220333,-0.999688,0
0,0,0,0,0,1625,305,1930,23392,25322,0.00627593,0.0230296,-0.999715,0
0,0,0,0,0,1464,276,1740,22809,24549,0.00156091,0.0244401,-0.9997,0
0,0,0,0,0,1585,301,1886,24137,26023,-0.000622391,0.0248581,-0.999691,0
0,0,0,0,0,1511,284,1795,23955,25750,-0.000300657,0.0271853,-0.99963,0
0,0,0,0,0,5039,974,6013,37156,43169,0.00103814,0.0292588,-0.999572,0
0,0,0,0,0,1359,254,1613,21619,23232,0.000767121,0.0295152,-0.999564,0
0,0,0,0,0,1556,285,1841,23520,25361,0.000250613,0.0317299,-0.999496,0
0,0,0,0,0,1599,303,1902,24311,26213,-0.000542554,0.0332759,-0.999446,0
0,0,0,0,0,1322,251,1573,21531,23104,-0.000794939,0.0370148,-0.999314,0
0,0,0,0,0,1806,340,2146,27817,29963,-0.00126,0.0413985,-0.999142,0
0,0,0,0,0,1322,267,1589,21370,22959,-0.00128798,0.0446762,-0.999001,0
0,0,0,0,0,1446,260,1706,21711,23417,-0.00112101,0.0442177,-0.999021,0
0,0,0,0,0,1638,310,1948,24310,26258,-0.000779507,0.0458191,-0.99895,0
0,0,0,0,0,1645,310,1955,23276,25231,-0.000297053,0.0428478,-0.999082,0
0,0,0,0,0,1574,290,1864,22786,24650,-0.000953736,0.0383558,-0.999264,0
0,0,0,0,0,5481,1022,6503,38993,45496,-0.00162258,0.0342823,-0.999411,0
0,0,0,0,0,1471,250,1721,20200,21921,-0.00114219,0.0316422,-0.999499,0
0,0,0,0,0,1322,250,1572,20371,21943,-0.00109516,0.0303439,-0.999539,0
0,0,0,0,0,1761,329,2090,21697,23787,0.000462675,0.0285929,-0.999591,0
0,0,0,0,0,1334,255,1589,20595,22184,0.000407745,0.0284246,-0.999596,0
0,0,0,0,0,1517,284,1801,22661,24462,-6.82485e-05,0.0290865,-0.999577,0
0,0,0,0,0,1625,307,1932,23030,24962,-0.00151431,0.029093,-0.999575,0
0,0,0,0,0,1521,284,1805,22145,23950,-0.00201325,0.0292366,-0.999571,0
0,0,0,0,0,1609,302,1911,23327,25238,-0.000456899,0.0297906,-0.999556,0
0,0,0,0,0,1379,373,1752,20320,22072,0.00184864,0.0295757,-0.999561,0
0,0,0,0,0,1397,260,1657,21119,22776,0.00238388,0.0298065,-0.999553,0
0,0,0,0,0,1513,281,1794,22005,23799,0.0025935,0.0303282,-0.999537,0
0,0,0,0,0,1739,299,2038,23336,25374,0.00168034,0.0285185,-0.999592,0
0,0,0,0,0,1331,250,1581,20233,21814,-4.89964e-05,0.0274244,-0.999624,0
0,0,0,0,0,1602,308,1910,24023,25933,-0.00141934,0.0281481,-0.999603,0
0,0,0,0,0,1324,248,1572,20380,21952,-0.00136141,0.0291605,-0.999574,0
0,0,0,0,0,1662,311,1973,24311,26284,-0.000359152,0.0310259,-0.999518,0
0,0,0,0,0,1602,299,1901,23767,25668,0.000973337,0.0330375,-0.999454,0
0,0,0,0,0,1341,250,1591,20060,21651,-0.00269166,0.0417311,-0.999125,0
0,0,0,0,0,1534,287,1821,21836,23657,-0.00336451,0.0516155,-0.998662,0
