Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7819,1211,9030,27985,37015,-0.0687407,-0.0784173,-0.994548,0
0,0,0,0,0,2385,298,2683,262,2945,-0.0632294,-0.0333423,-0.997442,0
0,0,0,0,0,2524,498,3022,86059,89081,-0.0653929,-0.138032,-0.988267,0
0,0,0,0,0,1659,248,1907,2704,4611,-0.0612879,-0.0985025,-0.993248,0
0,0,0,0,0,1653,244,1897,748,2645,-0.0612179,-0.0691802,-0.995724,0
0,0,0,0,0,6220,903,7123,302,7425,-0.0571275,0.0126931,-0.998286,0
0,0,0,0,0,7598,1056,8654,2757,11411,-0.0632199,-0.00566231,-0.997984,0
0,0,0,0,0,7521,1009,8530,497,9027,-0.0638587,6.53783e-05,-0.997959,0
0,0,0,0,0,6783,1002,7785,972,8757,-0.0703402,-0.020455,-0.997313,0
0,0,0,0,0,7077,1432,8509,91201,99710,-0.0691793,-0.135994,-0.988291,0
0,0,0,0,0,1647,251,1898,2465,4363,-0.0645306,-0.0963734,-0.993252,0
0,0,0,0,0,1654,244,1898,619,2517,-0.0633203,-0.0684817,-0.995641,0
0,0,0,0,0,1653,246,1899,77,1976,-0.0300566,0.198653,-0.979609,0
0,0,0,0,0,6310,951,7261,27664,34925,-0.0255018,0.2063,-0.978157,0
0,0,0,0,0,2191,315,2506,11802,14308,-0.0205738,0.214777,-0.976447,0
0,0,0,0,0,1839,288,2127,12725,14852,-0.0164743,0.223896,-0.974474,0
0,0,0,0,0,2192,354,2546,16109,18655,-0.0132244,0.230434,-0.972998,0
0,0,0,0,0,1956,306,2262,14935,17197,-0.009554,0.236228,-0.971651,0
0,0,0,0,0,2347,378,2725,18454,21179,-0.00558564,0.24179,-0.970312,0
0,0,0,0,0,2290,356,2646,18481,21127,-0.00223766,0.247604,-0.968859,0
0,0,0,0,0,6222,967,7189,30630,37819,-0.000620854,0.25123,-0.967927,0
0,0,0,0,0,2003,277,2280,14518,16798,0.000967034,0.253943,-0.967219,0
0,0,0,0,0,1913,295,2208,15980,18188,0.0017828,0.257081,-0.966388,0
0,0,0,0,0,1947,292,2239,15813,18052,0.00279249,0.256649,-0.966501,0
0,0,0,0,0,2138,311,2449,17248,19697,0.0051474,0.258392,-0.966027,0
0,0,0,0,0,2003,300,2303,16924,19227,0.00622497,0.261668,-0.965138,0
0,0,0,0,0,2251,414,2665,19188,21853,0.0076311,0.262418,-0.964924,0
0,0,0,0,0,2094,325,2419,18555,20974,0.00858218,0.263436,-0.964639,0
0,0,0,0,0,1949,307,2256,17416,19672,0.0100138,0.264113,-0.96444,0
0,0,0,0,0,2148,335,2483,19353,21836,0.0112329,0.264989,-0.964186,0
0,0,0,0,0,1897,309,2206,17117,19323,0.0129359,0.265141,-0.964123,0
