Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7138,1372,8510,28926,37436,-0.115101,-0.081419,-0.990012,0
0,0,0,0,0,2012,370,2382,13775,16157,-0.0329349,-0.0314182,-0.998964,0
0,0,0,0,0,1626,288,1914,7116,9030,-0.0112196,0.0115942,-0.99987,0
0,0,0,0,0,3140,564,3704,13315,17019,-0.000201126,0.027446,-0.999623,0
0,0,0,0,0,6321,1146,7467,20230,27697,0.00639404,0.0345406,-0.999383,0
0,0,0,0,0,2677,485,3162,10030,13192,0.00844763,0.036049,-0.999314,0
0,0,0,0,0,2450,439,2889,10073,12962,0.00892039,0.0344685,-0.999366,0
0,0,0,0,0,5237,926,6163,18813,24976,0.00998082,0.0347236,-0.999347,0
0,0,0,0,0,5501,778,6279,12625,18904,0.0105226,0.0354676,-0.999315,0
0,0,0,0,0,1963,351,2314,7909,10223,0.0102737,0.0352227,-0.999327,0
0,0,0,0,0,3937,731,4668,16416,21084,0.0103291,0.036481,-0.999281,0
0,0,0,0,0,3128,562,3690,12958,16648,0.0107363,0.0381496,-0.999214,0
0,0,0,0,0,3346,535,3881,12073,15954,0.00950832,0.0376235,-0.999247,0
0,0,0,0,0,3524,643,4167,14421,18588,0.00927417,0.0358372,-0.999315,0
0,0,0,0,0,2826,504,3330,11578,14908,0.0109422,0.0356194,-0.999305,0
0,0,0,0,0,3557,578,4135,12696,16831,0.010443,0.034797,-0.99934,0
0,0,0,0,0,6847,1125,7972,19433,27405,0.00928068,0.0378811,-0.999239,0
0,0,0,0,0,2466,410,2876,8489,11365,0.00399578,0.0437979,-0.999032,0
0,0,0,0,0,1800,297,2097,6400,8497,0.00422722,0.0445324,-0.998999,0
0,0,0,0,0,4438,784,5222,14994,20216,0.00236353,0.0447453,-0.998996,0
0,0,0,0,0,2304,405,2709,9427,12136,-0.00174317,0.0500587,-0.998745,0
0,0,0,0,0,3570,634,4204,15326,19530,-0.00506423,0.0509785,-0.998687,0
0,0,0,0,0,4455,786,5241,17627,22868,-0.00593339,0.0515987,-0.99865,0
0,0,0,0,0,2747,485,3232,11861,15093,-0.00674636,0.0536214,-0.998539,0
0,0,0,0,0,2618,477,3095,11788,14883,-0.00633285,0.0539749,-0.998523,0
0,0,0,0,0,3620,636,4256,15546,19802,-0.00265585,0.0584503,-0.998287,0
0,0,0,0,0,7121,1282,8403,17215,25618,0.0028031,0.0626173,-0.998033,0
0,0,0,0,0,2351,407,2758,8369,11127,0.00638794,0.0634781,-0.997963,0
0,0,0,0,0,2408,425,2833,10197,13030,0.0077037,0.0627042,-0.998002,0
0,0,0,0,0,3882,675,4557,15926,20483,0.00864594,0.0630372,-0.997974,0
0,0,0,0,0,3048,534,3582,12764,16346,0.00844791,0.0658479,-0.997794,0
0,0,0,0,0,2900,518,3418,12216,15634,0.00990971,0.066156,-0.99776,0
0,0,0,0,0,4118,757,4875,16469,21344,0.00924009,0.0646003,-0.997868,0
0,0,0,0,0,2615,471,3086,11015,14101,0.0111671,0.0671816,-0.997678,0
0,0,0,0,0,3618,641,4259,15062,19321,0.0108987,0.06674,-0.997711,0
0,0,0,0,0,3405,593,3998,13870,17868,0.00843462,0.0648468,-0.99786,0
0,0,0,0,0,6490,1126,7616,20060,27676,0.00273411,0.0665789,-0.997777,0
0,0,0,0,0,2470,404,2874,8617,11491,0.00303672,0.0648282,-0.997892,0
