Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19660,234,717,20611,1308,21919,-0.106455,-0.0287448,-0.993902,0
0,0,0,0,9861,200,539,10600,1039,11639,-0.0819908,0.120365,-0.989338,0
0,0,0,0,12116,238,655,13009,1216,14225,-0.23955,0.0094752,-0.970838,0
0,0,0,0,17434,306,804,18544,1314,19858,-0.0369908,0.233053,-0.97176,0
0,0,0,0,9728,132,507,10367,1005,11372,-0.374383,-0.118133,-0.919718,0
0,0,0,0,11916,153,627,12696,1204,13900,0.0859355,0.365357,-0.926892,0
0,0,0,0,15134,198,784,16116,1536,17652,-0.293077,-0.154382,-0.943542,0
0,0,0,0,15231,212,835,16278,1495,17773,0.0510303,0.35905,-0.931922,0
0,0,0,0,11096,261,609,11966,1171,13137,-0.205898,-0.0994758,-0.973505,0
0,0,0,0,15057,312,740,16109,1374,17483,-0.0687011,0.228456,-0.971127,0
0,0,0,0,10424,158,569,11151,1028,12179,-0.213175,-0.0477837,-0.975845,0
0,0,0,0,14951,237,677,15865,1293,17158,-0.0702644,0.226456,-0.971484,0
0,0,0,0,10323,255,532,11110,992,12102,-0.268335,-0.0775982,-0.960195,0
0,0,0,0,19598,283,971,20852,1300,22152,0.00728944,0.2673,-0.963586,0
0,0,0,0,10096,133,513,10742,1037,11779,-0.14153,-0.027792,-0.989544,0
0,0,0,0,12326,178,717,13221,1216,14437,-0.0774643,0.144284,-0.9865,0
0,0,0,0,12950,192,649,13791,1182,14973,-0.220268,-0.00260095,-0.975436,0
0,0,0,0,9255,193,504,9952,943,10895,-0.0619373,0.194703,-0.978905,0
0,0,0,0,19310,222,710,20242,1204,21446,-0.22504,-0.0296968,-0.973897,0
0,0,0,0,7993,151,497,8641,843,9484,-0.0361612,0.467283,-0.883368,0
0,0,0,0,4983,44,244,5271,452,5723,-0.087629,-0.0345158,-0.995555,0
0,0,0,0,5856,106,297,6259,550,6809,-0.0822634,0.0890554,-0.992624,0
0,0,0,0,20428,366,1019,21813,1615,23428,-0.0800886,0.0411291,-0.995939,0
0,0,0,0,13472,274,721,14467,981,15448,-0.109206,0.0754377,-0.991153,0
0,0,0,0,10216,226,630,11072,1004,12076,-0.0663602,0.0416408,-0.996927,0
0,0,0,0,19876,400,1054,21330,1534,22864,-0.142839,0.10456,-0.984208,0
0,0,0,0,9648,135,385,10168,664,10832,-0.111096,0.067465,-0.991517,0
0,0,0,0,5522,72,265,5859,509,6368,-0.0725199,0.0437198,-0.996408,0
0,0,0,0,5315,80,280,5675,532,6207,-0.0814719,0.0501384,-0.995414,0
0,0,0,0,12746,240,638,13624,1234,14858,-0.0971927,0.0638553,-0.993215,0
0,0,0,0,19176,179,697,20052,1110,21162,-0.0673616,0.0370204,-0.997042,0
0,0,0,0,9906,164,599,10669,993,11662,-0.101387,0.0720366,-0.992236,0
0,0,0,0,9863,199,577,10639,1018,11657,-0.113781,0.0690811,-0.991101,0
0,0,0,0,15866,340,817,17023,1526,18549,-0.104222,0.0758254,-0.991659,0
0,0,0,0,11228,182,610,12020,1175,13195,-0.0757086,0.0430449,-0.9962,0
0,0,0,0,10408,192,582,11182,1053,12235,-0.194141,0.143296,-0.970451,0
0,0,0,0,19616,247,688,20551,1323,21874,-0.152023,0.0918264,-0.984102,0
0,0,0,0,7447,127,357,7931,623,8554,-0.0551506,0.0312378,-0.99799,0
0,0,0,0,9914,139,459,10512,793,11305,-0.128265,0.0845466,-0.988129,0
0,0,0,0,19380,320,822,20522,1295,21817,-0.066284,0.0419879,-0.996917,0
0,0,0,0,8758,128,437,9323,670,9993,-0.138577,0.0907984,-0.986181,0
0,0,0,0,5829,123,318,6270,579,6849,-0.0980565,0.0565027,-0.993576,0
0,0,0,0,12138,283,657,13078,1200,14278,-0.0761802,0.0547545,-0.995589,0
0,0,0,0,20139,291,732,21162,1269,22431,-0.0759149,0.0499415,-0.995863,0
0,0,0,0,10698,154,571,11423,1041,12464,-0.0973549,0.0606632,-0.993399,0
0,0,0,0,17361,221,910,18492,1693,20185,-0.127825,0.0734623,-0.989072,0
0,0,0,0,12447,168,649,13264,1224,14488,-0.0901117,0.0662714,-0.993724,0
0,0,0,0,19210,253,886,20349,1305,21654,-0.0946353,0.0482273,-0.994343,0
0,0,0,0,9901,204,528,10633,1036,11669,-0.135437,0.104905,-0.985217,0
0,0,0,0,19954,305,693,20952,1302,22254,-0.0984691,0.0537002,-0.99369,0
0,0,0,0,10263,229,540,11032,999,12031,-0.0900492,0.0521765,-0.99457,0
0,0,0,0,19280,179,689,20148,1317,21465,-0.106905,0.0722691,-0.991639,0
0,0,0,0,13021,250,702,13973,1281,15254,-0.0808787,0.0472928,-0.995601,0
0,0,0,0,12385,277,644,13306,1280,14586,-0.0945202,0.0620143,-0.99359,0
0,0,0,0,15781,311,830,16922,1147,18069,-0.117062,0.0591673,-0.991361,0
0,0,0,0,12024,230,605,12859,1144,14003,-0.0716387,0.0430665,-0.9965,0
0,0,0,0,12939,164,731,13834,1354,15188,-0.0854997,0.0594584,-0.994562,0
0,0,0,0,20536,322,589,21447,1044,22491,-0.0981336,0.0527719,-0.993773,0
0,0,0,0,8947,225,453,9625,841,10466,-0.0936205,0.0743236,-0.99283,0
0,0,0,0,13212,303,640,14155,1228,15383,-0.0758498,0.0425241,-0.996212,0
0,0,0,0,12263,170,642,13075,1260,14335,-0.081158,0.0506687,-0.995412,0
0,0,0,0,19023,405,867,20295,1299,21594,-0.117577,0.072915,-0.990383,0
0,0,0,0,10078,123,445,10646,796,11442,-0.108441,0.0651142,-0.991968,0
0,0,0,0,11619,156,637,12412,1192,13604,-0.0701731,0.0417395,-0.996661,0
0,0,0,0,20155,178,705,21038,1289,22327,-0.174353,0.113241,-0.97815,0
0,0,0,0,18350,237,566,19153,1046,20199,-0.162766,0.118494,-0.979524,0
0,0,0,0,8732,142,454,9328,833,10161,-0.134107,0.086754,-0.987162,0
0,0,0,0,21686,413,995,23094,1692,24786,-0.0545374,0.026461,-0.998161,0
0,0,0,0,6713,80,289,7082,512,7594,-0.0887167,0.0617619,-0.99414,0
0,0,0,0,8111,202,431,8744,800,9544,-0.106534,0.0547361,-0.992801,0
0,0,0,0,20490,267,1025,21782,1824,23606,-0.0831615,0.0639115,-0.994484,0
0,0,0,0,13269,178,581,14028,990,15018,-0.106347,0.0635541,-0.992296,0
0,0,0,0,8300,136,460,8896,798,9694,-0.0869437,0.0611831,-0.994333,0
0,0,0,0,19813,334,920,21067,1323,22390,-0.0851724,0.0609039,-0.994503,0
0,0,0,0,13475,244,702,14421,1011,15432,-0.0772209,0.0463962,-0.995934,0
0,0,0,0,13487,157,653,14297,1182,15479,-0.121191,0.0695081,-0.990193,0
0,0,0,0,19974,442,1085,21501,1854,23355,-0.0637003,0.037339,-0.99727,0
0,0,0,0,13422,188,555,14165,854,15019,-0.0868117,0.0596278,-0.994439,0
0,0,0,0,9230,137,487,9854,1009,10863,-0.0880065,0.0519833,-0.994763,0
0,0,0,0,20821,250,720,21791,1295,23086,-0.109497,0.0670148,-0.991725,0
0,0,0,0,10667,238,529,11434,1006,12440,-0.0769818,0.0402222,-0.996221,0
0,0,0,0,15419,199,822,16440,1503,17943,-0.117921,0.0808317,-0.989728,0
0,0,0,0,14587,236,605,15428,1112,16540,-0.120545,0.0532848,-0.991277,0
0,0,0,0,8981,138,481,9600,891,10491,-0.0993146,0.0712629,-0.992501,0
0,0,0,0,19828,304,997,21129,1852,22981,-0.0784849,0.0388016,-0.99616,0
0,0,0,0,12421,131,516,13068,990,14058,-0.0917664,0.0564859,-0.994177,0
0,0,0,0,9268,216,535,10019,913,10932,-0.127317,0.0869239,-0.988046,0
0,0,0,0,19718,314,983,21015,1354,22369,-0.10857,0.0610046,-0.992215,0
0,0,0,0,10127,207,547,10881,1006,11887,-0.0903164,0.0582058,-0.994211,0
0,0,0,0,21940,361,752,23053,1354,24407,-0.102952,0.0523552,-0.993308,0
0,0,0,0,10467,166,545,11178,1005,12183,-0.083972,0.053917,-0.995008,0
0,0,0,0,11677,178,613,12468,1122,13590,-0.0859888,0.0424979,-0.995389,0
0,0,0,0,11841,185,605,12631,1134,13765,-0.080572,0.0387686,-0.995994,0
0,0,0,0,22070,357,781,23208,1469,24677,-0.116685,0.0830409,-0.989691,0
0,0,0,0,8882,111,382,9375,716,10091,-0.103305,0.0364076,-0.993983,0
0,0,0,0,5760,86,289,6135,511,6646,-0.0845854,0.0581479,-0.994718,0
0,0,0,0,6112,156,312,6580,601,7181,-0.0912092,0.0549901,-0.994312,0
0,0,0,0,21766,348,717,22831,1285,24116,-0.11107,0.0607262,-0.991956,0
0,0,0,0,13364,274,536,14174,984,15158,-0.0978183,0.056504,-0.993599,0
0,0,0,0,8587,138,430,9155,793,9948,-0.0910655,0.0545782,-0.994348,0
0,0,0,0,19002,258,701,19961,1235,21196,-0.0895,0.0496547,-0.994748,0
0,0,0,0,10763,146,541,11450,999,12449,-0.0889459,0.0515239,-0.994703,0
0,0,0,0,16800,229,613,17642,1120,18762,-0.0917128,0.0551918,-0.994255,0
0,0,0,0,19035,188,545,19768,1096,20864,-0.0972615,0.0686451,-0.992889,0
0,0,0,0,8812,117,447,9376,807,10183,-0.0902119,0.0543088,-0.994441,0
0,0,0,0,11484,163,582,12229,1103,13332,-0.0854896,0.0472899,-0.995216,0
0,0,0,0,22678,314,827,23819,1413,25232,-0.0963153,0.058794,-0.993613,0
0,0,0,0,12160,184,481,12825,864,13689,-0.094185,0.0683794,-0.993204,0
0,0,0,0,9933,151,453,10537,837,11374,-0.0940627,0.0883263,-0.991641,0
0,0,0,0,10913,175,536,11624,966,12590,-0.0818656,0.122608,-0.989073,0
0,0,0,0,20921,260,710,21891,1278,23169,-0.0800132,0.160091,-0.983854,0
0,0,0,0,10813,184,548,11545,959,12504,-0.0777688,0.180165,-0.980557,0
0,0,0,0,11551,193,554,12298,1008,13306,-0.0933675,0.252475,-0.963088,0
0,0,0,0,11418,224,530,12172,800,12972,-0.101118,0.364353,-0.925755,0
0,0,0,0,9889,192,510,10591,811,11402,-0.130042,0.342359,-0.930526,0
0,0,0,0,18114,309,833,19256,1185,20441,-0.0817814,0.458968,-0.884681,0
0,0,0,0,10387,181,485,11053,821,11874,-0.112368,0.436424,-0.892697,0
0,0,0,0,12087,202,659,12948,1026,13974,-0.0597669,0.507881,-0.859351,0
0,0,0,0,12409,221,617,13247,1022,14269,-0.0760233,0.55284,-0.829812,0
0,0,0,0,14842,237,720,15799,1174,16973,-0.0631711,0.599532,-0.797854,0
0,0,0,0,22155,357,782,23294,-1000,-1000,-1,-1,-1,0
0,0,0,0,11553,169,572,12294,809,13103,-0.0937943,0.673922,-0.732825,0
0,0,0,0,9029,116,479,9624,-1000,-1000,-1,-1,-1,0
0,0,0,0,22260,158,806,23224,1299,24523,-0.068374,0.402245,-0.912975,0
0,0,0,0,10284,69,486,10839,-1000,-1000,-1,-1,-1,0
0,0,0,0,7420,65,392,7877,678,8555,-0.069558,0.525116,-0.848184,0
0,0,0,0,16749,108,902,17759,-1000,-1000,-1,-1,-1,0
0,0,0,0,15950,90,660,16700,-1000,-1000,-1,-1,-1,0
0,0,0,0,9189,149,490,9828,-1000,-1000,-1,-1,-1,0
0,0,0,0,21502,186,727,22415,-1000,-1000,-1,-1,-1,0
0,0,0,0,10121,63,566,10750,-1000,-1000,-1,-1,-1,0
0,0,0,0,8306,115,421,8842,-1000,-1000,-1,-1,-1,0
0,0,0,0,19049,134,989,20172,-1000,-1000,-1,-1,-1,0
0,0,0,0,12781,93,678,13552,-1000,-1000,-1,-1,-1,0
0,0,0,0,20397,339,955,21691,-1000,-1000,-1,-1,-1,0
0,0,0,0,12514,118,684,13316,1387,14703,0.0719137,-0.602762,-0.794674,0
0,0,0,0,14779,90,754,15623,-1000,-1000,-1,-1,-1,0
0,0,0,0,21104,300,709,22113,-1000,-1000,-1,-1,-1,0
0,0,0,0,10493,158,545,11196,-1000,-1000,-1,-1,-1,0
0,0,0,0,17058,253,834,18145,-1000,-1000,-1,-1,-1,0
0,0,0,0,15010,177,549,15736,-1000,-1000,-1,-1,-1,0
0,0,0,0,9852,100,550,10502,-1000,-1000,-1,-1,-1,0
0,0,0,0,18546,229,940,19715,1712,21427,0.0852167,0.0905677,-0.992238,0
0,0,0,0,12141,73,702,12916,1318,14234,-0.0122591,-0.249711,-0.968243,0
0,0,0,0,12439,109,697,13245,-1000,-1000,-1,-1,-1,0
