Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18229,277,909,19415,1412,20827,-0.0474725,-0.049733,-0.997634,0
0,0,0,0,11570,187,604,12361,1053,13414,-0.0163143,0.016321,-0.999734,0
0,0,0,0,4910,98,236,5244,485,5729,-0.0264714,-0.0282575,-0.99925,0
0,0,0,0,15892,343,859,17094,1303,18397,0.00043943,-0.0383665,-0.999263,0
0,0,0,0,8857,120,459,9436,987,10423,-0.0440656,-0.013045,-0.998944,0
0,0,0,0,16686,354,871,17911,1604,19515,-0.0153186,-0.0271853,-0.999513,0
0,0,0,0,11174,170,603,11947,1210,13157,-0.018108,-0.0268236,-0.999476,0
0,0,0,0,14471,218,785,15474,1638,17112,-0.0331971,-0.0174983,-0.999296,0
0,0,0,0,11286,164,586,12036,1126,13162,-0.0358592,-0.0187868,-0.99918,0
0,0,0,0,11250,193,574,12017,1122,13139,-0.0340226,-0.0242914,-0.999126,0
0,0,0,0,14007,187,714,14908,1453,16361,-0.00902453,-0.029198,-0.999533,0
0,0,0,0,10127,139,569,10835,1066,11901,-0.0318804,-0.0228505,-0.999231,0
0,0,0,0,16999,229,684,17912,1229,19141,-0.0259995,-0.0250803,-0.999347,0
0,0,0,0,18650,238,634,19522,1261,20783,-0.0336916,-0.0167033,-0.999293,0
0,0,0,0,8921,126,374,9421,755,10176,-0.0391154,-0.0166438,-0.999096,0
0,0,0,0,6441,89,315,6845,631,7476,-0.0310571,-0.0233808,-0.999244,0
0,0,0,0,7580,108,393,8081,839,8920,-0.057121,-0.00910801,-0.998326,0
0,0,0,0,16811,241,871,17923,1242,19165,-0.00896063,-0.0377115,-0.999249,0
0,0,0,0,13949,143,461,14553,938,15491,-0.0183392,-0.0245708,-0.99953,0
0,0,0,0,17424,260,905,18589,1784,20373,0.0134929,-0.0490315,-0.998706,0
0,0,0,0,10512,139,463,11114,930,12044,-0.0487467,-0.0103001,-0.998758,0
0,0,0,0,6111,117,270,6498,544,7042,-0.010164,-0.0369428,-0.999266,0
0,0,0,0,4516,66,237,4819,482,5301,-0.0450601,-0.0138926,-0.998888,0
0,0,0,0,15696,167,621,16484,1114,17598,-0.0370076,-0.0155753,-0.999194,0
0,0,0,0,7714,107,387,8208,782,8990,-0.0181367,-0.025504,-0.99951,0
0,0,0,0,10009,173,534,10716,1055,11771,-0.0172388,-0.0300095,-0.999401,0
0,0,0,0,17793,272,910,18975,1760,20735,-0.035854,-0.0175013,-0.999204,0
0,0,0,0,8955,185,478,9618,892,10510,0.00747684,-0.0459806,-0.998915,0
0,0,0,0,8296,113,442,8851,894,9745,-0.0338185,-0.0188778,-0.999249,0
0,0,0,0,16972,228,804,18004,1234,19238,-0.0273839,-0.0184368,-0.999455,0
0,0,0,0,8901,137,476,9514,1142,10656,-0.016393,-0.0287216,-0.999453,0
0,0,0,0,10700,168,656,11524,1206,12730,-0.055023,-0.00884143,-0.998446,0
0,0,0,0,14005,176,737,14918,1475,16393,-0.0408067,-0.0165872,-0.999029,0
0,0,0,0,19383,226,657,20266,1341,21607,-0.0176421,-0.0265742,-0.999491,0
0,0,0,0,7860,96,376,8332,665,8997,-0.0302771,-0.0194499,-0.999352,0
0,0,0,0,5146,66,245,5457,496,5953,-0.035491,-0.0192093,-0.999186,0
0,0,0,0,6906,108,376,7390,782,8172,-0.0239509,-0.025051,-0.9994,0
0,0,0,0,18483,243,651,19377,1208,20585,-0.0371462,-0.0179933,-0.999148,0
0,0,0,0,11365,179,603,12147,1223,13370,-0.0335992,-0.0192489,-0.99925,0
0,0,0,0,17004,184,606,17794,1206,19000,-0.0376005,-0.0176187,-0.999137,0
0,0,0,0,8876,147,462,9485,946,10431,-0.0269576,-0.0223929,-0.999386,0
0,0,0,0,16965,163,605,17733,1231,18964,-0.00933829,-0.0340974,-0.999375,0
0,0,0,0,8810,167,461,9438,932,10370,-0.0146803,-0.0308643,-0.999416,0
0,0,0,0,14101,222,1007,15330,1658,16988,-0.0349615,-0.0175354,-0.999235,0
0,0,0,0,12697,180,654,13531,1314,14845,-0.014205,-0.0312759,-0.99941,0
0,0,0,0,12087,214,653,12954,1336,14290,-0.0261542,-0.0260459,-0.999319,0
0,0,0,0,15789,165,610,16564,1218,17782,-0.0358433,-0.0179998,-0.999195,0
0,0,0,0,9102,147,463,9712,947,10659,-0.00244198,-0.0352889,-0.999374,0
0,0,0,0,20580,214,656,21450,1313,22763,-0.0449886,-0.0134365,-0.998897,0
0,0,0,0,7777,156,383,8316,712,9028,-0.0356861,-0.0208911,-0.999145,0
0,0,0,0,12757,187,466,13410,960,14370,-0.0292677,-0.0234978,-0.999295,0
0,0,0,0,6025,129,316,6470,634,7104,0.0107202,-0.0478216,-0.998798,0
0,0,0,0,19299,330,991,20620,2073,22693,-0.00403131,-0.0395126,-0.999211,0
0,0,0,0,9380,120,393,9893,815,10708,-0.0399481,-0.0178547,-0.999042,0
