Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,20584,323,815,21722,1290,23012,-0.0497287,-0.0497286,-0.997524,0
0,0,0,0,9839,129,473,10441,762,11203,0.0353946,-0.0281106,-0.998978,0
0,0,0,0,9170,168,526,9864,828,10692,-0.00961904,-0.0219611,-0.999712,0
0,0,0,0,19149,310,1174,20633,1796,22429,0.0100871,-0.00798761,-0.999917,0
0,0,0,0,19145,211,768,20124,1210,21334,-0.00159539,-0.024981,-0.999687,0
0,0,0,0,10146,141,594,10881,767,11648,0.0167375,-0.00928251,-0.999817,0
0,0,0,0,12022,215,688,12925,1056,13981,-0.0055055,-0.0354232,-0.999357,0
0,0,0,0,14651,334,848,15833,1428,17261,0.00871809,-0.00639473,-0.999941,0
0,0,0,0,13181,182,765,14128,1237,15365,-0.0036011,-0.0246912,-0.999688,0
0,0,0,0,19116,281,1102,20499,1772,22271,-0.00853651,-0.0367678,-0.999287,0
0,0,0,0,19431,331,1158,20920,1768,22688,0.0102983,-0.00951046,-0.999902,0
0,0,0,0,9597,154,492,10243,757,11000,0.000121854,-0.0252455,-0.999681,0
0,0,0,0,5608,96,301,6005,481,6486,0.00598471,-0.00891914,-0.999942,0
0,0,0,0,18040,269,778,19087,1175,20262,-0.0109869,-0.0342561,-0.999353,0
0,0,0,0,10345,193,585,11123,950,12073,0.0265358,0.0022098,-0.999645,0
0,0,0,0,21144,262,834,22240,1279,23519,-0.042134,-0.0797397,-0.995925,0
0,0,0,0,11018,157,587,11762,871,12633,0.0279214,-0.00939629,-0.999566,0
0,0,0,0,11774,227,667,12668,1049,13717,-0.0187202,-0.0384789,-0.999084,0
0,0,0,0,11751,230,664,12645,1054,13699,0.0169658,-0.0155317,-0.999736,0
0,0,0,0,19453,305,1107,20865,1207,22072,-0.0135941,-0.0404634,-0.999088,0
0,0,0,0,13226,220,765,14211,1226,15437,0.0107158,-0.0131565,-0.999856,0
0,0,0,0,15736,198,954,16888,1262,18150,0.00135005,-0.022361,-0.999749,0
0,0,0,0,14539,134,622,15295,983,16278,0.0029151,-0.0143899,-0.999893,0
0,0,0,0,10953,215,620,11788,1004,12792,0.00547503,-0.0184801,-0.999814,0
0,0,0,0,18801,244,799,19844,1224,21068,-0.00928493,-0.0508412,-0.998664,0
0,0,0,0,13341,204,786,14331,967,15298,0.0130139,-0.00793347,-0.999884,0
0,0,0,0,20056,251,1106,21413,1374,22787,-0.000948392,-0.0253113,-0.999679,0
0,0,0,0,13299,143,602,14044,924,14968,0.00606082,-0.013116,-0.999896,0
0,0,0,0,12486,173,729,13388,1151,14539,0.01535,-0.0113889,-0.999817,0
0,0,0,0,18926,249,765,19940,1238,21178,-0.020944,-0.0405078,-0.99896,0
0,0,0,0,10098,180,596,10874,926,11800,0.0157291,-0.0103978,-0.999822,0
0,0,0,0,15781,284,912,16977,1434,18411,-0.021469,-0.0399291,-0.998972,0
0,0,0,0,11488,187,690,12365,1068,13433,0.0248966,-0.0166142,-0.999552,0
0,0,0,0,17858,239,716,18813,1136,19949,-0.000757936,-0.0125415,-0.999921,0
0,0,0,0,9668,174,575,10417,891,11308,0.00565821,-0.0227596,-0.999725,0
0,0,0,0,19408,299,768,20475,1215,21690,-0.00270738,-0.031138,-0.999511,0
0,0,0,0,10141,228,588,10957,958,11915,-0.000215698,-0.016045,-0.999871,0
0,0,0,0,18612,319,1015,19946,1260,21206,0.00705236,-0.0197063,-0.999781,0
0,0,0,0,12520,233,706,13459,912,14371,-0.0070829,-0.042518,-0.999071,0
0,0,0,0,11614,193,664,12471,1044,13515,0.00779328,-0.0133874,-0.99988,0
0,0,0,0,19449,357,1054,20860,1209,22069,-0.00143791,-0.0297494,-0.999556,0
0,0,0,0,13416,239,618,14273,927,15200,-0.00276644,-0.0213574,-0.999768,0
0,0,0,0,12576,251,711,13538,1171,14709,0.00545754,-0.0188843,-0.999807,0
0,0,0,0,15616,233,918,16767,1302,18069,-0.00299677,-0.0236263,-0.999716,0
0,0,0,0,11662,189,664,12515,1085,13600,-0.000332368,-0.00772534,-0.99997,0
0,0,0,0,14400,207,834,15441,1323,16764,0.0097016,-0.0124938,-0.999875,0
0,0,0,0,11086,197,622,11905,981,12886,-0.00417697,-0.0242335,-0.999698,0
0,0,0,0,18405,217,711,19333,1156,20489,0.0100527,-0.0132262,-0.999862,0
0,0,0,0,9657,149,573,10379,877,11256,-0.00501732,-0.0257948,-0.999655,0
0,0,0,0,14480,243,831,15554,1339,16893,0.0254386,-0.00305486,-0.999672,0
0,0,0,0,14580,266,642,15488,1031,16519,-0.0127799,-0.0363175,-0.999259,0
0,0,0,0,10688,178,620,11486,994,12480,0.0248572,-0.00740233,-0.999664,0
0,0,0,0,19385,203,765,20353,1212,21565,-0.0175919,-0.0366568,-0.999173,0
0,0,0,0,10264,175,591,11030,925,11955,0.0151466,-0.0131779,-0.999798,0
0,0,0,0,18922,181,777,19880,1208,21088,-0.0233049,-0.0499363,-0.998481,0
0,0,0,0,10180,167,585,10932,941,11873,0.0143525,-0.0104973,-0.999842,0
0,0,0,0,19358,373,1109,20840,1544,22384,-0.00272825,-0.0278629,-0.999608,0
0,0,0,0,13194,156,688,14038,923,14961,0.00687378,-0.0198073,-0.99978,0
0,0,0,0,12946,246,765,13957,1162,15119,0.002651,-0.0166559,-0.999858,0
0,0,0,0,12228,155,707,13090,1147,14237,-5.57962e-05,-0.0260645,-0.99966,0
0,0,0,0,19560,227,796,20583,1219,21802,-0.00127561,-0.0198499,-0.999802,0
0,0,0,0,9959,189,591,10739,928,11667,0.00373442,-0.0194539,-0.999804,0
0,0,0,0,19893,349,998,21240,1228,22468,0.00686039,-0.0107592,-0.999918,0
0,0,0,0,13178,179,591,13948,925,14873,-0.0032813,-0.0211639,-0.999771,0
0,0,0,0,18629,247,764,19640,1170,20810,-0.000869128,-0.00930799,-0.999956,0
0,0,0,0,10233,186,618,11037,943,11980,0.0206358,-0.0242116,-0.999494,0
0,0,0,0,14746,160,868,15774,1331,17105,-0.0356615,-0.0579825,-0.99768,0
0,0,0,0,14261,221,823,15305,1312,16617,0.0197313,-0.00794259,-0.999774,0
0,0,0,0,11199,180,665,12044,1004,13048,-0.00640692,-0.0320749,-0.999465,0
0,0,0,0,17360,250,992,18602,1634,20236,0.00693266,-0.0226483,-0.99972,0
0,0,0,0,12995,216,723,13934,1142,15076,0.00611413,-0.0165393,-0.999845,0
0,0,0,0,12472,233,713,13418,1196,14614,-0.00642613,-0.0199763,-0.99978,0
0,0,0,0,19182,236,765,20183,1209,21392,0.0155575,-0.0132214,-0.999792,0
0,0,0,0,10184,194,596,10974,933,11907,-0.0118869,-0.0254487,-0.999605,0
0,0,0,0,19291,254,769,20314,1231,21545,0.0172502,-0.0166223,-0.999713,0
0,0,0,0,10172,94,471,10737,751,11488,-0.0294924,-0.0398124,-0.998772,0
0,0,0,0,14631,205,831,15667,1339,17006,0.0262966,-0.0175732,-0.9995,0
0,0,0,0,19022,141,770,19933,1237,21170,-0.0162941,-0.0357284,-0.999229,0
0,0,0,0,10139,154,604,10897,926,11823,0.023262,-0.00503873,-0.999717,0
0,0,0,0,18193,197,1008,19398,1154,20552,-0.0163119,-0.0403396,-0.999053,0
0,0,0,0,12438,230,714,13382,1122,14504,0.0211995,-0.0204314,-0.999567,0
0,0,0,0,18461,236,718,19415,1130,20545,-0.0181009,-0.0329303,-0.999294,0
0,0,0,0,9595,167,553,10315,905,11220,0.0211439,-0.00732299,-0.999749,0
0,0,0,0,18369,235,994,19598,1571,21169,-0.0087339,-0.0440526,-0.998991,0
0,0,0,0,12468,183,733,13384,1140,14524,0.0147856,-0.00553988,-0.999875,0
0,0,0,0,12660,233,706,13599,1138,14737,0.00043647,-0.021896,-0.999761,0
0,0,0,0,18925,338,769,20032,1158,21190,0.0138196,-0.00778063,-0.999874,0
0,0,0,0,9399,127,549,10075,888,10963,-0.000262455,-0.0169185,-0.999857,0
0,0,0,0,18160,331,847,19338,1135,20473,0.00932744,-0.00661836,-0.999935,0
0,0,0,0,12497,219,722,13438,1147,14585,-0.0174287,-0.0428016,-0.998932,0
0,0,0,0,16056,292,905,17253,1427,18680,0.0185644,-0.0117705,-0.999758,0
0,0,0,0,11592,216,660,12468,1082,13550,-0.0116178,-0.0265232,-0.999581,0
0,0,0,0,14379,170,832,15381,1277,16658,0.0217659,-0.00659652,-0.999741,0
0,0,0,0,13112,266,764,14142,1209,15351,-0.00917098,-0.0489738,-0.998758,0
0,0,0,0,18767,355,732,19854,1142,20996,0.0110998,-0.0057173,-0.999922,0
0,0,0,0,9708,198,553,10459,902,11361,-0.00831689,-0.0402585,-0.999155,0
0,0,0,0,23338,350,1117,24805,1619,26424,0.0112376,-0.0102605,-0.999884,0
0,0,0,0,5909,65,306,6280,479,6759,0.00545529,-0.0236108,-0.999706,0
0,0,0,0,6066,96,354,6516,561,7077,0.00982384,-0.00295778,-0.999947,0
0,0,0,0,17292,220,1004,18516,1660,20176,-0.012919,-0.0464487,-0.998837,0
0,0,0,0,17378,257,1002,18637,1625,20262,0.0246098,-0.00666299,-0.999675,0
0,0,0,0,16013,242,709,16964,1125,18089,-0.0215653,-0.0382812,-0.999034,0
0,0,0,0,11376,177,668,12221,1080,13301,0.0206468,-0.00752607,-0.999759,0
0,0,0,0,17733,317,1012,19062,1589,20651,-0.0251826,-0.0456217,-0.998642,0
0,0,0,0,12606,199,710,13515,1131,14646,0.0230201,-0.0150671,-0.999621,0
0,0,0,0,18571,237,710,19518,1134,20652,-0.000114329,-0.0262481,-0.999655,0
