Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,16879,156,616,17651,1156,18807,-0.263272,-0.410326,-0.873109,0
0,0,0,0,10010,80,528,10618,942,11560,0.137438,0.499674,-0.855241,0
0,0,0,0,12151,123,782,13056,1239,14295,-0.094046,-0.309904,-0.946105,0
0,0,0,0,15327,109,859,16295,1467,17762,0.0255065,0.562474,-0.826421,0
0,0,0,0,11187,67,627,11881,1089,12970,-0.0265996,-0.282806,-0.958808,0
0,0,0,0,18075,127,1031,19233,1770,21003,0.0268558,0.63124,-0.775123,0
0,0,0,0,12984,59,558,13601,970,14571,-0.00395039,-0.307932,-0.9514,0
0,0,0,0,15824,189,904,16917,1488,18405,0.0104722,0.632371,-0.774595,0
0,0,0,0,11017,87,611,11715,1062,12777,-0.0229985,-0.483141,-0.875241,0
0,0,0,0,19438,105,980,20523,1172,21695,-0.00582665,0.496853,-0.867815,0
0,0,0,0,11819,99,670,12588,1135,13723,0.0200252,-0.286972,-0.95773,0
0,0,0,0,17754,171,939,18864,1588,20452,0.00402205,0.600987,-0.799249,0
0,0,0,0,12148,216,665,13029,1147,14176,-0.00302298,-0.442434,-0.896796,0
0,0,0,0,13832,86,769,14687,1352,16039,0.0328329,0.489551,-0.871357,0
0,0,0,0,18465,126,837,19428,1220,20648,-0.0167695,-0.345486,-0.938274,0
0,0,0,0,12612,94,718,13424,1195,14619,0.00933811,0.636641,-0.771104,0
0,0,0,0,11671,92,652,12415,1158,13573,-6.57976e-05,-0.484414,-0.874839,0
0,0,0,0,18532,165,1043,19740,1776,21516,0.023684,0.492943,-0.869739,0
0,0,0,0,12689,192,704,13585,1263,14848,-0.00727255,-0.254029,-0.967169,0
0,0,0,0,16733,80,662,17475,1160,18635,0.0366796,0.533049,-0.845289,0
0,0,0,0,11813,102,659,12574,1145,13719,-0.0143915,-0.328623,-0.944352,0
0,0,0,0,18481,125,673,19279,1154,20433,0.0395717,0.516985,-0.855079,0
0,0,0,0,9316,145,516,9977,918,10895,-0.0325351,-0.412751,-0.910263,0
0,0,0,0,13935,96,773,14804,1368,16172,0.0401458,0.411681,-0.910443,0
0,0,0,0,16439,202,925,17566,1551,19117,-0.0562072,-0.59077,-0.80488,0
0,0,0,0,18547,154,1045,19746,1806,21552,0.0161203,0.409047,-0.912371,0
0,0,0,0,10044,69,452,10565,763,11328,-0.0663131,-0.171346,-0.982977,0
0,0,0,0,5658,58,286,6002,482,6484,0.0195152,0.617031,-0.786697,0
0,0,0,0,6338,37,365,6740,623,7363,-0.0606013,-0.222341,-0.973084,0
0,0,0,0,16850,231,965,18046,1603,19649,0.00251523,0.432016,-0.901863,0
0,0,0,0,15885,115,690,16690,1140,17830,-0.0769121,-0.248476,-0.96558,0
0,0,0,0,16213,131,712,17056,996,18052,-0.0765731,0.512199,-0.855447,0
0,0,0,0,9279,105,529,9913,887,10800,-0.0888875,-0.16356,-0.982521,0
0,0,0,0,16921,114,678,17713,1156,18869,-0.0829027,0.555757,-0.827201,0
0,0,0,0,12099,78,678,12855,1185,14040,-0.19462,-0.293904,-0.935812,0
0,0,0,0,17146,128,961,18235,1588,19823,-0.128056,0.361344,-0.923598,0
0,0,0,0,16295,94,680,17069,1144,18213,-0.259471,-0.45039,-0.854297,0
0,0,0,0,11467,88,639,12194,1073,13267,-0.0531205,0.135965,-0.989289,0
0,0,0,0,11634,91,641,12366,1085,13451,-0.209839,-0.62599,-0.751069,0
0,0,0,0,11544,89,642,12275,1067,13342,-0.0250537,-0.281591,-0.959208,0
0,0,0,0,18061,168,766,18995,1179,20174,-0.0501682,-0.584279,-0.810001,0
0,0,0,0,11452,112,655,12219,1147,13366,0.0276229,-0.443427,-0.895885,0
0,0,0,0,12728,188,750,13666,-1000,-1000,-1,-1,-1,0
0,0,0,0,12863,96,742,13701,1011,14712,0.0837573,-0.32328,-0.942589,0
0,0,0,0,12145,93,686,12924,-1000,-1000,-1,-1,-1,0
0,0,0,0,17178,113,861,18152,1552,19704,0.0818513,-0.238028,-0.967803,0
0,0,0,0,12350,98,668,13116,-1000,-1000,-1,-1,-1,0
0,0,0,0,15315,118,788,16221,1462,17683,0.0943921,-0.533001,-0.840833,0
0,0,0,0,18740,126,971,19837,-1000,-1000,-1,-1,-1,0
0,0,0,0,13046,82,549,13677,-1000,-1000,-1,-1,-1,0
0,0,0,0,19219,76,718,20013,-1000,-1000,-1,-1,-1,0
0,0,0,0,11192,58,570,11820,-1000,-1000,-1,-1,-1,0
0,0,0,0,21627,137,1102,22866,1569,24435,-0.204251,0.539325,-0.816952,0
0,0,0,0,10330,49,394,10773,-1000,-1000,-1,-1,-1,0
0,0,0,0,6649,31,294,6974,475,7449,-0.218205,0.487238,-0.845568,0
0,0,0,0,5298,25,272,5595,-1000,-1000,-1,-1,-1,0
0,0,0,0,9783,64,542,10389,888,11277,0.400133,0.287934,-0.870051,0
0,0,0,0,19921,61,749,20731,-1000,-1000,-1,-1,-1,0
0,0,0,0,10441,90,568,11099,952,12051,-0.163459,0.337512,-0.927021,0
0,0,0,0,19244,144,725,20113,1270,21383,0.169576,-0.443687,-0.879992,0
0,0,0,0,10617,85,565,11267,979,12246,-0.225286,-0.00030063,-0.974293,0
0,0,0,0,8056,117,496,8669,764,9433,-0.156059,-0.0916089,-0.983491,0
0,0,0,0,19202,118,978,20298,-1000,-1000,-1,-1,-1,0
0,0,0,0,13937,83,717,14737,1147,15884,-0.0769885,-0.159861,-0.984133,0
0,0,0,0,18728,85,778,19591,-1000,-1000,-1,-1,-1,0
0,0,0,0,10240,36,586,10862,938,11800,-0.245769,-0.456307,-0.855208,0
0,0,0,0,19126,65,753,19944,-1000,-1000,-1,-1,-1,0
