Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18821,142,722,19685,-1000,-1000,-1,-1,-1,0
0,0,0,0,9614,110,538,10262,910,11172,-0.475129,-0.0151323,-0.879786,0
0,0,0,0,11872,129,665,12666,1043,13709,0.663477,0.0592426,-0.745847,0
0,0,0,0,11765,109,635,12509,1048,13557,-0.136618,0.00383519,-0.990616,0
0,0,0,0,18224,186,732,19142,1212,20354,0.646011,-0.13092,-0.752017,0
0,0,0,0,10154,45,567,10766,939,11705,-0.145886,0.0428752,-0.988372,0
0,0,0,0,15757,269,878,16904,1210,18114,0.548257,-0.425733,-0.719838,0
0,0,0,0,11473,70,620,12163,1049,13212,-0.119946,0.129903,-0.984245,0
0,0,0,0,19625,251,953,20829,1213,22042,0.136662,-0.258532,-0.956287,0
0,0,0,0,10397,147,570,11114,927,12041,-0.236924,0.473703,-0.848217,0
0,0,0,0,15624,182,885,16691,1185,17876,0.20818,-0.614578,-0.760891,0
0,0,0,0,14636,73,789,15498,1304,16802,-0.103268,0.287617,-0.952162,0
0,0,0,0,13381,81,728,14190,1216,15406,0.0683038,-0.659896,-0.748246,0
0,0,0,0,17376,187,959,18522,1131,19653,-0.0179676,0.216611,-0.976093,0
0,0,0,0,9706,72,530,10308,886,11194,-0.0468909,-0.439926,-0.89681,0
0,0,0,0,19491,128,1068,20687,1747,22434,0.00641037,0.230873,-0.972963,0
0,0,0,0,13189,168,573,13930,926,14856,-0.0154541,-0.231789,-0.972643,0
0,0,0,0,9665,60,546,10271,903,11174,-0.00447003,0.267739,-0.963481,0
0,0,0,0,20215,265,924,21404,1278,22682,0.0283951,-0.506372,-0.861848,0
0,0,0,0,13121,56,568,13745,888,14633,-0.0126079,0.378915,-0.925346,0
0,0,0,0,8595,94,463,9152,749,9901,0.00959172,-0.436003,-0.899894,0
0,0,0,0,20769,125,743,21637,1211,22848,0.000855536,0.411209,-0.911541,0
0,0,0,0,14903,99,591,15593,751,16344,0.0366065,-0.38753,-0.92113,0
0,0,0,0,7247,78,396,7721,639,8360,-0.00809511,0.504719,-0.863246,0
0,0,0,0,18699,120,727,19546,1122,20668,0.0394626,-0.179701,-0.98293,0
0,0,0,0,10414,110,542,11066,871,11937,-0.0120504,0.603855,-0.797003,0
0,0,0,0,13453,154,674,14281,1077,15358,0.0623721,0.0233311,-0.99778,0
0,0,0,0,16248,248,868,17364,1126,18490,-0.0117643,0.622657,-0.782407,0
0,0,0,0,11872,181,600,12653,1001,13654,0.0894629,0.227691,-0.969615,0
0,0,0,0,15065,129,756,15950,1208,17158,-0.0451604,0.626205,-0.778349,0
0,0,0,0,14641,210,657,15508,934,16442,0.0837752,0.329479,-0.940439,0
0,0,0,0,10728,113,569,11410,940,12350,-0.00961678,0.649981,-0.75989,0
0,0,0,0,19446,134,754,20334,1010,21344,0.0634821,0.44904,-0.891254,0
0,0,0,0,8451,119,446,9016,750,9766,0.0244028,0.662348,-0.748799,0
0,0,0,0,18666,164,967,19797,1166,20963,-0.0250435,0.425061,-0.904819,0
0,0,0,0,12870,152,680,13702,-1000,-1000,-1,-1,-1,0
0,0,0,0,9666,94,505,10265,897,11162,-0.0595579,0.557083,-0.828319,0
0,0,0,0,19363,330,973,20666,-1000,-1000,-1,-1,-1,0
0,0,0,0,13280,103,685,14068,1223,15291,-0.074774,0.504801,-0.859991,0
0,0,0,0,15999,142,819,16960,-1000,-1000,-1,-1,-1,0
0,0,0,0,11410,75,602,12087,1051,13138,-0.0475072,0.508539,-0.859727,0
0,0,0,0,19446,173,995,20614,-1000,-1000,-1,-1,-1,0
0,0,0,0,13544,187,712,14443,1212,15655,0.107913,0.511241,-0.852636,0
0,0,0,0,15792,130,802,16724,-1000,-1000,-1,-1,-1,0
0,0,0,0,15418,197,629,16244,1074,17318,0.0952311,0.697666,-0.710066,0
0,0,0,0,14124,208,778,15110,-1000,-1000,-1,-1,-1,0
0,0,0,0,14402,121,747,15270,-1000,-1000,-1,-1,-1,0
0,0,0,0,17684,434,892,19010,-1000,-1000,-1,-1,-1,0
0,0,0,0,12466,136,663,13265,-1000,-1000,-1,-1,-1,0
0,0,0,0,18613,135,698,19446,-1000,-1000,-1,-1,-1,0
0,0,0,0,10627,62,549,11238,-1000,-1000,-1,-1,-1,0
0,0,0,0,20281,64,729,21074,-1000,-1000,-1,-1,-1,0
0,0,0,0,10932,80,624,11636,-1000,-1000,-1,-1,-1,0
0,0,0,0,17271,271,673,18215,-1000,-1000,-1,-1,-1,0
0,0,0,0,12771,97,641,13509,-1000,-1000,-1,-1,-1,0
0,0,0,0,9897,56,519,10472,-1000,-1000,-1,-1,-1,0
0,0,0,0,18297,59,717,19073,-1000,-1000,-1,-1,-1,0
0,0,0,0,10826,93,564,11483,-1000,-1000,-1,-1,-1,0
0,0,0,0,10456,64,572,11092,-1000,-1000,-1,-1,-1,0
0,0,0,0,15528,166,815,16509,-1000,-1000,-1,-1,-1,0
0,0,0,0,11742,155,688,12585,-1000,-1000,-1,-1,-1,0
0,0,0,0,14551,119,775,15445,-1000,-1000,-1,-1,-1,0
0,0,0,0,14379,188,806,15373,-1000,-1000,-1,-1,-1,0
0,0,0,0,13201,143,738,14082,-1000,-1000,-1,-1,-1,0
0,0,0,0,16485,136,668,17289,-1000,-1000,-1,-1,-1,0
0,0,0,0,12050,124,665,12839,-1000,-1000,-1,-1,-1,0
0,0,0,0,9109,126,535,9770,-1000,-1000,-1,-1,-1,0
0,0,0,0,20332,153,781,21266,-1000,-1000,-1,-1,-1,0
0,0,0,0,10411,130,568,11109,-1000,-1000,-1,-1,-1,0
0,0,0,0,20078,333,1110,21521,1461,22982,-0.0620466,-0.632144,-0.772363,0
0,0,0,0,8785,91,388,9264,-1000,-1000,-1,-1,-1,0
0,0,0,0,5545,36,300,5881,487,6368,0.166559,-0.600218,-0.782302,0
0,0,0,0,5488,49,318,5855,-1000,-1000,-1,-1,-1,0
0,0,0,0,17042,110,984,18136,1622,19758,0.162712,-0.419355,-0.893122,0
0,0,0,0,18736,167,1069,19972,-1000,-1000,-1,-1,-1,0
0,0,0,0,9078,40,446,9564,734,10298,0.509821,-0.229365,-0.829141,0
0,0,0,0,5427,62,290,5779,-1000,-1000,-1,-1,-1,0
0,0,0,0,18588,54,732,19374,1218,20592,0.315472,-0.0647426,-0.946724,0
0,0,0,0,10281,60,550,10891,-1000,-1000,-1,-1,-1,0
0,0,0,0,11068,100,632,11800,1062,12862,0.321137,0.107163,-0.94095,0
0,0,0,0,17979,75,724,18778,-1000,-1000,-1,-1,-1,0
0,0,0,0,16396,112,566,17074,929,18003,0.29197,0.432203,-0.853203,0
