Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19505,223,1001,20729,1219,21948,0.0232193,-0.0771008,-0.996753,0
0,0,0,0,12250,109,554,12913,923,13836,0.0273684,-0.178894,-0.983488,0
0,0,0,0,7976,62,441,8479,764,9243,-0.0268755,0.14049,-0.989717,0
0,0,0,0,18749,295,1100,20144,1801,21945,0.0280931,-0.188267,-0.981716,0
0,0,0,0,12804,119,583,13506,927,14433,-0.0374761,0.160479,-0.986328,0
0,0,0,0,17802,149,788,18739,1123,19862,0.0287371,-0.190575,-0.981252,0
0,0,0,0,12123,179,690,12992,1122,14114,-0.0103897,0.127262,-0.991815,0
0,0,0,0,15305,118,845,16268,1525,17793,0.021999,-0.140201,-0.989879,0
0,0,0,0,11127,166,623,11916,1048,12964,0.0173001,-0.175332,-0.984357,0
0,0,0,0,19818,111,751,20680,1244,21924,0.0152166,-0.1372,-0.990426,0
0,0,0,0,13290,154,717,14161,996,15157,0.0367286,-0.167447,-0.985197,0
0,0,0,0,9894,74,550,10518,941,11459,0.0306606,-0.112634,-0.993164,0
0,0,0,0,19633,183,1074,20890,1336,22226,0.0203768,-0.174403,-0.984463,0
0,0,0,0,12526,121,576,13223,952,14175,0.00566276,0.107546,-0.994184,0
0,0,0,0,15526,217,909,16652,1375,18027,0.0191549,-0.159196,-0.987061,0
0,0,0,0,11283,152,623,12058,1080,13138,0.0187692,-0.172869,-0.984766,0
0,0,0,0,11957,115,626,12698,1070,13768,0.0297715,-0.165968,-0.985682,0
0,0,0,0,19083,101,689,19873,1125,20998,0.0387351,-0.164552,-0.985607,0
0,0,0,0,9410,147,534,10091,899,10990,0.0253436,-0.174223,-0.98438,0
0,0,0,0,14498,189,820,15507,1367,16874,0.0345699,-0.173203,-0.984279,0
0,0,0,0,19408,198,742,20348,1260,21608,0.00176305,-0.186601,-0.982434,0
0,0,0,0,12137,192,573,12902,928,13830,0.015641,-0.178597,-0.983798,0
0,0,0,0,9716,89,540,10345,877,11222,0.0448884,-0.172142,-0.984049,0
0,0,0,0,14765,59,313,15137,523,15660,0.00870975,-0.178226,-0.983951,0
0,0,0,0,5175,82,288,5545,488,6033,0.00221258,-0.179289,-0.983794,0
