Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,21465,237,652,22354,1008,23362,-0.0649663,-0.0726123,-0.995242,0
0,0,0,0,8234,106,359,8699,574,9273,-0.0705858,-0.0477038,-0.996365,0
0,0,0,0,7946,123,472,8541,687,9228,-0.0687156,-0.0559728,-0.996065,0
0,0,0,0,20874,288,804,21966,1208,23174,-0.0701697,-0.0452235,-0.99651,0
0,0,0,0,10756,152,631,11539,923,12462,-0.068349,-0.0522372,-0.996293,0
0,0,0,0,10462,182,558,11202,872,12074,-0.0714872,-0.0513592,-0.996118,0
0,0,0,0,19333,253,778,20364,927,21291,-0.0663075,-0.0503529,-0.996528,0
0,0,0,0,9114,164,478,9756,778,10534,-0.0769321,-0.0606328,-0.995191,0
0,0,0,0,18417,186,596,19199,927,20126,-0.0668005,-0.050534,-0.996486,0
0,0,0,0,8984,121,480,9585,766,10351,-0.0722604,-0.0479992,-0.99623,0
0,0,0,0,15565,230,862,16657,1310,17967,-0.0665839,-0.0499549,-0.99653,0
0,0,0,0,15522,371,904,16797,1020,17817,-0.070041,-0.048474,-0.996366,0
0,0,0,0,11546,203,642,12391,1015,13406,-0.0682306,-0.0531454,-0.996253,0
0,0,0,0,18077,234,717,19028,1144,20172,-0.06489,-0.0485448,-0.996711,0
0,0,0,0,10390,142,555,11087,909,11996,-0.0690514,-0.0483443,-0.996441,0
0,0,0,0,15474,236,850,16560,1310,17870,-0.0639792,-0.0473882,-0.996826,0
0,0,0,0,14302,233,773,15308,1404,16712,-0.0729472,-0.0519753,-0.995981,0
0,0,0,0,14980,219,763,15962,976,16938,-0.0682854,-0.046944,-0.996561,0
0,0,0,0,10910,132,603,11645,933,12578,-0.0686512,-0.0477082,-0.996499,0
0,0,0,0,20540,180,912,21632,1258,22890,-0.066279,-0.0472617,-0.996681,0
0,0,0,0,7468,155,405,8028,640,8668,-0.073464,-0.0520858,-0.995937,0
0,0,0,0,19024,187,626,19837,938,20775,-0.0673779,-0.0515317,-0.996396,0
0,0,0,0,8808,94,478,9380,791,10171,-0.0730276,-0.0520768,-0.995969,0
0,0,0,0,21321,181,774,22276,1226,23502,-0.063168,-0.0486072,-0.996818,0
0,0,0,0,10851,195,592,11638,955,12593,-0.0721033,-0.0515103,-0.996066,0
0,0,0,0,20149,212,777,21138,1233,22371,-0.0669936,-0.048759,-0.996562,0
0,0,0,0,10889,131,594,11614,945,12559,-0.0676574,-0.0469742,-0.996602,0
0,0,0,0,12571,178,669,13418,1079,14497,-0.0696042,-0.051608,-0.996239,0
0,0,0,0,18601,173,690,19464,936,20400,-0.0732626,-0.0570071,-0.995682,0
0,0,0,0,8840,105,479,9424,764,10188,-0.0673857,-0.0496996,-0.996488,0
0,0,0,0,15436,256,870,16562,1329,17891,-0.072221,-0.0541566,-0.995917,0
0,0,0,0,15335,177,628,16140,981,17121,-0.0676602,-0.0488338,-0.996512,0
0,0,0,0,17791,144,655,18590,947,19537,-0.071667,-0.0530095,-0.996019,0
0,0,0,0,7400,108,438,7946,635,8581,-0.0641424,-0.0481204,-0.99678,0
0,0,0,0,14584,213,767,15564,1225,16789,-0.0728562,-0.0513484,-0.99602,0
0,0,0,0,14476,192,593,15261,944,16205,-0.0622691,-0.0503501,-0.996789,0
0,0,0,0,18531,220,626,19377,915,20292,-0.0716605,-0.0491005,-0.99622,0
0,0,0,0,7277,133,345,7755,534,8289,-0.0640825,-0.0554758,-0.996401,0
0,0,0,0,5595,86,289,5970,445,6415,-0.0739029,-0.0480902,-0.996105,0
0,0,0,0,5578,95,308,5981,483,6464,-0.0647749,-0.0539913,-0.996438,0
0,0,0,0,15946,197,870,17013,1352,18365,-0.0735126,-0.0499184,-0.996044,0
0,0,0,0,14999,147,630,15776,990,16766,-0.0650131,-0.0540889,-0.996417,0
0,0,0,0,9318,131,532,9981,845,10826,-0.0750047,-0.0525904,-0.995796,0
0,0,0,0,11411,202,594,12207,961,13168,-0.0676226,-0.0521,-0.99635,0
0,0,0,0,13224,193,732,14149,1125,15274,-0.0668691,-0.0504134,-0.996487,0
0,0,0,0,16590,162,677,17429,1101,18530,-0.0693779,-0.0508918,-0.996292,0
0,0,0,0,10029,155,542,10726,842,11568,-0.0736337,-0.0534538,-0.995852,0
0,0,0,0,19680,125,597,20402,955,21357,-0.0710765,-0.0513317,-0.996149,0
0,0,0,0,7971,124,345,8440,534,8974,-0.0694559,-0.0504885,-0.996307,0
0,0,0,0,5531,97,305,5933,479,6412,-0.0724272,-0.056487,-0.995773,0
0,0,0,0,9732,129,558,10419,892,11311,-0.0622588,-0.0479419,-0.996908,0
0,0,0,0,19237,188,796,20221,1226,21447,-0.0733081,-0.0555737,-0.99576,0
0,0,0,0,10903,187,592,11682,956,12638,-0.0641502,-0.0499789,-0.996688,0
0,0,0,0,17909,239,671,18819,1052,19871,-0.070077,-0.0525748,-0.996155,0
0,0,0,0,12134,146,670,12950,1049,13999,-0.0731312,-0.0552415,-0.995791,0
0,0,0,0,11583,162,628,12373,982,13355,-0.06688,-0.0454557,-0.996725,0
0,0,0,0,18653,233,636,19522,924,20446,-0.069994,-0.0518998,-0.996196,0
0,0,0,0,8910,137,478,9525,750,10275,-0.0706513,-0.0539031,-0.996044,0
0,0,0,0,12404,210,687,13301,1050,14351,-0.0721092,-0.0565324,-0.995793,0
0,0,0,0,15646,284,839,16769,1332,18101,-0.0654223,-0.0496773,-0.99662,0
0,0,0,0,11300,125,626,12051,1003,13054,-0.0733737,-0.0502033,-0.99604,0
0,0,0,0,17844,164,719,18727,1122,19849,-0.0672374,-0.053383,-0.996308,0
0,0,0,0,10243,151,555,10949,889,11838,-0.0728988,-0.0492156,-0.996124,0
0,0,0,0,15387,153,851,16391,1304,17695,-0.0705081,-0.0534964,-0.996075,0
0,0,0,0,11696,134,626,12456,1007,13463,-0.0716058,-0.0566647,-0.995822,0
0,0,0,0,20352,247,777,21376,1217,22593,-0.0663639,-0.0480325,-0.996639,0
0,0,0,0,10875,142,476,11493,751,12244,-0.0716251,-0.0532426,-0.99601,0
0,0,0,0,10188,161,557,10906,895,11801,-0.0694124,-0.0516129,-0.996252,0
0,0,0,0,16010,159,646,16815,982,17797,-0.0718837,-0.0564176,-0.995816,0
0,0,0,0,11883,265,645,12793,993,13786,-0.0650681,-0.0512826,-0.996562,0
0,0,0,0,13337,203,734,14274,1124,15398,-0.0722344,-0.0548178,-0.99588,0
0,0,0,0,16521,186,684,17391,1053,18444,-0.0672521,-0.0513334,-0.996415,0
0,0,0,0,9744,160,531,10435,845,11280,-0.0729423,-0.0554305,-0.995795,0
0,0,0,0,14356,252,768,15376,1227,16603,-0.0674057,-0.0510298,-0.99642,0
0,0,0,0,17516,188,723,18427,1149,19576,-0.0678348,-0.0518414,-0.996349,0
0,0,0,0,10382,172,558,11112,918,12030,-0.070858,-0.0541849,-0.996014,0
0,0,0,0,19915,228,788,20931,1224,22155,-0.0678372,-0.0546951,-0.996196,0
0,0,0,0,10784,145,491,11420,773,12193,-0.0684068,-0.0522953,-0.996286,0
