Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,20677,160,788,21625,1261,22886,0.00342346,0.131097,-0.991364,0
0,0,0,0,9908,86,582,10576,858,11434,-0.164541,-0.343187,-0.924743,0
0,0,0,0,9404,90,548,10042,1065,11107,0.12399,0.218354,-0.96796,0
0,0,0,0,18637,222,812,19671,1263,20934,-0.172656,-0.295496,-0.939613,0
0,0,0,0,10295,173,596,11064,965,12029,0.119127,0.086352,-0.989117,0
0,0,0,0,18685,188,761,19634,1210,20844,-0.169379,-0.20355,-0.964302,0
0,0,0,0,10006,166,595,10767,956,11723,0.0846886,-0.0186384,-0.996233,0
0,0,0,0,18649,258,1077,19984,1237,21221,-0.186906,-0.150561,-0.970772,0
0,0,0,0,12918,121,758,13797,1237,15034,0.0326947,-0.0351121,-0.998848,0
0,0,0,0,15426,170,906,16502,1390,17892,-0.0978213,-0.140809,-0.985192,0
0,0,0,0,14200,228,844,15272,1312,16584,0.0180647,-0.0468104,-0.998741,0
0,0,0,0,18853,160,761,19774,1237,21011,-0.0924681,-0.0953919,-0.991136,0
0,0,0,0,10000,138,586,10724,927,11651,0.0158763,-0.0426082,-0.998966,0
0,0,0,0,18802,194,765,19761,1229,20990,-0.10565,-0.121542,-0.986948,0
0,0,0,0,10048,153,593,10794,930,11724,0.0223516,-0.0528236,-0.998354,0
0,0,0,0,18728,182,765,19675,1219,20894,-0.108442,-0.120979,-0.986714,0
0,0,0,0,10147,161,583,10891,927,11818,0.034177,-0.0632007,-0.997415,0
0,0,0,0,19100,284,839,20223,1216,21439,-0.0882938,-0.0990576,-0.991157,0
0,0,0,0,20812,342,1146,22300,1769,24069,0.000420677,-0.0466406,-0.998912,0
0,0,0,0,9636,110,468,10214,749,10963,-0.0809559,-0.122898,-0.989112,0
0,0,0,0,6465,100,351,6916,540,7456,0.00538547,-0.0622898,-0.998044,0
0,0,0,0,5343,66,312,5721,498,6219,-0.0765879,-0.0767288,-0.994106,0
0,0,0,0,15942,212,901,17055,1445,18500,0.00320763,-0.0461653,-0.998929,0
0,0,0,0,15711,218,882,16811,1050,17861,-0.104434,-0.119728,-0.987299,0
0,0,0,0,11648,182,678,12508,1051,13559,0.0156331,-0.0633233,-0.997871,0
0,0,0,0,18263,137,766,19166,1209,20375,-0.142347,-0.156425,-0.977378,0
0,0,0,0,10021,146,584,10751,947,11698,0.0697973,-0.0575991,-0.995897,0
0,0,0,0,15474,158,912,16544,1454,17998,-0.0965014,-0.0910681,-0.991158,0
0,0,0,0,19619,182,773,20574,1118,21692,0.0300949,-0.073862,-0.996814,0
0,0,0,0,10204,114,587,10905,770,11675,-0.0996916,-0.0968791,-0.990291,0
0,0,0,0,14634,243,826,15703,1354,17057,0.0104774,-0.0493463,-0.998727,0
0,0,0,0,14224,184,617,15025,986,16011,-0.100296,-0.123445,-0.98727,0
0,0,0,0,17417,291,985,18693,1603,20296,0.0224554,-0.0653791,-0.997608,0
0,0,0,0,18082,212,779,19073,1145,20218,-0.0950441,-0.102351,-0.990197,0
0,0,0,0,9459,130,553,10142,902,11044,0.0212288,-0.0589302,-0.998037,0
0,0,0,0,19625,230,762,20617,1257,21874,-0.0996079,-0.107089,-0.989248,0
0,0,0,0,10048,151,609,10808,862,11670,0.0219523,-0.0441307,-0.998784,0
0,0,0,0,11427,131,655,12213,1068,13281,-0.0944575,-0.120243,-0.988241,0
0,0,0,0,22375,256,878,23509,1353,24862,0.0172663,-0.041494,-0.99899,0
0,0,0,0,8959,88,420,9467,646,10113,-0.125014,-0.128088,-0.983852,0
0,0,0,0,5278,105,277,5660,449,6109,0.0205419,-0.0316215,-0.999289,0
0,0,0,0,17900,156,755,18811,1221,20032,-0.148005,-0.171587,-0.973988,0
0,0,0,0,10001,180,595,10776,927,11703,0.0576645,-0.0354027,-0.997708,0
0,0,0,0,19413,245,797,20455,1266,21721,-0.099103,-0.100282,-0.990011,0
0,0,0,0,10558,155,611,11324,956,12280,0.0258929,-0.0261393,-0.999323,0
0,0,0,0,15657,227,903,16787,1446,18233,-0.0930108,-0.0659985,-0.993475,0
0,0,0,0,11533,149,690,12372,828,13200,0.022344,0.0180101,-0.999588,0
0,0,0,0,10688,142,617,11447,1029,12476,-0.0554211,-0.0212551,-0.998237,0
0,0,0,0,13493,167,819,14479,1221,15700,-0.00125016,-0.00944666,-0.999955,0
0,0,0,0,12738,77,768,13583,1210,14793,-0.0332082,-0.131581,-0.990749,0
0,0,0,0,11804,79,709,12592,1127,13719,0.0307347,-0.0994607,-0.994567,0
0,0,0,0,17600,97,760,18457,1211,19668,-0.0759689,0.259133,-0.96285,0
0,0,0,0,15972,77,581,16630,946,17576,0.173106,-0.00119043,-0.984903,0
0,0,0,0,17797,117,758,18672,942,19614,-0.0461891,0.0596328,-0.997151,0
0,0,0,0,7917,72,475,8464,751,9215,-0.0112716,-0.00398646,-0.999929,0
0,0,0,0,14162,124,819,15105,1325,16430,-0.00781116,0.0128302,-0.999887,0
0,0,0,0,11280,119,598,11997,820,12817,0.010703,0.00263382,-0.999939,0
0,0,0,0,7962,82,471,8515,757,9272,0.054723,-0.149051,-0.987314,0
0,0,0,0,20349,127,763,21239,1213,22452,-0.0778689,0.197837,-0.977137,0
0,0,0,0,12519,124,578,13221,926,14147,-0.0546109,-0.3488,-0.935605,0
