Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5773,0,0,0,0,1032,263,7068,1548,8616,0.0313922,-0.0112402,-0.999444,0
5318,0,0,0,0,1011,251,6580,2908,9488,0.0363012,0.0024126,-0.999338,0
5649,0,0,0,0,1105,303,7057,2666,9723,0.037607,-0.000793196,-0.999292,0
3655,0,0,0,0,647,173,4475,1945,6420,0.0171808,-0.0113565,-0.999788,0
4588,0,0,0,0,880,224,5692,2351,8043,0.0389173,-0.00224203,-0.99924,0
5186,0,0,0,0,953,268,6407,2846,9253,0.0248731,-0.0114548,-0.999625,0
5313,0,0,0,0,941,249,6503,2653,9156,0.0375861,-0.00303174,-0.999289,0
4786,0,0,0,0,826,242,5854,2368,8222,0.0322333,-0.000612998,-0.99948,0
5218,0,0,0,0,925,245,6388,2717,9105,0.0203854,-0.0115298,-0.999726,0
5197,0,0,0,0,936,262,6395,3006,9401,0.0307518,-0.0162572,-0.999395,0
5310,0,0,0,0,1035,306,6651,2924,9575,0.030633,-0.00158173,-0.999529,0
5195,0,0,0,0,952,244,6391,2656,9047,0.0324095,-0.00349311,-0.999469,0
5289,0,0,0,0,1145,242,6676,2837,9513,0.0284476,-0.0122517,-0.99952,0
5407,0,0,0,0,960,275,6642,2721,9363,0.0179819,-0.0157624,-0.999714,0
5481,0,0,0,0,1086,265,6832,2720,9552,0.033034,-0.00344536,-0.999448,0
5305,0,0,0,0,917,234,6456,2870,9326,0.026006,0.00253962,-0.999659,0
5303,0,0,0,0,1027,278,6608,2894,9502,0.0264045,-0.00981049,-0.999603,0
5408,0,0,0,0,1001,237,6646,2796,9442,0.0275608,-0.0115185,-0.999554,0
5334,0,0,0,0,987,239,6560,2970,9530,0.0379017,-0.00168258,-0.99928,0
5584,0,0,0,0,986,272,6842,2699,9541,0.0385388,-0.00301018,-0.999253,0
5338,0,0,0,0,1021,212,6571,2023,8594,0.0334359,-0.00343929,-0.999435,0
2233,0,0,0,0,433,115,2781,1138,3919,0.027485,-0.0132879,-0.999534,0
3686,0,0,0,0,675,187,4548,1904,6452,0.0419226,0.000506946,-0.999121,0
5375,0,0,0,0,986,272,6633,2835,9468,0.0264201,-0.0148882,-0.99954,0
5341,0,0,0,0,1013,255,6609,2742,9351,0.0370149,0.00131282,-0.999314,0
5246,0,0,0,0,982,252,6480,2753,9233,0.0351821,-0.00501055,-0.999368,0
5448,0,0,0,0,983,238,6669,2735,9404,0.0332029,-0.00202954,-0.999447,0
6107,0,0,0,0,1016,286,7409,2666,10075,0.0380633,-0.00551889,-0.99926,0
5311,0,0,0,0,930,243,6484,2142,8626,0.038515,-0.00556117,-0.999242,0
3332,0,0,0,0,612,174,4118,1745,5863,0.0406241,-0.00440786,-0.999165,0
5304,0,0,0,0,965,270,6539,2719,9258,0.0406237,-0.00448487,-0.999164,0
5275,0,0,0,0,958,273,6506,2752,9258,0.0407565,-0.000386336,-0.999169,0
5303,0,0,0,0,925,252,6480,2841,9321,0.0338693,-0.00716569,-0.999401,0
5269,0,0,0,0,943,238,6450,2758,9208,0.0280527,-0.0118003,-0.999537,0
5375,0,0,0,0,1016,238,6629,2875,9504,0.0204751,-0.0158183,-0.999665,0
5323,0,0,0,0,986,237,6546,2751,9297,0.0350116,-0.0061401,-0.999368,0
5234,0,0,0,0,1031,236,6501,2796,9297,0.0323034,-0.000256809,-0.999478,0
5624,0,0,0,0,908,263,6795,2734,9529,0.0332279,0.000648124,-0.999448,0
5067,0,0,0,0,630,179,5876,1917,7793,0.0305473,-0.010931,-0.999473,0
3085,0,0,0,0,509,139,3733,1653,5386,0.021341,-0.0159894,-0.999644,0
5227,0,0,0,0,967,285,6479,3236,9715,0.0276884,-0.00834093,-0.999582,0
4180,0,0,0,0,640,158,4978,1830,6808,0.0238725,-0.0128797,-0.999632,0
