Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5767,0,0,0,0,860,240,6867,629,7496,-0.0359392,0.113051,-0.992939,0
4632,0,0,0,0,865,216,5713,606,6319,-0.0186249,0.0502945,-0.998561,0
5530,0,0,0,0,864,249,6643,319,6962,-0.0451548,0.0136481,-0.998887,0
4746,0,0,0,0,860,219,5825,1304,7129,-0.0126417,0.0191653,-0.999737,0
5432,0,0,0,0,864,221,6517,1224,7741,-0.0212527,0.0118683,-0.999704,0
5107,0,0,0,0,881,223,6211,1177,7388,-0.0308874,0.0112943,-0.999459,0
4709,0,0,0,0,863,218,5790,1176,6966,-0.0309727,0.0116231,-0.999453,0
5504,0,0,0,0,886,224,6614,1180,7794,-0.0177519,0.0153513,-0.999725,0
5110,0,0,0,0,870,220,6200,1194,7394,-0.0145771,0.00929742,-0.999851,0
4793,0,0,0,0,872,223,5888,1409,7297,-0.0340012,0.00568017,-0.999406,0
4810,0,0,0,0,872,220,5902,1297,7199,-0.0313263,0.0196064,-0.999317,0
4988,0,0,0,0,908,223,6119,1211,7330,-0.0214807,0.00979961,-0.999721,0
4716,0,0,0,0,949,253,5918,1210,7128,-0.0132026,0.0105332,-0.999858,0
4820,0,0,0,0,859,218,5897,1260,7157,-0.0225668,0.0183436,-0.999577,0
4721,0,0,0,0,851,221,5793,1330,7123,-0.0130698,0.0192486,-0.999729,0
4749,0,0,0,0,863,218,5830,1192,7022,-0.0334244,0.00859624,-0.999404,0
4912,0,0,0,0,924,257,6093,1283,7376,-0.0307643,0.00822648,-0.999493,0
4674,0,0,0,0,906,226,5806,1271,7077,-0.0230255,0.0206834,-0.999521,0
4666,0,0,0,0,855,218,5739,1245,6984,-0.0417118,0.00795666,-0.999098,0
4734,0,0,0,0,801,219,5754,1216,6970,-0.0328104,0.0104707,-0.999407,0
4680,0,0,0,0,883,219,5782,1184,6966,-0.0326163,0.00796411,-0.999436,0
4774,0,0,0,0,921,220,5915,1213,7128,-0.0276016,0.0157121,-0.999495,0
3432,0,0,0,0,596,162,4190,843,5033,-0.0344351,0.0178871,-0.999247,0
4809,0,0,0,0,854,216,5879,1283,7162,-0.0285559,0.0113428,-0.999528,0
4926,0,0,0,0,895,239,6060,1222,7282,-0.0131799,0.0129166,-0.99983,0
4873,0,0,0,0,939,221,6033,1206,7239,-0.0123702,0.0163213,-0.99979,0
4875,0,0,0,0,893,222,5990,1196,7186,-0.0209933,0.00973901,-0.999732,0
4764,0,0,0,0,920,222,5906,1259,7165,-0.0337642,0.00680381,-0.999407,0
4785,0,0,0,0,855,253,5893,1137,7030,-0.0367058,0.0113279,-0.999262,0
4730,0,0,0,0,878,255,5863,1203,7066,-0.0161722,0.0178162,-0.999711,0
4723,0,0,0,0,876,222,5821,1345,7166,-0.0377842,0.0179426,-0.999125,0
4771,0,0,0,0,919,223,5913,1181,7094,-0.0331798,0.0201431,-0.999247,0
4812,0,0,0,0,880,220,5912,1269,7181,-0.0250349,0.0225016,-0.999433,0
4749,0,0,0,0,860,219,5828,1193,7021,-0.0150627,0.0145484,-0.999781,0
4827,0,0,0,0,874,222,5923,1218,7141,-0.0138312,0.0154647,-0.999785,0
4819,0,0,0,0,883,222,5924,1240,7164,-0.0222091,0.0183821,-0.999584,0
