Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5896,0,0,0,0,660,168,6724,3431,10155,0.0414592,-0.0397355,-0.99835,0
6284,0,0,0,0,646,156,7086,1852,8938,-0.00757291,0.0137231,-0.999877,0
5813,0,0,0,0,646,151,6610,1617,8227,-8.87941e-05,0.0111098,-0.999938,0
6022,0,0,0,0,680,162,6864,1774,8638,-0.0107229,0.0143552,-0.999839,0
6164,0,0,0,0,644,155,6963,1608,8571,-0.000696955,0.0115312,-0.999933,0
6006,0,0,0,0,650,157,6813,1807,8620,-0.00168455,0.00864139,-0.999961,0
6744,0,0,0,0,738,177,7659,1936,9595,-0.000800173,0.0105751,-0.999944,0
5892,0,0,0,0,650,153,6695,2152,8847,-0.00913835,0.014076,-0.999859,0
6788,0,0,0,0,770,176,7734,2046,9780,-0.00105934,0.0103422,-0.999946,0
6043,0,0,0,0,646,151,6840,1816,8656,0.0027601,0.0097305,-0.999949,0
6750,0,0,0,0,736,174,7660,1998,9658,-0.00980447,0.0134487,-0.999862,0
5180,0,0,0,0,452,107,5739,1125,6864,-0.00955403,0.0151915,-0.999839,0
3151,0,0,0,0,342,80,3573,913,4486,-0.00256043,0.00913615,-0.999955,0
2889,0,0,0,0,344,78,3311,1013,4324,-0.0181668,-0.0092879,-0.999792,0
5937,0,0,0,0,654,172,6763,1940,8703,-0.000189611,0.0101491,-0.999949,0
6103,0,0,0,0,655,161,6919,1853,8772,-0.00175844,0.0123703,-0.999922,0
6823,0,0,0,0,738,203,7764,2023,9787,-0.00974221,0.0160496,-0.999824,0
6732,0,0,0,0,772,177,7681,2015,9696,-0.00923221,0.0146223,-0.99985,0
6773,0,0,0,0,734,174,7681,1975,9656,-0.0101789,0.0131848,-0.999861,0
7043,0,0,0,0,766,213,8022,2017,10039,-0.011598,0.019118,-0.99975,0
6821,0,0,0,0,753,176,7750,1716,9466,-0.00169165,0.0103427,-0.999945,0
5926,0,0,0,0,647,152,6725,1836,8561,-0.00865218,0.0121188,-0.999889,0
6009,0,0,0,0,717,159,6885,1750,8635,-0.00946004,0.0139377,-0.999858,0
5935,0,0,0,0,664,154,6753,1592,8345,-0.00924091,0.0140463,-0.999859,0
6768,0,0,0,0,751,177,7696,1861,9557,-6.86479e-05,0.012439,-0.999923,0
6587,0,0,0,0,727,170,7484,2216,9700,-0.00953037,0.0154072,-0.999836,0
6874,0,0,0,0,749,177,7800,1951,9751,-0.00513631,0.0102023,-0.999935,0
6683,0,0,0,0,727,171,7581,1901,9482,-0.00145813,0.0116371,-0.999931,0
6750,0,0,0,0,733,175,7658,2106,9764,-0.000124411,0.00985681,-0.999951,0
6876,0,0,0,0,754,195,7825,2160,9985,-0.0122067,0.0137692,-0.999831,0
