Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6094,0,0,0,0,1220,310,7624,814,8438,0.0340861,-0.0158683,-0.999293,0
5820,0,0,0,0,1120,283,7223,1554,8777,0.0267558,-0.011175,-0.99958,0
6017,0,0,0,0,1122,276,7415,1441,8856,0.0363012,0.00241261,-0.999338,0
5749,0,0,0,0,1077,290,7116,1235,8351,0.037607,-0.000793227,-0.999292,0
5849,0,0,0,0,1177,297,7323,1441,8764,0.0171833,-0.0113145,-0.999788,0
6726,0,0,0,0,1027,264,8017,1269,9286,0.0389173,-0.00224198,-0.99924,0
6885,0,0,0,0,1023,260,8168,1487,9655,0.024873,-0.0114549,-0.999625,0
6152,0,0,0,0,1025,264,7441,1284,8725,0.0375861,-0.00303175,-0.999289,0
5777,0,0,0,0,1021,261,7059,1232,8291,0.0322333,-0.000612961,-0.99948,0
6388,0,0,0,0,1536,358,8282,1379,9661,0.0203853,-0.0115298,-0.999726,0
5965,0,0,0,0,1027,259,7251,1802,9053,0.0307517,-0.016257,-0.999395,0
6081,0,0,0,0,1056,267,7404,1308,8712,0.0306328,-0.00158169,-0.999529,0
5951,0,0,0,0,1038,264,7253,1460,8713,0.0324093,-0.00349316,-0.999469,0
7618,0,0,0,0,1132,288,9038,1423,10461,0.0284477,-0.0122517,-0.99952,0
6093,0,0,0,0,1019,260,7372,1589,8961,0.017982,-0.0157625,-0.999714,0
6325,0,0,0,0,1141,270,7736,1278,9014,0.033034,-0.0034453,-0.999448,0
5810,0,0,0,0,1045,260,7115,1795,8910,0.0260061,0.00253962,-0.999659,0
6018,0,0,0,0,1049,261,7328,1505,8833,0.0264045,-0.00981047,-0.999603,0
6001,0,0,0,0,1101,264,7366,1527,8893,0.0275608,-0.0115185,-0.999554,0
5972,0,0,0,0,1093,264,7329,1505,8834,0.0379015,-0.00168259,-0.99928,0
6106,0,0,0,0,1039,302,7447,1401,8848,0.0385387,-0.0030102,-0.999253,0
5974,0,0,0,0,1034,259,7267,1445,8712,0.033436,-0.00343922,-0.999435,0
2622,0,0,0,0,406,101,3129,589,3718,0.0274851,-0.013288,-0.999534,0
3959,0,0,0,0,684,176,4819,1039,5858,0.0419227,0.000506953,-0.999121,0
6215,0,0,0,0,1033,265,7513,1520,9033,0.0264201,-0.0148882,-0.99954,0
6245,0,0,0,0,1044,266,7555,1339,8894,0.037015,0.00131294,-0.999314,0
6093,0,0,0,0,1038,262,7393,1357,8750,0.035182,-0.00501049,-0.999368,0
5951,0,0,0,0,1057,265,7273,1450,8723,0.0332086,-0.00210148,-0.999446,0
4772,0,0,0,0,683,182,5637,873,6510,0.0380634,-0.00551886,-0.99926,0
2929,0,0,0,0,512,136,3577,645,4222,0.0385816,-0.005693,-0.999239,0
6011,0,0,0,0,1117,264,7392,1505,8897,0.0406733,-0.00435956,-0.999163,0
6004,0,0,0,0,1054,278,7336,1429,8765,0.0406363,-0.00449952,-0.999164,0
5957,0,0,0,0,1091,281,7329,1423,8752,0.0407566,-0.000386293,-0.999169,0
7998,0,0,0,0,1030,295,9323,1220,10543,0.0339261,-0.00719498,-0.999398,0
3942,0,0,0,0,708,174,4824,1020,5844,0.02806,-0.0117503,-0.999537,0
5980,0,0,0,0,1294,337,7611,1814,9425,0.0204751,-0.0158183,-0.999665,0
5974,0,0,0,0,1045,260,7279,1354,8633,0.0350116,-0.00614013,-0.999368,0
6028,0,0,0,0,1027,261,7316,1498,8814,0.0323035,-0.000256809,-0.999478,0
6062,0,0,0,0,1077,308,7447,1552,8999,0.0332279,0.000648138,-0.999448,0
6184,0,0,0,0,1036,276,7496,1509,9005,0.0305472,-0.010931,-0.999474,0
2992,0,0,0,0,507,128,3627,686,4313,0.021341,-0.0159894,-0.999644,0
5838,0,0,0,0,1024,256,7118,1622,8740,0.0276884,-0.0083409,-0.999582,0
3904,0,0,0,0,506,129,4539,757,5296,0.0238726,-0.0128797,-0.999632,0
6101,0,0,0,0,1008,262,7371,1396,8767,0.0226823,-0.0135029,-0.999652,0
5972,0,0,0,0,1018,265,7255,1727,8982,0.0258795,-0.013973,-0.999567,0
3950,0,0,0,0,663,167,4780,965,5745,0.0291511,-0.0118993,-0.999504,0
5988,0,0,0,0,1210,261,7459,1359,8818,0.0354377,-0.00680542,-0.999349,0
6446,0,0,0,0,1002,261,7709,1590,9299,0.0337267,-0.00317942,-0.999426,0
5927,0,0,0,0,1018,251,7196,1537,8733,0.0340051,-0.00977495,-0.999374,0
5946,0,0,0,0,1388,338,7672,1627,9299,0.0331045,-0.010216,-0.9994,0
6022,0,0,0,0,1012,275,7309,1704,9013,0.028136,-0.01485,-0.999494,0
6074,0,0,0,0,1035,258,7367,1383,8750,0.0293401,-0.0127564,-0.999488,0
5853,0,0,0,0,674,173,6700,1268,7968,0.0125062,-0.00571366,-0.999905,0
4847,0,0,0,0,833,211,5891,1128,7019,0.0386871,-0.00166502,-0.99925,0
6058,0,0,0,0,1438,320,7816,1673,9489,0.037021,0.000111649,-0.999315,0
6048,0,0,0,0,1022,261,7331,1578,8909,0.02936,-0.0119976,-0.999497,0
6022,0,0,0,0,1015,259,7296,1673,8969,0.0322348,-0.00948142,-0.999435,0
6036,0,0,0,0,1021,260,7317,1467,8784,0.0337566,-0.00584923,-0.999413,0
6079,0,0,0,0,1046,263,7388,1450,8838,0.0329631,-0.012889,-0.999373,0
6063,0,0,0,0,1027,261,7351,1502,8853,0.0365175,-0.00176886,-0.999331,0
6106,0,0,0,0,1014,258,7378,1832,9210,0.0194867,-0.00144154,-0.999809,0
6003,0,0,0,0,1033,259,7295,1706,9001,0.0145588,-0.0100608,-0.999843,0
6124,0,0,0,0,1006,263,7393,1311,8704,0.0383271,-0.00233897,-0.999263,0
6116,0,0,0,0,1084,266,7466,1445,8911,0.0348316,0.000438526,-0.999393,0
6030,0,0,0,0,1053,318,7401,1679,9080,0.0294964,-0.00285009,-0.999561,0
6047,0,0,0,0,1031,261,7339,1471,8810,0.0286728,-0.00712246,-0.999564,0
5342,0,0,0,0,906,233,6481,1346,7827,0.0347507,-0.00887788,-0.999357,0
5299,0,0,0,0,915,229,6443,1356,7799,0.0352102,-0.00211086,-0.999378,0
5984,0,0,0,0,1012,256,7252,1409,8661,0.0341589,-0.00309784,-0.999412,0
6025,0,0,0,0,1042,279,7346,1583,8929,0.0222845,-0.00284737,-0.999748,0
6022,0,0,0,0,1013,296,7331,1380,8711,0.0386769,-0.00496891,-0.999239,0
5947,0,0,0,0,1012,291,7250,1474,8724,0.0300984,-0.00732679,-0.99952,0
6965,0,0,0,0,1072,264,8301,1521,9822,0.0293728,-0.013621,-0.999476,0
6038,0,0,0,0,1044,259,7341,1494,8835,0.040424,-0.00369789,-0.999176,0
6408,0,0,0,0,1054,327,7789,1679,9468,0.0288317,-0.000247315,-0.999584,0
6016,0,0,0,0,1048,266,7330,1456,8786,0.0327254,-0.0011365,-0.999464,0
5306,0,0,0,0,1024,254,6584,1183,7767,0.0370735,-0.00537111,-0.999298,0
6036,0,0,0,0,1049,282,7367,1326,8693,0.0359134,-0.00443572,-0.999345,0
5971,0,0,0,0,1033,259,7263,1269,8532,0.0400398,-0.00914512,-0.999156,0
5913,0,0,0,0,1099,263,7275,1408,8683,0.0273964,-0.0130276,-0.99954,0
6212,0,0,0,0,1058,260,7530,1354,8884,0.0371955,-0.00741916,-0.999281,0
6146,0,0,0,0,1032,256,7434,1648,9082,0.0202185,-0.00445504,-0.999786,0
7077,0,0,0,0,1107,277,8461,1514,9975,0.0273207,-0.0150433,-0.999514,0
