Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4907,0,0,0,0,856,244,6007,447,6454,-0.035997,0.113005,-0.992942,0
5469,0,0,0,0,967,216,6652,337,6989,-0.0186249,0.0502946,-0.998561,0
4735,0,0,0,0,890,215,5840,222,6062,-0.0451551,0.0136465,-0.998887,0
5450,0,0,0,0,962,250,6662,906,7568,-0.0126417,0.0191654,-0.999736,0
5464,0,0,0,0,986,251,6701,685,7386,-0.0212527,0.0118682,-0.999704,0
5462,0,0,0,0,984,241,6687,703,7390,-0.0308874,0.0112943,-0.999459,0
5402,0,0,0,0,965,251,6618,665,7283,-0.0309727,0.011623,-0.999453,0
5366,0,0,0,0,985,248,6599,774,7373,-0.0177519,0.0153514,-0.999725,0
5415,0,0,0,0,958,249,6622,782,7404,-0.0145771,0.00929727,-0.99985,0
5385,0,0,0,0,966,250,6601,895,7496,-0.0340012,0.00568018,-0.999406,0
5493,0,0,0,0,968,245,6706,830,7536,-0.0313263,0.0196063,-0.999317,0
5376,0,0,0,0,968,250,6594,696,7290,-0.0214807,0.00979964,-0.999721,0
5633,0,0,0,0,1323,322,7278,778,8056,-0.0132026,0.0105331,-0.999857,0
5290,0,0,0,0,956,250,6496,759,7255,-0.0225669,0.0183435,-0.999577,0
5155,0,0,0,0,957,260,6372,813,7185,-0.0130698,0.0192485,-0.999729,0
5387,0,0,0,0,964,268,6619,489,7108,-0.0334244,0.00859621,-0.999404,0
5488,0,0,0,0,969,251,6708,824,7532,-0.0307643,0.00822649,-0.999493,0
5259,0,0,0,0,987,248,6494,810,7304,-0.0230255,0.0206835,-0.999521,0
5200,0,0,0,0,946,244,6390,767,7157,-0.0417118,0.00795664,-0.999098,0
5318,0,0,0,0,1020,250,6588,785,7373,-0.0328104,0.0104709,-0.999407,0
5426,0,0,0,0,992,245,6663,724,7387,-0.0326163,0.0079641,-0.999436,0
3484,0,0,0,0,637,161,4282,467,4749,-0.0276016,0.0157123,-0.999496,0
5412,0,0,0,0,966,245,6623,742,7365,-0.0344351,0.0178871,-0.999247,0
5486,0,0,0,0,1032,246,6764,731,7495,-0.0285559,0.0113429,-0.999528,0
5417,0,0,0,0,954,241,6612,739,7351,-0.0131799,0.0129166,-0.99983,0
5350,0,0,0,0,962,245,6557,714,7271,-0.0123702,0.0163212,-0.99979,0
5556,0,0,0,0,957,247,6760,749,7509,-0.0209933,0.00973897,-0.999732,0
6205,0,0,0,0,993,272,7470,945,8415,-0.0337642,0.00680386,-0.999407,0
5494,0,0,0,0,986,265,6745,719,7464,-0.0367057,0.011328,-0.999262,0
5489,0,0,0,0,1032,250,6771,745,7516,-0.0161722,0.0178163,-0.99971,0
5458,0,0,0,0,954,246,6658,951,7609,-0.0377841,0.0179428,-0.999125,0
5337,0,0,0,0,961,246,6544,691,7235,-0.0331758,0.0201212,-0.999247,0
5392,0,0,0,0,958,265,6615,839,7454,-0.0250261,0.0224494,-0.999435,0
5564,0,0,0,0,987,250,6801,725,7526,-0.0150627,0.0145484,-0.999781,0
5237,0,0,0,0,961,242,6440,792,7232,-0.0138312,0.0154647,-0.999785,0
5577,0,0,0,0,685,166,6428,522,6950,-0.0222091,0.0183821,-0.999584,0
3543,0,0,0,0,629,161,4333,496,4829,-0.0344011,0.00851002,-0.999372,0
5289,0,0,0,0,978,248,6515,872,7387,-0.0131456,0.0107391,-0.999856,0
5500,0,0,0,0,951,246,6697,760,7457,-0.0336992,0.00889649,-0.999392,0
