Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7802,0,0,0,0,650,172,8624,4307,12931,0.0118218,-0.042818,-0.999013,0
6132,0,0,0,0,686,158,6976,1846,8822,0.00988088,-0.0374488,-0.99925,0
4161,0,0,0,0,541,131,4833,1139,5972,-0.00878762,0.0130665,-0.999876,0
6578,0,0,0,0,683,171,7432,1158,8590,8.47535e-05,0.0137712,-0.999905,0
6398,0,0,0,0,684,188,7270,1129,8399,-0.000403298,0.0107571,-0.999942,0
6170,0,0,0,0,680,159,7009,1540,8549,-0.0117234,0.014725,-0.999823,0
2533,0,0,0,0,273,67,2873,468,3341,-4.25086e-05,0.0114699,-0.999934,0
6183,0,0,0,0,668,159,7010,1517,8527,-0.00499915,0.013022,-0.999903,0
2322,0,0,0,0,229,55,2606,401,3007,-0.0183968,-0.0121492,-0.999757,0
6235,0,0,0,0,644,156,7035,1076,8111,-0.0197775,-0.0138099,-0.999709,0
7288,0,0,0,0,687,161,8136,1074,9210,-0.00176033,0.00954415,-0.999953,0
3700,0,0,0,0,360,85,4145,741,4886,-0.011182,0.0130439,-0.999852,0
2085,0,0,0,0,231,54,2370,399,2769,-0.000631284,0.0112326,-0.999937,0
6878,0,0,0,0,846,229,7953,1705,9658,-0.0111765,0.0152682,-0.999821,0
6462,0,0,0,0,648,159,7269,1017,8286,-0.010799,0.0136193,-0.999849,0
6743,0,0,0,0,686,168,7597,1268,8865,-0.0141191,0.0190959,-0.999718,0
6062,0,0,0,0,643,155,6860,940,7800,-0.000939805,0.0114085,-0.999935,0
6090,0,0,0,0,696,162,6948,1256,8204,-0.00106081,0.014261,-0.999898,0
6208,0,0,0,0,655,159,7022,1378,8400,-0.0107258,0.0162868,-0.99981,0
6123,0,0,0,0,705,157,6985,1073,8058,-0.0087928,0.0136024,-0.999869,0
6461,0,0,0,0,638,157,7256,1130,8386,-0.000999496,0.0107919,-0.999941,0
6164,0,0,0,0,675,159,6998,1516,8514,-0.0188935,-0.0102413,-0.999769,0
4143,0,0,0,0,444,110,4697,767,5464,-0.00183305,0.0103941,-0.999944,0
7148,0,0,0,0,721,179,8048,1205,9253,-0.000587791,0.0121886,-0.999926,0
4757,0,0,0,0,497,118,5372,1077,6449,-0.00953036,0.0154071,-0.999836,0
7333,0,0,0,0,860,184,8377,1410,9787,-0.00513631,0.0102022,-0.999935,0
7296,0,0,0,0,685,123,8104,808,8912,-0.00145813,0.0116371,-0.999931,0
4738,0,0,0,0,481,136,5355,980,6335,-0.000124406,0.00985684,-0.999951,0
6683,0,0,0,0,719,183,7585,1644,9229,-0.0122067,0.0137692,-0.999831,0
6901,0,0,0,0,693,117,7711,686,8397,-0.000363498,0.0119383,-0.999929,0
4724,0,0,0,0,478,120,5322,1282,6604,-0.00265393,0.010129,-0.999945,0
6188,0,0,0,0,636,164,6988,1341,8329,-0.0113734,0.0169279,-0.999792,0
6142,0,0,0,0,637,157,6936,995,7931,-0.0128577,0.0163436,-0.999784,0
7035,0,0,0,0,725,178,7938,1347,9285,0.000398608,0.0151442,-0.999885,0
6771,0,0,0,0,724,173,7668,1462,9130,-0.00236227,0.0120166,-0.999925,0
7020,0,0,0,0,799,177,7996,1487,9483,-0.00185924,0.0111307,-0.999936,0
4660,0,0,0,0,482,138,5280,1001,6281,-0.0174033,-0.010737,-0.999791,0
