Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2499,0,0,0,0,386,92,2977,302,3279,-0.004581,0.0218748,-0.99975,0
2537,0,0,0,0,392,98,3027,303,3330,-0.00429339,0.0217353,-0.999755,0
2556,0,0,0,0,374,97,3027,295,3322,-0.00358973,0.0217654,-0.999757,0
2499,0,0,0,0,390,107,2996,300,3296,-0.00498441,0.0212853,-0.999761,0
2634,0,0,0,0,456,95,3185,282,3467,-0.00855118,0.0172214,-0.999815,0
2559,0,0,0,0,382,97,3038,275,3313,-0.00396995,0.0223143,-0.999743,0
2750,0,0,0,0,378,94,3222,275,3497,-0.00656799,0.0191135,-0.999796,0
2563,0,0,0,0,384,97,3044,285,3329,-0.00592267,0.0214516,-0.999752,0
2964,0,0,0,0,445,111,3520,306,3826,-0.00341064,0.0218279,-0.999756,0
2711,0,0,0,0,438,97,3246,278,3524,-0.00379116,0.0224374,-0.999741,0
2565,0,0,0,0,383,98,3046,380,3426,-0.00693842,0.018755,-0.9998,0
2668,0,0,0,0,471,108,3247,284,3531,-0.00374823,0.0220028,-0.999751,0
2565,0,0,0,0,378,94,3037,386,3423,-0.00786988,0.0187833,-0.999793,0
2640,0,0,0,0,467,95,3202,291,3493,-0.00392277,0.0216963,-0.999757,0
2651,0,0,0,0,485,108,3244,278,3522,-0.00618913,0.0215206,-0.999749,0
2564,0,0,0,0,384,95,3043,321,3364,-0.0037379,0.0223735,-0.999743,0
2476,0,0,0,0,372,94,2942,283,3225,-0.00674642,0.0185402,-0.999805,0
2574,0,0,0,0,415,97,3086,320,3406,-0.00590837,0.021474,-0.999752,0
2684,0,0,0,0,454,104,3242,309,3551,-0.00842494,0.0196315,-0.999772,0
2565,0,0,0,0,391,92,3048,292,3340,-0.00707409,0.0187402,-0.999799,0
2540,0,0,0,0,380,99,3019,277,3296,-0.00707182,0.0188913,-0.999797,0
2532,0,0,0,0,389,93,3014,287,3301,-0.00455365,0.0214217,-0.99976,0
2516,0,0,0,0,372,95,2983,276,3259,-0.00655976,0.0176789,-0.999822,0
2623,0,0,0,0,386,94,3103,297,3400,-0.00533365,0.020585,-0.999774,0
2718,0,0,0,0,375,108,3201,333,3534,-0.00807403,0.0195255,-0.999777,0
2488,0,0,0,0,381,95,2964,275,3239,-0.0045422,0.0224102,-0.999739,0
2587,0,0,0,0,399,93,3079,323,3402,-0.0102342,0.0203049,-0.999741,0
2580,0,0,0,0,412,146,3138,293,3431,-0.00292135,0.0222746,-0.999748,0
2491,0,0,0,0,453,100,3044,326,3370,-0.00621489,0.0177786,-0.999823,0
2566,0,0,0,0,410,99,3075,288,3363,-0.00548236,0.0189223,-0.999806,0
2578,0,0,0,0,388,120,3086,291,3377,-0.00566318,0.0196677,-0.999791,0
2568,0,0,0,0,395,95,3058,306,3364,-0.00500774,0.0220151,-0.999745,0
2443,0,0,0,0,379,99,2921,285,3206,-0.0038732,0.0223217,-0.999743,0
