Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6847,0,0,0,0,1110,289,8246,771,9017,-0.0072853,0.0175463,-0.99982,0
5987,0,0,0,0,1123,277,7387,607,7994,-0.00639407,0.0207208,-0.999765,0
5765,0,0,0,0,1122,271,7158,688,7846,-0.00486177,0.023179,-0.999719,0
6551,0,0,0,0,1521,334,8406,722,9128,-0.00330938,0.0235227,-0.999718,0
5706,0,0,0,0,1143,269,7118,669,7787,-0.00246822,0.0229537,-0.999733,0
6107,0,0,0,0,1125,299,7531,671,8202,-0.00234033,0.0223016,-0.999749,0
6499,0,0,0,0,1123,272,7894,675,8569,-0.00269457,0.0215216,-0.999765,0
5774,0,0,0,0,1118,269,7161,614,7775,-0.00356097,0.0208217,-0.999777,0
6480,0,0,0,0,1123,294,7897,653,8550,-0.00485462,0.0202753,-0.999783,0
6463,0,0,0,0,1257,303,8023,752,8775,-0.00585416,0.0202008,-0.999779,0
6572,0,0,0,0,1264,295,8131,679,8810,-0.00621491,0.0207617,-0.999765,0
6771,0,0,0,0,1306,304,8381,723,9104,-0.00606423,0.0212315,-0.999756,0
5746,0,0,0,0,1127,272,7145,684,7829,-0.00636343,0.0214911,-0.999749,0
7448,0,0,0,0,1265,309,9022,761,9783,-0.00513552,0.0220865,-0.999743,0
5881,0,0,0,0,1118,264,7263,678,7941,-0.00350045,0.0227944,-0.999734,0
6965,0,0,0,0,1223,280,8468,683,9151,-0.00327494,0.0240964,-0.999704,0
5825,0,0,0,0,1127,267,7219,813,8032,-0.00271314,0.0249036,-0.999686,0
5740,0,0,0,0,1149,274,7163,700,7863,-0.00232058,0.0249218,-0.999687,0
6374,0,0,0,0,1121,350,7845,691,8536,-0.00175144,0.024519,-0.999698,0
5790,0,0,0,0,1140,271,7201,710,7911,-0.00091084,0.0228525,-0.999738,0
5802,0,0,0,0,1116,268,7186,709,7895,-0.00148778,0.0169818,-0.999855,0
5783,0,0,0,0,1129,275,7187,614,7801,-0.00525128,0.00255284,-0.999983,0
5958,0,0,0,0,1116,275,7349,524,7873,-0.00992474,-0.00775878,-0.999921,0
6456,0,0,0,0,1108,270,7834,547,8381,-0.0129682,-0.0231665,-0.999647,0
6819,0,0,0,0,1288,309,8416,593,9009,-0.0169162,-0.0545428,-0.998368,0
6168,0,0,0,0,846,202,7216,392,7608,-0.0140028,-0.039992,-0.999102,0
3324,0,0,0,0,607,146,4077,276,4353,-0.0131358,-0.00871492,-0.999876,0
6842,0,0,0,0,1279,309,8430,589,9019,-0.0208456,-0.00109957,-0.999782,0
6127,0,0,0,0,1157,280,7564,512,8076,-0.0203518,0.0123643,-0.999716,0
6162,0,0,0,0,1191,287,7640,613,8253,-0.0281896,0.0290398,-0.999181,0
