Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
9243,0,0,0,0,1400,675,11318,3199,14517,-0.00451229,0.0335361,-0.999427,0
6732,0,0,0,0,1285,281,8298,1139,9437,-0.004346,0.030205,-0.999534,0
6705,0,0,0,0,1182,281,8168,1140,9308,-0.00456964,0.0288282,-0.999574,0
6731,0,0,0,0,1183,281,8195,1104,9299,-0.00422527,0.0274504,-0.999614,0
6676,0,0,0,0,777,186,7639,781,8420,-0.00543146,0.0268359,-0.999625,0
6703,0,0,0,0,1188,296,8187,1134,9321,-0.00473461,0.0259728,-0.999651,0
6937,0,0,0,0,844,191,7972,755,8727,-0.00574048,0.0248447,-0.999675,0
6637,0,0,0,0,1207,282,8126,1081,9207,-0.00510372,0.0253251,-0.999666,0
10178,0,0,0,0,1758,368,12304,1435,13739,-0.00788583,0.0311324,-0.999484,0
4680,0,0,0,0,788,186,5654,807,6461,-0.00437173,0.0324086,-0.999465,0
6741,0,0,0,0,1170,280,8191,1195,9386,-0.00327411,0.0312643,-0.999506,0
6822,0,0,0,0,1178,283,8283,1099,9382,-0.00416565,0.0286038,-0.999582,0
6131,0,0,0,0,1045,250,7426,987,8413,-0.00528649,0.0264608,-0.999636,0
6869,0,0,0,0,1196,298,8363,1147,9510,-0.00496471,0.0258616,-0.999653,0
6966,0,0,0,0,1178,308,8452,1167,9619,-0.00636364,0.0251484,-0.999663,0
4501,0,0,0,0,833,192,5526,767,6293,-0.00591227,0.0259039,-0.999647,0
5005,0,0,0,0,801,190,5996,809,6805,-0.00481763,0.0249726,-0.999676,0
6116,0,0,0,0,1045,263,7424,1045,8469,-0.00608723,0.0250248,-0.999668,0
7016,0,0,0,0,1200,288,8504,1213,9717,-0.00308581,0.0233928,-0.999722,0
6866,0,0,0,0,1223,289,8378,1023,9401,-0.00602423,0.0247894,-0.999675,0
6852,0,0,0,0,1267,290,8409,1235,9644,-0.0032149,0.0235513,-0.999717,0
7663,0,0,0,0,1186,287,9136,1208,10344,-0.0044785,0.0262191,-0.999646,0
4593,0,0,0,0,795,188,5576,842,6418,-0.00439536,0.0268056,-0.999631,0
7718,0,0,0,0,1315,287,9320,1245,10565,-0.00650298,0.0267265,-0.999622,0
6906,0,0,0,0,1259,288,8453,944,9397,-0.00407288,0.0259762,-0.999654,0
5067,0,0,0,0,832,192,6091,886,6977,-0.00495568,0.0286962,-0.999576,0
7681,0,0,0,0,1255,288,9224,1265,10489,-0.0070639,0.0274822,-0.999597,0
6991,0,0,0,0,980,193,8164,873,9037,-0.00981193,0.0308552,-0.999476,0
6519,0,0,0,0,1076,254,7849,1020,8869,-0.0100669,0.0297313,-0.999507,0
6027,0,0,0,0,1054,250,7331,1132,8463,-0.00842696,0.0295783,-0.999527,0
6924,0,0,0,0,1200,316,8440,1187,9627,-0.00800179,0.0295725,-0.999531,0
6590,0,0,0,0,801,189,7580,809,8389,-0.00823167,0.0308815,-0.999489,0
4285,0,0,0,0,736,183,5204,798,6002,-0.00828598,0.0317501,-0.999461,0
7231,0,0,0,0,1201,291,8723,1228,9951,-0.00671919,0.0316434,-0.999477,0
6788,0,0,0,0,1207,288,8283,1194,9477,-0.00569784,0.0310112,-0.999503,0
6837,0,0,0,0,1210,289,8336,1228,9564,-0.00618077,0.0303159,-0.999521,0
6737,0,0,0,0,1214,287,8238,1206,9444,-0.00352547,0.0274754,-0.999616,0
7159,0,0,0,0,1199,290,8648,1277,9925,-0.00706775,0.0283697,-0.999573,0
4589,0,0,0,0,801,192,5582,823,6405,-0.00850405,0.029568,-0.999527,0
7042,0,0,0,0,1180,287,8509,1241,9750,-0.00986448,0.0317625,-0.999447,0
7576,0,0,0,0,1206,291,9073,1247,10320,-0.00798982,0.0324745,-0.999441,0
6795,0,0,0,0,1193,283,8271,1252,9523,-0.00848027,0.0331749,-0.999414,0
6927,0,0,0,0,1204,293,8424,1241,9665,-0.00803212,0.0302804,-0.999509,0
