Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5060,0,0,0,0,92,42,5194,2918,8112,-0.00601019,-0.207598,-0.978196,0
5103,0,0,0,0,144,41,5288,284,5572,-0.182043,0.0448761,-0.982266,0
5189,0,0,0,0,87,33,5309,18056,23365,0.00405732,-0.253083,-0.967436,0
1538,0,0,0,0,27,8,1573,100,1673,0.0039317,-0.37889,-0.925433,0
4993,0,0,0,0,88,30,5111,4110,9221,-0.027759,-0.289611,-0.956742,0
5168,0,0,0,0,85,31,5284,471,5755,-0.0240086,-0.343944,-0.938683,0
4992,0,0,0,0,93,30,5115,1703,6818,-0.0199861,-0.298625,-0.954161,0
4973,0,0,0,0,87,28,5088,560,5648,-0.0203617,-0.283868,-0.958647,0
5171,0,0,0,0,85,31,5287,553,5840,-0.0474905,-0.223565,-0.973531,0
4982,0,0,0,0,86,28,5096,-1000,-1000,-1,-1,-1,0
5287,0,0,0,0,82,32,5401,17344,22745,-0.132788,-0.0623216,-0.989183,0
2615,0,0,0,0,44,16,2675,8022,10697,0.0552858,-0.27786,-0.959029,0
2472,0,0,0,0,43,15,2530,300,2830,0.0380692,-0.271969,-0.961553,0
5248,0,0,0,0,88,32,5368,552,5920,0.0279573,-0.225465,-0.97385,0
4924,0,0,0,0,86,26,5036,219,5255,0.0186542,-0.186755,-0.982229,0
6123,0,0,0,0,91,34,6248,15699,21947,-0.0838083,-0.130629,-0.987883,0
2105,0,0,0,0,36,12,2153,8891,11044,-0.118804,-0.114112,-0.986339,0
3173,0,0,0,0,51,21,3245,12297,15542,0.0498086,-0.273777,-0.960503,0
3750,0,0,0,0,64,23,3837,337,4174,-0.0682714,-0.404188,-0.912124,0
4980,0,0,0,0,93,29,5102,4945,10047,-0.00396266,-0.328131,-0.944624,0
5282,0,0,0,0,87,30,5399,1127,6526,-0.0264656,-0.312861,-0.94943,0
5438,0,0,0,0,128,43,5609,1242,6851,-0.0235088,-0.30499,-0.952065,0
5099,0,0,0,0,86,29,5214,693,5907,-0.0339506,-0.284417,-0.958099,0
5280,0,0,0,0,86,28,5394,536,5930,-0.0612443,-0.275398,-0.959377,0
5172,0,0,0,0,87,29,5288,659,5947,-0.0587592,-0.253886,-0.965448,0
5748,0,0,0,0,92,48,5888,357,6245,0.0870057,-0.259785,-0.961739,0
5549,0,0,0,0,87,30,5666,626,6292,-0.0773445,-0.154942,-0.984891,0
5023,0,0,0,0,122,44,5189,13152,18341,0.00545159,-0.246323,-0.969172,0
2636,0,0,0,0,43,15,2694,202,2896,0.0499603,-0.33383,-0.941308,0
6114,0,0,0,0,107,43,6264,1446,7710,-0.0118064,-0.252106,-0.967628,0
5623,0,0,0,0,97,33,5753,362,6115,-0.14919,-0.0620188,-0.986862,0
5734,0,0,0,0,95,36,5865,12583,18448,0.0937725,-0.273372,-0.957327,0
4966,0,0,0,0,84,29,5079,489,5568,-0.00706961,-0.481715,-0.8763,0
