Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5912,0,0,0,0,645,180,6737,-1000,-1000,-1,-1,-1,0
5970,0,0,0,0,633,159,6762,484,7246,-0.0143355,0.021596,-0.999664,0
5763,0,0,0,0,632,157,6552,518,7070,-0.00718929,0.0251071,-0.999659,0
5910,0,0,0,0,655,186,6751,489,7240,-0.0160968,0.025667,-0.999541,0
5751,0,0,0,0,623,157,6531,532,7063,-0.00789969,0.0229141,-0.999706,0
6992,0,0,0,0,673,172,7837,471,8308,-0.0151339,0.0241974,-0.999593,0
5989,0,0,0,0,629,159,6777,482,7259,-0.00904016,0.0225868,-0.999704,0
7017,0,0,0,0,652,183,7852,486,8338,-0.0095771,0.0232885,-0.999683,0
5889,0,0,0,0,606,153,6648,476,7124,-0.00983083,0.0229381,-0.999689,0
5961,0,0,0,0,605,155,6721,509,7230,-0.00944605,0.0232261,-0.999686,0
5747,0,0,0,0,606,157,6510,556,7066,-0.00464347,0.0216476,-0.999755,0
6780,0,0,0,0,633,142,7555,416,7971,-0.00870792,0.022892,-0.9997,0
3076,0,0,0,0,337,81,3494,283,3777,-0.00880774,0.0221429,-0.999716,0
6237,0,0,0,0,614,167,7018,534,7552,-0.00923834,0.0219466,-0.999717,0
4045,0,0,0,0,427,107,4579,344,4923,-0.0122891,0.0229115,-0.999662,0
3944,0,0,0,0,419,103,4466,340,4806,-0.009104,0.0210011,-0.999738,0
6100,0,0,0,0,710,189,6999,602,7601,-0.0147042,0.0223707,-0.999642,0
6568,0,0,0,0,668,173,7409,678,8087,-0.0233934,0.0230786,-0.99946,0
5037,0,0,0,0,438,109,5584,368,5952,-0.00905202,0.0210972,-0.999736,0
2745,0,0,0,0,265,67,3077,205,3282,-0.0207074,0.0226014,-0.99953,0
2921,0,0,0,0,291,73,3285,231,3516,-0.0114832,0.0225373,-0.99968,0
6034,0,0,0,0,690,155,6879,460,7339,-0.0096481,0.0230738,-0.999687,0
5737,0,0,0,0,577,147,6461,440,6901,-0.00942132,0.0229106,-0.999693,0
7192,0,0,0,0,759,238,8189,470,8659,-0.0200089,0.0224714,-0.999547,0
6025,0,0,0,0,696,150,6871,435,7306,-0.0145101,0.0218783,-0.999655,0
5855,0,0,0,0,584,146,6585,444,7029,-0.0136856,0.023991,-0.999618,0
6533,0,0,0,0,653,163,7349,479,7828,-0.0162759,0.0257153,-0.999537,0
6409,0,0,0,0,610,160,7179,505,7684,-0.0153173,0.0274796,-0.999505,0
6564,0,0,0,0,628,175,7367,552,7919,-0.0158964,0.0295493,-0.999437,0
7259,0,0,0,0,630,162,8051,357,8408,-0.0202253,0.0198082,-0.999599,0
4392,0,0,0,0,616,143,5151,406,5557,-0.0178536,0.0193562,-0.999653,0
4703,0,0,0,0,408,106,5217,328,5545,-0.0211208,0.019817,-0.999581,0
5724,0,0,0,0,559,140,6423,466,6889,-0.0245486,0.0135168,-0.999607,0
5773,0,0,0,0,559,144,6476,438,6914,-0.0222444,0.0193646,-0.999565,0
6573,0,0,0,0,625,162,7360,498,7858,-0.0103819,0.023343,-0.999674,0
6540,0,0,0,0,690,168,7398,518,7916,-0.0110563,0.0270707,-0.999572,0
6543,0,0,0,0,631,160,7334,494,7828,-0.0141757,0.0244003,-0.999602,0
6561,0,0,0,0,656,163,7380,469,7849,-0.0188483,0.029774,-0.999379,0
5714,0,0,0,0,421,106,6241,343,6584,-0.011418,0.0258362,-0.999601,0
3279,0,0,0,0,323,82,3684,248,3932,-0.0106795,0.0254708,-0.999618,0
2955,0,0,0,0,292,72,3319,229,3548,-0.0151343,0.0236999,-0.999605,0
6972,0,0,0,0,654,164,7790,549,8339,-0.0134873,0.0228814,-0.999647,0
6379,0,0,0,0,623,158,7160,550,7710,-0.0131396,0.0258579,-0.999579,0
6151,0,0,0,0,797,160,7108,414,7522,-0.0093396,0.0324464,-0.99943,0
5645,0,0,0,0,564,141,6350,430,6780,-0.00201199,0.0439558,-0.999031,0
5787,0,0,0,0,558,181,6526,453,6979,0.00148974,0.0517079,-0.998661,0
6518,0,0,0,0,568,148,7234,419,7653,-0.00498296,0.0340089,-0.999409,0
5929,0,0,0,0,601,151,6681,535,7216,-0.0107462,0.00622701,-0.999923,0
7257,0,0,0,0,599,175,8031,717,8748,-0.0143638,0.00085741,-0.999896,0
5970,0,0,0,0,687,164,6821,768,7589,-0.0199256,0.0127272,-0.99972,0
6940,0,0,0,0,758,185,7883,953,8836,-0.0151,0.0168707,-0.999744,0
7268,0,0,0,0,771,172,8211,1080,9291,-0.0215639,0.00878958,-0.999729,0
4553,0,0,0,0,525,127,5205,797,6002,-0.0215105,0.000422782,-0.999768,0
4578,0,0,0,0,542,144,5264,936,6200,-0.0234685,0.0019247,-0.999723,0
7166,0,0,0,0,817,197,8180,1348,9528,-0.0110359,-0.00456321,-0.999929,0
7232,0,0,0,0,797,194,8223,1221,9444,0.00560337,0.00181501,-0.999983,0
6649,0,0,0,0,848,195,7692,1301,8993,0.000541423,0.015052,-0.999887,0
7013,0,0,0,0,897,203,8113,1208,9321,-0.0201956,0.0193628,-0.999609,0
6956,0,0,0,0,813,194,7963,1166,9129,-0.0207384,0.00874315,-0.999747,0
4477,0,0,0,0,516,125,5118,771,5889,-0.0140699,0.0105589,-0.999845,0
6665,0,0,0,0,764,186,7615,987,8602,-0.00137346,0.0241586,-0.999707,0
6726,0,0,0,0,754,179,7659,840,8499,-0.00880557,0.0235425,-0.999684,0
6551,0,0,0,0,723,174,7448,695,8143,-0.00258383,0.0260741,-0.999657,0
6510,0,0,0,0,689,166,7365,650,8015,-0.00840521,0.0344843,-0.99937,0
6509,0,0,0,0,698,189,7396,714,8110,-0.0208165,0.0375252,-0.999079,0
4199,0,0,0,0,324,81,4604,321,4925,-0.0225749,0.0331532,-0.999195,0
6419,0,0,0,0,652,165,7236,644,7880,-0.0158664,0.0282185,-0.999476,0
6499,0,0,0,0,639,163,7301,606,7907,-0.00510995,0.0325377,-0.999457,0
6568,0,0,0,0,665,158,7391,594,7985,0.0063683,0.0448642,-0.998973,0
4665,0,0,0,0,404,121,5190,379,5569,-0.00312361,0.0410781,-0.999151,0
3104,0,0,0,0,299,75,3478,284,3762,0.0132895,0.0499204,-0.998665,0
7225,0,0,0,0,607,171,8003,537,8540,0.0179212,0.0408904,-0.999003,0
6235,0,0,0,0,574,142,6951,529,7480,0.00701617,0.0294461,-0.999542,0
7599,0,0,0,0,614,152,8365,515,8880,0.0082206,0.0248353,-0.999658,0
6225,0,0,0,0,565,143,6933,571,7504,0.0064484,0.018233,-0.999813,0
6380,0,0,0,0,597,146,7123,548,7671,0.00984133,0.0169078,-0.999809,0
7539,0,0,0,0,832,185,8556,725,9281,0.0215845,0.0438782,-0.998804,0
3791,0,0,0,0,344,85,4220,285,4505,0.019412,0.0311544,-0.999326,0
6411,0,0,0,0,561,153,7125,514,7639,0.0129195,0.0250505,-0.999603,0
6370,0,0,0,0,814,191,7375,644,8019,0.00809597,0.0168115,-0.999826,0
6311,0,0,0,0,595,147,7053,557,7610,0.00449947,0.0215462,-0.999758,0
8325,0,0,0,0,714,153,9192,533,9725,0.017738,0.0359534,-0.999196,0
6289,0,0,0,0,589,144,7022,542,7564,0.0155715,0.0377923,-0.999164,0
6531,0,0,0,0,586,143,7260,534,7794,0.00720948,0.0259781,-0.999636,0
6191,0,0,0,0,739,206,7136,680,7816,0.0171471,0.0285081,-0.999447,0
6384,0,0,0,0,569,168,7121,532,7653,0.00761536,0.022329,-0.999722,0
6190,0,0,0,0,576,162,6928,542,7470,0.00602288,0.0231895,-0.999713,0
6362,0,0,0,0,608,146,7116,500,7616,0.00715475,0.0215141,-0.999743,0
6992,0,0,0,0,492,98,7582,340,7922,0.0169116,0.0283899,-0.999454,0
3137,0,0,0,0,287,87,3511,204,3715,0.0102446,0.0251573,-0.999631,0
2697,0,0,0,0,253,63,3013,242,3255,0.00468478,0.0211423,-0.999765,0
7159,0,0,0,0,640,153,7952,553,8505,0.00759281,0.0257465,-0.99964,0
6232,0,0,0,0,580,146,6958,528,7486,0.00859578,0.0242376,-0.999669,0
6485,0,0,0,0,572,147,7204,532,7736,0.0151174,0.0278713,-0.999497,0
6277,0,0,0,0,611,143,7031,502,7533,0.0174404,0.0292805,-0.999419,0
6305,0,0,0,0,577,147,7029,569,7598,0.0102613,0.0337781,-0.999377,0
6248,0,0,0,0,585,167,7000,515,7515,0.0154566,0.0271997,-0.999511,0
6249,0,0,0,0,575,155,6979,532,7511,0.00638293,0.0243901,-0.999682,0
6143,0,0,0,0,609,143,6895,505,7400,0.00582604,0.0242685,-0.999688,0
6355,0,0,0,0,869,167,7391,520,7911,0.00441074,0.0249195,-0.99968,0
6129,0,0,0,0,573,143,6845,523,7368,0.00708202,0.0230857,-0.999708,0
6872,0,0,0,0,673,197,7742,686,8428,0.0146505,0.0190912,-0.99971,0
6269,0,0,0,0,573,143,6985,534,7519,0.0109206,0.0258866,-0.999605,0
8236,0,0,0,0,576,151,8963,511,9474,0.0160039,0.027699,-0.999488,0
6389,0,0,0,0,591,144,7124,522,7646,0.0159426,0.0329263,-0.999331,0
6161,0,0,0,0,581,144,6886,520,7406,0.0165086,0.0246216,-0.999561,0
6374,0,0,0,0,576,147,7097,526,7623,0.00353415,0.0222511,-0.999746,0
6202,0,0,0,0,574,144,6920,566,7486,0.00852978,0.0286236,-0.999554,0
6472,0,0,0,0,591,145,7208,536,7744,0.0186072,0.0305733,-0.999359,0
6377,0,0,0,0,722,149,7248,513,7761,0.0142086,0.0297761,-0.999456,0
6576,0,0,0,0,574,146,7296,530,7826,0.0145549,0.0267428,-0.999536,0
6266,0,0,0,0,613,148,7027,559,7586,0.00421304,0.0238947,-0.999706,0
6189,0,0,0,0,603,166,6958,528,7486,0.00115999,0.0216187,-0.999766,0
6477,0,0,0,0,581,165,7223,541,7764,0.0154578,0.0260398,-0.999541,0
6271,0,0,0,0,597,147,7015,592,7607,0.00502084,0.0256007,-0.99966,0
6229,0,0,0,0,581,145,6955,555,7510,0.00465238,0.0243998,-0.999691,0
6299,0,0,0,0,581,146,7026,531,7557,0.00341507,0.0343475,-0.999404,0
6231,0,0,0,0,576,148,6955,533,7488,0.0115345,0.045062,-0.998918,0
3574,0,0,0,0,286,70,3930,296,4226,0.0158864,0.044492,-0.998883,0
2449,0,0,0,0,228,56,2733,221,2954,0.00729898,0.037584,-0.999267,0
6399,0,0,0,0,576,144,7119,502,7621,0.0164122,0.0516639,-0.99853,0
6374,0,0,0,0,688,158,7220,545,7765,0.0398541,0.0921881,-0.994944,0
6307,0,0,0,0,599,156,7062,489,7551,0.0429005,0.11562,-0.992367,0
6317,0,0,0,0,577,166,7060,472,7532,0.0358528,0.121868,-0.991899,0
6450,0,0,0,0,593,149,7192,374,7566,0.0548742,0.154296,-0.9865,0
6479,0,0,0,0,597,152,7228,440,7668,-0.00133831,0.0859834,-0.996296,0
6351,0,0,0,0,615,153,7119,493,7612,0.056592,0.185176,-0.981074,0
7173,0,0,0,0,668,184,8025,588,8613,0.0634404,0.197627,-0.978222,0
4753,0,0,0,0,463,111,5327,334,5661,0.0672434,0.190445,-0.979392,0
3222,0,0,0,0,324,84,3630,252,3882,0.0859605,0.237413,-0.967598,0
6538,0,0,0,0,591,153,7282,539,7821,-0.00119144,0.0997959,-0.995007,0
6378,0,0,0,0,550,143,7071,530,7601,0.103078,0.115452,-0.98795,0
4215,0,0,0,0,380,94,4689,261,4950,0.0485481,0.0767356,-0.995869,0
6523,0,0,0,0,538,135,7196,449,7645,0.0685307,0.0930004,-0.993305,0
6620,0,0,0,0,498,132,7250,487,7737,0.0834578,0.0920676,-0.992249,0
6530,0,0,0,0,475,126,7131,694,7825,0.0878197,0.0968779,-0.991414,0
6539,0,0,0,0,481,122,7142,517,7659,0.0720493,0.0842297,-0.993838,0
7163,0,0,0,0,696,149,8008,680,8688,0.145018,0.12153,-0.981937,0
6436,0,0,0,0,422,114,6972,558,7530,0.0649677,0.0720668,-0.995282,0
6452,0,0,0,0,387,104,6943,512,7455,0.114298,0.128433,-0.98511,0
6147,0,0,0,0,357,93,6597,594,7191,0.141124,0.107911,-0.984093,0
6132,0,0,0,0,322,86,6540,577,7117,0.164194,0.129532,-0.977886,0
6133,0,0,0,0,304,73,6510,718,7228,0.122454,0.0839549,-0.988917,0
6103,0,0,0,0,243,65,6411,835,7246,0.141527,0.113925,-0.983357,0
6009,0,0,0,0,219,62,6290,651,6941,0.206569,0.188641,-0.960075,0
6587,0,0,0,0,232,79,6898,594,7492,0.147155,0.104994,-0.983525,0
6035,0,0,0,0,188,54,6277,993,7270,0.195856,0.17417,-0.965042,0
6943,0,0,0,0,186,74,7203,622,7825,0.213557,0.235923,-0.948016,0
5736,0,0,0,0,206,57,5999,619,6618,0.0729601,0.0699209,-0.994881,0
6117,0,0,0,0,238,94,6449,661,7110,0.115289,0.0930752,-0.988962,0
5999,0,0,0,0,302,78,6379,612,6991,0.0200034,-0.0106954,-0.999743,0
6003,0,0,0,0,346,88,6437,519,6956,0.0255993,-0.0249428,-0.999361,0
6244,0,0,0,0,404,99,6747,589,7336,-0.0385138,-0.144385,-0.988772,0
6225,0,0,0,0,452,108,6785,601,7386,0.037175,-0.0232809,-0.999038,0
6327,0,0,0,0,505,115,6947,646,7593,0.0170171,-0.0409392,-0.999017,0
6308,0,0,0,0,486,127,6921,777,7698,0.0842125,0.0113729,-0.996383,0
6127,0,0,0,0,505,130,6762,678,7440,0.149134,0.0768653,-0.985825,0
6185,0,0,0,0,593,133,6911,671,7582,0.137439,0.100603,-0.985388,0
4248,0,0,0,0,393,93,4734,578,5312,0.116678,0.116345,-0.986332,0
5221,0,0,0,0,466,118,5805,608,6413,0.145989,0.148981,-0.978004,0
6261,0,0,0,0,648,160,7069,1138,8207,0.191526,0.209893,-0.958782,0
6388,0,0,0,0,665,153,7206,900,8106,0.0911829,0.173157,-0.980664,0
7476,0,0,0,0,716,165,8357,828,9185,0.0885941,0.127541,-0.987869,0
6600,0,0,0,0,742,177,7519,1045,8564,0.0912114,0.117182,-0.988913,0
4391,0,0,0,0,529,124,5044,491,5535,0.0987797,0.0558271,-0.993542,0
6636,0,0,0,0,884,210,7730,1095,8825,0.0608859,0.124501,-0.99035,0
6742,0,0,0,0,871,207,7820,718,8538,0.0851719,0.0853983,-0.9927,0
6797,0,0,0,0,950,228,7975,837,8812,0.129072,0.196581,-0.971955,0
5282,0,0,0,0,544,131,5957,567,6524,0.105246,0.154561,-0.982362,0
2621,0,0,0,0,313,76,3010,338,3348,0.0754145,0.104749,-0.991635,0
2162,0,0,0,0,234,58,2454,286,2740,0.0534476,0.0732268,-0.995882,0
6473,0,0,0,0,675,166,7314,921,8235,0.0529342,0.0925077,-0.994304,0
6461,0,0,0,0,560,143,7164,935,8099,0.0326341,0.0760659,-0.996569,0
6488,0,0,0,0,479,125,7092,853,7945,0.0227897,0.0995734,-0.994769,0
6436,0,0,0,0,437,113,6986,812,7798,0.0169994,0.0997358,-0.994869,0
6190,0,0,0,0,379,104,6673,823,7496,-0.000666026,0.0708267,-0.997488,0
6186,0,0,0,0,338,91,6615,663,7278,0.00508592,0.130674,-0.991412,0
6371,0,0,0,0,344,86,6801,592,7393,0.00690217,0.128398,-0.991699,0
7025,0,0,0,0,302,83,7410,570,7980,0.0214928,0.138576,-0.990119,0
6001,0,0,0,0,305,78,6384,499,6883,0.0152625,0.0951396,-0.995347,0
6270,0,0,0,0,305,80,6655,440,7095,0.0470853,0.127248,-0.990753,0
5960,0,0,0,0,303,102,6365,392,6757,0.0404986,0.125686,-0.991243,0
7160,0,0,0,0,312,83,7555,381,7936,0.0554013,0.168926,-0.98407,0
6488,0,0,0,0,433,86,7007,382,7389,0.0492465,0.168223,-0.984518,0
5868,0,0,0,0,307,78,6253,330,6583,0.0355869,0.147987,-0.988349,0
7089,0,0,0,0,286,77,7452,317,7769,0.00938794,0.120387,-0.992683,0
5966,0,0,0,0,285,74,6325,311,6636,0.0224543,0.150894,-0.988295,0
7209,0,0,0,0,292,82,7583,315,7898,-0.00161291,0.138907,-0.990304,0
5978,0,0,0,0,299,83,6360,312,6672,0.0250052,0.201673,-0.979134,0
5941,0,0,0,0,312,104,6357,320,6677,0.0107116,0.167678,-0.985784,0
4742,0,0,0,0,217,60,5019,183,5202,-0.000659135,0.173904,-0.984762,0
6004,0,0,0,0,379,98,6481,291,6772,-0.0203951,0.224179,-0.974335,0
5860,0,0,0,0,237,68,6165,226,6391,-0.0166025,0.209886,-0.977585,0
7676,0,0,0,0,258,76,8010,208,8218,-0.0284816,0.21188,-0.976881,0
5979,0,0,0,0,433,112,6524,300,6824,-0.0544579,0.283866,-0.957316,0
4915,0,0,0,0,301,99,5315,193,5508,-0.0436124,0.212485,-0.976191,0
3133,0,0,0,0,246,65,3444,160,3604,-0.0398035,0.178324,-0.983166,0
6383,0,0,0,0,548,144,7075,438,7513,-0.0303161,0.188956,-0.981518,0
6280,0,0,0,0,583,150,7013,500,7513,-0.0280203,0.173044,-0.984515,0
6783,0,0,0,0,858,192,7833,618,8451,-0.0140031,0.179275,-0.983699,0
6273,0,0,0,0,580,147,7000,440,7440,-0.015446,0.153655,-0.988004,0
6511,0,0,0,0,558,153,7222,428,7650,-0.0216312,0.139663,-0.989963,0
6199,0,0,0,0,538,136,6873,413,7286,-0.00392702,0.145267,-0.989385,0
6222,0,0,0,0,487,123,6832,347,7179,-0.00660347,0.150259,-0.988625,0
6058,0,0,0,0,460,117,6635,351,6986,-0.00166988,0.142796,-0.989751,0
6317,0,0,0,0,424,114,6855,339,7194,-0.00400332,0.141194,-0.989974,0
6044,0,0,0,0,370,99,6513,307,6820,0.000385641,0.143233,-0.989689,0
6071,0,0,0,0,329,108,6508,277,6785,0.000400627,0.15296,-0.988232,0
6082,0,0,0,0,301,86,6469,246,6715,-0.0286104,0.135584,-0.990353,0
6113,0,0,0,0,258,78,6449,-1000,-1000,-1,-1,-1,0
2373,0,0,0,0,93,27,2493,96,2589,-0.0452111,0.119267,-0.991832,0
6007,0,0,0,0,263,73,6343,-1000,-1000,-1,-1,-1,0
5823,0,0,0,0,220,75,6118,-1000,-1000,-1,-1,-1,0
5756,0,0,0,0,209,63,6028,-1000,-1000,-1,-1,-1,0
5196,0,0,0,0,135,40,5371,-1000,-1000,-1,-1,-1,0
2304,0,0,0,0,74,23,2401,-1000,-1000,-1,-1,-1,0
2503,0,0,0,0,75,23,2601,-1000,-1000,-1,-1,-1,0
5719,0,0,0,0,180,55,5954,301,6255,-0.0646666,-0.38771,-0.91951,0
5761,0,0,0,0,143,50,5954,-1000,-1000,-1,-1,-1,0
5776,0,0,0,0,160,48,5984,235,6219,-0.0472575,0.23171,-0.971636,0
5626,0,0,0,0,130,46,5802,286,6088,-0.0363571,0.148525,-0.98824,0
5616,0,0,0,0,85,29,5730,163,5893,-0.0176223,0.059046,-0.9981,0
2787,0,0,0,0,70,28,2885,126,3011,-0.035125,0.0939767,-0.994955,0
5973,0,0,0,0,135,46,6154,272,6426,-0.133047,0.162131,-0.977759,0
5623,0,0,0,0,146,45,5814,284,6098,-0.106756,0.493875,-0.862955,0
6932,0,0,0,0,116,35,7083,209,7292,-0.0733119,0.058028,-0.995619,0
3849,0,0,0,0,114,36,3999,195,4194,-0.0626027,0.143217,-0.987709,0
7217,0,0,0,0,208,62,7487,314,7801,-0.0479085,0.108407,-0.992952,0
5814,0,0,0,0,192,60,6066,234,6300,-0.0773952,0.124646,-0.989178,0
3910,0,0,0,0,162,44,4116,205,4321,-0.0742104,0.109429,-0.99122,0
5850,0,0,0,0,218,62,6130,295,6425,-0.0818593,0.119991,-0.989394,0
5992,0,0,0,0,240,70,6302,318,6620,-0.0349888,0.107288,-0.993612,0
5917,0,0,0,0,253,73,6243,356,6599,-0.026259,0.0997229,-0.994669,0
5981,0,0,0,0,270,76,6327,369,6696,-0.0104899,0.0891749,-0.995961,0
5955,0,0,0,0,289,82,6326,373,6699,-0.00677335,0.0848795,-0.996368,0
6099,0,0,0,0,300,85,6484,357,6841,-0.0511886,0.139935,-0.988837,0
6187,0,0,0,0,337,92,6616,379,6995,0.00190685,0.0610049,-0.998136,0
6105,0,0,0,0,348,109,6562,425,6987,-0.0296083,0.10377,-0.99416,0
6079,0,0,0,0,371,111,6561,478,7039,-0.00552689,0.0702657,-0.997513,0
6324,0,0,0,0,425,127,6876,463,7339,-0.0155008,0.103355,-0.994524,0
6160,0,0,0,0,430,117,6707,517,7224,-0.0196935,0.122207,-0.992309,0
6338,0,0,0,0,470,119,6927,619,7546,-0.00633501,0.107418,-0.994194,0
6243,0,0,0,0,514,130,6887,630,7517,-0.0292867,0.0913983,-0.995384,0
7137,0,0,0,0,533,141,7811,727,8538,0.0024985,0.105509,-0.994415,0
6402,0,0,0,0,599,147,7148,636,7784,-0.0119823,0.0974589,-0.995167,0
6637,0,0,0,0,612,152,7401,661,8062,-0.015442,0.0854668,-0.996221,0
6888,0,0,0,0,664,174,7726,713,8439,-0.00647673,0.0868051,-0.996204,0
6411,0,0,0,0,690,163,7264,667,7931,-0.00306036,0.103439,-0.994631,0
6345,0,0,0,0,649,161,7155,869,8024,0.000181037,0.0986568,-0.995122,0
6772,0,0,0,0,632,154,7558,954,8512,-0.00451701,0.093055,-0.995651,0
6640,0,0,0,0,578,144,7362,1037,8399,-0.00385273,0.0948712,-0.995482,0
4141,0,0,0,0,358,86,4585,708,5293,-0.0045781,0.0703416,-0.997512,0
6217,0,0,0,0,563,150,6930,1257,8187,-0.0291032,0.0850352,-0.995953,0
7542,0,0,0,0,450,117,8109,1141,9250,-0.0338564,0.0873342,-0.995604,0
6476,0,0,0,0,394,99,6969,1042,8011,-0.0360444,0.111801,-0.993077,0
6216,0,0,0,0,342,84,6642,982,7624,-0.0245719,0.0951335,-0.995161,0
4479,0,0,0,0,206,52,4737,590,5327,-0.0128771,0.0609025,-0.998061,0
6127,0,0,0,0,274,73,6474,743,7217,-0.0143398,0.0616601,-0.997994,0
6022,0,0,0,0,249,90,6361,701,7062,-0.0186997,0.0647992,-0.997723,0
6046,0,0,0,0,239,66,6351,670,7021,-0.00904836,0.0789825,-0.996835,0
5863,0,0,0,0,222,59,6144,570,6714,-0.0101661,0.0561127,-0.998373,0
5942,0,0,0,0,239,86,6267,602,6869,-0.0164285,0.0466838,-0.998775,0
5973,0,0,0,0,210,61,6244,492,6736,-0.0121727,0.0824949,-0.996517,0
5982,0,0,0,0,218,61,6261,461,6722,-0.0101581,0.051394,-0.998627,0
6101,0,0,0,0,222,65,6388,494,6882,-0.0258961,0.0767373,-0.996715,0
6032,0,0,0,0,302,73,6407,391,6798,-0.0296602,0.108081,-0.9937,0
6086,0,0,0,0,225,67,6378,428,6806,-0.030536,0.0963766,-0.994876,0
5995,0,0,0,0,228,67,6290,353,6643,-0.0345241,0.0815275,-0.996073,0
5933,0,0,0,0,230,65,6228,324,6552,-0.047361,0.114923,-0.992245,0
5834,0,0,0,0,232,68,6134,325,6459,-0.0593318,0.0916504,-0.994022,0
5806,0,0,0,0,236,67,6109,319,6428,-0.0686507,0.116829,-0.990776,0
6074,0,0,0,0,263,72,6409,328,6737,-0.063813,0.0930109,-0.993618,0
5847,0,0,0,0,244,69,6160,316,6476,-0.0678187,0.110387,-0.991572,0
6645,0,0,0,0,250,105,7000,330,7330,-0.0597027,0.213737,-0.975065,0
5891,0,0,0,0,258,78,6227,301,6528,-0.065202,0.110788,-0.991703,0
4883,0,0,0,0,181,53,5117,201,5318,-0.0715579,0.140281,-0.987523,0
2939,0,0,0,0,141,39,3119,167,3286,-0.0598999,0.110556,-0.992063,0
4747,0,0,0,0,263,70,5080,232,5312,-0.0587337,0.141842,-0.988145,0
6372,0,0,0,0,318,92,6782,284,7066,-0.0562594,0.164611,-0.984753,0
6964,0,0,0,0,354,101,7419,298,7717,-0.0443139,0.214523,-0.975713,0
6475,0,0,0,0,433,123,7031,331,7362,-0.0422419,0.282582,-0.958313,0
6713,0,0,0,0,433,119,7265,392,7657,-0.0415606,0.256143,-0.965745,0
3629,0,0,0,0,237,63,3929,188,4117,-0.028398,0.20561,-0.978222,0
6371,0,0,0,0,518,137,7026,437,7463,-0.0270976,0.196044,-0.980221,0
7127,0,0,0,0,566,152,7845,484,8329,-0.0319478,0.180185,-0.983114,0
6386,0,0,0,0,599,150,7135,490,7625,-0.0448703,0.178219,-0.982967,0
6370,0,0,0,0,551,142,7063,540,7603,-0.0547427,0.273174,-0.960406,0
6312,0,0,0,0,530,157,6999,596,7595,-0.0334642,0.206113,-0.977956,0
3918,0,0,0,0,243,60,4221,208,4429,-0.0443688,0.17663,-0.983277,0
3025,0,0,0,0,230,57,3312,216,3528,-0.0231154,0.148999,-0.988567,0
6050,0,0,0,0,416,104,6570,395,6965,-0.0326279,0.180267,-0.983076,0
6326,0,0,0,0,326,88,6740,286,7026,-0.0204408,0.150102,-0.988459,0
6659,0,0,0,0,346,104,7109,-1000,-1000,-1,-1,-1,0
6065,0,0,0,0,251,72,6388,230,6618,0.0244427,0.224072,-0.974266,0
5878,0,0,0,0,255,66,6199,-1000,-1000,-1,-1,-1,0
5925,0,0,0,0,227,81,6233,-1000,-1000,-1,-1,-1,0
5221,0,0,0,0,191,55,5467,210,5677,0.040485,0.29654,-0.954162,0
