Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5980,0,0,0,0,954,199,7133,869,8002,-0.00544151,0.0199293,-0.999786,0
2494,0,0,0,0,522,120,3136,1059,4195,-0.00594299,0.0226184,-0.999726,0
5997,0,0,0,0,1149,269,7415,2917,10332,-0.00540145,0.0243173,-0.99969,0
5936,0,0,0,0,1301,279,7516,2917,10433,-0.00405961,0.0246089,-0.999689,0
5775,0,0,0,0,1185,273,7233,2909,10142,-0.00257936,0.0245057,-0.999697,0
5919,0,0,0,0,1190,292,7401,2891,10292,-0.00162536,0.0235919,-0.99972,0
5851,0,0,0,0,1134,272,7257,2427,9684,-0.00207746,0.022649,-0.999741,0
5931,0,0,0,0,1131,273,7335,2769,10104,-0.00254279,0.0216783,-0.999762,0
5972,0,0,0,0,1161,274,7407,2592,9999,-0.00346792,0.0211419,-0.99977,0
5879,0,0,0,0,1185,290,7354,2604,9958,-0.00463923,0.0203591,-0.999782,0
6404,0,0,0,0,1174,272,7850,2637,10487,-0.00552602,0.0203041,-0.999779,0
5895,0,0,0,0,1130,278,7303,2731,10034,-0.00610192,0.020705,-0.999767,0
5898,0,0,0,0,1171,274,7343,2668,10011,-0.00590142,0.0211801,-0.999758,0
5862,0,0,0,0,1208,279,7349,2822,10171,-0.00628208,0.021504,-0.999749,0
6035,0,0,0,0,1212,302,7549,2791,10340,-0.00506854,0.0221251,-0.999743,0
6049,0,0,0,0,1185,273,7507,2793,10300,-0.00345705,0.0228151,-0.999734,0
5915,0,0,0,0,1189,286,7390,2816,10206,-0.00305654,0.0242162,-0.999702,0
5987,0,0,0,0,1130,274,7391,2912,10303,-0.00264546,0.0249197,-0.999686,0
5933,0,0,0,0,1135,276,7344,2860,10204,-0.00227691,0.0249233,-0.999687,0
5905,0,0,0,0,1188,274,7367,2836,10203,-0.00175146,0.0245189,-0.999698,0
5981,0,0,0,0,1221,274,7476,2900,10376,-0.000617165,0.0224911,-0.999747,0
