Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6173,0,0,0,0,1118,295,7586,10441,18027,0.0751259,0.0204943,-0.996964,0
6129,0,0,0,0,1142,285,7556,2260,9816,0.0125783,0.0368446,-0.999242,0
6065,0,0,0,0,1082,275,7422,2087,9509,0.0123326,0.0352063,-0.999304,0
6004,0,0,0,0,1123,274,7401,2126,9527,0.00948399,0.033632,-0.99939,0
6000,0,0,0,0,1082,277,7359,2165,9524,0.00704282,0.0333911,-0.999417,0
6528,0,0,0,0,1101,277,7906,2220,10126,0.00503184,0.034636,-0.999387,0
5954,0,0,0,0,1081,273,7308,2049,9357,0.00527111,0.0359956,-0.999338,0
5998,0,0,0,0,1077,271,7346,1921,9267,0.00579692,0.0367049,-0.999309,0
6074,0,0,0,0,1116,276,7466,1859,9325,0.00617378,0.037971,-0.99926,0
5880,0,0,0,0,1100,275,7255,1985,9240,0.00581211,0.041254,-0.999132,0
6136,0,0,0,0,1097,282,7515,1751,9266,0.00629709,0.0439877,-0.999012,0
5982,0,0,0,0,1076,276,7334,1499,8833,0.00581501,0.0478392,-0.998838,0
6094,0,0,0,0,1086,314,7494,1486,8980,0.00815626,0.0535197,-0.998534,0
6029,0,0,0,0,1131,276,7436,1486,8922,0.0134512,0.0594171,-0.998142,0
6139,0,0,0,0,1087,312,7538,1757,9295,0.0121882,0.0578907,-0.998248,0
6150,0,0,0,0,1122,280,7552,1571,9123,0.0118248,0.0643074,-0.99786,0
6005,0,0,0,0,1113,286,7404,1796,9200,0.00950776,0.0652917,-0.997821,0
6041,0,0,0,0,1114,352,7507,1629,9136,0.0117059,0.0674061,-0.997657,0
6107,0,0,0,0,1121,284,7512,1661,9173,0.0150811,0.0633702,-0.997876,0
6699,0,0,0,0,1152,282,8133,2138,10271,0.0182417,0.0690428,-0.997447,0
6731,0,0,0,0,1122,289,8142,1762,9904,0.0174634,0.0684368,-0.997503,0
3835,0,0,0,0,685,170,4690,1539,6229,0.0187098,0.0756734,-0.996957,0
7586,0,0,0,0,1280,273,9139,2476,11615,0.0118841,0.0807917,-0.99666,0
6192,0,0,0,0,1081,270,7543,2435,9978,0.014299,0.0843635,-0.996332,0
7922,0,0,0,0,1222,278,9422,2474,11896,0.0231397,0.0850437,-0.996109,0
6149,0,0,0,0,1397,413,7959,3034,10993,0.0166192,0.075477,-0.997009,0
4238,0,0,0,0,830,192,5260,1888,7148,0.0206178,0.0780608,-0.996735,0
6962,0,0,0,0,1259,275,8496,2917,11413,0.0201159,0.0844172,-0.996228,0
6132,0,0,0,0,1080,265,7477,2313,9790,0.0246676,0.0892082,-0.995708,0
4177,0,0,0,0,717,190,5084,1807,6891,0.0196604,0.0841182,-0.996261,0
6312,0,0,0,0,1464,255,8031,2011,10042,0.0196863,0.0897915,-0.995766,0
6091,0,0,0,0,1040,272,7403,1889,9292,0.029302,0.0927079,-0.995262,0
5765,0,0,0,0,1333,245,7343,2262,9605,0.0281311,0.0836362,-0.996099,0
5670,0,0,0,0,909,230,6809,2109,8918,0.0199903,0.0908907,-0.99566,0
6667,0,0,0,0,930,274,7871,1674,9545,0.0238804,0.098336,-0.994867,0
5572,0,0,0,0,861,217,6650,2126,8776,0.00975082,0.0950279,-0.995427,0
5839,0,0,0,0,807,207,6853,1854,8707,0.00507359,0.0970926,-0.995263,0
6048,0,0,0,0,863,220,7131,2299,9430,-0.00144957,0.0965984,-0.995323,0
5403,0,0,0,0,750,193,6346,1868,8214,-0.000207981,0.0957129,-0.995409,0
6225,0,0,0,0,1036,215,7476,2675,10151,0.0126707,0.0852772,-0.996277,0
5649,0,0,0,0,784,184,6617,2456,9073,0.0172281,0.0825148,-0.996441,0
6178,0,0,0,0,825,205,7208,2986,10194,0.016286,0.0820966,-0.996491,0
5238,0,0,0,0,735,186,6159,2416,8575,0.0176425,0.0679786,-0.997531,0
5449,0,0,0,0,742,190,6381,2659,9040,0.0213094,0.0776329,-0.996754,0
5760,0,0,0,0,796,211,6767,2478,9245,0.0223057,0.0792635,-0.996604,0
6073,0,0,0,0,805,212,7090,2539,9629,0.0224297,0.0817725,-0.996399,0
5736,0,0,0,0,703,183,6622,2198,8820,0.0218606,0.0813164,-0.996449,0
5320,0,0,0,0,672,177,6169,1832,8001,0.0224624,0.0774882,-0.99674,0
5243,0,0,0,0,690,169,6102,1915,8017,0.0159935,0.0781701,-0.996812,0
5942,0,0,0,0,666,187,6795,1909,8704,0.0100241,0.0872837,-0.996133,0
5555,0,0,0,0,537,141,6233,1265,7498,0.0107705,0.0753747,-0.997097,0
5365,0,0,0,0,577,147,6089,1547,7636,0.013207,0.106041,-0.994274,0
5598,0,0,0,0,469,125,6192,1225,7417,0.0170169,0.0850748,-0.996229,0
5329,0,0,0,0,446,122,5897,1161,7058,0.0196869,0.10679,-0.994087,0
5622,0,0,0,0,442,145,6209,1010,7219,0.0191975,0.101745,-0.994625,0
5422,0,0,0,0,453,123,5998,962,6960,0.0237923,0.0781557,-0.996657,0
6462,0,0,0,0,550,137,7149,922,8071,0.027282,0.0855762,-0.995958,0
5422,0,0,0,0,391,109,5922,668,6590,0.0212295,0.0996085,-0.9948,0
3487,0,0,0,0,441,110,4038,415,4453,0.0268934,0.084732,-0.996041,0
6159,0,0,0,0,778,207,7144,716,7860,0.0200809,0.0680911,-0.997477,0
6451,0,0,0,0,913,232,7596,637,8233,0.0564527,0.0533198,-0.99698,0
6052,0,0,0,0,849,216,7117,770,7887,0.0295713,0.0561009,-0.997987,0
6335,0,0,0,0,845,216,7396,952,8348,0.0314403,0.0360834,-0.998854,0
7298,0,0,0,0,980,272,8550,1092,9642,0.0331683,0.0607468,-0.997602,0
6758,0,0,0,0,1036,266,8060,1219,9279,0.0161039,0.0515353,-0.998542,0
6185,0,0,0,0,909,236,7330,1140,8470,0.0131275,0.0576784,-0.998249,0
5944,0,0,0,0,910,244,7098,1227,8325,0.00737292,0.0563836,-0.998382,0
5925,0,0,0,0,946,242,7113,1294,8407,0.0133553,0.0548476,-0.998406,0
6721,0,0,0,0,985,254,7960,1484,9444,0.0323059,0.074207,-0.99672,0
7576,0,0,0,0,1177,267,9020,1595,10615,0.0431489,0.142085,-0.988914,0
4810,0,0,0,0,756,195,5761,975,6736,0.0455539,0.131407,-0.990281,0
2851,0,0,0,0,494,126,3471,646,4117,0.0258135,0.0896367,-0.99564,0
4140,0,0,0,0,791,242,5173,949,6122,0.0316222,0.105853,-0.993879,0
6815,0,0,0,0,1210,321,8346,1333,9679,0.0265858,0.103232,-0.994302,0
6787,0,0,0,0,1565,464,8816,1646,10462,0.0102726,0.207544,-0.978172,0
4374,0,0,0,0,637,161,5172,692,5864,0.00284327,0.138767,-0.990321,0
2597,0,0,0,0,518,126,3241,744,3985,0.00786143,0.107817,-0.99414,0
6696,0,0,0,0,1225,295,8216,2050,10266,0.0111442,0.105317,-0.994376,0
