Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6977,0,0,0,0,1528,399,8904,1489,10393,-0.00539845,0.0340052,-0.999407,0
6143,0,0,0,0,1043,251,7437,4063,11500,-0.00526674,0.0307374,-0.999514,0
6488,0,0,0,0,1040,271,7799,4458,12257,-0.00453928,0.0297206,-0.999548,0
4414,0,0,0,0,744,173,5331,2907,8238,-0.00557969,0.029038,-0.999563,0
6071,0,0,0,0,1041,248,7360,4220,11580,-0.00593408,0.0280144,-0.99959,0
6489,0,0,0,0,1053,249,7791,4300,12091,-0.00630542,0.0264768,-0.999629,0
6261,0,0,0,0,1046,250,7557,4211,11768,-0.00609516,0.0280761,-0.999588,0
6044,0,0,0,0,1054,249,7347,4351,11698,-0.00661367,0.0269431,-0.999615,0
5949,0,0,0,0,1086,251,7286,3881,11167,-0.00671332,0.0279196,-0.999588,0
4274,0,0,0,0,747,174,5195,2857,8052,-0.00830745,0.0323175,-0.999443,0
6104,0,0,0,0,1136,269,7509,4299,11808,-0.00432461,0.031831,-0.999484,0
6698,0,0,0,0,1102,282,8082,3943,12025,-0.00385414,0.0324801,-0.999465,0
4221,0,0,0,0,716,173,5110,2857,7967,-0.00381541,0.0287759,-0.999579,0
6079,0,0,0,0,1041,248,7368,4091,11459,-0.00429344,0.0266436,-0.999636,0
5909,0,0,0,0,1059,258,7226,4140,11366,-0.00459681,0.02538,-0.999667,0
6129,0,0,0,0,1086,272,7487,4290,11777,-0.00539605,0.0249933,-0.999673,0
5940,0,0,0,0,1068,260,7268,4291,11559,-0.00624128,0.0261299,-0.999639,0
5998,0,0,0,0,1065,255,7318,4396,11714,-0.00491392,0.0241141,-0.999697,0
5942,0,0,0,0,1052,249,7243,4339,11582,-0.00619374,0.0241339,-0.99969,0
5993,0,0,0,0,1073,251,7317,4289,11606,-0.00340335,0.0240653,-0.999705,0
6028,0,0,0,0,1071,254,7353,4074,11427,-0.00280523,0.0266673,-0.999641,0
6022,0,0,0,0,1056,252,7330,4514,11844,-0.00391607,0.0255365,-0.999666,0
6833,0,0,0,0,1228,305,8366,4842,13208,-0.00197964,0.0241649,-0.999706,0
6911,0,0,0,0,1246,287,8444,4687,13131,-0.00597605,0.0262556,-0.999637,0
