Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5022,0,0,0,0,94,47,5163,2834,7997,-0.0786536,-0.0566868,-0.995289,0
4957,0,0,0,0,86,39,5082,16197,21279,-0.0291951,-0.192952,-0.980774,0
2597,0,0,0,0,47,18,2662,10720,13382,-0.0106198,-0.225593,-0.974164,0
4658,0,0,0,0,79,27,4764,380,5144,0.128278,-0.663893,-0.736743,0
5065,0,0,0,0,89,31,5185,751,5936,0.0787992,-0.294912,-0.95227,0
5035,0,0,0,0,87,55,5177,1266,6443,0.0852706,-0.245407,-0.965662,0
5095,0,0,0,0,85,28,5208,524,5732,-0.0107887,-0.157595,-0.987445,0
4834,0,0,0,0,89,33,4956,17138,22094,-0.049833,-0.143445,-0.988403,0
4500,0,0,0,0,76,30,4606,13172,17778,-0.124968,-0.234375,-0.964081,0
2082,0,0,0,0,44,12,2138,218,2356,-0.175103,-0.238683,-0.95518,0
4916,0,0,0,0,88,28,5032,691,5723,-0.175344,-0.227271,-0.957916,0
4943,0,0,0,0,84,29,5056,715,5771,-0.103945,-0.239021,-0.965435,0
4549,0,0,0,0,76,26,4651,502,5153,-0.191433,-0.283675,-0.939618,0
4420,0,0,0,0,79,25,4524,1959,6483,-0.236723,-0.162489,-0.957894,0
5081,0,0,0,0,88,29,5198,623,5821,-0.222356,-0.157031,-0.962237,0
4985,0,0,0,0,87,29,5101,419,5520,-0.112726,-0.0049634,-0.993614,0
5362,0,0,0,0,86,30,5478,15396,20874,0.0170558,-0.224642,-0.974292,0
2116,0,0,0,0,37,11,2164,188,2352,0.0616193,-0.259935,-0.963658,0
4971,0,0,0,0,87,45,5103,711,5814,0.0810433,-0.404805,-0.910805,0
3779,0,0,0,0,62,23,3864,1179,5043,0.0896045,-0.279078,-0.956079,0
4983,0,0,0,0,90,29,5102,1127,6229,0.0327188,-0.228435,-0.973009,0
4958,0,0,0,0,83,27,5068,374,5442,0.0207495,-0.24053,-0.97042,0
5892,0,0,0,0,85,30,6007,484,6491,0.0220755,-0.227932,-0.973427,0
5001,0,0,0,0,83,41,5125,385,5510,0.00612274,-0.153378,-0.988149,0
5038,0,0,0,0,83,34,5155,15196,20351,0.0730375,-0.230028,-0.970439,0
2113,0,0,0,0,37,11,2161,194,2355,0.0539561,-0.170384,-0.9839,0
5047,0,0,0,0,80,33,5160,12466,17626,0.019472,-0.291331,-0.956424,0
5016,0,0,0,0,88,30,5134,643,5777,-0.00469681,-0.24448,-0.969643,0
4988,0,0,0,0,97,38,5123,400,5523,0.00226518,-0.350154,-0.93669,0
4980,0,0,0,0,87,32,5099,2192,7291,-0.023191,-0.297591,-0.954412,0
5053,0,0,0,0,89,32,5174,697,5871,-0.0237268,-0.277662,-0.960386,0
4990,0,0,0,0,88,32,5110,655,5765,-0.159215,-0.0296105,-0.9868,0
5023,0,0,0,0,84,33,5140,13412,18552,0.0937845,-0.273308,-0.957344,0
3472,0,0,0,0,58,19,3549,467,4016,-0.00708571,-0.481751,-0.87628,0
4993,0,0,0,0,87,28,5108,2143,7251,-0.0178011,-0.429861,-0.90272,0
5498,0,0,0,0,88,33,5619,3407,9026,-0.0355519,-0.481644,-0.875646,0
4958,0,0,0,0,88,31,5077,1112,6189,-0.0399859,-0.358239,-0.932773,0
5735,0,0,0,0,85,31,5851,3927,9778,-0.0519338,-0.278386,-0.959064,0
5312,0,0,0,0,88,31,5431,841,6272,-0.124711,-0.199792,-0.971869,0
3347,0,0,0,0,42,14,3403,209,3612,-0.176427,-0.035905,-0.983659,0
2614,0,0,0,0,43,16,2673,5921,8594,-0.131898,-0.0566826,-0.989641,0
4969,0,0,0,0,80,30,5079,11438,16517,-0.0762093,-0.183659,-0.980032,0
3424,0,0,0,0,58,18,3500,221,3721,-0.108255,-0.336885,-0.935302,0
5009,0,0,0,0,85,32,5126,2572,7698,-0.168205,-0.181727,-0.968856,0
5076,0,0,0,0,94,30,5200,420,5620,-0.162391,-0.138674,-0.976933,0
4982,0,0,0,0,85,30,5097,12993,18090,-0.0303383,-0.0542107,-0.998069,0
2619,0,0,0,0,42,17,2678,6776,9454,0.0420989,-0.304248,-0.951662,0
5117,0,0,0,0,86,31,5234,1078,6312,-0.000441458,-0.265654,-0.964069,0
5148,0,0,0,0,88,29,5265,579,5844,-0.0103573,-0.261261,-0.965213,0
4754,0,0,0,0,57,20,4831,315,5146,-0.211614,-0.0450661,-0.976314,0
3446,0,0,0,0,62,22,3530,6941,10471,0.0678238,-0.269358,-0.960649,0
2125,0,0,0,0,35,12,2172,299,2471,0.0151959,-0.546858,-0.837088,0
5033,0,0,0,0,84,29,5146,917,6063,-0.126997,-0.270458,-0.954319,0
5060,0,0,0,0,90,32,5182,1052,6234,-0.221693,-0.388098,-0.894557,0
5391,0,0,0,0,87,31,5509,1417,6926,-0.136525,-0.372378,-0.917984,0
5165,0,0,0,0,84,29,5278,2259,7537,-0.0674072,-0.329536,-0.941734,0
5015,0,0,0,0,83,28,5126,1596,6722,-0.0426242,-0.313147,-0.948748,0
5016,0,0,0,0,84,33,5133,1147,6280,-0.0284247,-0.294876,-0.955113,0
5915,0,0,0,0,161,46,6122,906,7028,-0.00555089,-0.293426,-0.955966,0
7473,0,0,0,0,88,36,7597,919,8516,-0.0185691,-0.276506,-0.960833,0
6174,0,0,0,0,81,29,6284,542,6826,-0.0291822,-0.271077,-0.962115,0
3468,0,0,0,0,92,23,3583,329,3912,-0.0523839,-0.24879,-0.96714,0
5364,0,0,0,0,133,36,5533,458,5991,-0.174714,-0.304086,-0.936487,0
4996,0,0,0,0,90,29,5115,2910,8025,-0.24319,-0.309455,-0.919291,0
4932,0,0,0,0,90,28,5050,2169,7219,-0.185901,-0.248006,-0.950754,0
5402,0,0,0,0,85,27,5514,1074,6588,-0.202281,-0.152643,-0.967358,0
4934,0,0,0,0,84,26,5044,350,5394,-0.201918,-0.0982389,-0.974463,0
5186,0,0,0,0,122,36,5344,14643,19987,0.0982308,-0.268112,-0.958367,0
3406,0,0,0,0,58,18,3482,547,4029,-0.0645984,-0.396093,-0.915935,0
5041,0,0,0,0,90,30,5161,3780,8941,-0.0425142,-0.291729,-0.955556,0
5009,0,0,0,0,84,27,5120,916,6036,0.0562237,-0.300684,-0.952065,0
4952,0,0,0,0,86,28,5066,950,6016,0.0258799,-0.262513,-0.964581,0
4964,0,0,0,0,81,27,5072,508,5580,0.0330486,-0.205865,-0.978022,0
4895,0,0,0,0,84,27,5006,337,5343,0.0163928,-0.165404,-0.98609,0
4959,0,0,0,0,85,30,5074,14808,19882,0.0542532,-0.283672,-0.957386,0
3414,0,0,0,0,59,18,3491,538,4029,0.0123859,-0.494866,-0.868881,0
4492,0,0,0,0,81,29,4602,1063,5665,0.00477854,-0.392855,-0.919588,0
5042,0,0,0,0,88,29,5159,4043,9202,-0.00672187,-0.303099,-0.952935,0
4936,0,0,0,0,87,27,5050,813,5863,0.0296743,-0.253193,-0.966961,0
4979,0,0,0,0,87,28,5094,578,5672,0.0818999,-0.370166,-0.925348,0
5156,0,0,0,0,88,31,5275,1315,6590,0.0734077,-0.322525,-0.94371,0
4959,0,0,0,0,90,30,5079,1544,6623,0.0669275,-0.303551,-0.950462,0
4943,0,0,0,0,91,28,5062,1325,6387,-0.0253808,-0.36664,-0.930017,0
4888,0,0,0,0,87,27,5002,3308,8310,-0.0410845,-0.301638,-0.952537,0
5067,0,0,0,0,87,30,5184,805,5989,-0.0348932,-0.286902,-0.957324,0
5040,0,0,0,0,84,30,5154,699,5853,-0.0387532,-0.269926,-0.962101,0
4963,0,0,0,0,85,28,5076,520,5596,-0.159559,-0.0166176,-0.987049,0
5011,0,0,0,0,80,31,5122,14864,19986,-0.0677892,-0.0928529,-0.993369,0
2598,0,0,0,0,44,15,2657,8880,11537,0.0863055,-0.247668,-0.964994,0
5142,0,0,0,0,86,29,5257,604,5861,0.000975274,-0.50125,-0.865302,0
4938,0,0,0,0,87,28,5053,1276,6329,-0.0430209,-0.362157,-0.931123,0
4947,0,0,0,0,87,29,5063,2804,7867,-0.0319471,-0.261268,-0.964737,0
5341,0,0,0,0,86,31,5458,456,5914,-0.0418032,-0.261372,-0.964332,0
5012,0,0,0,0,87,31,5130,521,5651,-0.191175,0.000447327,-0.981556,0
5056,0,0,0,0,107,36,5199,10828,16027,0.0253986,-0.203351,-0.978777,0
3071,0,0,0,0,44,15,3130,167,3297,0.0120275,0.106746,-0.994214,0
4945,0,0,0,0,76,31,5052,14097,19149,0.0539596,-0.307917,-0.949882,0
3452,0,0,0,0,60,20,3532,799,4331,0.0408515,-0.480589,-0.875994,0
5374,0,0,0,0,99,34,5507,1393,6900,0.00349458,-0.346742,-0.937954,0
5672,0,0,0,0,85,31,5788,1574,7362,0.016209,-0.31612,-0.948581,0
4949,0,0,0,0,88,27,5064,950,6014,0.0222947,-0.259136,-0.965584,0
4931,0,0,0,0,76,25,5032,409,5441,0.0158259,-0.243234,-0.969838,0
5669,0,0,0,0,66,26,5761,399,6160,0.0387079,-0.323447,-0.945454,0
5105,0,0,0,0,57,23,5185,995,6180,-0.0497085,-0.179635,-0.982477,0
5172,0,0,0,0,70,29,5271,349,5620,-0.113009,0.0255434,-0.993266,0
5025,0,0,0,0,120,40,5185,4711,9896,-0.120988,0.226479,-0.966472,0
5041,0,0,0,0,163,47,5251,334,5585,-0.130719,0.357477,-0.924728,0
5374,0,0,0,0,225,65,5664,593,6257,-0.0772069,0.450144,-0.889612,0
5147,0,0,0,0,282,72,5501,474,5975,-0.0483124,0.476345,-0.87793,0
5124,0,0,0,0,310,79,5513,473,5986,-0.0633826,0.659062,-0.749413,0
5564,0,0,0,0,347,91,6002,651,6653,-0.080153,0.672202,-0.736016,0
5128,0,0,0,0,372,92,5592,1105,6697,-0.0748763,0.665895,-0.742279,0
3784,0,0,0,0,255,64,4103,1099,5202,-0.0906316,0.629082,-0.772037,0
5076,0,0,0,0,407,98,5581,786,6367,-0.119227,0.660213,-0.741555,0
5173,0,0,0,0,420,103,5696,2273,7969,-0.0438181,0.344342,-0.937821,0
6178,0,0,0,0,429,105,6712,-1000,-1000,-1,-1,-1,0
5402,0,0,0,0,386,94,5882,-1000,-1000,-1,-1,-1,0
5823,0,0,0,0,361,103,6287,46265,52552,-0.0219386,0.158234,-0.987158,0
1109,0,0,0,0,46,13,1168,-1000,-1000,-1,-1,-1,0
1516,0,0,0,0,55,37,1608,-1000,-1000,-1,-1,-1,0
5315,0,0,0,0,237,75,5627,24417,30044,-0.0310026,0.380516,-0.924255,0
1518,0,0,0,0,65,16,1599,-1000,-1000,-1,-1,-1,0
2632,0,0,0,0,117,31,2780,-1000,-1000,-1,-1,-1,0
5186,0,0,0,0,232,62,5480,383,5863,-0.0237653,0.135469,-0.990496,0
