Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6637,0,0,0,0,641,170,7448,1957,9405,-0.00606403,-0.065639,-0.997825,0
5805,0,0,0,0,647,159,6611,1006,7617,-0.0206419,0.0252201,-0.999469,0
5744,0,0,0,0,637,156,6537,1149,7686,-0.0215426,0.0248901,-0.999458,0
6271,0,0,0,0,744,178,7193,1207,8400,-0.00726743,0.0220513,-0.99973,0
5693,0,0,0,0,631,155,6479,1172,7651,-0.0064354,0.0215195,-0.999747,0
5906,0,0,0,0,634,161,6701,1083,7784,-0.0173758,0.0231537,-0.999581,0
6500,0,0,0,0,729,196,7425,1333,8758,-0.0106026,0.0216984,-0.999708,0
6461,0,0,0,0,709,174,7344,1325,8669,-0.00964666,0.0233004,-0.999682,0
6540,0,0,0,0,708,172,7420,1236,8656,-0.00983084,0.0229382,-0.999689,0
6559,0,0,0,0,714,173,7446,1168,8614,-0.00955315,0.0232023,-0.999685,0
6594,0,0,0,0,739,174,7507,1269,8776,-0.00464347,0.0216476,-0.999755,0
6734,0,0,0,0,691,205,7630,1258,8888,-0.00870793,0.022892,-0.9997,0
6585,0,0,0,0,688,174,7447,1322,8769,-0.00885277,0.0221511,-0.999715,0
6956,0,0,0,0,700,178,7834,1325,9159,-0.00923834,0.0219466,-0.999717,0
6382,0,0,0,0,693,173,7248,1163,8411,-0.0123605,0.0229015,-0.999661,0
6640,0,0,0,0,726,196,7562,1224,8786,-0.00919062,0.0210015,-0.999737,0
5980,0,0,0,0,605,170,6755,1083,7838,-0.0147043,0.0223707,-0.999642,0
6462,0,0,0,0,671,166,7299,1210,8509,-0.0233934,0.0230786,-0.99946,0
5763,0,0,0,0,442,111,6316,828,7144,-0.00905204,0.0210972,-0.999736,0
3225,0,0,0,0,330,82,3637,508,4145,-0.0207074,0.0226015,-0.99953,0
5667,0,0,0,0,643,146,6456,1073,7529,-0.0113648,0.0225331,-0.999682,0
6613,0,0,0,0,655,166,7434,1198,8632,-0.00964811,0.0230738,-0.999687,0
6414,0,0,0,0,668,166,7248,1125,8373,-0.00942129,0.0229105,-0.999693,0
6622,0,0,0,0,663,178,7463,1063,8526,-0.020009,0.0224714,-0.999547,0
6458,0,0,0,0,648,162,7268,1181,8449,-0.0145101,0.0218782,-0.999656,0
6444,0,0,0,0,652,165,7261,1211,8472,-0.0136856,0.0239911,-0.999619,0
6644,0,0,0,0,642,162,7448,1134,8582,-0.0162759,0.0257153,-0.999537,0
5873,0,0,0,0,546,138,6557,960,7517,-0.0153174,0.0274797,-0.999505,0
5711,0,0,0,0,540,139,6390,924,7314,-0.0158964,0.0295492,-0.999437,0
5665,0,0,0,0,548,140,6353,966,7319,-0.0202253,0.0198082,-0.999599,0
5709,0,0,0,0,552,155,6416,888,7304,-0.0178535,0.0193562,-0.999653,0
5888,0,0,0,0,599,147,6634,970,7604,-0.0211675,0.0198354,-0.999579,0
5746,0,0,0,0,550,142,6438,925,7363,-0.0245486,0.0135168,-0.999607,0
6246,0,0,0,0,577,147,6970,943,7913,-0.0222042,0.0193596,-0.999566,0
8858,0,0,0,0,876,220,9954,958,10912,-0.0103819,0.023343,-0.999674,0
4100,0,0,0,0,390,107,4597,658,5255,-0.0108958,0.0270273,-0.999575,0
5811,0,0,0,0,561,149,6521,1020,7541,-0.0141757,0.0244003,-0.999602,0
6381,0,0,0,0,629,159,7169,1101,8270,-0.0188483,0.0297741,-0.999379,0
5826,0,0,0,0,578,143,6547,825,7372,-0.011418,0.0258363,-0.999601,0
3433,0,0,0,0,298,76,3807,453,4260,-0.0106795,0.0254708,-0.999619,0
2402,0,0,0,0,235,71,2708,370,3078,-0.0151343,0.0236998,-0.999604,0
