Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6123,0,537,561,4181,82,267,11751,1636,13387,0.0326918,0.00893986,-0.999426,0
3558,0,249,324,2580,50,186,6947,1048,7995,0.0289875,0.00897024,-0.999539,0
5433,0,434,504,3744,59,308,10482,1568,12050,0.0393369,0.00279644,-0.999222,0
5141,0,446,493,3542,66,288,9976,1568,11544,0.032575,0.00892403,-0.99943,0
5413,0,326,523,3498,64,285,10109,1330,11439,0.0288303,0.00562511,-0.999568,0
5118,0,374,463,3504,82,285,9826,1586,11412,0.033356,0.00630276,-0.999424,0
5350,0,326,429,3452,62,287,9906,1650,11556,0.027298,0.00306136,-0.999623,0
5207,0,372,434,3575,49,271,9908,1623,11531,0.0291653,0.00647113,-0.999554,0
5595,0,361,434,3404,49,266,10109,1725,11834,0.0330807,0.00455515,-0.999442,0
5192,0,365,463,3560,77,253,9910,1562,11472,0.0272891,0.00337739,-0.999622,0
3558,0,222,296,2450,46,172,6744,1107,7851,0.0327705,0.00124211,-0.999462,0
6051,0,422,538,3873,55,273,11212,1660,12872,0.0349698,0.00664012,-0.999366,0
5174,0,380,467,3552,86,281,9940,1533,11473,0.038147,-7.24054e-05,-0.999272,0
6122,0,353,623,3780,78,262,11218,1631,12849,0.0313902,0.00279787,-0.999503,0
6093,0,356,570,3783,57,288,11147,1656,12803,0.0265062,0.00616844,-0.99963,0
3964,0,278,335,2599,42,200,7418,1182,8600,0.0351286,0.00155163,-0.999381,0
3961,0,235,341,2605,38,207,7387,1105,8492,0.0314701,0.000861067,-0.999504,0
3975,0,236,316,2612,53,181,7373,1116,8489,0.0294805,0.00714237,-0.99954,0
5338,0,315,417,3457,50,231,9808,1505,11313,0.0305412,0.000777185,-0.999533,0
5966,0,372,465,3657,90,325,10875,1518,12393,0.0246078,0.00358117,-0.999691,0
4909,0,265,330,2690,43,141,8378,879,9257,0.0346843,-0.00118031,-0.999398,0
1994,0,126,158,1263,27,88,3656,562,4218,0.0340743,0.000862097,-0.999419,0
2037,0,161,167,1336,25,95,3821,619,4440,0.0317119,0.00286329,-0.999493,0
6160,0,325,470,3632,67,243,10897,1537,12434,0.0329574,0.00843182,-0.999421,0
5533,0,317,434,3464,84,204,10036,1025,11061,0.0335463,0.00784493,-0.999407,0
3772,0,221,347,3007,44,170,7561,1041,8602,0.029036,0.00304687,-0.999574,0
7225,0,319,424,3532,92,241,11833,1743,13576,0.0298282,0.00254944,-0.999552,0
3237,0,166,220,1884,34,127,5668,806,6474,0.022838,0.00339636,-0.999733,0
1891,0,115,149,1243,24,86,3508,544,4052,0.0338221,0.000954406,-0.999427,0
4810,0,305,359,3167,64,209,8914,1350,10264,0.0279425,0.00431329,-0.9996,0
6493,0,311,402,3413,56,230,10905,1513,12418,0.0316667,0.00627582,-0.999479,0
5233,0,408,439,3513,64,230,9887,1629,11516,0.0284614,0.00363104,-0.999588,0
5589,0,371,449,3455,70,266,10200,1614,11814,0.0269094,0.00169346,-0.999637,0
3606,0,219,293,2430,33,159,6740,1080,7820,0.0309514,0.00494035,-0.999509,0
5400,0,315,478,3475,70,230,9968,1546,11514,0.0310511,0.0021897,-0.999516,0
5292,0,314,404,3430,72,229,9741,1570,11311,0.0305168,-0.00169905,-0.999533,0
5728,0,376,480,3259,44,183,10070,1056,11126,0.0284468,-0.00229537,-0.999592,0
5249,0,325,468,3484,89,281,9896,1551,11447,0.0369954,0.0012332,-0.999315,0
3682,0,285,231,1842,28,135,6203,820,7023,0.02579,0.00127043,-0.999667,0
2199,0,139,162,1250,24,92,3866,549,4415,0.0256066,-0.00555308,-0.999657,0
5587,0,311,401,3418,52,274,10043,1643,11686,0.0309612,0.00368744,-0.999513,0
3612,0,265,303,1953,26,140,6299,810,7109,0.0294224,0.000815361,-0.999567,0
6159,0,363,451,3417,66,245,10701,1086,11787,0.0316243,0.0014076,-0.999499,0
3618,0,253,308,2421,40,191,6831,1015,7846,0.0407836,-0.00194286,-0.999166,0
5246,0,434,615,3852,70,224,10441,1082,11523,0.0233934,-0.00081331,-0.999726,0
4706,0,277,357,2995,50,204,8589,1351,9940,0.0415225,-0.00402055,-0.99913,0
6273,0,343,398,3320,55,226,10615,1483,12098,0.0339781,-0.00241865,-0.999419,0
5307,0,311,413,3419,64,234,9748,1612,11360,0.0310431,0.000620698,-0.999518,0
5412,0,309,495,3453,50,231,9950,1505,11455,0.0292446,0.00224147,-0.99957,0
5331,0,373,471,3423,56,266,9920,1439,11359,0.0294147,0.000506277,-0.999567,0
3644,0,272,350,2509,41,188,7004,1069,8073,0.0222644,-0.000845712,-0.999752,0
5308,0,361,430,3606,71,260,10036,1632,11668,0.0298217,0.00061467,-0.999555,0
5332,0,350,440,2401,40,158,8721,1060,9781,0.025952,0.00163255,-0.999662,0
4324,0,351,333,2812,41,190,8051,1288,9339,0.028646,0.00104071,-0.999589,0
5394,0,311,433,3340,57,226,9761,1564,11325,0.0349175,0.000126775,-0.99939,0
5428,0,312,405,3428,81,264,9918,1344,11262,0.0333081,-0.00105033,-0.999444,0
4747,0,354,396,3194,45,242,8978,1378,10356,0.0209666,-0.00181832,-0.999778,0
5401,0,332,403,3437,50,230,9853,1533,11386,0.0255437,-0.000268137,-0.999674,0
6280,0,347,445,2632,41,178,9923,1117,11040,0.0300985,0.000716401,-0.999547,0
2762,0,211,243,1817,25,133,5191,805,5996,0.0255418,0.00108604,-0.999673,0
5503,0,415,441,3589,60,257,10265,1535,11800,0.0343406,-0.00129547,-0.999409,0
5274,0,307,392,3337,52,279,9641,1504,11145,0.0354977,-0.00120368,-0.999369,0
3794,0,217,278,2421,39,180,6929,1075,8004,0.033856,-0.000416026,-0.999427,0
4632,0,277,402,3059,50,205,8625,1373,9998,0.0377246,2.85965e-05,-0.999288,0
5435,0,311,412,3488,51,285,9982,1696,11678,0.0285376,-0.000123638,-0.999592,0
5190,0,310,397,3396,70,228,9591,1494,11085,0.0374169,-0.00310689,-0.999295,0
6529,0,317,449,3436,69,241,11041,1511,12552,0.0227075,-0.000478956,-0.999742,0
3966,0,315,374,2418,42,186,7301,1025,8326,0.0211251,0.000220048,-0.999777,0
5377,0,357,453,3463,56,268,9974,1546,11520,0.0300387,-0.000163789,-0.999549,0
5447,0,367,447,3487,53,266,10067,1548,11615,0.02874,-0.000406896,-0.999587,0
5248,0,409,442,3487,72,280,9938,1486,11424,0.036998,-0.000670052,-0.999315,0
5342,0,369,450,3473,51,268,9953,1688,11641,0.0281795,-0.00154953,-0.999602,0
5288,0,386,448,3440,48,268,9878,1551,11429,0.0290759,0.00103405,-0.999577,0
5336,0,359,403,3371,51,227,9747,1502,11249,0.0315719,0.000707037,-0.999501,0
3642,0,221,303,2398,34,184,6782,1043,7825,0.0233679,0.00101426,-0.999727,0
5548,0,367,427,3455,62,265,10124,1573,11697,0.0269958,-0.000509732,-0.999635,0
5284,0,377,478,3436,81,261,9917,1542,11459,0.0342924,-0.000887981,-0.999412,0
5286,0,314,403,3491,51,228,9773,1521,11294,0.029758,0.00128704,-0.999556,0
5382,0,325,408,3548,64,262,9989,1555,11544,0.0267551,1.69711e-05,-0.999642,0
5387,0,325,458,3441,59,228,9898,1235,11133,0.0234874,0.000242351,-0.999724,0
5045,0,283,397,3074,55,261,9115,1409,10524,0.0348846,-0.00117217,-0.999391,0
5356,0,485,580,3424,93,262,10200,1483,11683,0.0290443,0.00145893,-0.999577,0
5776,0,405,424,3579,49,237,10470,1522,11992,0.0353269,-0.00133023,-0.999375,0
5572,0,404,462,3608,49,282,10377,1551,11928,0.0293401,-0.000484962,-0.999569,0
5247,0,377,477,3029,41,187,9358,1080,10438,0.0289587,-0.00097376,-0.99958,0
