Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5012,0,300,401,3390,67,218,9388,1560,10948,-0.0306877,0.0171776,-0.999381,0
4815,0,300,399,3254,38,217,9023,1467,10490,-0.00956129,0.0239877,-0.999667,0
4726,0,299,377,3276,40,219,8937,1578,10515,-0.0129662,0.0182668,-0.999749,0
4701,0,298,375,3238,41,215,8868,1411,10279,-0.0231857,0.0160289,-0.999603,0
4838,0,309,408,3218,58,219,9050,1744,10794,-0.0179858,0.0140785,-0.999739,0
4795,0,299,386,3260,38,218,8996,1475,10471,-0.0107919,0.0124039,-0.999865,0
4891,0,298,388,3314,49,241,9181,1449,10630,-0.0226232,0.0196827,-0.99955,0
4753,0,356,379,3250,47,263,9048,1552,10600,-0.0246199,0.00735703,-0.99967,0
3345,0,207,263,2236,25,146,6222,1052,7274,-0.0197926,0.0146304,-0.999697,0
5581,0,301,385,3423,39,251,9980,1518,11498,-0.0278198,0.0128145,-0.999531,0
4939,0,311,412,3246,38,236,9182,1736,10918,-0.0153421,0.00791649,-0.999851,0
5104,0,298,442,3344,41,225,9454,1560,11014,-0.0384455,0.0132185,-0.999173,0
4806,0,335,374,3354,38,241,9148,1678,10826,-0.012862,0.0223072,-0.999668,0
4744,0,299,403,3288,37,217,8988,1600,10588,-0.0221749,0.0228224,-0.999494,0
4817,0,297,389,3225,50,217,8995,1547,10542,-0.0146235,0.0167843,-0.999752,0
4788,0,297,371,3239,39,215,8949,1410,10359,-0.033218,0.0151817,-0.999333,0
3221,0,225,259,2445,29,172,6351,1179,7530,-0.00960103,0.0148884,-0.999843,0
4688,0,299,372,3309,38,216,8922,1476,10398,-0.0231868,0.0216853,-0.999496,0
4724,0,301,378,3322,38,259,9022,2001,11023,-0.0380681,0.0126492,-0.999195,0
4626,0,296,369,3380,49,273,8993,1683,10676,-0.036243,0.0112068,-0.99928,0
4769,0,463,512,3405,39,220,9408,1478,10886,-0.0248673,0.0141678,-0.99959,0
4636,0,329,394,3131,38,223,8751,1562,10313,-0.037962,0.0216635,-0.999044,0
3249,0,204,254,1717,19,111,5554,907,6461,-0.0101758,0.0185004,-0.999777,0
2330,0,149,185,1641,20,108,4433,836,5269,-0.0243998,0.0235855,-0.999424,0
4700,0,296,368,3633,52,262,9311,1715,11026,-0.0242929,0.0196677,-0.999511,0
4721,0,298,372,3227,39,214,8871,1499,10370,-0.0143745,0.011467,-0.999831,0
4763,0,299,371,3186,38,215,8872,1574,10446,-0.0111067,0.0169708,-0.999794,0
4691,0,310,374,3246,37,214,8872,1554,10426,-0.0213448,0.016233,-0.999641,0
4270,0,269,346,2898,57,195,8035,1489,9524,-0.0163383,0.0187933,-0.99969,0
4204,0,267,416,2835,34,194,7950,1498,9448,-0.0212615,0.0131719,-0.999688,0
4712,0,298,373,3354,38,219,8994,1509,10503,-0.013954,0.0132531,-0.999815,0
4695,0,364,378,3257,38,217,8949,1608,10557,-0.0124632,0.0224027,-0.999671,0
4699,0,297,423,3170,39,216,8844,1796,10640,-0.0409299,0.023623,-0.998883,0
4840,0,298,379,3255,37,217,9026,1657,10683,-0.0362451,0.0266959,-0.998986,0
4775,0,298,375,3239,50,231,8968,1566,10534,-0.0121236,0.0156271,-0.999804,0
4404,0,207,260,2254,26,147,7298,965,8263,-0.0224515,0.0186576,-0.999574,0
2476,0,159,199,1778,21,113,4746,930,5676,-0.0272656,0.00397383,-0.99962,0
4765,0,295,370,3237,43,242,8952,1582,10534,-0.0208896,0.018596,-0.999609,0
4775,0,294,375,3203,41,216,8904,1562,10466,-0.0360567,0.0119425,-0.999279,0
4943,0,323,389,3324,38,218,9235,1515,10750,-0.0242515,0.0112399,-0.999643,0
4642,0,278,336,2980,35,197,8468,1328,9796,-0.00973839,0.0172976,-0.999803,0
4830,0,298,373,3249,37,217,9004,1577,10581,-0.0372894,0.0209403,-0.999085,0
4639,0,299,376,3290,38,218,8860,1640,10500,-0.0211985,0.016708,-0.999636,0
4775,0,297,371,3233,40,215,8931,1675,10606,-0.0404734,0.0100311,-0.99913,0
4733,0,298,413,3375,40,218,9077,1601,10678,-0.0206754,0.0187867,-0.99961,0
4600,0,295,393,3202,40,222,8752,1490,10242,-0.0186813,0.0146398,-0.999719,0
4707,0,297,406,3170,40,216,8836,1482,10318,-0.0369396,0.011282,-0.999254,0
4812,0,298,428,3539,39,221,9337,1454,10791,-0.0251508,0.0140679,-0.999585,0
4810,0,317,378,3421,37,217,9180,1687,10867,-0.00851412,0.0149705,-0.999851,0
4706,0,298,373,3324,43,218,8962,1768,10730,-0.0112928,0.0203581,-0.999729,0
4812,0,298,373,3332,40,218,9073,1406,10479,-0.0216641,0.0171644,-0.999618,0
4678,0,205,255,2230,27,149,7544,1028,8572,-0.0346838,0.0111876,-0.999336,0
4730,0,325,379,3202,38,234,8908,1632,10540,-0.0235473,0.0248491,-0.999414,0
4767,0,298,374,3313,39,218,9009,1446,10455,-0.0240099,0.0209523,-0.999492,0
4765,0,298,414,3227,41,217,8962,1500,10462,-0.0100522,0.0237037,-0.999669,0
5680,0,300,379,3251,62,214,9886,1744,11630,-0.0393316,0.00986989,-0.999177,0
4063,0,207,260,2474,28,152,7184,805,7989,-0.0384011,0.0149834,-0.99915,0
4780,0,348,382,2487,27,152,8176,1059,9235,-0.0295579,0.0229791,-0.999299,0
2500,0,158,196,1732,21,114,4721,851,5572,-0.0349066,0.00885673,-0.999351,0
4858,0,319,419,3470,40,239,9345,1557,10902,-0.0221454,0.0129266,-0.999671,0
4743,0,303,379,3366,41,220,9052,1504,10556,-0.0242727,0.0226938,-0.999448,0
4688,0,346,429,3284,38,323,9108,1761,10869,-0.0344146,0.00949082,-0.999363,0
4898,0,297,375,3317,47,240,9174,1556,10730,-0.0366122,0.0202449,-0.999125,0
4935,0,299,375,3587,38,220,9454,1619,11073,-0.00850247,0.0211249,-0.999741,0
3283,0,206,258,2235,26,146,6154,1163,7317,-0.0403686,0.0104444,-0.99913,0
4676,0,298,373,3316,39,218,8920,1552,10472,-0.0362391,0.0137718,-0.999248,0
5007,0,299,378,3265,48,232,9229,1472,10701,-0.0341415,0.0114824,-0.999351,0
4701,0,340,378,3219,37,215,8890,1575,10465,-0.0283124,0.017116,-0.999453,0
