Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6031,0,213,289,2154,74,153,8914,7267,16181,-0.0296609,0.0880457,-0.995675,0
5996,0,223,279,2028,53,152,8731,5875,14606,-0.0114202,0.0127984,-0.999853,0
3094,0,112,136,1088,27,80,4537,3679,8216,-0.108715,0.0210926,-0.993849,0
5905,0,211,257,2017,55,150,8595,5858,14453,-0.0103252,0.0107871,-0.999889,0
5845,0,211,258,1971,55,147,8487,4710,13197,-0.0107994,0.0116723,-0.999873,0
4853,0,172,210,1693,40,123,7091,6212,13303,-0.00840696,0.0104149,-0.99991,0
4777,0,173,220,1644,38,122,6974,6374,13348,-0.0117041,0.0116654,-0.999863,0
5989,0,224,285,2029,54,151,8732,6398,15130,-0.116144,0.0278313,-0.992842,0
4040,0,147,188,1408,37,102,5922,2487,8409,0.696315,0.0657792,-0.714716,0
6010,0,211,278,2037,49,150,8735,4479,13214,0.690685,0.0817067,-0.718525,0
5898,0,211,257,1999,45,148,8558,6003,14561,-0.00607939,0.0113953,-0.999917,0
5956,0,214,260,2033,53,148,8664,4479,13143,-0.00938437,0.0135108,-0.999865,0
5735,0,147,179,1418,34,103,7616,3520,11136,-0.105146,0.0239274,-0.994169,0
2495,0,90,109,883,21,64,3662,2480,6142,-0.0134214,0.0121439,-0.999836,0
2010,0,74,89,695,17,50,2935,1337,4272,0.692358,0.0738114,-0.717769,0
5874,0,226,262,2000,49,158,8569,3858,12427,0.685866,0.0714968,-0.724206,0
5956,0,227,259,2018,48,157,8665,7189,15854,-0.122209,0.0343022,-0.991912,0
4077,0,148,178,1446,36,102,5987,2880,8867,0.700765,0.0594664,-0.710909,0
6072,0,223,258,2012,48,171,8784,5231,14015,0.678758,0.0770364,-0.730311,0
5990,0,212,275,2039,50,151,8717,6360,15077,-0.0240658,0.0868095,-0.995934,0
4069,0,161,177,1419,33,101,5960,6955,12915,-0.0108685,0.0120016,-0.999869,0
6009,0,212,258,2016,49,150,8694,5905,14599,-0.0100787,0.0129928,-0.999865,0
4065,0,146,176,1423,34,101,5945,4835,10780,-0.00916883,0.0126376,-0.999878,0
6016,0,211,262,2006,48,151,8694,4158,12852,0.699982,0.0732447,-0.710395,0
5883,0,235,261,1940,60,102,8481,5331,13812,-0.00984353,0.0957321,-0.995358,0
3808,0,137,167,1290,39,98,5539,4552,10091,-0.0917198,0.0309674,-0.995303,0
5838,0,211,255,2040,52,150,8546,7118,15664,-0.119519,0.0370628,-0.99214,0
5333,0,190,249,1813,47,134,7766,3264,11030,0.698721,0.0621467,-0.71269,0
6639,0,211,271,2052,47,152,9372,7911,17283,-0.00669367,0.0119579,-0.999906,0
5996,0,212,260,2097,51,151,8767,3783,12550,0.703121,0.0593278,-0.708591,0
4139,0,147,177,1375,34,102,5974,2094,8068,0.689175,0.0596028,-0.72214,0
5922,0,214,260,2042,53,152,8643,6813,15456,-0.0132937,0.0150549,-0.999798,0
5962,0,212,259,2015,47,149,8644,5072,13716,0.695514,0.0687989,-0.715212,0
4107,0,204,279,1707,32,116,6445,5563,12008,-0.109209,0.0280132,-0.993624,0
5450,0,189,234,1848,66,135,7922,5376,13298,-0.0109519,0.0124044,-0.999863,0
6092,0,215,275,2027,49,149,8807,6449,15256,-0.105311,0.0238937,-0.994152,0
3126,0,116,137,1063,29,78,4549,2782,7331,0.688524,0.0544443,-0.723167,0
5829,0,212,257,1981,46,147,8472,3569,12041,0.696109,0.0617946,-0.715271,0
5919,0,213,260,2072,47,150,8661,6318,14979,-0.0091421,0.0951438,-0.995422,0
4070,0,146,176,1390,35,102,5919,5959,11878,-0.00900394,0.0956319,-0.995376,0
5964,0,231,272,2181,52,172,8872,6434,15306,-0.0142774,0.0146935,-0.99979,0
5986,0,213,264,2038,58,154,8713,3837,12550,0.688256,0.069902,-0.722092,0
4118,0,210,196,1387,37,102,6050,4559,10609,-0.0181704,0.0472454,-0.998718,0
6010,0,212,267,2017,52,159,8717,7330,16047,-0.122177,0.0262558,-0.992161,0
4094,0,147,179,1408,34,101,5963,5568,11531,-0.120344,0.0286654,-0.992319,0
3818,0,135,164,1294,32,96,5539,4123,9662,-0.0347777,0.0884828,-0.99547,0
5880,0,211,348,2617,52,155,9263,7407,16670,-0.0130034,0.0126483,-0.999835,0
4142,0,147,179,1441,38,103,6050,2662,8712,0.693578,0.0672427,-0.717237,0
6639,0,210,258,1978,50,148,9283,8734,18017,-0.00576621,0.0100573,-0.999932,0
4217,0,146,178,1368,34,102,6045,2656,8701,0.696838,0.0537399,-0.715213,0
6506,0,210,312,1994,46,151,9219,2961,12180,0.702016,0.0549119,-0.710041,0
6654,0,213,284,2078,47,152,9428,3898,13326,0.694835,0.0544658,-0.717104,0
4073,0,151,176,1441,31,105,5977,5498,11475,-0.0153882,0.0951784,-0.995341,0
6614,0,210,264,1977,47,145,9257,9326,18583,-0.110219,0.0277153,-0.993521,0
4131,0,151,190,1432,34,102,6040,4587,10627,-0.104069,0.0186963,-0.994394,0
5924,0,212,259,1994,49,147,8585,6582,15167,-0.0106602,0.0139652,-0.999846,0
4103,0,148,181,1399,36,102,5969,4104,10073,-0.108703,0.0210053,-0.993852,0
5976,0,212,258,2023,55,151,8675,5629,14304,-0.0133865,0.0408973,-0.999074,0
4089,0,146,177,1378,33,100,5923,5878,11801,-0.00938726,0.0482042,-0.998794,0
5441,0,191,233,1827,47,135,7874,7679,15553,-0.013316,0.0120535,-0.999839,0
3823,0,136,164,1267,31,93,5514,4187,9701,-0.00980383,0.0123751,-0.999875,0
6054,0,258,272,2074,55,152,8865,6566,15431,-0.0884768,0.0275374,-0.995698,0
5942,0,211,255,1967,49,144,8568,3860,12428,-0.117255,0.0280791,-0.992705,0
5394,0,190,253,1920,43,137,7937,5893,13830,-0.107913,0.0210679,-0.993937,0
5366,0,207,235,1831,46,133,7818,3137,10955,-0.00843155,0.0121633,-0.999891,0
4879,0,241,216,1747,41,124,7248,6944,14192,-0.118936,0.0333273,-0.992343,0
3609,0,130,155,1190,32,88,5204,3855,9059,-0.106841,0.0231812,-0.994006,0
6060,0,211,305,2034,52,150,8812,6650,15462,-0.0152419,-0.0163873,-0.999749,0
4074,0,205,224,1403,35,106,6047,2858,8905,0.699489,0.0650818,-0.711674,0
6028,0,212,286,1985,45,149,8705,3592,12297,0.697809,0.0578008,-0.713948,0
5894,0,211,255,1993,50,146,8549,7031,15580,-0.112967,0.0285781,-0.993187,0
