Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6185,0,370,486,4125,95,280,11541,1720,13261,-0.00425709,0.0253069,-0.999671,0
5768,0,394,467,4013,86,278,11006,1503,12509,-0.00864151,0.033317,-0.999408,0
5845,0,373,469,4038,80,268,11073,1649,12722,-0.00472813,0.0239898,-0.999701,0
6087,0,399,471,4205,92,276,11530,1700,13230,-0.004026,0.0309841,-0.999512,0
4007,0,258,323,2854,60,232,7734,1107,8841,-0.00334548,0.0225699,-0.99974,0
5878,0,395,470,4226,87,268,11324,1564,12888,-0.00158284,0.0194725,-0.999809,0
5912,0,399,469,4188,103,318,11389,1703,13092,-0.00354287,0.0183034,-0.999826,0
5888,0,373,468,4026,70,268,11093,1547,12640,-0.00778208,0.0296483,-0.99953,0
4049,0,258,322,2777,52,187,7645,1107,8752,-0.0048904,0.0215964,-0.999755,0
5952,0,371,480,3977,83,271,11134,1572,12706,-0.00632575,0.0257597,-0.999648,0
5892,0,388,474,4009,69,273,11105,1648,12753,-0.00598969,0.0209143,-0.999763,0
4041,0,259,321,2810,51,184,7666,1081,8747,-0.00666515,0.0313251,-0.999487,0
5244,0,336,420,3648,61,270,9979,1465,11444,-0.00534184,0.0258598,-0.999651,0
5406,0,338,452,3693,73,247,10209,1460,11669,-0.00514059,0.0251487,-0.999671,0
5295,0,358,432,3628,80,240,10033,1410,11443,-0.00300921,0.0238454,-0.999711,0
6479,0,405,467,4004,68,271,11694,1574,13268,-0.00408564,0.0303262,-0.999532,0
4020,0,258,318,2774,57,184,7611,1128,8739,-0.00573905,0.0224083,-0.999733,0
5883,0,375,469,4029,83,271,11110,1614,12724,-0.00373341,0.0232434,-0.999723,0
5782,0,412,489,4116,68,271,11138,1233,12371,-0.00383856,0.022466,-0.99974,0
4010,0,257,322,2767,49,183,7588,1126,8714,-0.0032824,0.0253466,-0.999673,0
5820,0,367,454,3920,72,281,10914,1661,12575,-0.00449178,0.015319,-0.999873,0
5862,0,550,650,4311,75,268,11716,1626,13342,-0.00618803,0.00483671,-0.999969,0
4065,0,255,335,2723,52,183,7613,1039,8652,-0.00663451,0.00126042,-0.999977,0
