Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6317,0,380,513,4247,73,278,11808,1672,13480,0.00853718,0.0348667,-0.999356,0
8527,0,379,517,3694,35,233,13385,1094,14479,0.00487361,0.0335215,-0.999426,0
3226,0,200,252,2157,23,143,6001,778,6779,0.00615167,0.0336672,-0.999414,0
7077,0,388,499,4045,53,272,12334,1662,13996,0.00424883,0.0291919,-0.999565,0
6214,0,378,475,3419,42,187,10715,1010,11725,-0.00188865,0.0238055,-0.999715,0
3160,0,203,264,2142,30,141,5940,818,6758,-0.001298,0.0342475,-0.999413,0
6568,0,586,640,4169,51,271,12285,1660,13945,0.00228874,0.0288902,-0.99958,0
5957,0,377,478,4022,61,276,11171,1610,12781,0.0041309,0.0304609,-0.999527,0
6104,0,376,468,4110,92,282,11432,1547,12979,0.000449509,0.0370816,-0.999312,0
5325,0,357,419,3631,75,243,10050,1502,11552,0.0034424,0.0369329,-0.999312,0
5499,0,342,455,3643,57,244,10240,1302,11542,0.00469086,0.0422733,-0.999095,0
4968,0,309,383,3257,66,219,9202,1237,10439,0.000823803,0.0503747,-0.99873,0
6096,0,377,510,4123,64,272,11442,1511,12953,0.0067208,0.0498064,-0.998736,0
6107,0,420,470,3998,66,269,11330,1048,12378,0.00486055,0.051909,-0.99864,0
6044,0,381,474,4101,69,269,11338,1526,12864,0.00101057,0.044968,-0.998988,0
6123,0,420,477,4024,63,249,11356,1051,12407,0.00650406,0.0524502,-0.998602,0
4140,0,264,326,2833,44,189,7796,1002,8798,0.00210902,0.0644464,-0.997919,0
5978,0,390,507,4308,54,282,11519,1111,12630,-0.00368818,0.0619697,-0.998071,0
5581,0,353,438,3864,57,253,10546,1323,11869,0.0073821,0.0567417,-0.998362,0
5982,0,380,473,4390,84,324,11633,1670,13303,0.0108242,0.0575435,-0.998284,0
5967,0,371,488,3886,107,257,11076,1430,12506,0.00761431,0.0638563,-0.99793,0
5944,0,366,550,4700,65,267,11892,1544,13436,-0.00100336,0.07338,-0.997303,0
4338,0,284,316,2685,49,182,7854,1037,8891,0.00379364,0.0799922,-0.996788,0
6153,0,368,470,3971,53,265,11280,1445,12725,-0.00120075,0.0838424,-0.996478,0
4973,0,259,316,2617,31,138,8334,758,9092,0.00452831,0.0792276,-0.996846,0
3028,0,188,230,2028,26,134,5634,712,6346,0.0108833,0.0719212,-0.997351,0
6739,0,383,469,4451,91,326,12459,1561,14020,0.012982,0.0752173,-0.997083,0
6127,0,375,492,4040,52,265,11351,1364,12715,0.0126462,0.0893548,-0.99592,0
5433,0,328,405,3514,44,229,9953,1293,11246,0.0126069,0.0963629,-0.995266,0
5386,0,316,385,3391,67,225,9770,1309,11079,0.0130483,0.0786987,-0.996813,0
5843,0,346,433,3675,67,245,10609,1491,12100,0.0150543,0.0843873,-0.996319,0
5826,0,339,448,3479,51,205,10348,1268,11616,0.0151811,0.0923416,-0.995612,0
5166,0,292,363,3027,57,267,9172,1291,10463,0.0176884,0.100135,-0.994817,0
5783,0,313,391,3338,63,229,10117,1462,11579,0.0155028,0.0902525,-0.995798,0
5581,0,302,377,3197,65,219,9741,1788,11529,0.00946895,0.0942229,-0.995506,0
4813,0,259,323,2756,60,192,8403,1363,9766,0.00866319,0.0865159,-0.996213,0
5076,0,344,368,2928,79,182,8977,1390,10367,0.000805669,0.0973945,-0.995246,0
5380,0,263,333,2780,66,225,9047,1476,10523,-0.000326553,0.0872761,-0.996185,0
5386,0,257,371,2697,63,187,8961,1463,10424,0.00502089,0.0829969,-0.996537,0
5425,0,250,315,2587,65,178,8820,1450,10270,0.0135477,0.0795625,-0.996738,0
5273,0,239,301,2467,56,171,8507,1425,9932,0.0171608,0.0780587,-0.996801,0
5378,0,283,307,2454,56,177,8655,1427,10082,0.0120954,0.0857905,-0.99624,0
5342,0,248,316,2613,42,181,8742,1376,10118,0.0156071,0.073384,-0.997182,0
5349,0,256,334,2695,60,187,8881,1378,10259,0.0216738,0.06952,-0.997345,0
5300,0,253,317,2522,88,189,8669,1394,10063,0.0237229,0.0780983,-0.996663,0
5388,0,248,314,2428,61,177,8616,1582,10198,0.0216095,0.0663277,-0.997564,0
5213,0,243,305,2455,60,182,8458,1360,9818,0.0202016,0.0719163,-0.997206,0
5308,0,233,298,2333,55,176,8403,1388,9791,0.0194324,0.072068,-0.99721,0
5357,0,222,282,2265,55,167,8348,1505,9853,0.0113368,0.0812278,-0.996631,0
5244,0,229,332,1961,51,163,7980,1620,9600,-0.0126387,0.091431,-0.995731,0
5219,0,185,242,1862,46,141,7695,1826,9521,-0.0160787,0.0965519,-0.995198,0
5404,0,173,229,1666,43,133,7648,2329,9977,0.0167298,0.0698591,-0.997417,0
5325,0,188,221,1542,45,123,7444,2278,9722,0.0187814,0.0702492,-0.997353,0
5282,0,154,204,1487,40,118,7285,2170,9455,0.0214355,0.080351,-0.996536,0
5238,0,152,200,1442,44,118,7194,1863,9057,0.0186299,0.0949466,-0.995308,0
5260,0,157,207,1568,40,121,7353,1527,8880,0.024682,0.0868032,-0.99592,0
5358,0,193,226,1750,39,153,7719,1850,9569,0.0308155,0.0462332,-0.998455,0
5711,0,197,255,1946,73,144,8326,1507,9833,0.0211047,0.107532,-0.993978,0
5649,0,225,288,2238,43,180,8623,3195,11818,0.028303,0.101611,-0.994422,0
5517,0,248,314,2440,43,179,8741,3345,12086,0.0345678,0.0745219,-0.99662,0
5715,0,275,346,2801,44,200,9381,3185,12566,0.0723266,0.00993097,-0.997332,0
3878,0,202,252,2118,38,161,6649,1452,8101,0.0250025,0.0789634,-0.996564,0
6149,0,302,380,3138,43,217,10229,1577,11806,0.0270821,0.0417956,-0.998759,0
5944,0,397,413,3215,43,244,10256,1590,11846,0.0291017,0.0572345,-0.997937,0
5381,0,220,270,2259,27,199,8356,912,9268,0.0179136,0.0678179,-0.997537,0
2618,0,138,184,1401,16,99,4456,596,5052,0.0193716,0.0587283,-0.998086,0
6105,0,325,405,3276,37,233,10381,1504,11885,0.0101407,0.0560097,-0.998379,0
6131,0,373,439,3430,43,238,10654,1405,12059,0.0127303,0.0593979,-0.998153,0
4161,0,241,323,2499,47,189,7460,998,8458,0.0231175,0.0585825,-0.998015,0
6127,0,365,452,3801,42,263,11050,1517,12567,0.0450864,0.145517,-0.988328,0
5039,0,269,332,2597,40,147,8424,756,9180,0.0376438,0.130028,-0.990796,0
2200,0,146,181,1451,12,99,4089,466,4555,0.0330599,0.0852008,-0.995815,0
3110,0,214,281,2269,22,153,6049,756,6805,0.0518864,0.0904876,-0.994545,0
6130,0,420,527,4526,56,302,11961,1956,13917,0.0504637,0.0931365,-0.994374,0
6180,0,497,532,4503,68,349,12129,2103,14232,0.0133263,0.17666,-0.984182,0
3573,0,222,276,2370,34,129,6604,901,7505,0.0289042,0.121329,-0.992192,0
2188,0,148,183,1593,27,106,4245,899,5144,0.0285393,0.115302,-0.992921,0
5566,0,361,464,3869,44,258,10562,1723,12285,0.0384703,0.0838139,-0.995739,0
6214,0,398,489,4469,46,281,11897,1919,13816,0.0292119,0.0828677,-0.996132,0
6313,0,389,480,3863,36,193,11274,1155,12429,0.00699228,0.0998739,-0.994976,0
4274,0,270,335,2824,47,217,7967,1007,8974,0.00427287,0.0816392,-0.996653,0
6393,0,382,512,3964,105,279,11635,1407,13042,0.00320349,0.113421,-0.993542,0
6376,0,391,484,4143,82,292,11768,1531,13299,-0.0279746,0.114307,-0.993052,0
6473,0,395,553,4222,62,285,11990,1165,13155,0.0140919,0.0867862,-0.996128,0
4413,0,273,341,2927,37,196,8187,947,9134,0.0241587,0.0540845,-0.998244,0
6566,0,420,487,4119,65,279,11936,1699,13635,0.0450999,0.0406488,-0.998155,0
