Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7091,0,399,528,4374,99,295,12786,1904,14690,-0.00874204,0.0349825,-0.99935,0
6661,0,337,427,3862,61,364,11712,1801,13513,-0.0091043,0.0334747,-0.999398,0
6145,0,335,418,3415,47,167,10527,1151,11678,-0.00947211,0.0347044,-0.999353,0
4343,0,234,293,2448,38,167,7523,1201,8724,-0.00801961,0.0337028,-0.9994,0
5484,0,302,375,3155,67,267,9650,1449,11099,-0.0118597,0.03549,-0.9993,0
6179,0,334,425,3679,79,359,11055,1815,12870,-0.00766741,0.0323975,-0.999446,0
7037,0,381,488,3727,71,272,11976,1416,13392,-0.0092681,0.0333149,-0.999402,0
4568,0,253,313,2828,59,271,8292,1363,9655,-0.0113883,0.0267726,-0.999577,0
5996,0,335,418,3618,82,312,10761,1965,12726,-0.0137611,0.0331689,-0.999355,0
6274,0,339,426,3615,49,243,10946,1463,12409,-0.016413,0.0426195,-0.998956,0
6122,0,338,422,3687,55,244,10868,1606,12474,-0.0106687,0.0379167,-0.999224,0
6000,0,332,413,3518,57,236,10556,1679,12235,-0.00652004,0.0352542,-0.999357,0
6110,0,371,424,3555,52,239,10751,1320,12071,-0.00696427,0.0324223,-0.99945,0
6231,0,335,416,3600,55,241,10878,1549,12427,-0.00771619,0.0251517,-0.999654,0
6111,0,337,421,3642,62,245,10818,1643,12461,-0.00687466,0.0290822,-0.999553,0
6918,0,384,500,3738,54,247,11841,1219,13060,-0.00701759,0.0297365,-0.999533,0
4221,0,235,293,2489,45,167,7450,1122,8572,-0.0106997,0.0302013,-0.999487,0
6146,0,339,421,3697,66,247,10916,1585,12501,-0.0101563,0.0260977,-0.999608,0
6167,0,340,429,3945,114,251,11246,1652,12898,-0.0133873,0.0271163,-0.999543,0
6442,0,338,427,3605,58,244,11114,1631,12745,-0.00687997,0.0287601,-0.999563,0
6179,0,352,427,3609,61,243,10871,1555,12426,-0.00962218,0.0268315,-0.999593,0
6165,0,339,422,3620,63,244,10853,1622,12475,-0.00765042,0.0305993,-0.999502,0
6330,0,383,423,3633,54,244,11067,1635,12702,-0.00899175,0.0331207,-0.999411,0
6153,0,365,429,3677,60,246,10930,1531,12461,-0.014545,0.0276557,-0.999512,0
6137,0,342,455,3648,58,244,10884,1640,12524,-0.012713,0.0325928,-0.999388,0
4570,0,236,296,2530,49,168,7849,1040,8889,-0.0154427,0.029584,-0.999443,0
6101,0,364,427,3642,72,243,10849,1655,12504,-0.00985456,0.0331074,-0.999403,0
6120,0,341,428,3668,74,247,10878,1580,12458,-0.0106452,0.0332826,-0.999389,0
6241,0,387,432,3763,74,265,11162,1660,12822,-0.00981389,0.0319307,-0.999442,0
4326,0,235,295,2533,44,170,7603,1169,8772,-0.0113364,0.0343694,-0.999345,0
6342,0,340,431,3672,84,245,11114,1688,12802,-0.0110027,0.03341,-0.999381,0
6662,0,524,496,3781,79,250,11792,1596,13388,-0.00907538,0.0310381,-0.999477,0
6083,0,342,426,3772,59,250,10932,1419,12351,-0.0152583,0.0342402,-0.999297,0
4246,0,335,312,2496,34,168,7591,1114,8705,-0.0132969,0.0345323,-0.999315,0
6148,0,340,423,3751,80,248,10990,1570,12560,-0.0125712,0.0371922,-0.999229,0
6227,0,343,432,3690,71,246,11009,1601,12610,-0.0104005,0.0371474,-0.999256,0
6528,0,375,435,3889,57,250,11534,1591,13125,-0.0105491,0.0365973,-0.999274,0
4245,0,237,296,2562,51,169,7560,1163,8723,-0.00978986,0.0328161,-0.999414,0
6538,0,344,444,3720,49,248,11343,1781,13124,-0.0113782,0.0328188,-0.999397,0
6120,0,342,428,3708,59,257,10914,1649,12563,-0.0154988,0.0308828,-0.999403,0
6093,0,342,426,3808,58,250,10977,1626,12603,-0.0147878,0.0361833,-0.999236,0
4213,0,237,294,2561,40,170,7515,1037,8552,-0.0128337,0.0386907,-0.999169,0
6173,0,449,434,3693,57,244,11050,1608,12658,-0.0102663,0.0337146,-0.999379,0
8070,0,345,434,3096,38,170,12153,1095,13248,-0.0121854,0.035006,-0.999313,0
3245,0,179,223,1913,29,130,5719,841,6560,-0.0115119,0.0324844,-0.999406,0
6215,0,457,437,3706,56,246,11117,1501,12618,-0.00975925,0.0297551,-0.99951,0
6598,0,346,434,3807,58,255,11498,1668,13166,-0.00684096,0.0296969,-0.999536,0
6173,0,349,437,3743,84,248,11034,1689,12723,0.00220754,0.0299274,-0.999549,0
6197,0,352,440,3823,82,263,11157,1621,12778,-0.00265171,0.0325749,-0.999466,0
6150,0,350,438,3810,61,254,11063,1682,12745,-0.00798831,0.0324872,-0.99944,0
