Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5344,0,24,75,300,78,33,5854,6300,12154,0.0149834,-0.215591,-0.976369,0
3394,0,17,33,139,40,21,3644,4753,8397,-0.0902638,-0.0777319,-0.99288,0
4984,0,24,44,215,55,25,5347,7502,12849,-0.0796329,-0.0649605,-0.994705,0
5005,0,24,45,208,50,26,5358,7559,12917,-0.0634005,-0.0745559,-0.9952,0
3388,0,16,29,125,35,15,3608,4710,8318,-0.0772627,-0.0804922,-0.993756,0
5904,0,26,49,207,63,25,6274,6518,12792,0.00796233,-0.219933,-0.975483,0
3813,0,25,44,192,60,28,4162,4022,8184,-0.0862165,-0.0375477,-0.995569,0
4663,0,21,40,189,40,22,4975,6125,11100,-0.0979772,-0.0566898,-0.993573,0
5081,0,23,45,203,55,25,5432,5673,11105,-0.0369616,-0.136127,-0.990002,0
4970,0,24,47,194,52,23,5310,6911,12221,-0.0370783,-0.0852555,-0.995669,0
5030,0,24,44,203,52,25,5378,6403,11781,-0.120957,-0.0664158,-0.990433,0
2598,0,12,22,99,28,11,2770,4458,7228,-0.047649,-0.134025,-0.989832,0
5042,0,24,47,186,48,23,5370,4790,10160,-0.0424767,-0.0770512,-0.996122,0
5010,0,24,45,193,56,23,5351,6331,11682,-0.167449,-0.052869,-0.984462,0
3458,0,16,30,137,32,16,3689,5382,9071,0.0223344,-0.217357,-0.975837,0
3395,0,17,31,139,40,16,3638,4350,7988,0.00991667,-0.219788,-0.975497,0
4982,0,24,44,193,56,23,5322,6833,12155,-0.124597,-0.0728605,-0.989529,0
4966,0,24,45,199,47,23,5304,7560,12864,-0.0560052,-0.0605974,-0.99659,0
5000,0,23,46,186,62,37,5354,5718,11072,-0.0213813,-0.203666,-0.978807,0
5020,0,24,48,192,53,23,5360,6851,12211,-0.192586,-0.0695962,-0.978809,0
5073,0,23,44,178,49,22,5389,6148,11537,-0.0569021,-0.1108,-0.992212,0
3412,0,16,33,131,36,15,3643,3966,7609,-0.0467993,-0.113511,-0.992434,0
5105,0,23,45,181,57,22,5433,6241,11674,-0.0724951,-0.0761325,-0.994459,0
5177,0,24,47,187,51,22,5508,6916,12424,-0.146346,-0.127928,-0.980927,0
5936,0,25,51,190,50,23,6275,4902,11177,-0.118604,-0.0800918,-0.989706,0
3409,0,16,31,130,34,15,3635,3964,7599,0.00921472,-0.0954371,-0.995393,0
5055,0,36,65,254,65,33,5508,7547,13055,-0.0725135,-0.0810949,-0.994065,0
5101,0,23,47,186,51,22,5430,5380,10810,-0.140559,-0.070618,-0.98755,0
2593,0,12,23,114,28,11,2781,2165,4946,-0.0835475,-0.0648702,-0.99439,0
5020,0,24,54,200,46,26,5370,6047,11417,-0.083953,-0.0613984,-0.994576,0
4998,0,24,47,198,50,49,5366,6241,11607,-0.0889842,-0.086862,-0.992238,0
5189,0,24,48,206,54,27,5548,4852,10400,-0.0864248,-0.0681326,-0.993926,0
3450,0,16,32,145,36,16,3695,3649,7344,-0.134229,-0.0732526,-0.988239,0
5027,0,23,46,184,51,25,5356,4435,9791,-0.069226,-0.0745388,-0.994812,0
5690,0,24,48,192,49,23,6026,5687,11713,0.00145429,-0.220624,-0.975358,0
4999,0,25,45,189,51,23,5332,5909,11241,-0.0914965,-0.0864375,-0.992047,0
4891,0,23,42,187,53,22,5218,6227,11445,-0.163628,-0.0964624,-0.981795,0
5142,0,24,49,183,50,23,5471,3924,9395,-0.0562282,-0.0622848,-0.996473,0
2098,0,9,20,76,21,9,2233,2658,4891,0.0380467,-0.237044,-0.970754,0
1535,0,7,14,59,14,7,1636,1483,3119,-0.0306817,-0.0636352,-0.997501,0
5138,0,23,49,254,50,30,5544,4787,10331,-0.051344,-0.0662149,-0.996484,0
4958,0,24,45,191,50,24,5292,5905,11197,0.0177138,-0.220197,-0.975295,0
4920,0,22,44,197,57,28,5268,6305,11573,0.0159807,-0.222791,-0.974736,0
3497,0,22,39,126,33,15,3732,4675,8407,-0.118841,-0.0755306,-0.990036,0
5066,0,23,47,191,49,23,5399,6250,11649,-0.0230278,-0.13425,-0.99068,0
4903,0,22,42,177,46,22,5212,6580,11792,-0.0184197,-0.239248,-0.970784,0
4525,0,21,40,174,40,20,4820,5959,10779,-0.0536339,-0.113933,-0.99204,0
4939,0,23,48,189,45,23,5267,6868,12135,0.0194228,-0.221238,-0.975026,0
4122,0,16,32,121,33,16,4340,4314,8654,-0.0942657,-0.141336,-0.985464,0
1775,0,8,16,66,17,8,1890,2324,4214,0.0160801,-0.217588,-0.975908,0
1917,0,9,17,70,19,8,2040,2684,4724,-0.0908009,-0.0869275,-0.992068,0
5169,0,23,46,179,51,26,5494,6887,12381,-0.0853003,-0.101211,-0.991201,0
4763,0,21,38,190,60,25,5097,5509,10606,-0.1108,-0.137039,-0.98435,0
4872,0,20,41,173,43,20,5169,6771,11940,-0.0129918,-0.208252,-0.977989,0
6091,0,23,44,177,47,22,6404,5420,11824,-0.124255,-0.0817525,-0.988877,0
4530,0,20,38,157,44,20,4809,4691,9500,-0.0889142,-0.138562,-0.986354,0
4546,0,21,40,165,48,20,4840,5614,10454,-0.0705396,-0.116884,-0.990637,0
7581,0,24,50,187,53,23,7918,5415,13333,-0.0854265,-0.171965,-0.981392,0
5003,0,23,58,206,45,24,5359,5611,10970,-0.0814871,-0.184114,-0.979521,0
3491,0,16,32,138,37,17,3731,4741,8472,-0.0451022,-0.0581173,-0.99729,0
5027,0,23,44,179,50,23,5346,5692,11038,-0.148451,-0.101232,-0.983725,0
5198,0,23,53,185,49,23,5531,6718,12249,-0.0645128,-0.0888883,-0.993951,0
3436,0,16,30,177,34,16,3709,4726,8435,-0.0983828,-0.0950553,-0.990599,0
5103,0,23,45,201,51,22,5445,6820,12265,-0.0782406,-0.184532,-0.979707,0
5187,0,23,48,183,44,22,5507,6217,11724,-0.176169,-0.0816842,-0.980965,0
3463,0,16,33,128,34,15,3689,4280,7969,-0.139572,-0.0776548,-0.987162,0
5188,0,24,43,184,47,22,5508,6821,12329,-0.183294,-0.0796589,-0.979825,0
5721,0,23,45,181,49,22,6041,7217,13258,-0.0813946,-0.179251,-0.98043,0
3462,0,16,32,149,33,18,3710,4298,8008,-0.0852948,-0.0869881,-0.992551,0
4980,0,24,45,189,51,23,5312,6878,12190,-0.0203415,-0.215645,-0.97626,0
5018,0,21,40,201,48,23,5351,6829,12180,-0.0715656,-0.0996058,-0.99245,0
3435,0,16,29,144,34,18,3676,5250,8926,-0.164427,-0.093696,-0.981929,0
5082,0,24,46,213,51,23,5439,6952,12391,-0.153561,-0.0708896,-0.985593,0
5052,0,24,48,194,56,23,5397,4987,10384,-0.0866839,-0.0921265,-0.991967,0
4499,0,21,44,165,45,21,4795,6804,11599,-0.0687156,-0.119019,-0.990511,0
4717,0,23,58,180,48,25,5051,5730,10781,-0.0713306,-0.0757363,-0.994573,0
3236,0,15,29,120,34,30,3464,2881,6345,-0.089066,-0.0949584,-0.991489,0
5437,0,27,63,204,52,31,5814,4858,10672,-0.122741,-0.0772951,-0.989424,0
5052,0,24,46,195,53,23,5393,4458,9851,-0.165256,-0.0935406,-0.981805,0
5040,0,23,46,195,49,25,5378,6338,11716,-0.128765,-0.113994,-0.985102,0
5006,0,25,48,237,53,26,5395,5627,11022,-0.140579,-0.0669856,-0.987801,0
3458,0,17,32,134,32,16,3689,5289,8978,-0.021822,-0.18881,-0.981771,0
5103,0,23,49,184,47,23,5429,6853,12282,-0.096345,-0.0885686,-0.9914,0
4980,0,24,48,190,55,23,5320,6237,11557,-0.0841993,-0.0592585,-0.994685,0
3406,0,16,30,123,34,15,3624,4734,8358,-0.164165,-0.102941,-0.981047,0
4945,0,24,45,190,54,24,5282,6852,12134,-0.0839273,-0.0820395,-0.993089,0
5195,0,23,46,182,52,23,5521,6603,12124,-0.136053,-0.140123,-0.980742,0
3749,0,17,32,131,35,16,3980,3986,7966,-0.149567,-0.0919973,-0.984462,0
4708,0,22,41,172,44,21,5008,6434,11442,-0.141518,-0.108325,-0.983991,0
4289,0,19,39,157,43,19,4566,6225,10791,-0.0478231,-0.155005,-0.986756,0
4656,0,29,53,212,43,24,5017,5649,10666,-0.0786929,-0.0952077,-0.992342,0
3005,0,17,29,114,27,14,3206,3718,6924,0.00154224,-0.2195,-0.975611,0
5232,0,24,48,190,68,23,5585,4806,10391,-0.074834,-0.0842044,-0.993634,0
4985,0,24,45,184,50,23,5311,5145,10456,-0.0880798,-0.0603367,-0.994284,0
5906,0,24,46,186,50,23,6235,5670,11905,-0.0852162,-0.0676319,-0.994064,0
5004,0,33,57,222,59,40,5415,5857,11272,-0.0991445,-0.0967978,-0.990354,0
4954,0,23,46,186,66,26,5301,5666,10967,-0.0680783,-0.0686918,-0.995312,0
4980,0,22,59,258,62,38,5419,5292,10711,-0.0886388,-0.0878989,-0.992178,0
5078,0,23,44,175,44,22,5386,5171,10557,-0.0111659,-0.19948,-0.979838,0
3164,0,19,37,169,39,26,3454,3327,6781,0.0865536,-0.274883,-0.957574,0
5004,0,22,43,171,47,21,5308,6796,12104,0.00848863,-0.19232,-0.981296,0
3449,0,13,27,100,32,13,3634,6479,10113,0.00711906,-0.173657,-0.98478,0
5315,0,18,39,126,35,18,5551,9548,15099,-0.0490655,-0.0463228,-0.997721,0
3495,0,16,48,122,24,15,3720,3364,7084,-0.112802,0.267968,-0.956801,0
5050,0,40,82,346,39,34,5591,5211,10802,-0.0902504,0.347394,-0.933366,0
5058,0,55,84,535,36,47,5815,8381,14196,-0.0442963,0.223328,-0.973736,0
4667,0,66,94,656,38,54,5575,8411,13986,-0.122665,0.142441,-0.982173,0
4686,0,78,108,783,39,63,5757,10184,15941,-0.0603465,0.633687,-0.771232,0
5375,0,100,139,1008,42,77,6741,-1000,-1000,-1,-1,-1,0
2160,0,48,63,488,20,39,2818,-1000,-1000,-1,-1,-1,0
1398,0,32,42,326,12,24,1834,4608,6442,0.00711776,-0.489699,-0.871862,0
1443,0,35,46,348,14,25,1911,-1000,-1000,-1,-1,-1,0
3719,0,99,128,1036,37,73,5092,-1000,-1000,-1,-1,-1,0
3861,0,99,131,1067,36,78,5272,-1000,-1000,-1,-1,-1,0
4002,0,96,129,992,40,73,5332,-1000,-1000,-1,-1,-1,0
2408,0,53,72,537,21,40,3131,-1000,-1000,-1,-1,-1,0
4175,0,86,101,730,34,57,5183,-1000,-1000,-1,-1,-1,0
4692,0,63,92,612,36,49,5544,17923,23467,-0.00422014,0.324848,-0.945757,0
