Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6682,0,243,344,2432,102,173,9976,3660,13636,-0.0197224,0.0432432,-0.99887,0
6647,0,234,298,2348,56,176,9759,3273,13032,-0.0219136,0.0442067,-0.998782,0
4251,0,157,201,1566,32,113,6320,2137,8457,-0.0237189,0.0233415,-0.999446,0
6737,0,233,300,2243,53,170,9736,3813,13549,-0.00879669,0.0143697,-0.999858,0
4402,0,155,198,1525,43,112,6435,3069,9504,-0.0263611,0.0326306,-0.99912,0
4013,0,146,191,1464,36,109,5959,2386,8345,-0.023988,0.0261233,-0.999371,0
6795,0,241,305,2288,55,171,9855,3652,13507,-0.0240028,0.0386549,-0.998965,0
6480,0,231,293,2324,57,175,9560,3548,13108,-0.0226792,0.0337703,-0.999172,0
4312,0,150,192,1505,43,109,6311,2639,8950,-0.0184422,0.0784893,-0.996745,0
6599,0,222,288,2184,67,170,9530,4513,14043,0.00369878,0.103445,-0.994629,0
4281,0,150,198,1475,43,111,6258,3266,9524,-0.0228585,0.0299853,-0.999289,0
6602,0,227,302,2248,66,169,9614,4114,13728,-0.0188619,0.0559886,-0.998253,0
4285,0,152,194,1501,44,110,6286,3073,9359,-0.0270343,0.0274219,-0.999259,0
6829,0,291,378,2301,61,173,10033,4121,14154,-0.0198195,0.0365619,-0.999135,0
5752,0,248,357,2267,47,172,8843,2421,11264,-0.0199756,0.0381266,-0.999073,0
4090,0,138,180,1315,45,100,5868,2994,8862,-0.0219741,0.0404848,-0.998939,0
6079,0,199,255,1928,53,147,8661,3377,12038,-0.0195576,0.0359489,-0.999162,0
6534,0,222,294,2128,73,190,9441,4544,13985,-0.0166862,0.0650737,-0.997741,0
3025,0,103,129,866,24,63,4210,2092,6302,-0.0243991,0.0319518,-0.999192,0
2062,0,70,89,664,19,51,2955,2083,5038,-0.0206225,0.0414885,-0.998926,0
2258,0,75,105,739,20,56,3253,1892,5145,-0.0127387,0.0525964,-0.998535,0
6751,0,234,257,1909,52,146,9349,3168,12517,-0.0234604,0.0420202,-0.998841,0
5796,0,194,268,1710,35,101,8104,3077,11181,-0.00843221,0.0579342,-0.998285,0
3964,0,134,194,1288,49,100,5729,2648,8377,-0.00945599,0.0714541,-0.997399,0
5772,0,191,247,1827,58,138,8233,6535,14768,-0.00307589,0.0709964,-0.997472,0
5669,0,192,249,1873,53,144,8180,4912,13092,0.0228164,0.0902296,-0.99566,0
