Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4848,3387,79,410,0,757,212,9693,703,10396,-0.0503387,0.120573,-0.991428,0
4748,3302,38,386,0,780,213,9467,569,10036,-0.035745,0.032293,-0.998839,0
4708,3303,39,391,0,754,213,9408,1171,10579,-0.0127554,0.0109512,-0.999859,0
4902,3287,53,417,0,752,215,9626,1237,10863,-0.0359217,0.0114273,-0.999289,0
4768,3274,35,388,0,774,223,9462,1292,10754,-0.0126312,0.0191954,-0.999736,0
5370,3349,33,382,0,766,215,10115,1273,11388,-0.0212577,0.0118622,-0.999704,0
4630,3568,51,431,0,768,216,9664,1192,10856,-0.0308874,0.0112943,-0.999459,0
4702,3257,35,392,0,753,212,9351,1193,10544,-0.0309727,0.0116231,-0.999453,0
4814,3190,33,407,0,752,219,9415,1204,10619,-0.017762,0.0153935,-0.999724,0
4781,3327,34,384,0,754,212,9492,1201,10693,-0.0145401,0.00925357,-0.999852,0
4726,3310,35,383,0,768,212,9434,1315,10749,-0.0340012,0.00568017,-0.999406,0
4758,3557,41,521,0,826,219,9922,1291,11213,-0.0313214,0.0196196,-0.999317,0
5054,3289,33,379,0,769,213,9737,1218,10955,-0.0214807,0.00979961,-0.999721,0
5083,3466,34,387,0,753,212,9935,1234,11169,-0.0132026,0.0105332,-0.999858,0
4797,3293,34,407,0,1092,250,9873,1249,11122,-0.0225298,0.0183476,-0.999578,0
4634,3261,36,389,0,760,212,9292,1324,10616,-0.0131153,0.0191795,-0.99973,0
4720,2909,21,260,0,522,147,8579,814,9393,-0.0334244,0.00859624,-0.999404,0
4035,2675,28,314,0,663,178,7893,1044,8937,-0.0307643,0.00822648,-0.999493,0
5073,3426,35,388,0,756,213,9891,1201,11092,-0.0230255,0.0206834,-0.999521,0
4624,3182,32,455,0,748,213,9254,1216,10470,-0.0417418,0.00794298,-0.999097,0
4725,3279,33,389,0,752,212,9390,1242,10632,-0.0328104,0.0104707,-0.999407,0
4413,2858,30,347,0,672,187,8507,1063,9570,-0.0326163,0.00796411,-0.999436,0
