Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
1769,632,23,81,0,172,45,2722,1016,3738,0.0414131,-0.0396972,-0.998354,0
5860,2114,30,266,0,593,146,9009,1871,10880,-0.00757291,0.0137231,-0.999877,0
6038,2025,27,262,0,583,146,9081,1585,10666,-8.87941e-05,0.0111098,-0.999938,0
5825,2017,28,259,0,581,146,8856,1699,10555,-0.0107229,0.0143552,-0.999839,0
5900,2032,30,263,0,581,145,8951,1560,10511,-0.000696955,0.0115312,-0.999933,0
5839,2000,30,263,0,634,152,8918,1826,10744,-0.00168455,0.00864139,-0.999961,0
6006,2078,28,269,0,593,151,9125,1851,10976,-0.000800173,0.0105751,-0.999944,0
5796,2049,30,261,0,615,149,8900,2124,11024,-0.00913835,0.014076,-0.999859,0
5377,1836,27,244,0,536,136,8156,1621,9777,-0.00105934,0.0103422,-0.999946,0
5903,2015,29,262,0,580,145,8934,1792,10726,0.0027601,0.0097305,-0.999949,0
5964,2068,30,266,0,590,147,9065,1741,10806,-0.00980447,0.0134487,-0.999862,0
6033,2031,49,268,0,612,148,9141,1346,10487,-0.00955403,0.0151915,-0.999839,0
2992,874,13,112,0,266,64,4321,725,5046,-0.00256043,0.00913615,-0.999955,0
2388,846,12,107,0,240,60,3653,851,4504,-0.0181668,-0.0092879,-0.999792,0
5846,2537,37,384,0,881,215,9900,2325,12225,-0.000189611,0.0101491,-0.999949,0
6503,1433,20,183,0,409,102,8650,1228,9878,-0.00173801,0.0123339,-0.999922,0
3092,1109,19,188,0,447,82,4937,934,5871,-0.00970882,0.0160566,-0.999824,0
5951,2108,30,264,0,589,146,9088,1758,10846,-0.00923221,0.0146223,-0.99985,0
5909,2031,30,279,0,587,148,8984,1836,10820,-0.0101789,0.0131848,-0.999861,0
5827,2325,30,267,0,580,145,9174,1850,11024,-0.011598,0.019118,-0.99975,0
5868,2078,29,264,0,583,146,8968,1543,10511,-0.00169165,0.0103427,-0.999945,0
5962,2093,31,272,0,583,153,9094,1823,10917,-0.00865218,0.0121188,-0.999889,0
5843,2045,29,261,0,583,145,8906,1744,10650,-0.00946004,0.0139377,-0.999858,0
5880,2088,31,262,0,586,145,8992,1639,10631,-0.00924091,0.0140463,-0.999859,0
6259,2044,28,269,0,589,147,9336,1613,10949,-6.86479e-05,0.012439,-0.999923,0
5846,2005,30,261,0,589,145,8876,2016,10892,-0.00953037,0.0154072,-0.999836,0
5941,2077,29,263,0,583,146,9039,1718,10757,-0.00513631,0.0102023,-0.999935,0
5877,2024,29,263,0,582,145,8920,1844,10764,-0.00145813,0.0116371,-0.999931,0
5323,1816,29,246,0,526,131,8071,1680,9751,-0.000124411,0.00985681,-0.999951,0
6434,2006,29,264,0,607,154,9494,1951,11445,-0.0122067,0.0137692,-0.999831,0
5878,2084,50,262,0,591,148,9013,1549,10562,-0.000363485,0.0119383,-0.999929,0
5930,2035,30,262,0,586,159,9002,2092,11094,-0.00265392,0.0101289,-0.999945,0
5879,2052,29,274,0,596,149,8979,1834,10813,-0.011412,0.0169375,-0.999791,0
5472,1852,26,234,0,523,132,8239,1405,9644,-0.0128577,0.0163436,-0.999784,0
6097,2099,31,266,0,590,147,9230,1693,10923,0.000398606,0.0151443,-0.999885,0
5880,2045,28,263,0,586,147,8949,1896,10845,-0.00236226,0.0120165,-0.999925,0
6012,2032,30,264,0,587,146,9071,1906,10977,-0.00185924,0.0111307,-0.999936,0
5943,2094,33,263,0,588,147,9068,1901,10969,-0.0174033,-0.0107369,-0.999791,0
5895,2035,28,263,0,581,145,8947,1606,10553,-0.0183161,-0.0102415,-0.99978,0
5943,2096,29,267,0,592,149,9076,1802,10878,-0.00231055,0.0117127,-0.999929,0
5884,2074,29,264,0,587,147,8985,1746,10731,0.00054856,0.0143055,-0.999898,0
5922,2036,28,262,0,615,150,9013,1837,10850,-0.00805354,0.013695,-0.999874,0
5968,2034,31,289,0,582,149,9053,1749,10802,-0.0126857,0.0189407,-0.99974,0
5977,2015,29,262,0,629,149,9061,1565,10626,-0.00845661,0.0140896,-0.999865,0
5928,2061,29,262,0,579,146,9005,1570,10575,-0.0100145,0.0154078,-0.999831,0
5887,2030,29,262,0,585,147,8940,1664,10604,-0.00803157,0.0139118,-0.999871,0
5973,2097,29,265,0,598,147,9109,1675,10784,-0.0076933,0.0147308,-0.999862,0
5923,2008,29,261,0,591,146,8958,1638,10596,0.000337208,0.0110303,-0.999939,0
5933,2020,29,283,0,584,147,8996,1951,10947,-0.0188527,-0.0106086,-0.999766,0
5891,2056,30,262,0,578,146,8963,1954,10917,-0.00898323,0.0123682,-0.999883,0
5970,2058,29,264,0,619,149,9089,1736,10825,-0.00200923,0.010925,-0.999938,0
5857,2031,29,263,0,584,148,8912,1795,10707,0.00205832,0.0106916,-0.99994,0
6376,2003,30,267,0,579,146,9401,2030,11431,-0.000254769,0.0148546,-0.999889,0
6092,2042,30,263,0,587,190,9204,1972,11176,-0.00848778,0.0147392,-0.999855,0
5966,2021,29,286,0,582,147,9031,1688,10719,0.00162002,0.0142807,-0.999897,0
5870,2068,43,263,0,618,147,9009,1758,10767,-0.00211648,0.0107829,-0.99994,0
4312,1421,20,180,0,404,100,6437,1211,7648,-0.008577,0.0130312,-0.999879,0
6001,2023,42,264,0,606,148,9084,1651,10735,-0.00320729,0.011836,-0.999925,0
5909,2028,30,263,0,588,148,8966,1594,10560,0.000480679,0.0108476,-0.999941,0
5892,2033,29,262,0,580,145,8941,2035,10976,-0.00229554,0.00934783,-0.999954,0
6705,2245,30,275,0,839,226,10320,1990,12310,-0.001849,0.0105759,-0.999942,0
4313,1390,21,179,0,403,100,6406,1288,7694,-0.00258498,0.0109878,-0.999936,0
5910,2013,28,320,0,584,149,9004,1972,10976,-0.00903081,0.0131317,-0.999873,0
5800,2082,29,267,0,592,148,8918,1663,10581,-0.00821014,0.0153059,-0.999849,0
5889,2172,44,268,0,608,148,9129,1545,10674,-0.00304833,0.00944663,-0.999951,0
5866,2103,30,282,0,583,145,9009,1819,10828,-0.00561663,0.0112297,-0.999921,0
5861,2120,39,268,0,584,147,9019,1827,10846,-0.0180572,-0.00993625,-0.999788,0
6789,2026,30,265,0,666,153,9929,1774,11703,-0.00232335,0.0110098,-0.999937,0
5782,1998,27,259,0,602,147,8815,1852,10667,-0.0111341,0.0154473,-0.999819,0
5910,2035,27,260,0,584,145,8961,1714,10675,-0.00790484,0.0124489,-0.999891,0
5892,2051,29,262,0,592,147,8973,1935,10908,-0.0174086,-0.0126185,-0.999769,0
5860,2054,27,262,0,595,148,8946,1765,10711,-0.0206947,-0.0101623,-0.999734,0
5917,2083,28,264,0,588,148,9028,1566,10594,-0.0204253,-0.0120369,-0.999719,0
5926,2086,29,263,0,597,147,9048,1870,10918,-0.0195689,-0.0124851,-0.99973,0
6016,2044,30,263,0,588,146,9087,1771,10858,-0.00400207,0.00929915,-0.999949,0
5927,2013,28,262,0,609,149,8988,1912,10900,0.000260793,0.0116593,-0.999932,0
5951,2080,29,263,0,584,146,9053,1924,10977,-0.000591288,0.00935238,-0.999956,0
