Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6028,4179,86,567,0,1118,272,12250,1335,13585,-0.00728522,0.0175468,-0.99982,0
5982,4003,35,472,0,1436,302,12230,2378,14608,-0.00638755,0.0212375,-0.999754,0
6159,4088,33,473,0,1021,186,11960,1890,13850,-0.00486176,0.023179,-0.999719,0
4023,2771,23,323,0,728,182,8050,2034,10084,-0.00330936,0.0235227,-0.999718,0
5769,4000,31,468,0,1075,270,11613,2674,14287,-0.00232755,0.0228841,-0.999736,0
5881,3703,22,327,0,753,189,10875,1883,12758,-0.00225984,0.0222638,-0.99975,0
3094,2189,38,264,0,555,142,6282,1441,7723,-0.00269451,0.0215217,-0.999765,0
5987,4192,32,508,0,1046,268,12033,2533,14566,-0.00373597,0.0205998,-0.999781,0
6188,4147,32,478,0,1059,267,12171,2034,14205,-0.0050463,0.0201168,-0.999785,0
4084,2827,21,353,0,763,201,8249,1869,10118,-0.00585419,0.0202008,-0.999778,0
6057,4074,40,494,0,1076,275,12016,2736,14752,-0.00621489,0.0207618,-0.999765,0
5938,4086,32,528,0,1078,268,11930,2730,14660,-0.0060642,0.0212315,-0.999757,0
5929,4195,34,472,0,1098,270,11998,2159,14157,-0.0063267,0.0215039,-0.999749,0
3253,2144,16,282,0,561,144,6400,1506,7906,-0.00549221,0.0219517,-0.999744,0
5952,4165,33,475,0,1093,271,11989,2219,14208,-0.00350046,0.0227943,-0.999734,0
4112,2904,22,337,0,729,185,8289,1991,10280,-0.00327494,0.0240963,-0.999704,0
5290,3703,31,430,0,975,243,10672,2659,13331,-0.00251953,0.0250567,-0.999683,0
5281,3788,30,444,0,949,240,10732,2575,13307,-0.00232058,0.0249218,-0.999687,0
5664,3847,33,469,0,979,256,11248,2477,13725,-0.00175146,0.0245189,-0.999698,0
5273,3613,28,421,0,960,241,10536,2263,12799,-0.000362905,0.0220303,-0.999757,0
4863,3408,27,382,0,845,220,9745,2297,12042,-0.00148777,0.0169818,-0.999855,0
5811,3967,32,472,0,1083,280,11645,2332,13977,-0.00525125,0.00255286,-0.999983,0
5953,3979,32,475,0,1046,324,11809,1843,13652,-0.0115798,-0.015671,-0.99981,0
6017,3942,32,485,0,1031,265,11772,1817,13589,-0.0140828,-0.0275462,-0.999521,0
6676,4408,31,455,0,1166,269,13005,1829,14834,-0.0169162,-0.0545429,-0.998368,0
4120,2052,18,246,0,532,152,7120,858,7978,-0.0140028,-0.0399919,-0.999102,0
2568,1641,14,196,0,428,110,4957,618,5575,-0.0131358,-0.00871505,-0.999876,0
3373,2310,23,264,0,575,149,6694,933,7627,-0.0208456,-0.0010994,-0.999782,0
6607,4015,31,487,0,1050,269,12459,1839,14298,-0.0226377,0.012407,-0.999667,0
6176,5365,33,506,0,1071,280,13431,2031,15462,-0.0320647,0.0306438,-0.999016,0
4154,2932,22,345,0,758,205,8416,1515,9931,-0.0395064,0.0443297,-0.998236,0
6251,4316,31,517,0,1130,304,12549,2545,15094,-0.0439421,0.0479451,-0.997883,0
4217,3098,23,375,0,835,208,8756,1811,10567,-0.0361981,0.031539,-0.998847,0
6257,4621,32,559,0,1194,310,12973,2040,15013,-0.0246678,1.64261e-05,-0.999696,0
4303,3225,24,408,0,848,215,9023,1488,10511,-0.0219191,-0.0265445,-0.999408,0
6361,4849,32,585,0,1074,224,13125,1445,14570,0.00696773,-0.0488428,-0.998783,0
6525,4994,45,477,0,939,231,13211,1638,14849,0.0376854,-0.0599371,-0.997491,0
3318,2658,18,307,0,684,204,7189,1504,8693,0.0347396,-0.044493,-0.998406,0
6404,5049,34,603,0,1278,340,13708,2846,16554,0.0553535,-0.0704187,-0.99598,0
4166,3003,22,357,0,768,195,8511,1627,10138,0.0512741,-0.0655298,-0.996532,0
6227,3846,33,493,0,986,260,11845,2267,14112,0.0513673,-0.0871268,-0.994872,0
5522,2963,30,381,0,817,213,9926,1504,11430,0.0274106,-0.0997762,-0.994632,0
4824,2380,34,302,0,633,164,8337,1310,9647,0.00308833,-0.10434,-0.994537,0
5317,3024,31,369,0,785,208,9734,1467,11201,0.00644452,-0.112016,-0.993685,0
5229,2956,30,362,0,785,204,9566,1809,11375,-0.0115533,-0.138247,-0.990331,0
5280,2861,29,357,0,776,206,9509,2331,11840,-0.0101494,-0.104703,-0.994452,0
5346,3040,28,386,0,814,222,9836,2361,12197,-0.00920618,-0.140396,-0.990053,0
5219,3096,29,370,0,799,211,9724,2352,12076,-0.0138616,-0.107807,-0.994075,0
5437,3224,30,361,0,783,203,10038,2537,12575,-0.0129449,-0.128889,-0.991574,0
5625,2835,30,343,0,724,189,9746,2412,12158,-0.0120073,-0.142115,-0.989777,0
5975,2648,31,368,0,679,180,9881,2206,12087,-0.00338739,-0.183003,-0.983106,0
5514,2218,36,287,0,575,151,8781,2525,11306,0.0498481,-0.336988,-0.940188,0
3688,1030,13,129,0,274,73,5207,1462,6669,0.0423437,-0.273296,-0.960998,0
2162,684,10,84,0,182,48,3170,989,4159,0.0218102,-0.166267,-0.98584,0
2649,1097,13,152,0,323,79,4313,1220,5533,0.0233128,-0.136642,-0.990346,0
6081,3555,35,440,0,945,244,11300,2552,13852,0.0139607,-0.216512,-0.97618,0
6102,3803,30,453,0,1000,258,11646,2474,14120,0.00815003,-0.225983,-0.974097,0
4418,2849,23,339,0,731,192,8552,1548,10100,0.017266,-0.239186,-0.97082,0
7084,4637,31,532,0,1242,280,13806,2076,15882,0.0175512,-0.256437,-0.966402,0
4820,3226,22,374,0,903,216,9561,1719,11280,0.0164918,-0.270861,-0.962477,0
6078,4116,25,488,0,1097,273,12077,2051,14128,0.015939,-0.315256,-0.948873,0
6038,4231,37,486,0,1092,286,12170,2112,14282,0.0118613,-0.37501,-0.926945,0
4074,2340,21,275,0,617,155,7482,1539,9021,0.0125389,-0.358519,-0.933438,0
5096,2391,37,285,0,643,158,8610,1787,10397,0.00469476,-0.389,-0.921226,0
7154,4139,34,519,0,1050,252,13148,1406,14554,0.00863218,-0.49957,-0.866231,0
4981,2906,22,339,0,769,193,9210,849,10059,-0.00231939,-0.472769,-0.881183,0
5951,4112,31,489,0,1417,274,12274,1020,13294,-0.0192559,-0.501891,-0.864717,0
5668,4363,25,539,0,832,207,11634,607,12241,-0.0277892,-0.463343,-0.885743,0
3752,3138,17,398,0,799,208,8312,714,9026,-0.0358138,-0.399303,-0.91612,0
7459,4868,27,550,0,1193,346,14443,1580,16023,-0.0496186,-0.464112,-0.884386,0
6149,4181,29,479,0,1088,275,12201,1059,13260,-0.0418338,-0.410821,-0.910756,0
4821,2443,22,285,0,656,160,8387,1196,9583,-0.0485286,-0.338422,-0.939742,0
5496,3049,28,359,0,822,200,9954,1288,11242,-0.0670468,-0.345652,-0.935965,0
5296,2670,28,324,0,805,142,9265,883,10148,-0.0520731,-0.347553,-0.936213,0
5541,2865,30,354,0,773,196,9759,1154,10913,-0.0526373,-0.329697,-0.942619,0
5535,3051,29,369,0,808,203,9995,1432,11427,-0.0471471,-0.35166,-0.93494,0
5601,2668,31,318,0,707,192,9517,1638,11155,-0.0141571,-0.336209,-0.941681,0
5615,2338,29,301,0,673,176,9132,1756,10888,0.000799901,-0.370334,-0.928898,0
5782,2058,29,279,0,569,151,8868,1605,10473,0.00238727,-0.365163,-0.930941,0
4183,1403,21,177,0,434,102,6320,1350,7670,-0.00233788,-0.356527,-0.934282,0
5580,3226,41,518,0,864,218,10447,1605,12052,-0.0241515,-0.374169,-0.927046,0
6206,4174,54,477,0,1009,262,12182,1405,13587,-0.0233565,-0.422531,-0.906048,0
4350,2785,20,337,0,741,186,8419,1186,9605,-0.0116692,-0.365765,-0.930634,0
6394,3574,27,446,0,987,237,11665,1820,13485,-0.0022012,-0.41068,-0.911777,0
5599,2877,26,342,0,790,191,9825,1831,11656,-0.0203884,-0.450214,-0.892688,0
5575,2033,28,264,0,663,152,8715,1605,10320,-0.014879,-0.437604,-0.899045,0
6058,2503,39,351,0,696,177,9824,1816,11640,-0.0256141,-0.440223,-0.897523,0
6345,3644,30,449,0,965,247,11680,1469,13149,-0.0188031,-0.495862,-0.868198,0
4399,2801,20,338,0,745,189,8492,1102,9594,-0.00697128,-0.503094,-0.864204,0
6413,4494,29,548,0,1174,311,12969,1435,14404,-0.0237167,-0.545786,-0.837589,0
6147,4903,27,594,0,1234,222,13127,942,14069,-0.0202982,-0.536888,-0.84341,0
4136,2960,19,369,0,771,198,8453,820,9273,-0.0124201,-0.460424,-0.887612,0
5863,3438,29,415,0,983,236,10964,875,11839,0.00536982,-0.449783,-0.893122,0
6054,3011,30,412,0,854,228,10589,735,11324,-0.00660833,-0.418303,-0.908284,0
6097,2956,32,370,0,836,139,10430,564,10994,-0.00990302,-0.355894,-0.934474,0
4077,1949,21,255,0,530,134,6966,722,7688,-0.0452096,-0.294194,-0.954676,0
5814,2844,31,380,0,778,200,10047,1273,11320,-0.0920511,-0.307013,-0.947243,0
6946,3209,31,367,0,791,201,11545,1336,12881,-0.10355,-0.292641,-0.950599,0
3873,2029,19,241,0,568,134,6864,889,7753,-0.0650649,-0.24133,-0.96826,0
6214,3056,43,363,0,808,203,10687,1554,12241,-0.0165075,-0.171083,-0.985118,0
5679,2995,29,395,0,788,203,10089,1799,11888,-0.0128282,-0.119665,-0.992732,0
5803,2915,29,359,0,777,207,10090,2304,12394,-0.0292693,-0.0565171,-0.997972,0
5683,2941,29,374,0,769,201,9997,2291,12288,-0.0394103,-0.00491629,-0.999211,0
5718,3001,30,405,0,776,204,10134,2207,12341,-0.0425424,0.0301871,-0.998638,0
5090,2750,27,334,0,747,190,9138,1988,11126,-0.0297245,0.0301063,-0.999105,0
5784,3096,50,388,0,819,212,10349,2234,12583,-0.0184585,0.0515738,-0.998499,0
4011,2254,20,266,0,598,153,7302,1507,8809,-0.0127603,0.0258321,-0.999585,0
6356,3336,34,416,0,866,224,11232,2161,13393,-0.0137586,-0.00788804,-0.999874,0
6405,3208,29,390,0,865,221,11118,2450,13568,-0.0198622,-0.0404251,-0.998985,0
4035,2237,19,261,0,569,147,7268,1593,8861,-0.0226567,-0.0317612,-0.999239,0
5936,3029,29,376,0,801,213,10384,2388,12772,-0.032445,-0.023198,-0.999204,0
5857,3000,32,362,0,803,205,10259,1677,11936,-0.034384,0.0169926,-0.999264,0
