Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7049,4332,76,505,0,999,266,13227,584,13811,0.0751259,0.0204943,-0.996964,0
6197,4175,32,524,0,1098,283,12309,1603,13912,0.0125783,0.0368446,-0.999242,0
4199,2799,21,358,0,726,188,8291,1409,9700,0.0123326,0.0352063,-0.999304,0
6029,4058,30,479,0,1017,289,11902,2147,14049,0.00936225,0.033358,-0.9994,0
6033,4138,48,475,0,1005,267,11966,2165,14131,0.00704282,0.0333911,-0.999417,0
4179,2784,21,354,0,679,186,8203,1567,9770,0.00524083,0.0346155,-0.999387,0
6144,4119,31,475,0,1043,270,12082,2056,14138,0.00524428,0.0360807,-0.999335,0
4132,2884,22,324,0,724,185,8271,1325,9596,0.00579692,0.0367049,-0.999309,0
6087,4117,33,480,0,1025,266,12008,1814,13822,0.00617378,0.037971,-0.99926,0
5939,4047,32,488,0,981,275,11762,1930,13692,0.00581211,0.041254,-0.999132,0
4156,2806,22,330,0,696,186,8196,1180,9376,0.00629709,0.0439877,-0.999012,0
5948,3982,32,486,0,995,270,11713,1670,13383,0.00566208,0.0492175,-0.998772,0
6032,4096,31,390,0,676,183,11408,1000,12408,0.00815626,0.0535197,-0.998534,0
5532,4192,37,494,0,882,261,11398,1175,12573,0.0134512,0.0594171,-0.998142,0
4117,2664,21,309,0,637,171,7919,1103,9022,0.0121882,0.0578907,-0.998248,0
6059,5170,46,753,0,1466,405,13899,1953,15852,0.0118248,0.0643074,-0.99786,0
4396,2846,22,337,0,687,186,8474,1200,9674,0.00959333,0.0627317,-0.997984,0
5681,3748,28,436,0,917,247,11057,1522,12579,0.0117059,0.0674061,-0.997657,0
5963,4191,34,530,0,1320,287,12325,1701,14026,0.0153422,0.0660479,-0.997699,0
6102,4324,32,509,0,998,265,12230,2128,14358,0.0182417,0.0690428,-0.997447,0
4092,2715,24,317,0,855,237,8240,1633,9873,0.0173881,0.0653227,-0.997713,0
6016,3948,37,506,0,998,261,11766,2254,14020,0.0182732,0.0806621,-0.996574,0
6697,3985,33,470,0,958,178,12321,1753,14074,0.0116801,0.0851253,-0.996302,0
3944,2592,43,297,0,635,167,7678,1554,9232,0.0141028,0.080139,-0.996684,0
6138,4199,61,475,0,1009,269,12151,2441,14592,0.0231397,0.0850437,-0.996109,0
6148,4102,45,326,0,754,218,11593,2136,13729,0.0170911,0.0795029,-0.996688,0
3415,2249,19,249,0,543,170,6645,1403,8048,0.0206178,0.0780608,-0.996735,0
6321,4141,34,502,0,1201,275,12474,2699,15173,0.0201159,0.0844172,-0.996228,0
5933,4350,34,465,0,1057,183,12022,1588,13610,0.0246676,0.0892082,-0.995708,0
4080,2631,22,304,0,654,177,7868,1759,9627,0.0196604,0.0841182,-0.996261,0
3998,2573,22,295,0,657,170,7715,1448,9163,0.0196863,0.0897915,-0.995766,0
4128,2451,21,363,0,623,168,7754,1290,9044,0.0289762,0.086456,-0.995834,0
5203,3636,30,379,0,773,207,10228,1943,12171,0.0282626,0.0901786,-0.995525,0
5332,3007,28,358,0,779,211,9715,1937,11652,0.0199903,0.0908907,-0.99566,0
5109,2949,28,345,0,757,217,9405,1488,10893,0.0238804,0.098336,-0.994867,0
5032,3280,35,441,0,686,189,9663,1730,11393,0.00735543,0.101823,-0.994775,0
3483,1952,20,248,0,503,126,6332,1204,7536,0.00507359,0.0970926,-0.995263,0
5663,2780,30,341,0,773,192,9779,2057,11836,-0.00144957,0.0965984,-0.995323,0
5452,2788,30,332,0,745,188,9535,1969,11504,-0.0022837,0.108389,-0.994106,0
5415,2637,29,320,0,759,186,9346,2224,11570,0.0124981,0.0917669,-0.995702,0
5261,2488,28,318,0,686,177,8958,2458,11416,0.0166704,0.0886019,-0.995928,0
5478,2504,30,310,0,688,188,9198,2568,11766,0.016286,0.0820966,-0.996491,0
5598,2659,31,319,0,699,181,9487,2389,11876,0.0168635,0.0749598,-0.997044,0
3736,1885,19,280,0,470,126,6516,1842,8358,0.0213094,0.0776329,-0.996754,0
5275,2479,29,327,0,703,207,9020,2222,11242,0.0222572,0.0861223,-0.996036,0
5364,2505,27,341,0,652,179,9068,2271,11339,0.0224297,0.0817725,-0.996399,0
5212,2388,28,331,0,677,179,8815,2115,10930,0.0218606,0.0813164,-0.996449,0
5211,2367,28,298,0,610,163,8677,1838,10515,0.0224624,0.0774882,-0.99674,0
5246,2193,27,286,0,584,160,8496,1876,10372,0.0159935,0.0781701,-0.996812,0
