Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7395,4414,113,540,0,1076,283,13821,1422,15243,-0.00539845,0.0340052,-0.999407,0
4577,2704,24,325,0,705,204,8539,2882,11421,-0.00526674,0.0307374,-0.999514,0
3470,2054,26,240,0,564,135,6489,2330,8819,-0.00453928,0.0297206,-0.999548,0
4184,2457,22,296,0,676,171,7806,2881,10687,-0.00557969,0.029038,-0.999563,0
6641,3825,31,530,0,970,247,12244,3419,15663,-0.00595056,0.0278417,-0.999594,0
4109,2487,23,310,0,644,167,7740,3008,10748,-0.00635375,0.0267378,-0.999622,0
6318,3733,32,433,0,945,243,11704,4267,15971,-0.00620907,0.0275521,-0.999601,0
4164,2547,20,365,0,669,173,7938,2995,10933,-0.00661367,0.0269431,-0.999615,0
5318,3273,29,383,0,843,250,10096,4133,14229,-0.00671332,0.0279196,-0.999588,0
4061,2360,20,308,0,609,158,7516,2547,10063,-0.00830745,0.0323175,-0.999443,0
6393,3968,32,439,0,945,243,12020,4232,16252,-0.00356584,0.032314,-0.999471,0
4061,2518,21,290,0,644,165,7699,2896,10595,-0.00385414,0.0324801,-0.999465,0
5595,3266,37,407,0,848,218,10371,3752,14123,-0.00381541,0.0287759,-0.999579,0
6645,3860,32,431,0,847,165,11980,2852,14832,-0.00429344,0.0266436,-0.999636,0
4086,2564,42,305,0,667,171,7835,2834,10669,-0.00459681,0.02538,-0.999667,0
6974,3880,31,433,0,735,169,12222,2978,15200,-0.00539605,0.0249933,-0.999673,0
3128,1925,16,225,0,502,128,5924,2260,8184,-0.00624128,0.0261299,-0.999639,0
6708,4120,36,527,0,1087,279,12757,4472,17229,-0.00491392,0.0241141,-0.999697,0
4099,2549,21,295,0,671,170,7805,2966,10771,-0.00619374,0.0241339,-0.99969,0
6713,3966,33,442,0,1076,251,12481,4313,16794,-0.00340335,0.0240653,-0.999705,0
4411,2525,22,300,0,661,169,8088,2652,10740,-0.00280523,0.0266673,-0.999641,0
4916,3268,50,399,0,793,204,9630,3815,13445,-0.00391607,0.0255365,-0.999666,0
6342,3641,50,457,0,971,247,11708,4195,15903,-0.00197964,0.0241649,-0.999706,0
4328,2709,21,300,0,661,170,8189,3151,11340,-0.00582845,0.0269552,-0.999619,0
3795,2361,20,324,0,615,157,7272,2739,10011,-0.00825242,0.0267337,-0.999609,0
6058,3731,32,478,0,1000,249,11548,4124,15672,-0.00591819,0.0282863,-0.999582,0
4122,2621,22,298,0,660,170,7893,3239,11132,-0.00688069,0.0286919,-0.999565,0
6161,3575,64,309,0,658,170,10937,3214,14151,-0.00816241,0.027828,-0.999579,0
3318,1974,17,228,0,505,129,6171,2474,8645,-0.00765636,0.0276386,-0.999589,0
6250,3697,33,438,0,952,246,11616,4439,16055,-0.00802893,0.0283502,-0.999566,0
