Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5288,326,64,80,0,98,29,5885,3259,9144,-0.0361877,-0.0655341,-0.997194,0
4994,224,29,49,0,76,24,5396,21361,26757,-0.0393921,-0.254531,-0.966262,0
1758,84,11,18,0,27,7,1905,175,2080,-0.210409,-0.159316,-0.964545,0
4926,228,28,48,0,78,20,5328,389,5717,-0.231174,-0.164699,-0.95887,0
5048,221,30,50,0,77,21,5447,473,5920,-0.246841,-0.243796,-0.937887,0
5079,219,29,49,0,78,21,5475,2168,7643,-0.238794,-0.192997,-0.951698,0
4918,216,33,47,0,74,20,5308,769,6077,-0.242583,-0.238178,-0.940439,0
4999,216,43,50,0,74,21,5403,1327,6730,-0.211837,-0.19683,-0.957279,0
5092,253,30,51,0,79,22,5527,561,6088,-0.163371,-0.254586,-0.953151,0
5086,263,36,64,0,111,36,5596,1162,6758,-0.207168,-0.199506,-0.957747,0
5073,212,30,47,0,72,20,5454,595,6049,-0.174242,-0.233107,-0.956714,0
5174,226,40,50,0,75,21,5586,707,6293,-0.158177,-0.284873,-0.945424,0
5092,206,28,51,0,108,28,5513,1762,7275,-0.202596,-0.199837,-0.958655,0
5022,215,29,49,0,72,20,5407,548,5955,-0.247356,-0.281201,-0.927222,0
4962,218,29,47,0,111,34,5401,2639,8040,-0.208438,-0.19779,-0.957827,0
5063,224,30,49,0,79,20,5465,663,6128,-0.164112,-0.267147,-0.949579,0
5054,232,28,48,0,76,21,5459,997,6456,-0.140435,-0.200039,-0.969671,0
5051,228,29,48,0,77,20,5453,417,5870,-0.144783,-0.15109,-0.97786,0
5107,221,29,49,0,73,20,5499,351,5850,-0.125721,-0.242146,-0.96206,0
5346,278,38,66,0,130,33,5891,909,6800,-0.272077,-0.122944,-0.954389,0
5010,218,29,50,0,71,19,5397,374,5771,-0.261024,-0.171916,-0.949901,0
5261,317,34,68,0,104,35,5819,907,6726,-0.216858,-0.34594,-0.912852,0
5007,208,28,49,0,75,21,5388,1163,6551,-0.304984,-0.215456,-0.927665,0
5048,261,29,51,0,76,21,5486,2108,7594,-0.204281,-0.205693,-0.957058,0
5046,205,30,50,0,72,20,5423,650,6073,-0.153034,-0.241651,-0.95822,0
5002,215,28,49,0,73,20,5387,645,6032,-0.173879,-0.244193,-0.954011,0
5169,221,30,50,0,76,21,5567,878,6445,-0.227058,-0.430025,-0.873798,0
5098,212,29,49,0,72,20,5480,873,6353,-0.113227,-0.334447,-0.935588,0
4621,221,26,46,0,68,19,5001,2365,7366,-0.137724,-0.263829,-0.954687,0
