Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5826,2211,68,289,0,576,161,9131,1886,11017,-0.00606403,-0.065639,-0.997825,0
5770,2126,26,271,0,578,167,8938,982,9920,-0.0206419,0.0252201,-0.999469,0
6217,2026,26,273,0,570,152,9264,1128,10392,-0.0215426,0.0248901,-0.999458,0
5834,1996,29,314,0,593,157,8923,1301,10224,-0.00727519,0.0220184,-0.999731,0
5895,2052,28,267,0,566,149,8957,1121,10078,-0.0064354,0.0215195,-0.999747,0
5832,2065,26,277,0,602,180,8982,1112,10094,-0.0173758,0.0231537,-0.999581,0
6181,1995,43,267,0,566,149,9201,1155,10356,-0.0106026,0.0216984,-0.999708,0
6101,2052,26,268,0,673,157,9277,1181,10458,-0.00961473,0.023262,-0.999683,0
5787,1993,29,263,0,547,146,8765,989,9754,-0.00983084,0.0229382,-0.999689,0
6469,1958,28,259,0,538,144,9396,1232,10628,-0.00955315,0.0232023,-0.999685,0
6476,2379,37,320,0,635,164,10011,1325,11336,-0.00464347,0.0216476,-0.999755,0
6631,2272,32,288,0,547,171,9941,1254,11195,-0.00870793,0.022892,-0.9997,0
6470,2291,30,297,0,620,164,9872,1327,11199,-0.00885277,0.0221511,-0.999715,0
3261,1148,17,174,0,320,86,5006,629,5635,-0.00914931,0.0218738,-0.999719,0
5899,2010,26,265,0,551,154,8905,1139,10044,-0.0123605,0.0229015,-0.999661,0
6302,2282,28,266,0,635,166,9679,1120,10799,-0.0091444,0.0209733,-0.999738,0
4023,1333,18,226,0,373,98,6071,747,6818,-0.0147043,0.0223707,-0.999642,0
7323,2095,29,354,0,604,160,10565,1220,11785,-0.0233934,0.0230786,-0.99946,0
3972,1105,16,143,0,331,81,5648,596,6244,-0.00905204,0.0210972,-0.999736,0
2046,605,9,81,0,182,46,2969,345,3314,-0.0207074,0.0226015,-0.99953,0
1982,656,10,86,0,180,48,2962,392,3354,-0.0114832,0.0225372,-0.99968,0
5808,1945,28,288,0,588,147,8804,1182,9986,-0.00964811,0.0230738,-0.999687,0
5737,1942,29,287,0,520,141,8656,998,9654,-0.00942129,0.0229105,-0.999693,0
6437,1959,29,256,0,520,140,9341,697,10038,-0.020009,0.0224714,-0.999547,0
5166,1683,36,224,0,461,124,7694,901,8595,-0.0145101,0.0218782,-0.999656,0
5770,1959,30,253,0,558,144,8714,1047,9761,-0.0136856,0.0239911,-0.999619,0
5803,1844,28,247,0,548,141,8611,1005,9616,-0.0162759,0.0257153,-0.999537,0
5779,1843,30,269,0,526,137,8584,931,9515,-0.0153174,0.0274797,-0.999505,0
6378,1794,28,244,0,486,131,9061,917,9978,-0.0158964,0.0295492,-0.999437,0
5669,1768,28,240,0,489,133,8327,986,9313,-0.0202253,0.0198082,-0.999599,0
6455,2090,40,295,0,573,150,9603,987,10590,-0.0178744,0.019361,-0.999653,0
5872,1801,30,242,0,505,134,8584,927,9511,-0.021183,0.0198752,-0.999578,0
6197,1805,29,242,0,490,133,8896,941,9837,-0.0245486,0.0135168,-0.999607,0
5676,1871,35,285,0,646,135,8648,984,9632,-0.0214384,0.0193476,-0.999583,0
5624,1794,29,244,0,490,132,8313,885,9198,-0.0103819,0.023343,-0.999674,0
5657,1865,29,245,0,510,137,8443,957,9400,-0.0107907,0.0275323,-0.999563,0
5655,1842,30,244,0,498,134,8403,1001,9404,-0.0141757,0.0244003,-0.999602,0
6366,2004,29,254,0,510,137,9300,972,10272,-0.0188483,0.0297741,-0.999379,0
5858,1839,29,246,0,499,134,8605,984,9589,-0.011418,0.0258363,-0.999601,0
2929,783,13,105,0,224,58,4112,379,4491,-0.0106795,0.0254708,-0.999619,0
1997,655,11,86,0,183,48,2980,313,3293,-0.0151343,0.0236998,-0.999604,0
5638,1797,45,243,0,492,138,8353,832,9185,-0.0134874,0.0228814,-0.999647,0
5773,1814,35,246,0,491,133,8492,896,9388,-0.0131396,0.025858,-0.999579,0
5793,1794,30,245,0,493,133,8488,896,9384,-0.00933959,0.0324464,-0.99943,0
5577,1835,30,247,0,499,134,8322,947,9269,-0.00201198,0.0439558,-0.999031,0
5756,1837,32,252,0,501,138,8516,929,9445,0.00148976,0.0517078,-0.998661,0
5653,1843,31,261,0,547,146,8481,1120,9601,-0.00498296,0.0340089,-0.999409,0
5895,1900,32,262,0,534,143,8766,1552,10318,-0.0107462,0.006227,-0.999923,0
5832,1964,32,258,0,540,144,8770,1697,10467,-0.0143637,0.000857301,-0.999897,0
5929,2015,32,278,0,568,178,9000,2139,11139,-0.0198958,0.0125687,-0.999723,0
6254,2066,32,335,0,623,157,9467,2317,11784,-0.0151001,0.0168707,-0.999743,0
6328,2899,31,298,0,625,182,10363,2975,13338,-0.0215639,0.00878955,-0.999729,0
6052,2191,29,285,0,629,162,9348,2929,12277,-0.0215105,0.000422709,-0.999769,0
7652,2107,21,244,0,514,131,10669,2354,13023,-0.0237269,-0.00352264,-0.999712,0
2171,781,11,104,0,230,68,3365,1273,4638,-0.0149346,0.000105119,-0.999889,0
5996,2196,29,298,0,679,170,9368,3403,12771,0.00560344,0.00181514,-0.999983,0
5889,2221,27,290,0,666,167,9260,3287,12547,0.00054111,0.0150517,-0.999886,0
6453,2281,29,316,0,621,123,9823,2218,12041,-0.0201955,0.0193628,-0.999608,0
4137,1622,25,291,0,511,119,6705,2234,8939,-0.0207386,0.00874302,-0.999747,0
5961,2137,28,283,0,620,161,9190,2933,12123,-0.0142194,0.00937161,-0.999855,0
6215,2132,30,284,0,609,158,9428,2476,11904,-0.00137345,0.0241586,-0.999707,0
4146,1456,22,191,0,406,106,6327,1517,7844,-0.00839424,0.0241499,-0.999673,0
6084,1998,30,267,0,564,149,9092,1883,10975,-0.0025838,0.0260742,-0.999657,0
5752,1971,29,258,0,550,145,8705,1669,10374,-0.010314,0.0358575,-0.999304,0
5629,1911,31,255,0,539,160,8525,1792,10317,-0.0208166,0.0375252,-0.999079,0
2975,981,28,106,0,223,58,4371,639,5010,-0.021583,0.0322744,-0.999246,0
3124,1031,18,137,0,289,80,4679,823,5502,-0.0158664,0.0282185,-0.999476,0
6443,1762,30,269,0,505,135,9144,1381,10525,-0.00510992,0.0325378,-0.999457,0
5762,1850,31,238,0,519,133,8533,1345,9878,0.00636829,0.0448641,-0.998973,0
4983,1375,21,178,0,344,90,6991,797,7788,-0.00307913,0.042488,-0.999092,0
2922,888,17,119,0,251,66,4263,692,4955,0.0136751,0.0506614,-0.998622,0
5472,1628,37,287,0,479,128,8031,1104,9135,0.0179212,0.0408904,-0.999003,0
5529,1573,31,214,0,453,120,7920,1051,8971,0.00701624,0.0294462,-0.999542,0
6339,1565,31,241,0,453,120,8749,1108,9857,0.00822062,0.0248353,-0.999658,0
5800,1565,31,217,0,478,121,8212,1176,9388,0.00644838,0.0182331,-0.999813,0
6342,1766,36,257,0,472,136,9009,1169,10178,0.0101613,0.0175345,-0.999795,0
5568,1576,31,214,0,451,118,7958,1076,9034,0.0215846,0.0438782,-0.998804,0
5655,1558,30,227,0,470,120,8060,993,9053,0.0197377,0.0306252,-0.999336,0
6385,1758,31,215,0,447,118,8954,1111,10065,0.0129195,0.0250506,-0.999603,0
5579,1628,33,225,0,451,119,8035,1121,9156,0.00809598,0.0168115,-0.999826,0
5619,1588,31,220,0,455,120,8033,1162,9195,0.00449949,0.0215462,-0.999758,0
5571,1578,31,217,0,453,122,7972,1167,9139,0.017738,0.0359533,-0.999196,0
5570,1581,50,216,0,476,122,8015,1142,9157,0.0155715,0.0377922,-0.999164,0
6415,1622,30,219,0,451,127,8864,1128,9992,0.00728779,0.0258212,-0.99964,0
5490,1606,30,216,0,452,125,7919,1118,9037,0.0171471,0.0285081,-0.999446,0
5760,1640,35,255,0,458,121,8269,1225,9494,0.00761534,0.022329,-0.999722,0
5547,1583,33,237,0,477,124,8001,1284,9285,0.00602284,0.0231894,-0.999713,0
5488,1606,30,215,0,452,119,7910,1151,9061,0.00715475,0.0215142,-0.999743,0
5548,1575,30,217,0,450,119,7939,1131,9070,0.0169115,0.0283898,-0.999454,0
2942,841,15,114,0,247,64,4223,619,4842,0.0102446,0.0251573,-0.999631,0
2727,792,15,108,0,228,59,3929,601,4530,0.00468479,0.0211423,-0.999766,0
