Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5492,3779,81,464,3636,71,247,13770,1845,15615,0.0236009,0.00884633,-0.999682,0
4366,2942,26,304,2484,34,166,10322,1051,11373,0.0234623,0.00243105,-0.999722,0
3288,2252,22,268,2191,29,148,8198,1017,9215,0.0272898,0.00829297,-0.999593,0
5668,3674,39,498,3545,47,256,13727,1634,15361,0.0288303,0.00562511,-0.999568,0
5366,2573,24,321,2370,30,121,10805,841,11646,0.033356,0.00630276,-0.999424,0
2239,1517,15,196,1627,19,115,5728,687,6415,0.0273111,0.00311354,-0.999622,0
5932,3597,34,462,3406,47,268,13746,1627,15373,0.0291653,0.00647113,-0.999554,0
3551,2488,25,326,2384,32,186,8992,1148,10140,0.0330095,0.00459882,-0.999444,0
5291,3558,35,468,3422,54,296,13124,1637,14761,0.0272891,0.00337739,-0.999622,0
5156,3586,35,470,3534,50,237,13068,1260,14328,0.0327705,0.00124211,-0.999462,0
3792,2540,23,357,2506,32,197,9447,1109,10556,0.0349698,0.00664012,-0.999366,0
4677,3535,33,450,3186,60,242,12183,1363,13546,0.038147,-7.24054e-05,-0.999272,0
4789,3233,32,448,3039,36,170,11747,1045,12792,0.0313902,0.00279787,-0.999503,0
4467,2938,28,337,2854,43,190,10857,1262,12119,0.0265062,0.00616844,-0.99963,0
5232,3675,35,405,3425,61,228,13061,1582,14643,0.0351037,0.00151031,-0.999382,0
5733,3433,36,414,3523,51,233,13423,1152,14575,0.0314966,0.000834869,-0.999504,0
3617,2411,24,293,2306,34,161,8846,1097,9943,0.0294805,0.00714237,-0.99954,0
5002,3159,32,395,3104,43,210,11945,1405,13350,0.0305412,0.000777185,-0.999533,0
5508,3607,40,436,3583,83,260,13517,1566,15083,0.0245955,0.00365409,-0.999691,0
3594,1856,19,231,1799,26,137,7662,646,8308,0.0346843,-0.00118031,-0.999398,0
1868,1122,12,142,1049,18,70,4281,479,4760,0.0340743,0.000862097,-0.999419,0
