Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5060,3715,91,411,3227,47,226,12777,1551,14328,-0.0306877,0.0171776,-0.999381,0
4794,3246,41,386,3221,34,236,11958,1607,13565,-0.00948254,0.0239938,-0.999667,0
4169,2944,29,340,2915,33,194,10624,1406,12030,-0.0129662,0.0182668,-0.999749,0
4227,3186,30,342,2950,40,195,10970,1284,12254,-0.0231857,0.0160289,-0.999603,0
3086,2114,22,248,2045,21,135,7671,1081,8752,-0.0179961,0.0140481,-0.999739,0
4769,3301,34,382,3197,50,216,11949,1478,13427,-0.0107969,0.0123985,-0.999865,0
4985,3232,33,385,3175,33,233,12076,1452,13528,-0.0226232,0.0196827,-0.99955,0
3323,2248,24,265,2161,23,146,8190,1079,9269,-0.0246199,0.00735703,-0.99967,0
4837,3176,33,384,3206,42,232,11910,1459,13369,-0.0198028,0.0146727,-0.999697,0
3293,2724,24,317,2259,23,149,8789,1022,9811,-0.027857,0.0128578,-0.999529,0
4373,2898,31,344,2855,30,200,10731,1534,12265,-0.0153421,0.00791649,-0.999851,0
5503,3562,33,421,3483,36,220,13258,1528,14786,-0.0384455,0.0132185,-0.999173,0
3375,2278,22,263,2198,32,164,8332,1145,9477,-0.012862,0.0223072,-0.999668,0
4290,3116,30,366,2930,31,196,10959,1444,12403,-0.0221749,0.0228224,-0.999494,0
5527,3890,38,431,3643,50,220,13799,1538,15337,-0.0146235,0.0167843,-0.999752,0
4785,2971,24,345,2273,25,173,10596,983,11579,-0.033218,0.0151817,-0.999333,0
2051,1395,13,138,1154,12,77,4840,566,5406,-0.00960103,0.0148884,-0.999843,0
1827,1277,14,147,1259,13,84,4621,570,5191,-0.0232358,0.0217025,-0.999495,0
5483,3540,34,384,3184,34,219,12878,2015,14893,-0.0380681,0.0126492,-0.999195,0
4774,3301,35,521,3304,26,153,12114,1048,13162,-0.036243,0.0112068,-0.99928,0
4838,3335,34,390,3271,34,213,12115,1445,13560,-0.0248673,0.0141678,-0.99959,0
5077,3197,34,378,3086,34,211,12017,1228,13245,-0.0379722,0.0216449,-0.999044,0
2448,1703,18,200,1400,15,92,5876,728,6604,-0.0101758,0.0185004,-0.999777,0
1753,1318,14,155,1299,13,86,4638,694,5332,-0.0243998,0.0235855,-0.999424,0
4797,4009,34,387,3175,33,234,12669,1552,14221,-0.0242986,0.0196364,-0.999512,0
4733,3283,39,382,3194,35,216,11882,1471,13353,-0.0143745,0.011467,-0.999831,0
5033,3340,35,385,3178,35,217,12223,1550,13773,-0.0111067,0.0169708,-0.999794,0
4725,3313,40,409,3296,29,151,11963,1064,13027,-0.0213293,0.0162048,-0.999641,0
3251,2324,23,266,2199,22,148,8233,1163,9396,-0.0163383,0.0187933,-0.99969,0
4784,3199,34,384,3208,34,217,11860,1658,13518,-0.0211877,0.0132496,-0.999688,0
4739,3288,34,416,3230,34,219,11960,1536,13496,-0.0139177,0.0132549,-0.999815,0
4955,3431,35,387,3322,34,218,12382,1568,13950,-0.0124632,0.0224027,-0.999671,0
4608,3248,43,383,3148,33,214,11677,1689,13366,-0.0409299,0.023623,-0.998883,0
3259,2241,24,263,2194,22,145,8148,1143,9291,-0.0362364,0.0266436,-0.998988,0
4831,3299,36,383,3224,34,215,12022,1782,13804,-0.012062,0.0156225,-0.999805,0
4249,2327,22,264,1979,17,112,8970,788,9758,-0.0224515,0.0186576,-0.999574,0
2508,1796,25,230,1756,15,93,6423,787,7210,-0.0272656,0.00397383,-0.99962,0
3615,2409,30,284,2319,26,157,8840,1212,10052,-0.0208896,0.018596,-0.999609,0
5010,3284,34,391,3186,35,214,12154,1573,13727,-0.0360278,0.0119915,-0.999279,0
3656,2373,23,267,2239,23,150,8731,982,9713,-0.0242303,0.0112511,-0.999643,0
4848,3393,36,427,3828,37,220,12789,1484,14273,-0.00973839,0.0172976,-0.999803,0
4993,3359,32,415,3237,34,218,12288,1553,13841,-0.0372894,0.0209403,-0.999085,0
5475,3364,35,416,3299,35,248,12872,1199,14071,-0.0211988,0.0167006,-0.999636,0
3314,2330,25,264,2261,27,150,8371,1180,9551,-0.0404734,0.0100311,-0.99913,0
4767,3352,33,387,3215,33,213,12000,1483,13483,-0.0206754,0.0187867,-0.99961,0
4714,3243,35,383,3160,35,212,11782,1643,13425,-0.0186813,0.0146398,-0.999719,0
5296,3262,34,387,3132,36,216,12363,1462,13825,-0.0369336,0.0112801,-0.999254,0
5212,3281,35,386,3217,34,218,12383,1460,13843,-0.0251493,0.0140886,-0.999585,0
3434,2256,27,287,2281,24,171,8480,1164,9644,-0.00853258,0.0149398,-0.999852,0
5490,3612,34,382,3181,34,215,12948,1824,14772,-0.0112576,0.020375,-0.999729,0
4842,3448,32,384,3264,36,254,12260,1506,13766,-0.0216299,0.017208,-0.999618,0
4054,2121,19,226,1639,19,116,8194,787,8981,-0.0346838,0.0111876,-0.999336,0
1998,1393,15,192,1368,15,93,5074,684,5758,-0.0235199,0.0248153,-0.999415,0
4733,3349,33,384,3337,36,219,12091,1439,13530,-0.0239965,0.0209145,-0.999493,0
5258,3275,38,804,2590,25,154,12144,1126,13270,-0.0100522,0.0237037,-0.999669,0
4712,3270,34,383,3213,49,213,11874,1709,13583,-0.0393316,0.00986989,-0.999177,0
3021,1728,18,201,1680,14,91,6753,617,7370,-0.0384011,0.0149834,-0.99915,0
1700,1283,17,207,1264,14,91,4576,557,5133,-0.0295817,0.0230134,-0.999297,0
3311,2315,23,266,2253,22,146,8336,1117,9453,-0.0349066,0.00885673,-0.999351,0
4850,3225,34,386,3152,34,216,11897,1502,13399,-0.0221454,0.0129266,-0.999671,0
4853,3383,34,389,3362,37,185,12243,1112,13355,-0.0242728,0.0226973,-0.999448,0
3075,2091,20,247,2119,22,139,7713,1090,8803,-0.0344146,0.00949082,-0.999363,0
4937,3301,34,448,3475,37,221,12453,1647,14100,-0.0366122,0.0202449,-0.999125,0
4879,3543,35,387,3204,33,217,12298,1740,14038,-0.00850247,0.0211249,-0.999741,0
3297,2296,23,266,2251,23,150,8306,1124,9430,-0.0403686,0.0104444,-0.99913,0
4209,2948,55,370,2949,32,194,10757,1374,12131,-0.0362391,0.0137718,-0.999248,0
4997,3285,32,382,3242,39,250,12227,1453,13680,-0.0341415,0.0114824,-0.999351,0
4870,3686,41,437,3280,34,217,12565,1618,14183,-0.0283312,0.017146,-0.999452,0
4799,3362,33,386,3315,37,219,12151,1585,13736,-0.0349554,0.0081065,-0.999356,0
3329,2351,24,271,2300,24,149,8448,1313,9761,-0.0428196,0.0112764,-0.999019,0
4453,2936,32,360,3032,33,197,11043,1474,12517,-0.0162662,0.018464,-0.999697,0
