Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6798,2429,85,319,2296,68,171,12166,3481,15647,0.700286,0.066401,-0.710767,0
6763,2278,28,267,1931,41,113,11421,3117,14538,0.672321,0.0469007,-0.738773,0
3278,1128,15,151,1126,28,84,5810,4042,9852,-0.0858152,0.0283604,-0.995907,0
5326,1856,29,312,1771,40,133,9467,6485,15952,-0.0129142,-0.0156757,-0.999794,0
6635,2209,37,270,1985,44,148,11328,7269,18597,-0.00840172,0.0104185,-0.99991,0
4043,1432,21,182,1364,30,103,7175,4117,11292,-0.0117041,0.0116654,-0.999863,0
3842,1374,20,178,1346,33,97,6890,4679,11569,-0.116162,0.0278631,-0.992839,0
5849,2052,29,264,2005,49,165,10413,3602,14015,0.696315,0.0657792,-0.714716,0
5319,1823,24,255,1779,38,134,9372,4101,13473,0.69068,0.0817474,-0.718525,0
5307,1827,43,238,1749,37,131,9332,6274,15606,-0.00607939,0.0113953,-0.999917,0
6755,2298,33,300,2296,56,172,11910,5030,16940,-0.00934365,0.013508,-0.999865,0
4036,1155,16,169,1112,25,84,6597,2721,9318,-0.105146,0.0239274,-0.994169,0
2153,645,10,83,629,14,46,3580,2223,5803,-0.0133942,0.0121893,-0.999836,0
6173,2072,28,268,2006,45,160,10752,3608,14360,0.692372,0.0737905,-0.717758,0
5330,1838,26,241,1838,41,136,9450,3502,12952,0.685866,0.0714968,-0.724206,0
6690,2337,31,323,2191,45,151,11768,6161,17929,-0.122209,0.0343022,-0.991912,0
3140,1095,14,141,1063,26,79,5558,2212,7770,0.700763,0.0594951,-0.710909,0
6616,2627,33,324,2259,50,168,12077,5752,17829,0.678758,0.0770364,-0.730311,0
4449,1673,22,202,1505,34,113,7998,5401,13399,-0.0240658,0.0868095,-0.995934,0
4029,1677,20,231,1466,32,107,7562,6772,14334,-0.0108641,0.0119751,-0.999869,0
6293,2240,27,262,2174,65,198,11259,4445,15704,-0.0100894,0.012962,-0.999865,0
3081,1157,18,177,1044,23,79,5579,3784,9363,-0.00916883,0.0126376,-0.999878,0
6741,2973,34,329,2314,52,171,12614,3509,16123,0.700009,0.0732444,-0.710368,0
3314,1249,16,150,1113,23,82,5947,4555,10502,-0.00984353,0.0957321,-0.995358,0
5503,1850,34,245,1817,45,138,9632,5837,15469,-0.0917198,0.0309674,-0.995303,0
3823,1285,19,168,1265,31,95,6686,4665,11351,-0.119519,0.0370628,-0.99214,0
6006,2043,28,264,1980,47,153,10521,3704,14225,0.698711,0.062114,-0.712703,0
4132,1399,20,185,1375,29,103,7243,5394,12637,-0.00669367,0.0119579,-0.999906,0
5964,2086,29,267,1971,45,147,10509,4542,15051,0.703132,0.0592759,-0.708585,0
5970,2008,29,260,1958,29,99,10353,2094,12447,0.689175,0.0596028,-0.72214,0
5324,1843,25,242,1843,45,139,9461,6176,15637,-0.0132937,0.0150549,-0.999798,0
3779,1299,18,202,1277,28,95,6698,4057,10755,0.695514,0.0687989,-0.715212,0
6305,2186,30,271,2031,53,152,11028,7503,18531,-0.109231,0.0280124,-0.993622,0
4168,1411,20,181,1371,36,101,7288,4147,11435,-0.0109519,0.0124044,-0.999863,0
6305,2034,29,268,2004,44,156,10840,7091,17931,-0.105311,0.0238937,-0.994152,0
3132,1094,15,139,1037,26,77,5520,2798,8318,0.688524,0.0544443,-0.723167,0
6043,2045,28,267,1980,45,176,10584,3612,14196,0.696105,0.0617742,-0.715278,0
5887,2104,45,267,1601,30,102,10036,4484,14520,-0.0091421,0.0951438,-0.995422,0
3100,1092,15,140,1042,30,78,5497,4610,10107,-0.00901317,0.09564,-0.995375,0
5892,2056,28,265,2038,48,152,10479,6469,16948,-0.0142774,0.0146935,-0.99979,0
6035,2061,47,270,1975,51,149,10588,3630,14218,0.688269,0.069864,-0.722083,0
4106,1404,20,181,1382,34,103,7230,4567,11797,-0.0181704,0.0472454,-0.998718,0
6595,2074,29,270,1963,46,146,11123,6775,17898,-0.122177,0.0262558,-0.992161,0
4100,1446,20,180,1366,32,102,7246,5762,13008,-0.120344,0.0286654,-0.992319,0
3769,1313,23,179,1304,29,94,6711,3940,10651,-0.0347777,0.0884828,-0.99547,0
5867,2025,28,263,1989,44,149,10365,6985,17350,-0.0130034,0.0126483,-0.999835,0
3212,1108,17,140,1043,27,77,5624,2152,7776,0.693591,0.0672742,-0.717221,0
5866,2021,29,261,1949,46,147,10319,7538,17857,-0.00576621,0.0100573,-0.999932,0
4098,1402,18,182,1340,31,101,7172,2655,9827,0.696838,0.0537399,-0.715213,0
5929,1995,34,265,1942,40,146,10351,3029,13380,0.702016,0.0549119,-0.710041,0
6046,2074,28,269,1976,30,105,10528,2707,13235,0.694835,0.0544658,-0.717104,0
3088,1090,15,140,1036,21,78,5468,4247,9715,-0.0153882,0.0951784,-0.995341,0
5926,2033,29,266,1933,43,145,10375,9333,19708,-0.110219,0.0277153,-0.993521,0
4187,1439,20,184,1390,32,103,7355,4403,11758,-0.104069,0.0186963,-0.994394,0
3795,1328,19,170,1322,29,97,6760,4365,11125,-0.0106602,0.0139652,-0.999846,0
6882,2042,28,317,2023,48,152,11492,5864,17356,-0.108703,0.0210053,-0.993852,0
4131,1471,20,181,1396,35,103,7337,4005,11342,-0.0134155,0.0409144,-0.999073,0
5422,1829,26,238,1744,39,131,9429,7662,17091,-0.00938726,0.0482042,-0.998794,0
3818,1340,18,168,1356,32,97,6829,5812,12641,-0.0132833,0.0120645,-0.999839,0
2926,997,14,131,999,22,86,5175,3275,8450,-0.00980383,0.0123751,-0.999875,0
5912,2096,37,267,2001,43,147,10503,6600,17103,-0.0884768,0.0275374,-0.995698,0
5878,2010,32,261,1770,30,101,10082,3258,13340,-0.117255,0.0280791,-0.992705,0
6230,2043,27,292,1937,43,148,10720,5511,16231,-0.107913,0.0210679,-0.993937,0
3083,1105,14,142,1064,24,78,5510,2238,7748,-0.00843155,0.0121633,-0.999891,0
5985,2073,27,268,2023,43,138,10557,8275,18832,-0.118887,0.0333762,-0.992347,0
4096,1435,20,211,1364,34,104,7264,4090,11354,-0.106841,0.0231812,-0.994006,0
4840,1678,25,241,1611,38,124,8557,5397,13954,-0.0152029,-0.0163334,-0.999751,0
5888,2029,29,261,1961,49,147,10364,3459,13823,0.699489,0.0650818,-0.711674,0
5703,1953,26,242,1776,38,134,9872,3157,13029,0.697809,0.0578008,-0.713948,0
5262,1812,23,235,1771,39,132,9274,5847,15121,-0.112967,0.0285781,-0.993187,0
2957,1120,15,133,990,24,73,5312,3859,9171,-0.0135038,0.0481993,-0.998746,0
5833,2167,36,386,2214,51,155,10842,7052,17894,-0.120074,0.0257961,-0.99243,0
3978,1332,18,171,1326,32,96,6953,4687,11640,-0.120632,0.0313561,-0.992202,0
