Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5973,4192,87,497,3938,66,267,15020,1712,16732,-0.00425709,0.0253069,-0.999671,0
5840,4109,33,469,3576,52,191,14270,1064,15334,-0.00864312,0.0335011,-0.999401,0
3037,2152,17,246,2151,40,142,7785,888,8673,-0.00472813,0.0239898,-0.999701,0
5842,4108,34,482,4070,83,270,14889,1613,16502,-0.004026,0.0309841,-0.999512,0
5854,4118,32,486,3986,59,189,14724,1122,15846,-0.00320468,0.0225,-0.999742,0
4085,2857,21,325,2751,56,184,10279,1104,11383,-0.00166399,0.0195102,-0.999808,0
5325,3624,30,425,3659,64,264,13391,1529,14920,-0.00354287,0.0183034,-0.999826,0
3728,2605,20,319,2560,42,174,9448,983,10431,-0.00760728,0.02987,-0.999525,0
5791,3989,52,493,3956,72,290,14643,1598,16241,-0.00508173,0.021438,-0.999757,0
5987,3969,22,337,2699,54,184,13252,1102,14354,-0.00632575,0.0257597,-0.999648,0
3129,2119,18,248,2089,33,148,7784,887,8671,-0.00584097,0.0209953,-0.999763,0
5920,4101,35,518,4086,72,274,15006,1514,16520,-0.00679474,0.0312883,-0.999487,0
5796,4140,32,492,3694,44,197,14395,1126,15521,-0.00534184,0.0258598,-0.999651,0
3070,2134,17,261,2136,35,143,7796,872,8668,-0.0053313,0.0251259,-0.99967,0
5921,4091,31,553,3968,61,246,14871,1165,16036,-0.00300921,0.0238454,-0.999711,0
4671,2752,22,339,2802,45,194,10825,1021,11846,-0.00410883,0.0301291,-0.999538,0
3056,2176,17,246,2099,48,139,7781,917,8698,-0.00573905,0.0224083,-0.999733,0
5970,4192,44,472,4061,84,292,15115,1531,16646,-0.00373341,0.0232434,-0.999723,0
4051,2763,22,342,2770,46,188,10182,922,11104,-0.00383856,0.022466,-0.99974,0
3721,2628,20,299,2520,44,170,9402,1107,10509,-0.0032824,0.0253466,-0.999673,0
3943,2612,22,312,2511,44,171,9615,1100,10715,-0.00449178,0.015319,-0.999873,0
4894,3274,26,381,3353,59,220,12207,1315,13522,-0.00618803,0.00483671,-0.999969,0
5980,4083,30,473,3828,71,267,14732,1523,16255,-0.00825841,-0.00666395,-0.999944,0
4219,2680,26,370,2638,33,181,10147,1106,11253,-0.00935826,-0.0159364,-0.999829,0
5837,3923,30,467,3820,61,264,14402,1518,15920,-0.0143684,-0.0417328,-0.999026,0
4028,2045,17,250,1819,29,111,8299,664,8963,-0.0125223,-0.0229364,-0.999658,0
2157,1389,11,165,1361,23,92,5198,578,5776,-0.0128937,-0.00892559,-0.999877,0
3212,2064,18,259,2083,33,141,7810,783,8593,-0.0243135,0.000141645,-0.999705,0
6149,4020,35,481,3994,62,264,15005,1533,16538,-0.0244364,0.0197669,-0.999506,0
6031,4577,32,495,2926,35,191,14287,1142,15429,-0.030179,0.0350566,-0.99893,0
3366,2671,19,318,2737,30,185,9326,1006,10332,-0.0310763,0.0447737,-0.998513,0
6194,4444,38,604,4250,56,298,15884,1064,16948,-0.0525207,0.0485474,-0.997439,0
4231,3066,21,371,3099,39,211,11038,1070,12108,-0.0403338,0.0361881,-0.998531,0
3879,2987,21,360,3058,47,202,10554,962,11516,-0.0396202,0.00253911,-0.999212,0
6334,5953,39,620,3546,40,218,16750,1044,17794,-0.0284837,-0.0282684,-0.999195,0
3387,2576,17,308,2581,38,174,9081,755,9836,0.000938223,-0.0323849,-0.999475,0
6143,5164,38,607,4865,58,331,17206,1542,18748,0.00448019,-0.0664066,-0.997782,0
4349,3460,23,402,3249,51,178,11712,878,12590,0.0190512,-0.0645354,-0.997734,0
3910,3159,22,356,3099,50,202,10798,986,11784,0.0364208,-0.0670065,-0.997088,0
6412,4577,34,506,4390,48,199,16166,988,17154,0.0343736,-0.0959845,-0.994789,0
3923,2636,23,307,2594,58,186,9727,1038,10765,0.0265925,-0.0834279,-0.996159,0
5623,2648,28,356,2654,66,197,11572,1310,12882,0.0113994,-0.106301,-0.994269,0
4784,2296,27,312,2236,45,167,9867,1233,11100,-0.0114026,-0.114939,-0.993307,0
