Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6202,3446,55,316,2472,46,218,12755,1089,13844,-0.00838127,0.0351865,-0.999345,0
3412,1873,17,224,1826,33,125,7510,926,8436,-0.00947211,0.0347044,-0.999353,0
3432,2033,17,227,1949,27,129,7814,904,8718,-0.00801961,0.0337028,-0.9994,0
6340,3666,32,464,3547,56,260,14365,1250,15615,-0.0118597,0.03549,-0.9993,0
4363,2508,23,296,2459,35,167,9851,1149,11000,-0.00771723,0.032658,-0.999437,0
5467,3278,30,387,3192,51,217,12622,1497,14119,-0.00922319,0.0334761,-0.999397,0
4914,3057,26,374,2956,44,200,11571,1292,12863,-0.0115755,0.0265705,-0.99958,0
4866,2968,26,343,2936,49,221,11409,1284,12693,-0.0137611,0.0331689,-0.999355,0
6165,3658,31,447,3654,48,270,14273,1471,15744,-0.016413,0.0426195,-0.998956,0
4678,2574,22,293,2491,36,165,10259,1109,11368,-0.010719,0.0376956,-0.999232,0
6208,3885,39,578,3609,55,245,14619,1683,16302,-0.00652004,0.0352542,-0.999357,0
6978,3565,23,293,2448,34,166,13507,1147,14654,-0.00696427,0.0324223,-0.99945,0
3204,1902,17,224,1846,26,125,7344,834,8178,-0.00780886,0.0254513,-0.999646,0
6079,3822,35,427,3890,60,247,14560,1844,16404,-0.00680025,0.0287893,-0.999562,0
5404,3306,29,430,3231,45,221,12666,1240,13906,-0.00701759,0.0297365,-0.999533,0
3851,2389,20,275,2394,40,157,9126,1046,10172,-0.0106997,0.0302013,-0.999487,0
3808,2415,25,418,2649,42,159,9516,1002,10518,-0.0102275,0.0265002,-0.999596,0
5898,4187,32,462,3562,62,266,14469,1424,15893,-0.0133873,0.0271163,-0.999543,0
6099,3560,33,423,3659,58,267,14099,1243,15342,-0.00687997,0.0287601,-0.999563,0
4140,2624,24,310,2523,39,193,9853,1083,10936,-0.00962218,0.0268315,-0.999593,0
6431,3641,32,430,3606,56,241,14437,1385,15822,-0.00765042,0.0305993,-0.999502,0
4205,2541,22,298,2494,34,167,9761,1154,10915,-0.00899175,0.0331207,-0.999411,0
5559,4073,33,410,3419,52,222,13768,1071,14839,-0.014545,0.0276557,-0.999512,0
3913,2415,21,278,2308,35,156,9126,1053,10179,-0.012713,0.0325928,-0.999388,0
6771,3636,32,443,3593,76,250,14801,1200,16001,-0.0156057,0.029388,-0.999446,0
4132,2570,23,295,2535,48,170,9773,1112,10885,-0.00985456,0.0331074,-0.999403,0
5939,3686,32,433,3615,69,243,14017,1597,15614,-0.0106452,0.0332826,-0.999389,0
6260,4012,33,436,3922,104,374,15141,1199,16340,-0.00981389,0.0319307,-0.999442,0
4228,2594,22,297,2497,40,168,9846,1143,10989,-0.0113364,0.0343694,-0.999345,0
4273,2636,22,299,2520,55,204,10009,1218,11227,-0.0109917,0.0334638,-0.999379,0
6271,3709,33,492,3396,49,172,14122,1112,15234,-0.00907538,0.0310381,-0.999477,0
4135,2602,21,308,2531,37,174,9808,1097,10905,-0.0152583,0.0342402,-0.999297,0
6150,3740,30,432,3670,48,250,14320,1642,15962,-0.0132499,0.0345648,-0.999315,0
6246,3729,31,433,2842,52,170,13503,1114,14617,-0.0125712,0.0371922,-0.999229,0
3301,2289,18,231,1987,35,129,7990,855,8845,-0.0106836,0.037242,-0.999249,0
6739,3729,69,438,3800,55,254,15084,1595,16679,-0.0100002,0.0363309,-0.99929,0
5996,3470,21,298,2538,46,169,12538,1150,13688,-0.00983366,0.0324332,-0.999426,0
3142,1988,16,228,1979,24,135,7512,928,8440,-0.0112281,0.0329509,-0.999394,0
6002,3710,30,432,3690,54,249,14167,1608,15775,-0.0157667,0.0309709,-0.999396,0
6007,3741,30,431,3416,46,168,13839,1128,14967,-0.0147878,0.0361833,-0.999236,0
5415,3358,29,391,3243,48,241,12725,1352,14077,-0.012999,0.0388098,-0.999162,0
6301,3818,30,434,3482,38,173,14276,1096,15372,-0.0103059,0.033597,-0.999382,0
3176,2121,20,232,1972,30,147,7698,871,8569,-0.0121815,0.0357956,-0.999285,0
6140,3833,31,432,3977,56,248,14717,1672,16389,-0.0125938,0.0312755,-0.999432,0
4408,2713,23,333,2502,36,171,10186,1054,11240,-0.0101102,0.0303544,-0.999488,0
5654,3497,29,435,3425,48,226,13314,1524,14838,-0.00684096,0.0296969,-0.999536,0
5629,3449,27,439,3362,39,163,13108,1097,14205,0.00220754,0.0299274,-0.999549,0
3885,2536,20,285,2429,56,164,9375,1052,10427,-0.00265171,0.0325749,-0.999466,0
5980,3805,31,447,3753,55,267,14338,1159,15497,-0.00798831,0.0324872,-0.99944,0
4129,2663,21,306,2651,41,177,9988,1138,11126,-0.00925791,0.0326562,-0.999424,0
6139,4019,32,448,3894,50,283,14865,1324,16189,-0.00936597,0.0309019,-0.999479,0
4142,2709,21,308,2725,34,195,10134,1153,11287,-0.00769154,0.035076,-0.999355,0
5813,3561,29,403,3488,46,231,13571,1292,14863,-0.0110668,0.0388844,-0.999182,0
3839,2572,19,286,2499,31,166,9412,1066,10478,-0.00858607,0.0371391,-0.999273,0
6039,3966,39,471,3943,51,257,14766,1709,16475,-0.00925941,0.0389094,-0.9992,0
4224,2750,21,308,2626,33,174,10136,1157,11293,-0.0104935,0.0403402,-0.999131,0
5968,3831,30,444,3790,52,252,14367,1484,15851,-0.0122314,0.0445692,-0.998931,0
5982,3801,31,456,3772,70,271,14383,1578,15961,-0.0123328,0.0487295,-0.998736,0
6101,3876,31,440,3208,45,213,13914,1119,15033,-0.0144119,0.0516344,-0.998562,0
4163,2601,22,302,2597,46,174,9905,1115,11020,-0.0140988,0.0482425,-0.998736,0
5485,3395,27,392,3315,48,222,12884,1590,14474,-0.0111116,0.0492009,-0.998727,0
5444,3365,27,413,3324,57,226,12856,1512,14368,-0.00946878,0.0468254,-0.998858,0
3880,2411,23,279,2366,50,180,9189,1059,10248,-0.012012,0.0416521,-0.99906,0
6678,3819,33,437,4268,86,252,15573,1367,16940,-0.00805449,0.0436534,-0.999015,0
4192,2548,22,300,2510,47,171,9790,1071,10861,-0.0138483,0.0374898,-0.999201,0
4139,2709,22,302,2539,42,172,9925,1109,11034,-0.0121945,0.0383931,-0.999189,0
6123,3398,29,390,3342,70,230,13582,1477,15059,-0.00926108,0.0369392,-0.999275,0
3824,2407,20,276,2364,39,158,9088,1099,10187,-0.00849585,0.0359938,-0.999316,0
6009,3780,32,438,3651,72,246,14228,1535,15763,-0.0120131,0.0385945,-0.999183,0
5975,2627,21,299,2681,28,133,11764,893,12657,-0.0100305,0.037144,-0.99926,0
2991,1874,15,216,1823,32,128,7079,794,7873,-0.011851,0.038832,-0.999176,0
