Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5001,351,72,77,172,61,24,5758,6265,12023,0.0149834,-0.215591,-0.976369,0
4924,229,32,49,176,50,23,5483,7019,12502,-0.0902396,-0.0777069,-0.992884,0
3395,159,21,32,120,35,15,3777,5243,9020,-0.0796443,-0.0648789,-0.99471,0
5017,226,30,51,172,44,23,5563,7592,13155,-0.0634005,-0.0745559,-0.9952,0
5069,209,36,50,160,47,22,5593,6554,12147,-0.0772895,-0.0804781,-0.993755,0
3437,147,21,32,110,32,15,3794,4363,8157,0.00799893,-0.219914,-0.975487,0
5006,231,29,53,200,54,27,5600,5687,11287,-0.0861768,-0.0375459,-0.995572,0
5042,216,30,50,168,40,23,5569,6730,12299,-0.0979772,-0.0566898,-0.993573,0
4484,190,27,43,148,61,33,4986,5177,10163,-0.0369461,-0.136168,-0.989997,0
5039,221,28,50,168,48,23,5577,6887,12464,-0.0370783,-0.0852555,-0.995669,0
5053,206,28,49,157,47,23,5563,6118,11681,-0.120957,-0.0664158,-0.990433,0
2599,114,16,25,85,26,11,2876,4477,7353,-0.047649,-0.134025,-0.989832,0
5106,219,29,50,164,43,23,5634,4853,10487,-0.0424767,-0.0770512,-0.996122,0
5217,223,31,52,168,52,23,5766,6820,12586,-0.167449,-0.052869,-0.984462,0
5070,313,37,70,246,59,42,5837,7622,13459,0.022341,-0.217409,-0.975825,0
5056,229,29,51,176,53,24,5618,5503,11121,0.00992164,-0.219807,-0.975493,0
5169,200,27,46,156,45,21,5664,6153,11817,-0.124597,-0.0728605,-0.989529,0
4950,227,30,49,176,42,23,5497,7650,13147,-0.0560052,-0.0605974,-0.99659,0
5159,215,41,53,165,43,23,5699,5678,11377,-0.0213813,-0.203666,-0.978807,0
4469,204,26,44,161,50,21,4975,6155,11130,-0.192586,-0.0695962,-0.978809,0
4987,231,29,49,161,45,22,5524,6225,11749,-0.0569021,-0.1108,-0.992212,0
