Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6735,2438,81,324,2269,59,154,12060,3242,15302,-0.013741,0.0474415,-0.99878,0
5721,2059,26,273,2019,40,154,10292,3047,13339,-0.027362,0.0284449,-0.999221,0
4009,1390,18,187,1369,30,107,7110,2437,9547,-0.00881693,0.0142975,-0.999859,0
5704,2068,27,275,1988,53,151,10266,3516,13782,-0.0263611,0.0326306,-0.99912,0
4062,1453,19,206,1430,32,108,7310,2397,9707,-0.0240505,0.0261274,-0.999369,0
6374,2037,26,278,1963,43,152,10873,3287,14160,-0.0240028,0.0386549,-0.998965,0
5730,2012,27,265,1992,46,170,10242,2134,12376,-0.0226329,0.0338217,-0.999172,0
4056,1381,19,184,1425,38,105,7208,2435,9643,-0.0184422,0.0784893,-0.996745,0
4234,1371,18,177,1305,38,101,7244,3069,10313,0.00369878,0.103445,-0.994629,0
5705,1980,35,260,1901,53,146,10080,4376,14456,-0.0228585,0.0299853,-0.999289,0
6574,2294,30,298,2237,60,166,11659,3314,14973,-0.0188619,0.0559886,-0.998253,0
4299,1537,20,208,1469,41,112,7686,3052,10738,-0.0270343,0.0274219,-0.999259,0
4065,1449,19,185,1382,35,106,7241,2530,9771,-0.0198252,0.0365943,-0.999133,0
6505,2237,28,294,2119,42,149,11374,2424,13798,-0.0199756,0.0381266,-0.999073,0
5775,1937,34,285,1887,40,174,10132,3534,13666,-0.0219621,0.0404345,-0.998941,0
5235,1743,24,232,1717,44,134,9129,3020,12149,-0.0195576,0.0359489,-0.999162,0
5823,1897,27,253,1857,48,143,10048,4451,14499,-0.0166862,0.0650737,-0.997741,0
3276,988,13,133,966,26,75,5477,2157,7634,-0.0243991,0.0319518,-0.999192,0
2033,671,10,90,670,14,45,3533,1852,5385,-0.0206225,0.0414885,-0.998926,0
2223,729,10,107,708,18,55,3850,1868,5718,-0.0127387,0.0525964,-0.998535,0
6023,1923,27,255,1872,48,145,10293,3171,13464,-0.0234604,0.0420202,-0.998841,0
3877,1297,19,208,1265,32,99,6797,3188,9985,-0.00843221,0.0579342,-0.998285,0
5697,1875,29,274,1819,64,143,9901,3696,13597,-0.00966825,0.0714258,-0.997399,0
5234,1693,26,225,1626,47,125,8976,5909,14885,-0.00307589,0.0709964,-0.997472,0
5039,1718,26,245,1648,45,130,8851,4419,13270,0.0228164,0.0902296,-0.99566,0
4772,1542,22,203,1459,38,113,8149,3648,11797,0.00676323,0.115915,-0.993236,0
5668,1800,28,290,1715,47,138,9686,2548,12234,-0.0194493,0.0260795,-0.999471,0
5651,1785,29,239,1706,46,136,9592,3765,13357,-0.00259118,0.104056,-0.994568,0
3909,1213,19,165,1235,32,94,6667,3157,9824,-0.0239317,0.0253189,-0.999393,0
5675,1804,28,240,1745,44,140,9676,3636,13312,-0.0148508,0.0313439,-0.999398,0
5131,1647,31,255,1599,51,124,8838,4121,12959,-0.023461,0.0250052,-0.999412,0
6025,1828,28,245,1735,43,135,10039,3814,13853,-0.0208005,0.0495511,-0.998555,0
5837,1896,31,288,1843,36,141,10072,3996,14068,-0.00373349,0.094547,-0.995514,0
3301,988,16,132,922,19,72,5450,2242,7692,-0.0117433,0.0323266,-0.999409,0
5781,2111,37,389,1993,54,143,10508,4874,15382,-0.0120181,0.0330928,-0.99938,0
3916,1327,19,169,1268,37,97,6833,2855,9688,-0.0249032,0.0364159,-0.999026,0
6736,2589,33,278,2027,59,157,11879,4661,16540,-0.0233129,0.0522534,-0.998362,0
2951,826,13,110,796,23,61,4780,2180,6960,-0.0232731,0.053966,-0.998271,0
1804,586,11,88,568,16,44,3117,1880,4997,-0.00422001,0.0952144,-0.995448,0
2000,648,10,85,651,17,58,3469,2365,5834,-0.0270043,0.0255216,-0.99931,0
6501,1887,30,276,1707,49,135,10585,4988,15573,-0.0161993,0.0557645,-0.998312,0
6650,1882,27,242,1723,49,134,10707,3534,14241,-0.00911762,0.0688829,-0.997583,0
2992,981,18,129,944,27,73,5164,2855,8019,-0.00879062,0.0807737,-0.996693,0
6460,2049,33,293,1821,51,143,10850,4613,15463,-0.0132464,0.0625868,-0.997952,0
5847,2298,35,385,2228,51,151,10995,3561,14556,-0.0138835,0.0470786,-0.998795,0
2989,1018,15,132,931,26,73,5184,1584,6768,-0.0234208,0.0258202,-0.999392,0
5892,1909,31,261,1894,43,149,10179,1817,11996,-0.0315259,-0.00450067,-0.999493,0
5940,1980,31,264,1853,59,145,10272,1664,11936,-0.0146011,0.024578,-0.999592,0
4038,1387,22,188,1393,49,127,7204,1042,8246,-0.0113519,0.0236098,-0.999657,0
5970,2016,31,273,1973,61,153,10477,1590,12067,0.0255745,-8.5398e-05,-0.999673,0
6121,2152,31,281,2114,58,161,10918,1536,12454,-0.0144836,-0.0391719,-0.999128,0
6030,2168,29,284,2220,54,166,10951,1888,12839,-0.074681,-0.0173217,-0.997057,0
6752,2163,29,286,2208,57,197,11692,2364,14056,-0.0888251,-0.0529858,-0.994637,0
4250,1510,20,241,1501,48,116,7686,1441,9127,-0.0368791,-0.0130704,-0.999234,0
6192,2240,29,293,2185,49,166,11154,1962,13116,-0.0544417,-0.0300168,-0.998066,0
5959,2265,28,291,2180,54,178,10955,1884,12839,-0.063614,-0.00139751,-0.997974,0
6060,2323,34,312,2210,56,192,11187,1755,12942,-0.0677389,-0.00847175,-0.997667,0
5418,1996,49,273,1921,52,147,9856,1625,11481,-0.0897518,-0.00576148,-0.995947,0
6169,2225,26,316,2142,60,164,11102,1993,13095,-0.0774657,-0.0156089,-0.996873,0
5969,2134,30,282,1981,35,111,10542,1389,11931,-0.0960467,-0.00656224,-0.995355,0
3258,1112,16,145,1053,23,80,5687,1301,6988,-0.0559707,0.00522966,-0.998419,0
5828,2011,29,273,1974,51,151,10317,2010,12327,0.000860781,0.0271033,-0.999632,0
6494,2073,29,261,1927,44,149,10977,2249,13226,-0.0143284,0.00693381,-0.999873,0
5796,1919,30,256,1851,54,144,10050,2297,12347,-0.0206859,0.0762661,-0.996873,0
3326,902,15,123,769,18,60,5213,781,5994,-0.0131257,0.0537312,-0.998469,0
2276,755,12,99,767,22,58,3989,746,4735,-0.00872996,0.0375653,-0.999256,0
5781,1608,27,221,1552,54,121,9364,1832,11196,0.00218141,0.0509379,-0.998699,0
6287,1875,29,243,1749,48,136,10367,2071,12438,0.0108628,0.0559824,-0.998373,0
4018,1204,20,160,938,26,70,6436,1222,7658,0.00728973,0.0446337,-0.998977,0
2366,710,13,99,680,19,53,3940,867,4807,0.0121831,0.0535586,-0.99849,0
5520,1609,30,220,1632,51,128,9190,2549,11739,0.012097,0.0160155,-0.999799,0
5605,1579,30,217,1579,61,140,9211,2037,11248,0.0200469,0.0447842,-0.998795,0
5483,1589,28,227,1547,38,123,9035,1875,10910,0.0254821,0.0516343,-0.998341,0
5520,1575,28,224,1654,39,126,9166,2205,11371,0.0200332,0.0382606,-0.999067,0
5581,1577,29,215,1500,38,121,9061,2196,11257,0.0129285,0.0170736,-0.999771,0
5470,1653,29,218,1517,38,122,9047,2396,11443,0.018569,0.0344218,-0.999235,0
5612,1578,29,225,1548,39,125,9156,2172,11328,0.0254834,0.0387772,-0.998923,0
5540,1560,28,228,1695,56,166,9273,1864,11137,0.018667,0.0406832,-0.998998,0
5586,1611,34,219,1594,45,126,9215,1971,11186,0.0220766,0.0355674,-0.999124,0
6081,1590,28,219,1559,38,124,9639,2025,11664,0.0175319,0.0370112,-0.999161,0
5551,1601,29,218,1544,39,123,9105,1835,10940,0.0206771,0.0466192,-0.998699,0
5542,1590,28,217,1509,38,120,9044,2008,11052,0.0236617,0.0457237,-0.998674,0
5524,1950,32,265,1535,38,122,9466,2263,11729,0.0200842,0.0400656,-0.998995,0
5518,1600,28,217,1607,39,128,9137,2150,11287,0.0201207,0.0476975,-0.998659,0
5532,1603,28,223,1558,38,127,9109,2170,11279,0.0201672,0.0450006,-0.998784,0
4967,1458,53,196,1373,33,108,8188,1939,10127,0.0228656,0.0283239,-0.999337,0
5617,2257,36,340,2249,54,176,10729,2516,13245,0.0204871,0.0478973,-0.998642,0
2806,679,12,92,647,16,51,4303,728,5031,0.0194069,0.0374902,-0.999109,0
1981,574,11,78,568,14,45,3271,698,3969,0.0204134,0.0418829,-0.998914,0
1966,576,11,78,554,14,43,3242,645,3887,0.0176047,0.0380642,-0.99912,0
5430,1618,27,218,1589,39,122,9043,2564,11607,0.0223698,0.0331015,-0.999202,0
5446,1753,29,221,1591,39,124,9203,2334,11537,0.0227149,0.0529195,-0.99834,0
5921,1604,29,244,1594,40,128,9560,3249,12809,0.0181583,0.0421327,-0.998947,0
5577,1606,28,222,1583,39,125,9180,2060,11240,0.0183302,0.055318,-0.9983,0
5495,1664,29,222,1626,39,127,9202,2559,11761,0.0222775,0.030936,-0.999273,0
5517,1629,29,222,1594,40,125,9156,2894,12050,0.0238381,0.00971108,-0.999669,0
5511,1655,31,247,1600,45,136,9225,1972,11197,0.0228554,0.0487025,-0.998552,0
5509,1687,49,220,1566,38,122,9191,1755,10946,0.0209637,0.0430521,-0.998853,0
5484,1647,28,220,1604,41,126,9150,2105,11255,0.02058,0.0563613,-0.998198,0
5562,1625,28,221,1579,39,127,9181,2548,11729,0.0140482,0.0220963,-0.999657,0
5453,1656,29,223,1639,41,131,9172,2040,11212,0.0192756,0.0377294,-0.999102,0
5564,1618,37,219,1590,38,123,9189,1831,11020,0.0194567,0.0357513,-0.999171,0
5501,1668,28,224,1672,40,130,9263,2619,11882,0.0214338,0.0544264,-0.998288,0
5598,1631,29,219,1557,42,122,9198,2164,11362,0.0214382,0.0541828,-0.998301,0
5558,1617,27,222,1635,41,130,9230,2470,11700,0.0246127,0.0254281,-0.999374,0
4966,1467,25,196,1474,40,114,8282,2177,10459,0.0284017,0.0512365,-0.998282,0
5564,1637,28,238,1620,44,127,9258,2237,11495,0.0151789,0.0429211,-0.998963,0
5638,1627,28,219,1589,41,125,9267,2141,11408,0.0161225,0.0556824,-0.998318,0
5596,1657,30,250,1598,43,146,9320,1961,11281,0.0182075,0.0573872,-0.998186,0
5561,1593,28,247,1544,39,122,9134,2555,11689,0.0241419,0.0589694,-0.997968,0
5583,1623,32,221,1590,57,132,9238,2191,11429,0.0152085,0.0514371,-0.99856,0
5451,1614,29,223,1684,44,127,9172,2225,11397,0.0110864,0.0554494,-0.9984,0
5596,1652,32,227,1615,43,126,9291,2801,12092,0.0151902,0.0518443,-0.99854,0
5576,1662,29,220,1577,38,149,9251,2256,11507,0.0182028,0.0312314,-0.999346,0
5538,1602,30,224,1587,53,122,9156,2163,11319,0.0135567,0.0528576,-0.99851,0
5800,1690,31,220,1568,53,123,9485,1828,11313,0.0219679,0.0736989,-0.997039,0
5569,1643,29,236,1555,54,136,9222,2166,11388,0.0182456,0.057797,-0.998161,0
3594,891,15,117,947,30,67,5661,1188,6849,0.0193598,0.0689437,-0.997433,0
2311,687,19,93,659,21,52,3842,1053,4895,0.0203539,0.0864819,-0.996046,0
5642,1675,32,224,1573,39,123,9308,1874,11182,0.0355699,0.0856624,-0.995689,0
5615,1650,30,266,1571,41,127,9300,1934,11234,0.0384925,0.0961438,-0.994623,0
5523,1587,29,219,1589,61,128,9136,2316,11452,0.0374081,0.103749,-0.9939,0
6113,1624,30,223,1543,37,122,9692,1994,11686,0.0463596,0.124183,-0.991176,0
3824,1134,20,154,1140,26,85,6383,1883,8266,0.049873,0.128631,-0.990438,0
5731,1758,29,231,1688,92,133,9662,2514,12176,-0.028898,0.115033,-0.992941,0
5736,1764,31,247,1716,41,132,9667,3074,12741,0.0127394,0.159549,-0.987108,0
