Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5848,1054,6902,18840,25742,-0.117777,0.075396,-0.990174,0
0,0,0,0,0,3041,566,3607,17010,20617,-0.0485483,0.0383551,-0.998084,0
0,0,0,0,0,1551,264,1815,2381,4196,-0.0446022,0.0392692,-0.998233,0
0,0,0,0,0,4880,1002,5882,7367,13249,-0.0407939,0.0408263,-0.998333,0
0,0,0,0,0,5612,670,6282,4142,10424,-0.0378583,0.0423885,-0.998384,0
0,0,0,0,0,3778,643,4421,4011,8432,-0.0355049,0.0427976,-0.998453,0
0,0,0,0,0,5827,1007,6834,6194,13028,-0.03337,0.0430475,-0.998515,0
0,0,0,0,0,5902,1078,6980,6597,13577,-0.0320436,0.0428988,-0.998565,0
0,0,0,0,0,4026,702,4728,4209,8937,-0.0304038,0.0430577,-0.99861,0
0,0,0,0,0,5817,1000,6817,6368,13185,-0.029041,0.0429617,-0.998655,0
0,0,0,0,0,5972,969,6941,6635,13576,-0.0282455,0.0436166,-0.998649,0
0,0,0,0,0,5901,1004,6905,6404,13309,-0.0258767,0.0440364,-0.998695,0
0,0,0,0,0,4164,686,4850,4470,9320,-0.0262862,0.0444993,-0.998664,0
0,0,0,0,0,5874,1043,6917,7078,13995,-0.0252812,0.0451365,-0.998661,0
0,0,0,0,0,5274,910,6184,6464,12648,-0.0254736,0.0447127,-0.998675,0
0,0,0,0,0,5920,1030,6950,6975,13925,-0.0247049,0.0439768,-0.998727,0
0,0,0,0,0,5839,977,6816,7106,13922,-0.0198163,0.0427623,-0.998889,0
0,0,0,0,0,5852,1030,6882,6443,13325,-0.024286,0.0437119,-0.998749,0
0,0,0,0,0,4036,696,4732,4584,9316,-0.0250292,0.0437566,-0.998728,0
0,0,0,0,0,5927,1014,6941,7565,14506,-0.0252517,0.0441812,-0.998704,0
0,0,0,0,0,4158,680,4838,3659,8497,-0.0180019,0.0441335,-0.998864,0
0,0,0,0,0,2634,367,3001,2666,5667,-0.0201364,0.0448181,-0.998792,0
0,0,0,0,0,2552,417,2969,3107,6076,-0.0128774,0.0453417,-0.998889,0
0,0,0,0,0,5870,977,6847,8613,15460,-0.0200526,0.0449245,-0.998789,0
0,0,0,0,0,6111,884,6995,5711,12706,-0.024972,0.0423443,-0.998791,0
0,0,0,0,0,3791,648,4439,4379,8818,-0.0194053,0.0414505,-0.998952,0
0,0,0,0,0,5924,1029,6953,7692,14645,-0.0183758,0.0404824,-0.999011,0
0,0,0,0,0,3152,520,3672,3283,6955,-0.0220015,0.0414403,-0.998899,0
0,0,0,0,0,2116,352,2468,2546,5014,-0.0112579,0.0449092,-0.998927,0
0,0,0,0,0,5343,910,6253,8194,14447,-0.011437,0.0454019,-0.998903,0
0,0,0,0,0,5278,915,6193,7318,13511,-0.0210823,0.0438357,-0.998817,0
0,0,0,0,0,3905,650,4555,4677,9232,-0.0209985,0.0431403,-0.998848,0
0,0,0,0,0,5021,1223,6244,6551,12795,-0.0228132,0.0441017,-0.998767,0
0,0,0,0,0,4969,847,5816,6115,11931,-0.0255671,0.0436717,-0.998719,0
0,0,0,0,0,3616,621,4237,5043,9280,-0.0261838,0.0432645,-0.99872,0
0,0,0,0,0,6046,1082,7128,6099,13227,-0.0258089,0.0431275,-0.998736,0
0,0,0,0,0,4650,699,5349,5021,10370,-0.02651,0.0427801,-0.998733,0
